科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,864,638,394.32","1,769,167,771.12","1,829,304,670.92","1,117,665,697.90","1,552,901,581.46","179,284,493.45","364,320,336.38","590,926,565.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,
收到的税费返还,"8,633,065.65","999,433.48","1,611,851.52","1,127,387.45","2,465,360.04","6,785,480.57","12,516,194.57","15,316,000.05"
支付其他与投资活动有关的现金,,,"151,830,258.63","120,212,054.79","160,000,000.00",,,"60,000.00"
收到其他与经营活动有关的现金,"40,669,725.82","15,402,307.93","35,133,425.76","13,571,493.60","12,159,885.47","38,508,516.72","48,108,439.02","51,491,904.15"
投资活动现金流出小计,"37,079,332.14","57,689,879.29","212,512,177.65","155,631,688.59","211,322,792.43","253,066,417.00","402,480,011.70","553,068,921.70"
经营活动现金流入小计,"1,913,941,185.79","1,785,569,512.53","1,866,049,948.20","1,132,364,578.95","1,567,526,826.97","224,578,490.74","424,944,969.97","657,734,469.47"
投资活动产生的现金流量净额,"9,094,733.86","-57,384,419.29","-81,432,014.22","-11,464,933.15","-127,313,288.78","-152,130,390.65","-272,557,833.62","-275,715,062.68"
购买商品、接受劳务支付的现金,"1,444,217,081.78","1,380,144,203.57","1,220,209,178.60","724,430,642.68","1,047,234,529.31","188,220,328.99","378,887,436.31","565,748,214.27"
吸收投资收到的现金,,,,,"716,288,250.00",,,
支付给职工以及为职工支付的现金,"116,808,139.16","135,054,787.17","129,074,009.73","82,080,186.61","123,384,107.66","27,304,433.88","58,672,517.65","80,151,441.60"
取得借款收到的现金,"745,893,720.00","625,000,000.00","442,344,392.20","257,626,965.00","344,775,100.00",,"30,000,000.00","30,000,000.00"
支付的各项税费,"127,106,069.84","85,907,669.57","122,192,488.01","62,072,634.86","77,079,865.71","13,057,535.63","22,296,860.62","41,821,685.13"
收到其他与筹资活动有关的现金,,,,,,,"12,540.64","12,540.64"
支付其他与经营活动有关的现金,"74,838,859.52","79,965,382.75","59,328,003.07","40,382,484.66","46,624,086.67","18,618,029.64","40,014,584.40","43,380,763.21"
筹资活动现金流入小计,"745,893,720.00","625,000,000.00","442,344,392.20","257,626,965.00","1,061,063,350.00",,"30,012,540.64","30,012,540.64"
经营活动现金流出小计,"1,762,970,150.30","1,681,072,043.06","1,530,803,679.41","908,965,948.81","1,294,322,589.35","247,200,328.14","499,871,398.98","731,102,104.21"
偿还债务支付的现金,"758,234,310.00","635,489,012.87","579,834,671.30","520,630,341.00","743,630,341.00","34,784,699.32","34,784,699.32","64,784,699.32"
经营活动产生的现金流量净额,"150,971,035.49","104,497,469.47","335,246,268.79","223,398,630.14","273,204,237.62","-22,621,837.40","-74,926,429.01","-73,367,634.74"
分配股利、利润或偿还利息支付的现金,"48,501,650.33","81,582,875.40","71,663,284.52","8,494,690.39","10,336,153.73","21,508.33","34,920,435.08","35,040,060.08"
收回投资收到的现金,,,,,,"100,000,000.00","100,000,000.00",
支付其他与筹资活动有关的现金,,,,,"1,241,000.00",,,"2,000,000.00"
取得投资收益收到的现金,,,"752,452.07","212,054.79","212,054.79","768,026.35",,"240,144,400.00"
筹资活动现金流出小计,"806,735,960.33","717,071,888.27","651,497,955.82","529,125,031.39","755,207,494.73","34,806,207.65","69,705,134.40","101,824,759.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,"46,174,066.00","305,460.00","327,711.36","1,912,387.23","1,967,190.23","168,000.00","29,203,000.00","3,236,821.92"
筹资活动产生的现金流量净额,"-60,842,240.33","-92,071,888.27","-209,153,563.62","-271,498,066.39","305,855,855.27","-34,806,207.65","-39,692,593.76","-71,812,218.76"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"33,972,637.10"
四、汇率变动对现金的影响,,,,,,,,
收到其他与投资活动有关的现金,,,"130,000,000.00","142,042,313.42","81,830,258.63",,"719,178.08",
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"46,174,066.00","305,460.00","131,080,163.43","144,166,755.44","84,009,503.65","100,936,026.35","129,922,178.08","277,353,859.02"
五、现金及现金等价物净增加额,"99,223,529.02","-44,958,838.09","44,660,690.95","-59,564,369.40","451,746,804.11","-209,558,435.70","-387,176,856.39","-420,894,916.18"
购建固定资产、无形资产和其他长期资产支付的现金,"37,079,332.14","57,689,879.29","60,681,919.02","35,419,633.80","51,322,792.43","3,066,417.00","1,782,111.70","11,979,421.70"
期初现金及现金等价物余额,"12,948,134.73","112,171,663.75","67,212,825.66","111,873,516.61","111,873,516.61","563,620,320.72","563,620,320.72","563,620,320.72"
投资支付的现金,,,,,,"250,000,000.00","400,697,900.00","541,029,500.00"
期末现金及现金等价物余额,"112,171,663.75","67,212,825.66","111,873,516.61","52,309,147.21","563,620,320.72","354,061,885.02","176,443,464.33","142,725,404.54"
