科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"407,223,987.19","553,621,153.36","627,566,494.74","90,962,012.72","229,527,363.14","328,321,779.75","455,756,103.34","87,197,268.90","248,097,679.48","398,861,931.63","631,971,764.98","174,438,677.71","427,162,576.10","663,061,179.99","943,952,326.96","229,366,768.37","579,793,689.90"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"69,967,633.37"
收到的税费返还,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"458,000,000.00","233,000,000.00","383,000,000.00","503,000,000.00","598,000,000.00","334,544.90","669,000,000.00"
收到其他与经营活动有关的现金,"6,317,375.93","949,697.64","2,005,430.79","71,964.67","1,641,193.50","2,100,197.53","2,964,085.84","823,116.58","2,243,338.26","2,700,664.38","3,251,649.84","344,870.88","5,451,597.20","5,951,014.48","7,804,388.51","4,660,328.64","7,937,676.58"
投资活动现金流出小计,"82,651,176.49","23,708,307.45","103,007,693.61","31,791,973.23","46,870,228.26","51,193,338.85","56,522,469.98","13,911,665.35","139,935,785.92","142,682,111.36","503,070,316.09","254,156,002.73","438,437,208.76","588,397,359.32","692,197,891.06","5,639,469.88","765,752,709.39"
经营活动现金流入小计,"413,541,363.12","554,570,851.00","629,571,925.53","91,033,977.39","231,168,556.64","330,421,977.28","458,720,189.18","88,020,385.48","250,341,017.74","401,562,596.01","635,223,414.82","174,783,548.59","432,614,173.30","669,012,194.47","951,756,715.47","234,027,097.01","587,731,366.48"
投资活动产生的现金流量净额,"-82,651,176.49","-15,708,307.45","-103,007,693.61","-31,791,973.23","-46,870,228.26","-51,193,338.85","-56,522,469.98","-13,911,665.35","-139,919,785.92","-72,165,563.41","-163,529,203.84","-30,162,969.80","66,860,221.35","37,209,933.52","-11,286,817.43","35,238,050.73","-243,416,513.27"
购买商品、接受劳务支付的现金,"240,971,475.62","387,678,318.22","373,513,332.31","54,754,621.78","138,031,892.19","202,981,707.82","287,869,737.04","55,536,059.16","105,887,004.58","232,456,393.26","366,239,477.16","118,105,419.58","281,676,671.23","460,922,672.29","630,018,085.86","173,881,124.59","401,619,746.00"
吸收投资收到的现金,,,,,"330,515,000.00","330,515,000.00","330,515,000.00",,,,,,,,"35,649,920.00",,
