科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"104,810,775.35","186,663,656.12","261,607,996.42","72,251,965.80","144,514,067.83","219,956,606.46","291,378,193.80","74,357,459.73","176,265,837.52","339,781,418.70","500,082,725.88","120,917,267.75","294,382,839.75","501,648,958.15","681,984,216.24","164,180,342.16","410,435,854.56","688,436,030.91","906,849,275.86","189,256,377.53","462,579,929.24","691,955,844.76","920,932,219.15","229,286,350.90","519,224,697.02","839,779,049.79","1,179,355,639.45","350,738,248.48","787,470,926.16","1,212,550,461.76","1,583,693,299.38"
二、营业利润,"19,006,779.13","24,900,950.79","50,811,586.76","12,272,374.10","24,395,462.97","31,888,882.13","35,047,659.95","5,815,799.37","21,828,303.72","40,802,192.41","52,581,131.34","10,221,485.77","28,696,953.44","46,356,300.59","54,992,563.76","5,101,544.93","19,206,986.20","39,874,241.09","17,643,171.03","7,800,538.24","18,180,555.92","21,975,693.93","24,560,262.00","18,418,169.51","17,831,235.83","41,765,337.95","45,568,240.50","11,142,362.53","26,352,301.83","56,564,396.44","157,602,919.97"
减:营业成本,"70,679,619.05","136,997,074.77","180,571,980.62","50,148,519.56","99,240,819.68","154,789,530.28","212,255,650.03","57,561,055.52","131,752,541.23","259,686,177.59","389,552,551.07","94,560,992.38","229,510,166.36","396,361,495.55","540,935,820.69","136,662,629.53","335,997,347.57","561,523,259.49","755,009,367.90","155,756,899.19","387,999,812.04","584,801,167.38","777,850,345.90","178,896,175.21","419,254,383.47","679,149,848.79","954,567,206.52","290,901,195.47","655,141,811.60","1,003,308,895.44","1,287,305,951.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"201,376.09","306,886.18","127,659.79","16,383.64","255,779.18","420,090.01","987,894.37","848,813.56","1,468,873.36","1,692,361.61","2,341,226.87","515,824.73","624,727.48","1,309,701.68","1,864,111.93","1,246,778.84","2,252,237.29","2,373,927.38","2,813,349.67","361,670.65","967,674.58","2,638,692.58","3,997,807.00","435,878.35","1,294,879.62","2,305,439.19","5,050,634.48","762,378.80","2,543,003.52","5,028,896.41","8,365,473.97"
营业外收入,"152,256.72","605,168.60","491,027.15",550.28,"37,313.03","1,410,277.72","3,243,329.38","189,097.74","1,573,873.31","1,635,186.31","1,903,515.25","385,714.10","2,117,857.82","7,517,968.06","11,490,914.61","2,770,336.92","5,657,404.18","7,542,253.62","9,469,075.79","1,460,882.88","5,008,314.23","8,853,935.62","11,921,951.47","1,068,451.27","9,415,572.43","13,817,539.33","16,828,949.76","14,757,685.49","29,694,100.40","50,764,410.10","262,925.11"
销售费用,"6,144,644.20","7,867,405.10","9,106,415.32","2,598,857.90","4,855,538.26","8,105,093.59","10,915,809.57","2,938,615.30","6,266,509.84","10,785,444.11","15,676,032.66","4,074,946.73","8,121,299.13","14,203,422.41","19,062,633.91","4,876,448.38","12,179,260.38","19,942,709.32","30,240,333.27","6,832,284.78","15,228,461.38","24,189,823.12","33,031,005.64","8,689,174.36","19,170,289.75","28,075,861.07","39,305,365.80","12,645,543.59","25,399,562.79","37,065,941.49","49,870,322.64"
减:营业外支出,"126,706.17","227,987.56","64,720.83","3,289.76","167,817.48","181,915.57","209,899.64",,"110,426.85","299,639.16","345,955.51","15,054.20","56,828.83","794,178.72","808,075.29","1,795.03","90,828.15","241,895.60","666,789.55","3,692.47","513,708.39","577,555.82","730,652.71","12,079.28","29,690.64","715,271.11","4,934,627.54","46,434.27","260,716.09","299,876.77","1,339,978.88"
管理费用,"8,817,754.32","14,658,005.85","21,294,342.95","6,900,062.97","14,891,772.53","23,487,346.74","31,494,508.57","7,924,917.78","15,551,475.74","26,536,371.43","40,009,641.75","13,071,676.79","29,609,582.79","46,493,302.58","67,492,984.76","16,482,834.08","39,799,990.91","58,396,688.96","82,113,609.83","18,629,216.25","36,571,590.00","56,429,087.98","72,949,684.84","20,685,076.51","46,886,799.85","73,453,397.45","104,939,153.70","30,295,172.24","66,303,228.75","98,117,847.03","129,387,809.96"
其中:非流动资产处置净损失,,"126,114.07","64,720.83",,,,,,,,"311,015.80",,,,"778,829.37",,"90,828.12",,"183,481.69",,"532,302.77",,"629,703.72","5,700.34","23,311.71","499,710.10","1,669,306.37","10,479.95","10,271.77","14,538.07",
