科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"101,046,655.44","125,355,949.58","81,420,066.16","150,345,402.72","77,117,212.08","117,881,803.23","185,320,054.27","94,117,787.85","186,615,048.12","270,632,089.68","382,517,145.28","93,654,544.41","123,268,806.14","177,512,818.18","279,797,747.85","73,965,355.44","110,277,194.61","178,993,604.88","300,929,840.66","75,489,459.18","158,761,950.69","232,919,108.63","402,179,494.09","74,513,416.00","177,402,855.12","239,094,745.98","374,099,218.29","81,528,399.20","186,483,274.32","281,501,926.86","514,673,328.92","55,901,365.53","196,502,502.16","311,830,575.20","625,540,124.27","89,009,549.04","257,303,345.98"
二、营业利润,"12,936,237.36","23,241,371.16","13,916,337.31","27,276,790.48","16,051,422.50","21,323,576.49","31,005,440.53","22,645,193.35","38,792,963.86","58,251,034.98","96,591,987.52","22,216,464.73","29,482,492.30","36,181,451.72","51,247,001.71","8,364,214.17","11,919,274.52","20,772,067.50","34,631,402.14","9,322,625.08","12,109,032.16","15,890,720.86","37,794,222.76","-415,646.55","8,148,023.23","10,439,864.31","16,754,469.28","-7,162,574.90","-4,619,506.90","-19,609,481.65","4,170,461.58","-32,421,437.28","-50,333,096.89","-62,388,011.94","43,577,612.99","-23,968,296.76","-23,258,664.35"
减:营业成本,"71,874,839.97","77,587,173.58","54,272,587.29","92,576,100.45","43,324,072.78","67,693,135.48","110,879,704.30","59,259,283.05","124,508,727.37","176,784,284.87","228,563,291.13","56,578,711.85","66,406,532.40","96,396,434.83","147,221,533.74","42,440,369.45","52,785,379.47","82,645,275.86","149,192,461.19","38,213,733.52","85,435,279.68","129,076,727.83","216,115,915.85","37,801,364.75","87,676,361.43","111,615,692.20","191,762,378.86","40,547,940.65","94,215,155.59","147,820,086.05","275,442,960.50","24,278,854.11","107,974,336.14","162,721,185.96","322,261,134.69","38,358,686.30","137,699,669.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,424,392.61","2,488,248.13","797,366.78","1,778,432.76","1,026,098.45","1,592,828.78","3,228,001.36","1,155,613.78","2,386,616.92","3,520,258.76","4,956,943.29","1,507,303.32","2,224,995.98","3,073,266.89","4,783,322.61","739,468.54","1,250,986.82","1,873,268.55","2,901,853.39","317,251.04","969,118.62","1,159,259.96","3,141,173.51","204,399.87","867,673.06","1,176,019.03","2,835,174.82","611,229.29","1,466,750.49","2,390,406.38","5,973,023.49","687,702.95","1,521,926.09","2,978,131.26","7,859,295.80","1,063,778.02","2,531,814.22"
营业外收入,"5,055,905.89","5,537,538.45","2,797,596.96","9,252,505.39","1,984,178.14","4,579,165.54","8,111,721.79","288,075.08","2,619,027.24","4,006,126.38","6,026,324.77","4,963,170.56","9,722,165.59","13,901,499.95","19,601,152.50","3,693,769.54","5,898,398.52","7,366,547.43","12,696,090.69","2,460,891.43","5,706,634.39","9,041,744.38","12,435,269.40","639,120.18","2,541,988.88","3,767,630.73","6,867,099.83","1,220,121.04","3,952,905.47","4,973,063.23","8,135,056.76","2,979,698.95","4,011,187.81","533,738.03","397,688.13","3,904.10","500,129.57"
销售费用,"3,299,663.78","2,849,530.46","1,163,139.84","2,646,599.75","1,746,399.70","3,011,534.41","4,268,691.65","1,537,534.36","2,885,689.03","4,252,335.29","8,491,960.79","1,198,338.35","4,329,575.88","8,065,187.38","14,204,834.75","4,295,286.18","9,277,919.50","15,727,156.15","25,597,849.21","5,859,239.75","11,958,219.32","18,521,731.72","33,002,776.18","7,907,737.62","15,968,879.77","23,921,205.94","35,905,000.99","6,618,336.45","14,045,959.95","24,052,278.74","44,141,485.21","9,114,002.50","25,119,625.34","40,936,151.61","63,091,100.95","11,571,065.49","24,219,735.90"
减:营业外支出,"906,713.67","91,144.51",491.99,"4,201.53","5,533.69","5,689.97","15,297.12",,456.81,"19,497.27","63,220.69",121.92,"18,229.29","97,437.39","138,470.37","55,462.63","61,859.51","95,478.63","98,908.69","77,249.13","86,524.29","94,584.63","143,268.49","10,051.41","16,852.10","22,481.09","107,558.54","14,691.18","216,836.10","217,730.72","636,691.16","300,833.96","323,041.16","347,229.75","1,702,429.60","3,594.40","178,443.82"
管理费用,"13,203,087.89","15,807,290.30","8,755,296.35","24,401,626.42","12,616,586.14","20,049,790.11","31,831,051.02","8,477,858.44","16,310,263.53","26,793,656.22","43,260,969.59","11,262,148.92","23,103,966.11","36,489,865.27","61,110,570.29","16,470,753.95","35,547,801.39","60,794,852.50","91,437,225.70","19,591,233.42","42,764,459.01","68,027,241.97","113,092,015.40","27,628,096.61","56,972,393.24","89,453,247.96","135,541,242.08","32,726,348.46","72,401,914.32","114,270,601.82","178,015,374.73","44,700,649.23","93,841,164.72","145,512,596.18","221,301,328.44","49,453,406.65","99,393,097.34"
其中:非流动资产处置净损失,"22,340.00","40,640.29",,"1,480.59",,,"9,607.15",,,,"28,264.79",,"18,229.29",,"63,257.34",,"55,450.02","55,704.04","91,788.07",,"51,408.26",,"103,532.08",,,,"84,027.45",,,,"230,283.80",,,,,,
