科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"4,860,242,874.63","8,278,977,559.78","9,835,529,001.13","3,229,499,917.67","6,036,706,002.59","9,237,307,840.75","12,323,620,187.85","3,273,570,996.10","6,633,686,194.57","10,661,992,889.20","14,759,166,014.31","4,974,438,205.69","10,574,023,142.11","16,229,149,776.57","22,950,987,590.77","11,612,881,040.74","22,431,798,705.46","35,256,932,639.24","45,269,156,028.05","13,955,950,779.32","30,211,669,372.88","43,926,224,334.58","55,806,427,046.45","15,613,490,486.33","27,466,926,738.59","39,914,825,736.24","59,173,617,631.25","14,462,330,668.00","26,979,696,150.35","40,044,316,042.08","56,069,791,134.94","13,620,731,717.99","27,585,837,768.67","45,543,088,800.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"49,000,000.00",,"175,027,318.12","175,027,318.12","175,027,318.12",,,,,,,,"101,833,207.76",,,
收到的税费返还,"202,839.62",,,,,,"288,727.00",,"1,158,930.11","1,158,930.11","1,158,930.11",,,,,,,,,,,,,,"21,313.71","755,715.06","212,789.89",,,,,,,
支付其他与投资活动有关的现金,"4,633,367.14",,,,,,,,,,,,,,,,,,,,,,"24,707,357.71",,,,,,,,,,,
收到其他与经营活动有关的现金,"442,837,497.62","141,451,245.15","115,232,207.47","406,210,829.18","86,862,079.29","171,427,821.87","153,548,548.51","53,163,506.40","104,632,523.25","135,543,722.61","212,740,145.29","34,650,364.31","51,408,428.05","78,207,034.44","121,034,078.50","31,352,856.32","67,340,822.56","103,821,450.51","106,047,275.24","173,552,117.60","139,606,134.60","239,613,879.18","724,121,996.88","239,783,318.37","754,302,699.13","992,258,852.51","1,045,949,749.33","846,375,829.61","1,089,242,270.95","1,275,362,377.38","1,185,913,858.88","96,310,770.51","79,505,795.39","172,581,176.81"
投资活动现金流出小计,"17,230,245.89","15,741,826.79","7,755,854.31","1,800,777.74","5,657,849.89","10,156,872.63","22,507,374.11","12,524,250.77","23,267,293.22","37,948,380.48","50,659,154.76","9,916,492.44","322,253,792.87","832,244,625.97","1,216,349,553.86","5,442,889.59","10,360,723.51","1,311,246,966.19","1,618,158,457.89","204,141,162.66","258,495,496.84","2,531,844,844.98","5,100,548,611.23","934,508,987.33","2,362,100,974.15","5,438,788,467.89","10,043,357,555.95","7,079,976,505.87","7,006,324,415.10","10,247,065,026.73","12,993,284,791.67","1,521,663,406.06","3,434,667,119.76","8,038,820,356.67"
经营活动现金流入小计,"5,303,283,211.87","8,420,428,804.93","9,950,761,208.60","3,635,710,746.85","6,123,568,081.88","9,408,735,662.62","12,477,457,463.36","3,326,734,502.50","6,739,477,647.93","10,798,695,541.92","14,973,065,089.71","5,009,088,570.00","10,625,431,570.16","16,307,356,811.01","23,072,021,669.27","11,644,233,897.06","22,499,139,528.02","35,360,754,089.75","45,375,203,303.29","14,129,502,896.92","30,351,275,507.48","44,165,838,213.76","56,530,549,043.33","15,853,273,804.70","28,221,250,751.43","40,907,840,303.81","60,219,780,170.47","15,308,706,497.61","28,101,627,010.35","41,414,399,914.76","57,419,285,282.52","13,768,281,396.50","28,001,976,149.54","47,042,229,857.65"
投资活动产生的现金流量净额,"6,373,154.11","-15,741,346.79","-7,534,906.89","-1,800,417.74","-5,653,489.89","-10,141,912.63","-22,491,985.96","-12,524,250.77","-23,264,489.22","-37,925,836.48","-50,508,860.76","-9,901,392.44","-20,965,720.90","-28,818,582.76","-57,301,652.44","-5,414,767.39","-10,166,090.03","-10,383,822.99","-116,975,480.71","-164,486,978.77","-155,003,809.34","-161,113,077.26","-229,399,254.51","-1,599,404.87","-261,971,009.82","-706,841,583.77","-661,326,452.72","-100,984,972.68","98,965,477.24","-262,824,733.83","-70,365,351.98","60,143,083.67","71,635,071.88","229,114,483.20"
购买商品、接受劳务支付的现金,"4,446,014,194.58","7,407,776,276.36","8,594,066,859.28","2,847,555,546.05","5,926,420,221.78","8,906,752,039.50","12,063,481,472.67","3,238,115,643.03","6,315,155,166.67","10,854,719,273.08","14,507,965,229.42","5,061,264,950.52","9,787,811,641.60","14,736,997,071.27","21,764,278,617.08","12,847,515,349.85","22,534,136,085.32","33,546,313,075.78","43,094,123,417.57","12,724,297,685.72","28,002,774,266.00","41,525,113,643.08","54,071,661,320.45","16,259,664,499.08","26,663,677,326.69","38,391,662,768.96","57,928,047,579.72","14,385,974,910.95","25,977,288,516.96","38,372,167,597.48","53,646,284,198.42","13,701,934,182.31","27,746,554,626.80","46,408,894,345.12"
吸收投资收到的现金,"21,200,000.00",,"3,000,000.00",,"2,151,250,000.00","2,151,250,000.00","2,151,250,000.00",,,"120,000.00","109,432,500.00",,,,,,,,,,,,"16,611,907.00","11,341,551.00","45,591,000.00","45,591,000.00","47,061,000.00",,,"392,692,043.91","392,692,043.91","200,000.00","400,000.00","4,880,000.00"
