科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,807,845,811.57","3,585,006,764.79","2,899,939,905.27","5,189,869,361.44","2,518,885,113.05","3,779,070,713.04","5,449,811,722.25","1,065,228,339.40","2,542,366,084.70","4,112,580,209.15","6,269,651,513.74","1,109,898,015.92","2,650,696,672.78","8,284,276,792.90","1,602,261,018.55","3,745,886,262.68","5,811,239,873.94","8,742,253,976.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,610,000,000.00"
收到其他与经营活动有关的现金,"4,758,007.93","13,465,737.62","10,324,462.02","28,466,956.80","13,635,744.85","5,794,135.62","63,408,330.74","4,482,988.90","15,036,811.46","15,711,219.71","29,455,225.90","9,510,263.61","20,985,033.17","54,929,678.49","4,484,284.51","14,694,233.52","64,593,118.80","214,894,040.93"
投资活动现金流出小计,"36,780,003.79","12,807,931.14","42,274,453.61","74,309,656.40","35,632,442.37","76,041,919.68","121,928,402.59","38,949,158.53","62,880,408.56","93,521,585.70","135,011,993.41","22,987,137.04","66,678,844.88","179,048,756.57","33,774,999.82","70,829,749.00","118,630,237.79","1,823,086,762.00"
经营活动现金流入小计,"2,812,603,819.50","3,598,472,502.41","2,910,264,367.29","5,218,336,318.24","2,532,520,857.90","3,784,864,848.66","5,513,220,052.99","1,069,711,328.30","2,557,402,896.16","4,128,291,428.86","6,299,106,739.64","1,119,408,279.53","2,671,681,705.95","8,339,206,471.39","1,606,745,303.06","3,760,580,496.20","5,875,832,992.74","8,957,148,016.94"
投资活动产生的现金流量净额,"-36,780,003.79","-12,802,088.14","-42,268,541.61","-74,301,680.40","-35,630,432.37","-76,039,909.68","-120,867,762.59","-38,913,158.53","-58,691,408.56","-89,332,585.70","-130,854,073.41","-22,987,137.04","-62,477,844.88","-178,992,794.57","-33,773,171.82","-70,827,921.00","-118,628,409.79","-555,205,791.78"
购买商品、接受劳务支付的现金,"2,480,387,226.49","3,284,642,096.91","3,050,137,240.77","4,875,944,082.74","2,459,309,587.89","3,876,919,669.23","5,219,599,600.02","1,377,045,176.70","2,699,616,392.99","4,324,214,940.01","6,009,810,526.87","1,464,070,386.00","2,608,165,733.40","7,768,721,094.43","2,178,276,764.74","4,048,007,455.45","6,355,575,845.61","8,667,459,407.20"
吸收投资收到的现金,,,,,,,"541,754,000.00",,,,,"1,626,899,998.80","1,626,899,998.80","1,625,269,950.80",,"9,800,000.00","9,800,000.00","9,800,000.00"
支付给职工以及为职工支付的现金,"48,363,095.32","62,530,951.90","56,119,040.50","75,459,557.60","48,624,912.51","73,764,526.41","96,424,352.45","30,192,063.76","58,783,609.52","88,106,960.19","112,861,262.80","35,712,191.53","65,488,265.17","129,151,853.02","43,440,599.20","79,667,016.07","125,388,474.22","170,634,090.84"
取得借款收到的现金,"400,400,000.00","672,000,000.00","790,031,874.04","933,341,874.04","553,900,000.00","1,029,900,000.00","1,198,843,444.43","296,280,000.00","641,920,000.00","710,844,381.96","1,039,370,000.00","100,000,000.00","150,000,000.00","363,000,000.00","253,670,000.00","303,670,000.00","773,670,000.00","873,670,000.00"
支付的各项税费,"85,231,396.29","114,576,232.73","96,991,311.68","134,243,724.91","62,112,838.72","97,107,570.19","129,713,078.06","24,866,529.54","75,817,882.31","105,109,950.11","160,018,350.73","38,432,083.75","102,357,141.58","211,330,320.14","64,889,497.28","148,726,268.23","205,011,012.48","246,916,902.37"
收到其他与筹资活动有关的现金,,"12,680,000.00","19,732,738.79","16,548,623.14","8,132,221.92","14,400,665.48","139,364,865.21","47,183,870.31","107,446,105.22","114,133,289.02","112,440,049.68","9,103,075.77","46,448,048.27","33,516,021.09",,,,
支付其他与经营活动有关的现金,"65,242,484.64","76,216,902.52","96,124,391.90","110,359,151.61","90,991,614.60","90,777,745.19","199,900,611.04","49,724,891.40","89,865,589.46","126,185,180.94","123,662,350.51","48,514,931.58","81,634,601.03","121,618,086.44","45,714,698.82","98,782,187.87","139,997,670.73","204,732,113.29"
筹资活动现金流入小计,"400,400,000.00","684,680,000.00","809,764,612.83","949,890,497.18","562,032,221.92","1,044,300,665.48","1,879,962,309.64","343,463,870.31","749,366,105.22","824,977,670.98","1,151,810,049.68","1,736,003,074.57","1,823,348,047.07","2,021,785,971.89","253,670,000.00","313,470,000.00","783,470,000.00","883,470,000.00"
经营活动现金流出小计,"2,679,224,202.74","3,537,966,184.06","3,299,371,984.85","5,196,006,516.86","2,661,038,953.72","4,138,569,511.02","5,645,637,641.57","1,481,828,661.40","2,924,083,474.28","4,643,617,031.25","6,406,352,490.91","1,586,729,592.86","2,857,645,741.18","8,230,821,354.03","2,332,321,560.04","4,375,182,927.62","6,825,973,003.04","9,289,742,513.70"
偿还债务支付的现金,"235,300,000.00","513,360,000.00","623,358,968.81","760,071,874.04","426,140,000.00","816,840,000.00","1,159,620,000.00","452,693,444.43","705,513,444.43","795,983,444.43","992,883,444.43","391,120,000.00","781,120,000.00","781,120,000.00","200,000,000.00","250,000,000.00","360,000,000.00","513,000,000.00"
经营活动产生的现金流量净额,"133,379,616.76","60,506,318.35","-389,107,617.56","22,329,801.38","-128,518,095.82","-353,704,662.36","-132,417,588.58","-412,117,333.10","-366,680,578.12","-515,325,602.39","-107,245,751.27","-467,321,313.33","-185,964,035.23","108,385,117.36","-725,576,256.98","-614,602,431.42","-950,140,010.30","-332,594,496.76"
分配股利、利润或偿还利息支付的现金,"45,599,947.23","24,112,317.67","47,970,435.29","55,476,194.55","69,521,605.16","81,227,276.99","94,012,152.07","8,067,215.09","52,771,921.15","64,278,028.48","71,868,023.29","4,742,186.66","93,774,997.99","96,971,349.05","4,336,319.26","114,542,985.80","124,298,637.15","126,275,359.77"
收回投资收到的现金,,,,,,,"1,000,000.00",,"4,153,000.00","4,153,000.00","4,153,000.00",,"4,153,000.00",,,,,
支付其他与筹资活动有关的现金,"7,063,135.22","13,749,094.04",,,,"7,450,000.00","149,151,975.74",,,"8,400,000.00","9,198,943.80","45,279,048.04","45,279,048.04","46,130,048.00",,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,"7,866,808.22"
筹资活动现金流出小计,"287,963,082.45","551,221,411.71","671,329,404.10","815,548,068.59","495,661,605.16","905,517,276.99","1,402,784,127.81","460,760,659.52","758,285,365.58","868,661,472.91","1,073,950,411.52","441,141,234.70","920,174,046.03","924,221,397.05","204,336,319.26","364,542,985.80","484,298,637.15","639,275,359.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"5,843.00","5,912.00","7,976.00","2,010.00","2,010.00","60,640.00","36,000.00","36,000.00","36,000.00","4,920.00",,"48,000.00","55,962.00","1,828.00","1,828.00","1,828.00","14,162.00"
筹资活动产生的现金流量净额,"112,436,917.55","133,458,588.29","138,435,208.73","134,342,428.59","66,370,616.76","138,783,388.49","477,178,181.83","-117,296,789.21","-8,919,260.36","-43,683,801.93","77,859,638.16","1,294,861,839.87","903,174,001.04","1,097,564,574.84","49,333,680.74","-51,072,985.80","299,171,362.85","244,194,640.23"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,260,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"5,843.00","5,912.00","7,976.00","2,010.00","2,010.00","1,060,640.00","36,000.00","4,189,000.00","4,189,000.00","4,157,920.00",,"4,201,000.00","55,962.00","1,828.00","1,828.00","1,828.00","1,267,880,970.22"
五、现金及现金等价物净增加额,"209,036,530.52","181,162,818.50","-292,940,950.44","82,370,549.57","-97,777,911.43","-290,961,183.55","223,892,830.66","-568,327,280.84","-434,291,247.04","-648,341,990.02","-160,240,186.52","804,553,389.50","654,732,120.93","1,026,956,897.63","-710,015,748.06","-736,503,338.22","-769,597,057.24","-643,605,648.31"
购建固定资产、无形资产和其他长期资产支付的现金,"36,780,003.79","12,807,931.14","42,274,453.61","74,309,656.40","35,632,442.37","76,041,919.68","121,928,402.59","38,949,158.53","62,880,408.56","93,521,585.70","135,011,993.41","22,987,137.04","66,678,844.88","127,332,756.57","33,774,999.82","70,829,749.00","118,630,237.79","189,756,762.00"
期初现金及现金等价物余额,"154,167,845.33","363,204,375.85","544,367,194.35","544,367,194.35","626,737,743.92","626,737,743.92","626,737,743.92","850,630,574.58","850,630,574.58","850,630,574.58","850,630,574.58","690,390,388.06","690,390,388.06","690,390,388.06","1,717,347,285.69","1,717,347,285.69","1,717,347,285.69","1,717,347,285.69"
投资支付的现金,,,,,,,,,,,,,,"51,716,000.00",,,,"23,330,000.00"
期末现金及现金等价物余额,"363,204,375.85","544,367,194.35","251,426,243.91","626,737,743.92","528,959,832.49","335,776,560.37","850,630,574.58","282,303,293.74","416,339,327.54","202,288,584.56","690,390,388.06","1,494,943,777.56","1,345,122,508.99","1,717,347,285.69","1,007,331,537.63","980,843,947.47","947,750,228.45","1,073,741,637.38"
