科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月
销售商品、提供劳务收到的现金,"19,124,975.40","34,735,317.75","49,425,463.85","71,545,259.27","16,018,009.29","35,518,272.93","51,882,014.92","65,262,520.47","15,580,364.78","28,528,214.73","44,763,127.18","64,877,939.25","18,118,944.66","33,176,841.63","51,619,249.09","71,581,743.61","19,697,173.67","41,584,371.43","60,559,931.92","75,572,540.74","18,943,824.12","35,416,907.90","52,051,710.74","63,578,064.39","15,320,465.37","31,985,950.71","49,085,704.99","95,449,829.22","11,461,494.23","26,260,171.97","50,431,018.95","66,226,977.51","16,410,053.16","32,682,071.79","48,263,260.09","85,525,055.61","23,230,521.72","49,576,074.85","68,886,254.20","110,800,407.36","18,416,849.66"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"100,000.00","100,000.00","100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"530,193.21","1,599,723.38","3,677,821.69","12,128,892.19","7,438,348.62","13,792,354.12","18,450,757.93","16,295,332.54","1,785,256.99","2,153,869.41","3,420,433.24","753,930.50","456,341.98","12,179,407.75","13,883,218.71","22,016,309.03","1,053,648.67","5,214,036.81","16,575,381.21","11,387,206.59","1,971,226.79","4,637,783.81","5,350,082.62","5,192,532.31","436,710.17","816,892.42","7,327,459.38","7,339,387.45","3,990,755.91","7,690,184.06","10,085,066.81","5,465,304.85","1,113,800.33","2,297,190.47","3,694,819.83","25,346,932.53","1,902,741.87","2,851,879.65","3,912,773.48","1,780,248.84","774,832.74"
投资活动现金流出小计,"3,685,611.21","3,999,950.22","4,287,297.91","6,227,446.04","843,088.29","1,902,467.28","2,069,597.28","2,074,245.69","530,601.51","7,272,846.71","7,823,854.81","7,370,801.51","370,276.00","742,540.40","1,501,974.73","6,248,209.11","804,925.38","8,871,049.94","10,066,095.97","72,496,845.02","65,831,000.00","67,424,048.00","67,510,848.00","69,795,816.50","123,840.00","94,521,340.00","102,330,480.90","118,966,841.07","3,788,698.48","4,320,507.48","5,448,588.06","130,078,671.78","125,874.74","516,642.40","669,186.64","5,020,103.53","24,661.00","476,856.11","923,885.41","1,101,153.12","5,699,035.60"
经营活动现金流入小计,"19,655,168.61","36,335,041.13","53,103,285.54","83,674,151.46","23,456,357.91","49,310,627.05","70,332,772.85","81,557,853.01","17,365,621.77","30,682,084.14","48,183,560.42","65,631,869.75","18,575,286.64","45,356,249.38","65,502,467.80","93,598,052.64","20,750,822.34","46,798,408.24","77,135,313.13","86,959,747.33","20,915,050.91","40,054,691.71","57,401,793.36","68,770,596.70","15,757,175.54","32,802,843.13","56,413,164.37","102,789,216.67","15,452,250.14","33,950,356.03","60,516,085.76","71,692,282.36","17,523,853.49","34,979,262.26","51,958,079.92","110,871,988.14","25,133,263.59","52,427,954.50","72,799,027.68","112,580,656.20","19,191,682.40"
投资活动产生的现金流量净额,"-3,685,611.21","-3,999,950.22","5,712,702.09","-6,127,375.47","-843,088.29","-1,902,467.28","-2,069,597.28","-2,047,400.66","-530,601.51","-7,272,846.71","-7,823,854.81","-7,331,648.01","-370,276.00","-742,540.40","-1,501,974.73","-5,032,327.68","-804,925.38","-8,871,049.94","-10,066,095.97","-17,818,043.72","-45,831,000.00","-47,424,048.00","-47,510,848.00","-46,133,316.50","-123,840.00","-28,521,340.00","-36,292,480.90","-52,860,204.06","-3,788,698.48","-4,310,507.48","-5,308,588.06","-7,789,166.89","-125,874.74","-516,642.40","-669,186.64","-5,020,103.53","-24,661.00","-476,856.11","-923,885.41","-1,101,153.12","-5,699,035.60"
购买商品、接受劳务支付的现金,"1,880,652.13","3,947,063.78","5,945,076.93","14,457,808.03","3,859,525.09","5,371,203.67","7,489,494.54","13,428,320.96","1,407,226.35","3,322,441.91","5,473,867.41","9,672,071.26","1,354,841.42","3,284,431.04","6,009,707.95","11,704,107.10","3,030,651.79","4,853,005.14","7,138,353.59","17,545,852.96","2,949,308.24","5,025,775.98","7,532,907.81","16,146,925.69","2,771,379.81","5,019,562.19","7,755,308.70","13,824,308.12","4,172,765.68","5,377,952.85","8,564,814.32","14,848,535.68","2,069,595.26","4,861,104.91","6,505,964.35","24,298,881.26","17,406,403.87","18,442,092.64","23,762,495.87","66,538,886.23","4,464,631.14"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000.00",
