科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,,,,"5,585,811.97","650,000.00","1,080,000.00","1,080,000.00","670,000.00",,,,,,,,,,,,,,"501,099.80","1,501,332.30","5,576,255.50","6,500,000.00","10,908,089.00","28,836,191.48","53,416,433.23","4,647,233.46","35,125,237.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,573,534.47"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"6,088.73",,,,,,"1,643.12",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.00,,
收到其他与经营活动有关的现金,"10,588,450.42","25,024.16","1,249,896.49","62,892,188.98","2,080,186.33","7,603,356.76","14,950,781.21","10,542,528.59","382,480.05","3,866,300.42","4,954,441.73","609,823.81","655,620.25","1,285,692.12","9,431,710.69","307,616.88",,"138,011.38","106,429.16","536,397.13","239,153.92","298,046.36","876,961.64","564,082.27",,"547,336.08",134.56,"74,766.45","7,000.00","352,633.00"
投资活动现金流出小计,"49,141.00","50,191.00","59,341.00","43,678.42",,,,,,,,"4,799.00","52,845.07","87,554.07","87,554.07","435,605.00",,,,"68,333.00",,"372,094.90","1,540,064.46","1,732,663.58",,,,"3,170.00","5,380.00","57,577,283.47"
经营活动现金流入小计,"10,588,450.42","25,024.16","1,249,896.49","68,478,000.95","2,730,186.33","8,683,356.76","16,030,781.21","11,212,528.59","382,480.05","3,866,300.42","4,954,441.73","609,823.81","655,620.25","1,285,692.12","9,431,710.69","307,616.88",,"138,011.38","106,429.16","536,397.13","239,153.92","799,146.16","2,384,382.67","6,140,337.77","6,500,000.00","11,455,425.08","28,836,326.04","53,491,199.68","4,655,876.58","35,477,870.56"
投资活动产生的现金流量净额,"-49,141.00","-50,191.00","-59,341.00","-43,678.42",,,,,"1,280,000.00","1,280,000.00","1,280,000.00","1,275,201.00","-52,845.07","-87,554.07","-87,554.07","99,464,395.00",,"28,580,000.00","29,732,791.84","29,725,852.56",,"-371,340.66","-1,539,310.22","-1,731,909.34",,,,"3,747,114.29","-5,380.00","-57,577,283.47"
购买商品、接受劳务支付的现金,,,,"188,000.00","78,837.92","272,800.00","272,800.00","3,395,433.80",,"788,541.82","1,088,541.82","544,212.17",,,,,,,,"1,010,617.13",,"3,351,202.73","9,012,400.83","29,629,614.00","7,103,008.01","7,103,008.00","30,318,350.84","49,681,585.35","4,754,180.90","15,722,661.55"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,"2,940,000.00","2,940,000.00",,,,,,
支付给职工以及为职工支付的现金,"200,733.56","443,949.34","721,808.89","1,658,350.15","585,675.87","485,054.11","722,799.32","1,303,105.79","238,746.78","474,150.66","700,354.13","879,918.28","210,533.45","459,179.76","672,399.23","1,099,382.18","577,009.32","1,697,161.04","2,185,396.03","2,184,188.87","796,765.65","624,422.43","1,223,213.85","1,477,504.02","250,143.99","587,611.86","1,333,146.05","941,719.18","930,123.83","2,917,937.59"
取得借款收到的现金,,"1,500,000.00","2,700,000.00","3,600,000.00","900,000.00","1,800,000.00","2,700,000.00","3,600,000.00","600,000.00","600,000.00","600,000.00","7,433,000.00",,,,"10,073,600.00",,,,,,,,,,,,,,
支付的各项税费,"307,732.97","319,258.85","437,331.96","415,124.98","990,951.20","820,376.70","831,682.03","1,045,852.85","33,589.36","26,700.00","222,436.08","224,992.08","33,258.29","49,090.13","60,361.37","47,850.68","2,642,759.29","2,765,277.37","2,816,857.48","2,709,060.04","1,676,362.06","3,409,053.63","3,671,802.15","2,168,057.67","68,057.04","121,806.92","185,354.71","806,049.51","102,580.82","11,414,727.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,99.73,99.73,99.73,,"3,410.89",,,,,,,,"3,538.29",,"10,385.64","-148,546.08","4,092.20","55,000,000.00"
支付其他与经营活动有关的现金,"12,345,502.58","4,801,764.65","8,599,123.89","64,894,462.94","2,233,879.41","9,767,952.03","17,798,093.93","9,107,848.26","2,351,664.93","4,857,694.25","5,093,334.71","6,883,772.32","439,258.25","750,407.85","8,449,087.80","7,949,686.76","1,558,169.41","3,727,872.26","4,281,886.77","4,963,670.16","211,189.18","1,115,733.24","1,698,492.27","4,450,390.81","1,422,633.42","2,015,125.58","614,077.27","4,881,243.00","670,888.09","2,437,897.27"
筹资活动现金流入小计,,"1,500,000.00","2,700,000.00","3,600,000.00","900,000.00","1,800,000.00","2,700,000.00","3,600,000.00","600,000.00","600,000.00","600,000.00","7,433,000.00",99.73,99.73,99.73,"10,073,600.00","3,410.89",,,,,,"2,940,000.00","2,940,000.00","3,538.29",,"10,385.64","-148,546.08","4,092.20","55,000,000.00"
经营活动现金流出小计,"12,853,969.11","5,564,972.84","9,758,264.74","67,155,938.07","3,889,344.40","11,346,182.84","19,625,375.28","14,852,240.70","2,624,001.07","6,147,086.73","7,104,666.74","8,532,894.85","683,049.99","1,258,677.74","9,181,848.40","9,096,919.62","4,777,938.02","8,190,310.67","9,284,140.28","10,867,536.20","2,684,316.89","8,500,412.03","15,605,909.10","37,725,566.50","8,843,842.46","9,827,552.36","32,450,928.87","56,310,597.04","6,457,773.64","32,493,223.61"
偿还债务支付的现金,,,,"16,950,000.00",,,,,,,,,,,,"77,552,252.88",,,,,,,,,,,,,,
