科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"7,903,818.77","17,061,116.03","54,801,864.55","41,325,938.20","399,411,332.34","330,882,671.86","342,842,649.58","355,517,391.68","336,016,719.79","358,455,534.26","374,337,658.81","374,016,190.62","385,365,208.65","391,568,427.88","399,921,882.35","393,327,963.22","407,043,260.48","437,299,161.25","419,971,984.11","407,771,332.26","432,308,480.12","489,227,712.28","491,543,173.64","421,069,523.72","451,600,239.34","573,914,887.88","240,955,815.24"
短期借款,,"41,000,000.00","21,000,000.00","21,000,000.00","11,000,000.00",,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"545,541.07","11,127,233.26","7,239,326.41","15,772,015.26","12,260,997.24","19,038,938.79","22,511,951.74","19,731,471.86","30,028,805.33","19,255,420.34","29,408,389.63","27,235,335.87","34,275,718.40","21,316,936.18","34,838,485.61","43,123,204.25","49,325,481.17","39,430,282.14","42,537,109.60","36,831,119.16","35,864,542.97","25,968,249.57","37,326,783.65","31,350,335.89","29,533,156.71","21,538,657.24","36,506,084.75"
应付账款,"33,853,575.13","36,908,561.07","47,832,347.97","35,825,241.86","35,109,965.42","36,694,557.80","32,854,429.44","31,266,883.16","42,145,705.66","37,414,653.61","43,290,025.35","53,482,606.39","56,752,363.48","70,136,329.22","63,018,385.72","76,374,464.44","74,792,628.01","107,288,395.79","70,994,437.98","66,771,671.38","65,428,376.91","68,293,619.93","63,901,140.58","64,304,228.63","65,935,203.83","65,061,920.28","56,106,438.66"
预付款项,"6,565,938.05","2,322,075.38","9,846,833.10","2,596,587.72","11,826,164.98","2,052,312.44","11,171,972.72","1,795,911.05","29,479,607.90","13,041,794.01","21,211,271.54","23,852,156.06","29,073,221.15","16,902,270.07","12,497,743.21","23,464,542.49","19,674,432.85","9,858,676.22","12,384,957.17","12,423,982.32","13,157,292.69","8,828,537.27","16,124,136.29","91,010,997.86","91,727,628.27","7,645,583.77","9,263,320.80"
预收款项,"9,919,602.99","23,480,427.01","38,555,823.11","39,382,882.77","39,991,546.78","45,384,777.49","50,468,523.86","47,878,127.41","53,774,964.92","56,479,922.64","66,724,089.89","71,092,807.88","76,875,378.05","88,864,904.88","87,358,523.31","75,337,824.11","64,169,633.22","74,129,854.80","62,288,676.50","54,261,406.45","63,891,512.98","78,720,714.88","73,347,533.90","71,347,365.01","82,766,823.85","67,264,251.24","68,268,765.40"
其他应收款,"1,182,324.55","162,355.89","593,806.69","999,510.11","2,237,097.49","1,085,759.31","743,792.34","569,517.82","1,069,980.50","579,510.08","675,445.54","887,352.21","1,068,049.34","2,203,281.23","5,140,535.27","2,169,412.55","2,288,420.09","1,303,932.15","1,422,005.15","990,317.49","937,842.56","1,289,715.46","979,855.61","683,267.04","766,645.95","2,232,387.41","337,228,706.38"
应付职工薪酬,"258,476.00","1,922,112.53","3,168,457.52","1,816,764.79","2,068,932.32","3,093,052.05","3,019,677.57","2,946,191.50","3,094,480.08","4,074,013.01","1,203,285.00","2,489,307.67","2,571,911.44","5,663,233.80","4,595,824.31","4,125,492.12","4,144,534.67","6,883,862.05","5,256,850.56","4,551,875.88","4,577,587.49","5,782,848.41","4,484,274.40","4,547,592.98","4,511,670.85","7,815,009.92","6,292,722.23"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,903,196.13","6,296,724.14","4,051,126.17","-778,361.11","174,787.39","5,021,306.89","3,991,973.50","3,204,037.65","3,228,770.05","4,761,913.50","5,480,075.86","5,107,571.33","6,261,745.06","6,424,885.52","7,177,353.51","6,894,540.84","7,752,481.18","7,727,108.01","6,023,527.06","5,419,718.64","4,564,329.13","6,136,905.15","3,316,287.41","3,749,443.93","4,147,885.74","7,554,930.44","2,546,671.34"
应收利息,,,,,,"294,466.67","294,466.67","233,161.11",,"264,472.22","264,472.22","1,014,402.78","2,077,050.61","793,101.11","1,469,148.60","120,358.33","357,596.41","398,867.27","1,087,989.11","1,822,420.39","406,225.11","461,431.66","1,241,490.06","1,040,248.62",,"2,415,876.71","19,931.51"
应付利息,,"198,022.22","169,060.27","166,462.50",,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"7,425,000.00",,,,,,,,,,,,,,,,,,,
存货,"3,355,966.97","7,471,989.16","11,270,009.55","14,394,715.02","15,327,609.80","14,703,489.21","12,174,932.11","11,308,895.93","16,896,425.18","15,539,435.13","23,417,328.59","27,219,666.00","30,491,844.15","42,399,883.55","38,138,047.24","26,812,860.35","24,920,151.01","28,589,669.46","23,620,565.25","22,417,257.81","23,518,385.85","19,689,656.59","19,681,851.52","21,243,856.94","24,168,303.29","20,313,632.52","22,100,345.60"
其他应付款,"137,649,985.09","213,668.76","554,338.89","1,129,214.69","5,900,204.43","1,336,521.01","1,295,564.08","1,813,496.77","1,041,653.22","2,032,833.23","1,965,121.04","2,515,240.26","1,890,796.09","7,221,582.08","9,225,442.13","6,161,471.79","6,531,325.27","6,987,409.06","5,882,479.59","5,996,267.64","2,241,077.41","1,957,268.48","1,743,345.65","1,658,296.60","1,763,117.39","4,757,309.89","4,632,081.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"9,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,"1,072,958.11",,"754,378.33","1,127,734.87","2,535,260.39","502,978.60","1,866,258.14","472,573.69","1,243,551.88","1,941,229.76","1,932,626.69","1,259,721.08","1,371,029.89","1,187,964.93","2,285,925.59","2,566,723.69","6,185,803.40","3,309,695.86","6,073,541.94","5,912,357.58","3,114,518.02","3,264,967.26"
其他流动负债,,,,,,,,,,,,,,,,,,,"127,228.44",,,,,,,,
流动资产合计,"19,553,589.41","38,144,769.72","83,751,840.30","75,088,766.31","441,063,201.85","369,130,596.39","389,739,765.16","389,910,727.78","414,619,273.57","409,671,426.43","449,817,544.93","456,091,361.68","482,823,665.99","476,427,451.90","493,947,072.04","490,950,967.88","504,869,063.09","518,251,618.38","502,212,575.32","484,542,355.02","508,759,492.99","551,651,106.23","570,206,986.63","572,471,772.01","603,708,331.14","631,175,543.55","649,339,171.54"
流动负债合计,"188,778,443.08","110,019,515.73","115,331,153.93","98,542,205.50","94,245,436.34","91,530,215.24","91,630,168.45","94,533,736.49","103,285,573.93","104,763,335.99","118,662,597.14","134,687,533.53","144,352,194.12","178,310,935.50","171,375,528.98","168,893,793.30","157,390,602.35","203,016,629.71","150,573,200.13","137,000,939.99","140,702,883.92","160,891,356.85","146,792,581.94","145,606,927.15","159,124,701.66","152,453,421.77","137,846,678.63"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,"75,500,000.00","84,500,000.00","84,500,000.00","75,754,144.60",,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,"18,747.85","18,747.85","25,997.29","29,622.01",,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"166,800,434.32","235,692,509.52","251,248,371.02","242,416,814.39","241,324,775.22","247,238,775.60","243,008,939.76","279,261,848.27","277,708,030.06","296,264,545.18","295,761,543.68","312,216,677.49","311,986,222.36","346,051,137.10","344,354,175.98","349,809,482.23","360,632,817.22","417,802,591.96","408,654,372.25","410,854,061.94","401,843,186.08","408,947,687.73","400,138,682.39","391,016,719.42","389,183,607.05","406,891,969.34","397,051,528.71"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"47,511,599.81","1,773,020.77","3,108,292.59","33,268,274.43","42,211,987.56","50,634,441.77","55,572,019.54","28,410,547.59","25,727,695.92","38,150,315.18","32,591,046.74","36,532,879.79","48,833,215.69","47,628,280.23","52,554,016.09","51,366,375.03","46,067,304.17","32,891,960.91","33,512,225.74","30,978,673.57","37,132,628.52","33,985,109.94","34,779,781.65","39,738,052.81","37,624,760.44","19,908,087.53","19,931,412.14"
其他非流动负债,"3,662,622.00","3,260,109.83","2,857,597.68","2,656,341.60","2,555,713.56","2,455,085.52","2,354,457.48","2,253,829.44","2,253,829.44","2,052,573.32","1,951,945.27","1,851,317.23","1,750,689.19",,,,,,,,,,,,,,
工程物资,"984,375.94","1,145,390.18","1,857,718.95","2,476,176.35","1,788,173.04","2,145,933.47","2,103,511.02","1,829,537.90","1,363,910.42","2,211,497.96","2,239,739.92","3,497,376.90","2,320,459.59","2,187,458.23","2,044,464.77","6,420,336.83","6,007,378.12","5,369,836.94","5,286,449.59","3,869,455.53","2,485,345.65","1,474,450.65","1,505,356.36","1,742,045.10","1,341,196.94","1,445,335.19","2,001,353.76"
非流动负债合计,"3,662,622.00","78,760,109.83","87,357,597.68","87,156,341.60","78,309,858.16","2,455,085.52","2,354,457.48","2,253,829.44","2,253,829.44","2,052,573.32","1,951,945.27","1,851,317.23","1,750,689.19","1,668,809.00","1,568,180.96","1,474,802.36","1,377,799.04","1,247,548.99","1,146,920.95","1,046,292.91","945,664.87","845,036.83","744,408.79","643,780.75","568,152.71","505,024.67","441,896.63"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"192,441,065.08","188,779,625.56","202,688,751.61","185,698,547.10","172,555,294.50","93,985,300.76","93,984,625.93","96,787,565.93","105,539,403.37","106,815,909.31","120,614,542.41","136,538,850.76","146,102,883.31","179,979,744.50","172,943,709.94","170,368,595.66","158,768,401.39","204,264,178.70","151,720,121.08","138,047,232.90","141,648,548.79","161,736,393.68","147,536,990.73","146,250,707.90","159,692,854.37","152,958,446.44","138,288,575.26"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
