科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"14,393,558.36","33,507,588.82","32,939,679.96","26,744,582.05","267,029,015.19","126,377,973.19","116,141,435.00","111,307,351.66","119,962,866.13","151,774,408.75","143,377,482.01","120,491,749.93"
短期借款,"71,445,213.93","110,713,331.98","111,620,474.05","120,700,333.07","119,070,292.92","64,154,799.27","65,185,657.59","83,814,015.62","90,514,006.96","102,977,004.08","90,621,650.89","90,678,377.04"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"38,133,847.68","46,085,244.69","46,801,746.07","44,929,514.33","60,624,789.49","58,183,905.28","57,493,014.58","62,249,563.52","78,388,568.10","86,270,186.40","62,280,689.99","54,799,099.35"
应付票据,"12,326,047.07","12,536,916.58","12,324,237.73","16,141,538.93","16,007,829.98","17,448,437.10","22,921,539.70","21,571,646.62","24,460,018.45","26,253,869.83","21,673,917.08","21,900,730.19"
应收账款,"90,937,762.23","123,530,134.57","124,321,943.70","131,952,096.22","132,676,000.74","155,415,206.73","184,141,370.21","210,151,198.14","190,580,034.55","181,738,267.06","176,423,592.57","174,665,176.61"
应付账款,"32,749,646.11","39,195,209.70","42,598,398.21","37,455,804.48","54,570,664.68","50,613,277.13","60,975,540.41","98,881,214.09","90,541,507.43","92,190,323.23","65,929,029.51","97,212,915.80"
预付款项,"3,441,275.95","2,533,700.30","1,245,249.98","1,993,227.32","3,644,712.87","906,785.50","4,731,274.73","4,119,879.23","3,850,720.21","1,700,166.67","4,413,243.13","4,621,000.18"
预收款项,"197,631.30","280,783.14","293,121.12","921,149.51","665,183.71","919,266.91","973,584.91","1,665,104.32","1,925,818.33","1,495,927.33","1,524,903.82","1,287,548.87"
其他应收款,"4,555,463.48","5,595,080.30","6,152,641.08","6,391,007.97","2,089,238.70","332,740.38","885,321.63","780,807.46","780,487.08","771,968.09","476,551.72","476,653.17"
应付职工薪酬,"5,057,220.56","7,963,344.44","6,241,529.16","5,406,109.91","6,873,312.27","8,428,295.29","4,489,888.86","5,118,269.20","6,721,617.17","17,398,371.32","10,273,086.08","10,426,057.85"
应收关联公司款,,,,,,,,,,,,
应交税费,"3,444,699.80","2,424,313.07","4,107,996.42","3,186,761.87","3,025,913.87","5,504,193.42","5,932,630.21","5,460,214.44","6,370,685.15","4,057,178.50","5,788,361.59","3,651,978.38"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,"575,682.03",,
应收股利,,,,,,,,,,,,
应付股利,,,"30,000,000.00",,,,,,,,,
