科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"37,286,777.84","39,808,359.96","64,752,899.64","66,921,433.36","448,982,836.64","395,288,873.69","342,579,475.56","323,083,607.19","348,405,844.73","329,372,366.58","287,300,730.58","278,563,981.53","248,430,929.89","310,160,696.49","225,333,818.77","229,423,879.78","159,354,947.02","205,586,101.19","162,327,564.11","78,267,510.67","87,040,339.64","122,730,643.87","100,665,605.60","137,804,465.18","117,626,474.19","261,934,289.78","117,552,038.28","56,801,666.68","101,360,998.39","259,880,459.37","192,059,018.09","105,769,498.39"
短期借款,"49,531,842.00","11,966,500.15","24,400,000.00","71,857,655.05","84,335,404.68","9,211,145.07",,,"47,000,000.00","12,944,140.40","12,932,402.02",,,,,,,,,"24,890,297.44","74,000,000.00","23,000,000.00","27,000,000.00","59,286,764.00","59,286,764.00","61,015,079.64","87,459,256.64","154,961,344.82","224,902,810.68","227,012,880.43","230,480,196.67","353,973,742.93"
交易性金融资产,,,"698,455.24","732,530.45","732,530.45","131,557.32","131,557.32",,,,,,,"59,000.61","59,000.61",,,,,"319,394.00","319,394.00",,,,,,,"36,650.00","36,650.00","135,994.60","135,994.60",
交易性金融负债,"1,059,761.60",,,,,,,"208,500.00","208,500.00",,,,,,,"1,252,729.39","1,252,729.39","503,659.06","503,659.06",,,,,,,,,,,,,"2,834,770.00"
应收票据,"160,000.00","406,898.86","400,000.00","300,000.00","300,000.00",,,,,,,,,,,,,,,,,,,,,"956,000.00",,"1,320,000.00","927,000.00","1,944,297.85","1,917,297.85","1,878,400.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"31,407,260.33","33,694,783.14","41,066,714.62","48,879,779.14","75,584,211.55","54,793,215.49","78,885,340.02","73,850,253.63","83,692,299.81","57,214,978.52","71,920,881.71","70,254,877.57","84,528,290.54","60,047,635.05","83,012,091.19","82,502,580.83","110,248,923.91","75,912,535.82","104,731,945.16","125,671,484.43","131,700,467.14","103,388,434.64","135,623,522.49","148,278,080.81","142,599,869.03","125,126,213.28","144,632,422.76","220,512,228.03","195,971,907.50","148,242,681.56","191,249,980.12","284,667,715.01"
应付账款,"23,855,369.01","37,213,015.21","51,479,564.97","58,859,472.17","58,585,799.36","84,441,505.83","57,633,220.70","62,866,813.00","65,763,992.29","90,697,447.86","76,021,134.71","76,419,984.81","69,473,613.43","110,229,027.63","82,140,811.75","124,266,119.93","98,180,939.38","124,712,956.66","110,978,516.14","95,659,237.12","84,645,731.99","127,159,640.45","176,207,348.08","181,820,538.41","187,625,358.30","247,152,463.37","190,542,358.15","171,949,096.08","125,906,443.59","277,973,879.09","294,199,307.38","318,602,388.82"
预付款项,"11,762,194.37","18,716,914.53","21,623,578.06","22,275,342.18","12,443,739.64","9,509,639.33","11,177,849.94","18,415,428.68","20,331,501.88","1,276,035.70","2,443,583.07","3,196,271.23","4,343,148.84","2,498,242.65","6,621,477.54","7,784,743.71","4,408,742.45","3,295,826.79","5,832,342.47","5,757,686.59","6,799,634.85","4,998,833.82","14,586,484.56","18,519,745.52","16,613,479.02","6,782,142.04","14,852,522.00","40,448,374.26","50,829,526.64","14,092,955.92","31,529,911.98","24,521,178.08"
预收款项,"7,611,821.91","5,124,215.96","8,680,088.00","10,908,206.85","5,789,068.31","3,242,853.39","4,796,399.05","3,615,551.98","4,948,159.70","5,070,664.86","4,558,970.22","7,317,279.65","9,151,232.40","9,195,057.34","8,395,810.26","9,798,965.86","10,939,546.07","10,535,447.96","9,702,641.96","11,276,170.18","11,868,883.47","15,235,038.43","20,947,649.15","27,573,052.30","24,292,796.66","91,807,295.56","39,035,454.71","36,066,984.01","49,253,032.15","50,865,267.78","54,959,707.76","53,563,288.48"
