科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"386,533,992.15","386,051,167.40","520,425,407.54","532,951,264.00","1,270,853,073.61","972,297,507.93","1,056,282,110.33","1,044,496,286.13","1,102,506,053.88","1,027,403,958.65","1,033,917,267.93","1,148,782,994.07","1,046,296,653.38","1,064,149,827.92","1,594,730,903.08","1,110,883,674.06","1,034,799,694.68","1,120,519,333.52","2,195,976,542.63","1,008,147,764.17","1,089,863,530.62","1,279,459,436.45","1,351,854,185.21","1,395,364,195.66"
短期借款,"195,261,100.00","156,000,000.00","220,000,000.00","260,000,000.00","220,000,000.00",,,"150,000,000.00","333,000,000.00","428,000,000.00","625,000,000.00",,"5,396,125.84","657,955.47","684,113.07","679,182.17","668,077.78","100,000,000.00","100,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,640,209.14","4,111,150.27","16,394,713.84","8,304,684.10","13,055,372.91","18,646,592.47","6,557,417.54","733,320.00","6,423,524.01","2,684,760.00","4,388,724.52","4,606,099.00","4,763,791.50","614,734.90","550,000.00","5,027,350.88","6,529,630.23","17,027,849.27","11,442,003.25","12,386,588.81","17,807,361.69","13,818,630.38","4,094,445.42","3,243,863.59"
应付票据,"276,530,973.30","284,250,664.40","364,293,260.82","296,089,782.77","285,033,394.33","262,323,676.84","359,964,051.40","309,432,023.34","536,667,919.59","635,270,510.13","503,932,738.72","397,732,388.43","455,896,447.05","479,228,765.86","632,339,147.90","580,486,846.26","535,118,879.86","542,539,632.18","758,163,736.84","636,602,083.87","653,089,286.79",,"729,655,308.35",
应收账款,"103,059,053.78","166,433,493.50","218,346,930.57","328,203,221.34","305,364,543.40","340,267,383.14","245,376,786.96","394,668,019.33","402,130,461.00","386,035,258.28","325,138,986.96","540,922,146.53","443,880,000.95","494,389,675.42","404,183,976.53","610,647,570.96","648,876,205.50","677,640,478.89","597,177,156.83","883,137,718.03","742,918,974.11","745,708,311.84","606,424,727.12","824,916,317.12"
应付账款,"172,880,054.93","209,128,216.44","315,800,842.75","421,970,709.89","453,873,100.19","510,819,469.10","362,694,845.01","416,929,610.35","551,317,818.69","669,087,663.08","561,724,298.15","766,455,320.45","742,638,111.01","863,485,064.71","881,403,080.24","934,359,933.81","966,239,958.60","1,165,201,283.50","941,494,344.01","1,124,760,746.02","912,565,763.65",,"1,302,282,684.41",
预付款项,"122,964,949.00","139,474,637.30","196,365,811.20","203,682,067.34","234,322,635.24","239,421,571.93","239,997,713.69","255,007,289.16","324,114,948.59","320,512,744.73","433,578,364.24","323,967,367.60","344,950,548.69","400,459,703.63","489,702,875.04","493,935,811.72","623,202,943.08","750,482,301.36","372,788,072.54","478,538,065.02","371,801,604.18","439,309,193.50","404,165,674.23","412,489,154.03"
预收款项,"1,618,046.76","4,489,117.45","8,248,699.75","15,271,482.29","7,365,921.65","7,711,407.86","8,183,850.98","10,076,888.91","6,300,100.17","2,682,910.76","4,399,448.23","2,645,542.95","2,579,125.19","4,345,012.58","5,517,450.95","7,566,278.47","3,773,082.84","5,974,143.54","6,162,085.47","7,335,757.12","6,448,174.72","8,679,161.54","9,034,482.31","13,710,055.55"
其他应收款,"38,122,135.98","47,454,750.85","65,470,677.98","62,977,468.94","54,251,677.76","82,603,417.43","84,211,167.88","79,191,714.67","123,042,354.42","101,456,931.72","144,325,358.67","122,099,522.05","119,615,724.04","124,283,241.48","205,463,224.09","209,135,146.77","156,866,682.57","162,587,603.60","179,425,359.24","169,044,297.16","163,907,318.06","163,152,300.96","177,385,841.13","167,472,271.94"
应付职工薪酬,"6,126,473.92","23,827,495.73","37,855,914.00","21,434,114.15","38,142,440.03","44,679,356.62","48,551,785.17","24,678,051.60","22,828,585.92","24,406,668.27","30,263,742.17","20,557,768.87","18,852,925.77","24,274,394.26","33,267,625.85","21,988,744.13","23,504,604.10","23,566,059.50","64,720,075.25","46,375,040.24","47,468,696.94","62,786,590.34","125,158,764.70","100,476,652.29"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,927,381.74","14,549,132.28","28,677,468.53","37,848,975.24","30,753,793.02","25,309,879.03","27,423,854.48","32,520,760.75","36,025,748.80","39,205,436.42","51,990,739.44","52,135,995.63","21,801,769.47","36,275,185.56","21,997,147.36","38,434,029.93","28,053,574.93","39,517,182.30","146,055,950.31","110,050,830.57","103,336,305.38","126,678,667.54","158,094,433.61","162,346,544.11"
应收利息,,,,,,,,,,,,,,,"222,720.97",,,,,"4,964,833.34","3,645,000.00",,,"433,125.00"
应付利息,,,,,,,,,"487,000.70","608,406.28","784,170.54","4,763,111.11","12,430,538.81","20,301,649.92","31,307,296.80","13,865,683.38","27,209,025.85","23,859,538.69","22,401,156.82","18,719,570.78","31,245,159.83",,"16,072,118.74","6,136,991.47"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"156,180,000.00",,,,,,,,,,,,,,,,"88,968,471.00"
存货,"401,118,497.33","448,731,754.20","608,019,551.53","603,891,038.28","668,991,865.91","735,814,890.69","766,431,093.67","812,437,599.16","848,693,567.34","1,056,755,028.81","1,024,288,574.09","1,077,579,513.18","1,111,638,064.15","1,237,495,214.07","1,373,424,129.38","1,433,242,455.46","1,485,671,948.76","1,636,480,283.04","1,626,307,973.09","1,707,992,097.89","1,516,249,498.45","1,736,497,115.71","1,865,982,293.04","1,960,378,231.33"
其他应付款,"12,906,909.39","19,147,071.26","44,642,831.20","38,664,761.48","50,913,642.87","43,406,718.34","48,916,803.15","54,000,390.91","140,580,833.68","70,440,477.26","128,795,357.05","76,863,402.06","103,111,892.41","112,686,778.87","304,841,472.97","266,181,574.40","195,339,298.48","277,692,470.69","204,521,974.32","195,140,910.07","182,401,915.90","185,346,933.71","166,033,179.83","254,425,895.77"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,"37,473.67","37,203.57","36,595.31","35,940.59","35,297.75","33,884.59","35,745.57","37,100.94","798,898,614.27","399,285,644.09"
其他流动资产,,,,,,,,,,,"48,000,000.00",,"75,000,000.00","75,000,000.00","325,112,698.15","195,000,000.00","1,911,524.11","2,039,294.94","13,083,300.89","787,303,005.38","829,152,787.02","349,093,632.13","646,928,855.67","122,678,474.29"
其他流动负债,,,,,,,,,,,,"400,000,000.00","400,000,000.00","400,000,000.00","799,411,568.88","399,790,356.39","399,790,356.39","398,355,360.27","398,949,599.37","399,321,788.56","399,698,113.20",,,
流动资产合计,"1,053,438,837.38","1,192,256,953.52","1,625,023,092.66","1,740,009,744.00","2,546,839,168.83","2,389,051,363.59","2,398,856,290.07","2,586,534,228.45","2,806,910,909.24","2,894,848,682.19","3,013,637,276.41","3,217,957,642.43","3,146,144,782.71","3,396,392,397.42","4,393,390,527.24","4,057,872,009.85","3,957,858,628.93","4,366,777,144.62","4,996,200,408.47","5,051,514,369.80","4,735,346,074.13","4,727,038,620.97","5,056,836,021.82","4,886,542,507.96"
流动负债合计,"674,250,940.04","711,391,697.56","1,019,519,017.05","1,091,279,825.82","1,086,082,292.09","894,250,507.79","855,735,190.19","1,153,817,725.86","1,627,208,007.55","1,869,702,072.20","1,906,890,494.30","1,721,153,529.50","1,762,706,935.55","1,941,254,807.23","2,710,806,377.69","2,263,389,832.51","2,179,733,454.14","2,576,741,611.26","2,642,504,220.14","2,538,340,611.82","2,336,289,161.98","2,216,253,170.77","3,289,157,467.48","3,169,990,780.67"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"3,263,888.12",,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
