科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"43,460,857.27","94,307,227.25","156,591,626.70","135,437,006.36","81,275,855.49","488,860,358.87","339,779,390.18","345,253,926.81","176,842,100.21","135,252,581.04","111,839,356.36","203,016,595.69","124,847,035.49","251,426,850.74","138,102,335.74","121,204,934.73","112,619,190.20","127,596,477.06","95,522,484.06"
短期借款,"60,000,000.00","60,000,000.00","70,000,000.00","85,000,000.00","65,000,000.00","65,000,000.00","35,000,000.00","60,000,000.00","20,000,000.00","70,000,000.00","10,000,000.00","40,000,000.00","10,000,000.00","70,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,"18,300,000.00"
交易性金融资产,,,,,,,"100,000,000.00","115,000,000.00","232,000,000.00",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,
应收账款,"14,276,350.98","11,519,986.56","11,495,715.05","16,060,365.31","17,085,848.55","13,402,963.38","15,826,847.18","21,565,416.55","26,872,684.11","33,224,218.80","39,787,464.62","42,290,883.67","40,776,162.32","44,356,104.88","46,876,416.47","52,007,040.94","59,758,013.96","47,744,453.84","69,398,661.48"
应付账款,"73,354,853.55","76,921,478.43","94,832,664.01","65,782,707.80","60,071,319.14","75,861,150.71","93,882,737.94","91,661,853.23","86,048,435.71","73,827,624.51","60,516,213.29","76,878,031.70","76,344,434.26","92,932,247.78","85,317,405.18","103,103,724.84","82,541,845.25","170,322,157.05","146,306,302.37"
预付款项,"25,318,506.89","15,993,672.94","18,521,519.66","21,760,531.80","27,458,954.00","12,926,484.46","41,663,063.45","28,926,574.34","33,028,994.55","18,256,661.52","12,136,844.91","13,545,956.79","21,421,437.44","34,672,026.34","28,127,376.63","27,576,096.02","31,745,868.61","39,498,689.18","37,751,027.59"
预收款项,"8,225,507.87","8,807,027.34","10,921,412.23","8,735,229.65","11,443,428.50","12,243,868.08","10,686,806.08","10,907,130.15","8,499,446.89","11,458,610.88","10,045,980.80","12,004,742.54","15,052,858.66","14,137,217.94","31,860,766.07","16,734,767.38","21,444,126.91","13,468,076.98","19,675,484.10"
其他应收款,"859,107.32","967,378.05","1,315,465.21","1,288,103.94","1,945,696.72","1,703,704.89","4,164,100.38","1,481,226.68","1,815,840.94","1,997,155.62","3,926,766.74","3,871,059.89","4,852,438.96","3,769,159.48","4,094,696.36","3,385,436.24","5,175,344.93","4,288,747.42","3,660,109.54"
应付职工薪酬,"8,246,986.51","10,073,897.19","12,287,239.57","5,636,732.71","8,858,902.77","18,544,212.51","12,230,505.79","11,743,628.59","15,130,409.88","18,474,380.97","4,576,605.83","8,604,250.47","14,137,184.42","16,961,125.74","7,590,322.72","12,310,680.80","14,525,260.70","17,649,077.26","5,351,813.21"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"5,446,250.98","7,070,914.33","5,508,241.52","8,026,389.27","8,378,774.53","12,448,797.99","16,031,367.63","15,098,215.67","21,684,106.04","3,093,059.59","8,114,986.95","20,966,778.76","21,604,777.69","6,748,483.01","8,443,048.33","11,433,406.95","19,863,392.44","15,907,505.50","18,695,269.39"
应收利息,,,"504,176.40","365,672.78","487,688.52","437,764.73","2,106,763.16","1,017,140.95","1,440,649.27","100,206.93","149,160.85","305,107.50","194,914.19","234,623.87","215,399.80","16,589.02","84,502.91","33,730.83","98,805.83"
应付利息,,,,,,,,,,,,,,,,,,"104,213.30",
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"36,285,209.91","42,567,105.24","52,934,050.83","62,129,774.60","74,927,291.06","57,896,842.92","64,553,920.75","70,007,503.75","69,393,765.07","63,626,080.61","73,558,261.91","70,204,313.48","72,199,804.94","72,500,451.27","92,174,280.96","90,421,200.99","89,934,098.46","79,640,375.48","103,160,623.62"
其他应付款,"27,684,711.25","20,702,774.52","27,115,403.19","25,206,201.65","29,739,387.29","29,629,741.13","30,339,928.60","32,450,469.58","44,609,452.53","41,708,043.44","40,325,317.85","43,189,477.66","58,825,506.60","74,846,346.88","47,633,399.75","47,566,247.00","45,635,832.39","49,571,366.34","46,799,820.16"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,"8,807,914.62","23,188,348.28"
其他流动资产,,,,,,"3,276,784.02","4,068,778.36","4,619,810.50","5,271,006.96","216,170,433.89","129,608,284.72","85,570,727.52","122,538,505.67","45,737,517.93","22,868,231.06","19,765,078.85","22,091,899.45","28,955,800.24","29,821,517.78"
其他流动负债,,,,,,,,,,,,,,,,,,"337,556.43",
流动资产合计,"120,200,032.37","165,355,370.04","241,362,553.85","237,041,454.79","203,181,334.34","578,504,903.27","572,162,863.46","587,871,599.58","546,665,041.11","468,627,338.41","371,006,140.11","418,804,644.54","386,830,299.01","452,696,734.51","332,458,737.02","314,376,376.79","321,408,918.52","327,758,274.05","339,413,229.90"
流动负债合计,"182,958,310.16","183,576,091.81","220,664,960.52","198,387,261.08","183,491,812.23","213,727,770.42","198,171,346.04","221,861,297.22","195,971,851.05","218,561,719.39","133,579,104.72","201,643,281.13","195,964,761.63","275,625,421.35","190,844,942.05","201,148,826.97","194,010,457.69","276,167,867.48","278,317,037.51"
可供出售金融资产,,,,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","40,000,000.00","40,000,000.00"
长期借款,,,,,,,,,,,,,,,"26,246,781.96","38,768,078.39","73,509,606.10","68,952,659.00","78,424,643.82"
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,"16,350,365.38","14,594,275.33"
长期股权投资,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
