科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,,,,"402,339,371.97","197,780,000.00","378,219,014.50","600,373,973.17","1,934,214,380.26","1,032,377,945.47","1,356,583,083.40","1,540,290,358.44","7,784,767,454.74","427,267,659.65","2,112,733,680.44","3,684,765,979.94","4,783,179,428.01","180,100,000.00","865,250,000.00","1,604,850,000.00","2,739,398,661.98","630,940,000.00","1,360,940,000.00","2,745,940,000.00","3,585,357,510.08","858,710,910.07","1,335,746,899.98","2,838,314,616.23","3,778,983,395.27","851,100,000.00","1,111,100,000.00","6,243,910,000.00","7,064,820,000.00","615,000,000.00","1,155,000,201.12","1,362,000,201.12","3,074,000,316.98","34,940,000.00","674,440,000.00","749,440,000.00","824,440,000.00","190,000,000.00","398,650,000.00","408,650,000.00","485,750,000.00","414,720,000.00","199,644,900.00","449,538,800.00","552,554,033.33","2,650,000.00"
经营活动现金流出小计,"1,432,221,998.87","2,767,349,694.64","4,227,152,907.34","27,336,783,809.78","7,945,724,355.61","16,137,297,150.70","26,593,713,402.31","37,438,796,843.06","9,270,786,962.91","17,124,437,814.24","27,819,650,489.51","38,653,094,908.55","9,573,715,597.19","20,375,559,856.72","29,716,169,822.37","43,934,267,317.94","8,324,095,972.02","18,850,279,247.29","27,392,995,784.32","37,372,917,503.60","8,685,509,690.84","16,384,657,029.06","24,915,427,947.22","34,812,648,626.77","7,929,083,405.24","15,895,731,905.69","24,963,288,642.10","34,428,175,731.07","7,866,552,460.17","17,657,182,740.15","27,096,141,177.57","37,934,022,765.53","9,187,651,664.74","17,331,490,578.87","25,384,201,037.25","33,934,679,876.63","7,513,020,869.13","14,656,116,553.93","21,567,774,871.20","30,450,276,854.36","7,665,288,726.76","15,530,613,726.16","22,817,345,692.72","30,465,371,620.99","6,597,431,749.59","15,654,266,956.00","23,764,711,699.31","36,508,066,513.39","11,917,614,683.95"
偿还债务支付的现金,,,,,,"130,970,000.00","328,530,000.00","110,000,000.00","520,000,000.00","1,245,151,323.39","3,240,554,170.52","5,635,444,811.32","1,044,000,000.00","2,354,351,180.20","3,327,907,355.20","4,515,140,075.20","205,000,000.00","815,000,000.00","1,795,000,000.00","2,780,000,000.00","95,000,000.00","530,000,000.00","1,985,100,000.00","3,069,086,554.85","505,000,000.00","725,200,000.00","1,512,893,985.22","2,415,090,758.19","1,053,812,763.03","1,570,602,837.88","2,640,891,896.98","3,462,160,118.09","613,497,000.00","1,463,897,000.00","2,067,897,000.00","3,438,297,000.00","825,000,000.00","1,745,000,000.00","1,910,000,000.00","1,985,000,000.00","514,600,000.00","866,600,000.00","1,050,410,000.00","1,260,970,000.00","40,000,000.00","536,030,555.56","531,030,555.56","797,174,810.00","50,077,187.44"
经营活动产生的现金流量净额,"-395,177,380.62","-667,493,215.20","-659,664,939.62","-461,889,358.14","2,983,745.63","4,523,957,603.49","4,357,276,642.72","7,002,678,468.59","-868,216,016.34","3,012,221,574.97","4,335,075,609.30","6,544,514,863.14","-1,147,825,428.83","-208,159,687.30","1,934,686,554.83","1,952,184,686.24","-2,440,092,747.60","-1,827,903,695.83","-2,568,040,680.92","-1,138,513,262.83","-2,297,038,708.44","-2,256,809,459.49","-2,243,212,140.44","-178,523,654.30","134,477,893.17","886,961,511.14","625,839,243.79","3,003,616,665.66","-786,116,392.83","131,877,492.15","940,946,893.09","2,832,630,323.09","-2,372,494,824.80","-996,341,998.43","-190,025,199.59","4,155,867,579.48","55,426,300.40","3,146,117,893.88","5,467,564,487.74","8,965,090,194.05","-862,910,408.40","-1,145,708,488.75","-1,895,302,772.35","450,239,494.68","-1,575,801,478.45","740,356,448.15","3,042,463,054.41","-551,780,305.01","-4,150,389,876.95"
分配股利、利润或偿还利息支付的现金,,,"88,407,745.05","176,819,878.85","186,133.73","4,902,035.96","196,162,109.21","336,391,191.41","1,275,299.58","5,630,680.38","322,553,583.66","485,333,561.91","13,477,701.34","53,430,042.26","252,365,213.79","290,869,383.62","27,957,137.50","322,273,137.00","362,928,045.26","403,452,056.74","46,865,014.67","90,023,662.55","448,997,079.62","490,523,477.58","43,627,173.64","76,270,804.48","330,600,104.78","367,236,310.34","39,066,175.80","432,298,790.37","463,836,280.65","511,791,943.80","38,148,793.09","71,854,115.04","309,879,633.79","341,888,963.27","25,197,920.18","40,720,622.15","193,966,233.98","210,916,342.68","10,119,763.89","23,266,444.25","29,998,332.61","39,085,857.60","11,938,817.53","29,297,235.44","50,962,515.08","63,718,740.48","10,488,340.45"
收回投资收到的现金,,,,"320,332.46",,"796,263.23","796,263.23",,,,,"4,595,216.02",,,"980,000.00",,"41,945,663.78","85,339,793.41","85,339,793.41","99,855,722.18","5,417,926.90","279,614,645.16","279,614,645.16","279,708,656.58",,,"44,263.24","44,263.24","39,013,662.90","39,013,662.90","197,947,785.37","435,894,771.84","79,781,534.98","79,781,534.98","103,148,339.39","125,784,604.33",,"615,981.31","615,981.31","11,469,200.22",,"20,617,271.64","23,663,685.05","23,663,685.05",,"1,541,257,569.04","2,325,992,791.97","2,887,805,396.49","1,049,399,083.52"
支付其他与筹资活动有关的现金,,,,,,90.00,135.00,,90.00,"81,406,999.70",290.50,"1,355,000,000.00","299,960.39","105,261,689.68","105,000,000.00","105,000,000.00","1,538,678.59","2,819,220.06",,,,,,,,,,,,,"6,930,000.00","6,930,000.00",,,,,,"2,209,834.60","2,209,834.60","2,209,834.60","4,119,669.20","4,119,669.20","4,119,669.20","4,119,669.20",,,"945,400,374.52","945,291,074.68",
取得投资收益收到的现金,,,,,,"28,000.00","7,700,540.91","7,672,540.91",,,"6,342,479.50","6,342,479.50",,,"7,522,155.02","8,232,155.02",,"19,095,569.28","24,792,207.19","30,042,866.93",,"2,855,977.72","41,163,877.25","46,649,053.83",,"1,879,007.00","13,383,907.87","67,197,821.59",,"2,461,648.31","27,830,147.02","101,033,857.02",,,"5,378,852.72","83,670,897.49","10,000.00","315,478.00","12,538,818.20","12,538,818.20",,"68,627,723.30","80,903,025.90","107,335,340.16","37,326,557.40","58,847,793.56","101,334,037.65","162,676,258.15","182,176,400.43"
筹资活动现金流出小计,,,"88,407,745.05","176,819,878.85","186,133.73","135,872,125.96","524,692,244.21","446,391,191.41","521,275,389.58","1,332,189,003.47","3,563,108,044.68","7,475,778,373.23","1,057,777,661.73","2,513,042,912.14","3,685,272,568.99","4,911,009,458.82","234,495,816.09","1,140,092,357.06","2,157,928,045.26","3,183,452,056.74","141,865,014.67","620,023,662.55","2,434,097,079.62","3,559,610,032.43","548,627,173.64","801,470,804.48","1,843,494,090.00","2,782,327,068.53","1,092,878,938.83","2,002,901,628.25","3,111,658,177.63","3,980,882,061.89","651,645,793.09","1,535,751,115.04","2,377,776,633.79","3,780,185,963.27","850,197,920.18","1,787,930,456.75","2,106,176,068.58","2,198,126,177.28","528,839,433.09","893,986,113.45","1,084,528,001.81","1,304,175,526.80","51,938,817.53","565,327,791.00","1,527,393,445.16","1,806,184,625.16","60,565,527.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"268,284.40","1,244,400.80","1,859,036.20",,"2,257,973.20","3,238,342.60","3,942,729.60","4,961,172.80","95,100.00","479,950.00","4,025,042.00","6,843,889.20","639,356.00","1,418,858.00","2,781,935.00","5,541,304.70","2,152,420.00","4,353,355.50","5,120,247.06","23,635,339.96","549,968.40","841,143.40","1,019,942.80","26,144,135.47","3,917,115.04","5,329,248.84","5,508,340.38","6,415,415.41","132,139.00","1,092,294.50","1,362,863.86","1,561,095.97","2,092,950.00","2,996,011.00","3,097,635.64","32,208,418.68","91,348.30","133,488.30","323,159.00","7,530,160.40","1,598,550.72","2,806,839.02","16,505,907.79","31,928,915.02","5,030,666.95","57,722,172.50","64,688,674.51","24,385,417.26","4,380,573.03"
