科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"100,456,789.04","180,276,186.89","598,831,418.37","292,158,431.37","560,483,593.30","873,644,321.24","156,754,379.93","362,291,182.36","591,341,131.13","1,083,332,609.01","154,858,391.31","723,083,783.44","1,257,347,233.86","2,120,396,019.63","443,274,507.28","931,275,874.01","1,400,952,842.00","3,062,247,398.82","730,881,871.68","1,783,690,855.63","2,525,380,300.46","4,569,247,182.81","1,365,774,962.03","2,381,798,614.63","3,230,670,350.46","6,003,662,456.20","1,247,105,274.55","3,541,322,338.80","6,641,641,231.73","8,886,060,068.67","1,705,529,458.00","3,895,362,235.25"
二、营业利润,"4,133,916.87","23,945,906.69","154,641,764.43","64,322,805.93","117,695,005.68","176,827,490.16","22,432,249.86","36,948,645.68","53,802,694.31","54,346,182.03","-7,851,348.85","39,669,666.63","106,905,145.37","175,818,625.00","40,574,932.27","101,044,107.69","119,036,050.13","278,788,487.53","74,625,005.43","184,492,183.20","278,108,390.91","443,563,764.78","132,252,222.31","250,300,532.23","318,349,900.72","613,286,547.85","127,147,222.61","417,602,194.32","824,513,746.05","1,145,291,896.46","223,037,688.39","431,280,109.56"
减:营业成本,"52,514,728.79","91,013,763.40","300,488,341.58","155,848,506.49","308,503,136.07","485,010,191.69","89,829,751.27","219,890,265.10","377,161,153.22","723,737,820.25","106,226,006.30","563,239,540.73","939,458,569.45","1,609,588,367.86","315,971,562.83","662,933,340.13","1,009,418,487.13","2,290,021,412.22","543,433,418.80","1,363,777,271.28","1,899,897,195.98","3,486,392,815.42","1,066,758,993.90","1,796,847,924.65","2,394,153,840.46","4,527,436,193.39","885,798,650.86","2,570,477,876.63","4,838,197,050.85","6,464,107,356.02","1,180,331,797.39","2,752,398,036.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"72,310.56","142,589.83","398,658.63","1,547,488.06","2,999,369.25","6,432,019.02","486,243.61","805,072.92","1,046,943.18","2,731,377.68","1,033,589.55","1,627,136.75","1,887,177.71","11,571,273.27","3,867,923.20","5,310,655.06","6,639,742.69","13,492,615.07","4,386,978.34","6,580,428.78","8,377,181.30","18,531,282.50","6,613,851.92","10,141,210.71","13,954,578.40","31,170,794.31","857,961.79","11,298,857.17","11,439,079.44","27,876,468.63","3,741,173.39","10,002,953.07"
营业外收入,"5,125,920.14","17,184,497.99","17,756,525.23","9,721,955.46","12,735,118.21","24,153,417.69","1,471,029.49","15,235,825.77","17,159,032.19","31,823,808.87","13,526,793.49","22,747,338.17","26,039,765.19","33,571,505.09","6,063,300.76","10,433,418.86","26,807,347.39","47,175,526.60","6,433,757.56","13,254,410.47","27,202,175.96","56,510,321.80","20,474,970.81","34,538,058.50","46,454,107.54","57,299,758.72","14,407,037.71","13,829,861.17","27,123,793.98","20,747,193.58","1,293,358.99","91,663.52"
销售费用,"11,983,404.54","20,659,033.92","54,087,746.35","27,516,176.29","51,254,490.09","82,603,475.13","25,441,723.00","54,100,485.77","80,558,913.01","124,061,352.69","22,795,135.54","52,067,022.49","77,677,421.45","128,514,136.08","27,448,100.43","52,471,008.65","87,957,861.84","136,708,779.36","34,320,254.99","68,504,971.27","111,520,497.76","188,361,808.57","49,822,232.85","118,633,268.61","175,124,255.95","286,050,888.60","87,389,875.63","194,641,933.32","328,408,705.85","518,144,793.76","105,604,647.30","288,881,133.45"
减:营业外支出,"148,787.76","193,175.30","125,751.10","28,944.01","128,574.82","50,250.25",836.00,"93,289.81","116,996.35","244,248.35","20,931.34","125,249.70","411,157.12","512,951.16","1,555.00","15,659.82","209,327.58","305,631.54","68,583.59","99,939.09","197,478.07","7,563,937.16","138,605.25","193,486.74","1,138,374.38","2,450,596.66","468,964.69","1,218,780.98","2,846,513.77","4,258,353.12","127,565.18","1,147,739.29"
管理费用,"27,629,226.91","40,552,666.35","79,281,819.82","44,080,655.59","71,246,842.46","100,464,620.18","32,985,660.39","67,397,029.12","100,825,956.86","145,933,670.62","36,674,460.36","66,763,346.75","107,061,512.73","161,365,447.07","59,735,505.45","105,987,638.16","161,890,099.47","223,701,025.67","62,038,674.48","121,034,890.64","185,721,066.10","308,197,081.22","81,950,895.16","177,612,456.29","281,075,571.13","430,001,997.25","114,271,482.63","252,360,868.39","433,084,387.99","610,895,417.74","150,854,155.53","342,384,929.82"
其中:非流动资产处置净损失,"2,054.05","34,784.74","14,992.64","17,654.43","20,040.49","18,844.67",,"28,467.92","46,424.46","52,126.46","17,331.34","120,149.70","121,493.97","121,493.97",,"3,862.19","94,619.95","187,475.91","33,291.59","64,572.09","161,901.07","2,263,928.72","13,073.09","58,869.74","244,155.20","885,096.89","12,442.54","964,481.98","551,359.92",,,
