科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"73,111,347.19","103,835,713.51","152,146,588.24","61,498,430.68","482,714,217.71","441,834,359.48","476,007,025.98","302,586,777.16","383,775,566.83","425,708,582.91","576,674,476.86","422,558,553.77","426,225,077.00","435,959,314.08"
短期借款,"45,000,000.00",,,,,,,,,,"4,000,000.00","4,000,000.00","2,000,000.00","21,500,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,"107,875.98",,,,,,,,,,,
应收票据,,,,,,,,,,,,,"997,525.29","471,241.96"
应付票据,,,,,,,,,,,,,,
应收账款,"32,525,697.87","21,362,886.52","23,442,215.38","31,787,425.09","27,207,355.67","26,808,647.21","36,519,676.22","32,287,740.53","47,417,901.45","53,409,156.62","58,007,913.56","86,047,415.57","136,445,621.28","194,204,094.71"
应付账款,"27,296,977.44","26,120,007.31","26,349,946.88","29,707,753.64","29,165,511.01","32,058,139.68","34,770,954.26","35,978,676.96","45,573,888.55","46,492,627.06","50,930,206.82","75,785,731.75","107,316,933.82","127,320,567.45"
预付款项,"5,137,440.51","5,054,545.63","3,126,362.61","9,028,942.74","8,429,700.46","9,555,116.50","4,175,637.56","4,807,306.93","4,079,079.45","5,724,536.68","5,515,692.37","14,963,940.66","34,669,778.96","34,819,664.03"
预收款项,"1,561,273.52","11,404,573.56","11,538,377.21","16,551,630.62","6,603,807.04","11,128,638.81","8,671,373.30","7,201,386.42","7,905,291.14","5,838,370.90","25,756,239.72","25,643,676.40","38,523,769.49","39,290,239.60"
其他应收款,"4,060,966.49","3,017,843.00","3,337,706.96","6,334,720.84","7,024,698.13","7,662,805.07","3,401,578.22","6,963,154.45","9,032,032.30","8,431,787.92","6,535,756.07","17,495,399.03","21,463,182.90","39,139,524.69"
应付职工薪酬,"4,152,411.12","8,153,310.38","18,979,643.65","9,730,839.16","5,477,351.09","5,249,650.94","17,983,549.33","8,121,346.74","8,119,489.82","9,929,168.41","22,369,476.26","13,570,020.83","19,054,031.47","17,826,676.32"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,470,634.44","7,896,209.94","11,727,203.78","7,231,666.22","10,853,153.70","11,221,073.56","11,629,956.49","13,968,797.40","15,519,637.64","16,182,304.80","20,871,537.40","24,218,916.36","18,669,447.57","22,328,686.69"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"6,299.99","26,962.49","2,300.00","192,310.71"
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"40,848,624.00","45,242,682.25","51,442,375.08","47,988,946.19","46,038,397.05","49,606,165.19","48,952,466.77","51,269,641.98","52,795,017.07","68,010,155.18","79,290,532.41","86,292,612.97","115,737,666.34","154,862,076.76"
其他应付款,"2,954,123.87","7,370,283.16","6,662,416.58","3,628,773.23","10,350,485.03","5,443,160.98","7,434,475.56","4,867,522.64","5,578,963.98","6,220,411.90","8,476,151.09","24,619,978.55","44,076,778.54","117,012,798.77"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,"24,500.00",,,,
一年内到期的非流动负债,"14,521,578.85","17,286,355.67","8,136,018.99","6,102,014.24","12,058,204.33","6,884,865.46","5,358,120.48","5,958,120.48","6,668,120.75","6,058,120.75","7,718,217.04","9,609,466.92","9,609,466.92","9,609,466.92"
其他流动资产,,,,,"538,421.21","560,236.00",,,,,"176,836.47","122,236,966.09","22,951,021.54","29,932,654.38"
其他流动负债,"65,705.03","32,987.40","137,215.03",,,,"79,764.50",,,"972,369.00","147,362.14","233,550.46","213,206.76","137,162.75"
流动资产合计,"155,684,076.06","178,513,670.91","233,495,248.27","156,638,465.54","571,952,790.23","536,027,329.45","569,056,384.75","397,914,621.05","497,099,597.10","561,308,719.31","726,201,207.74","749,594,888.09","758,489,873.31","889,388,570.61"
流动负债合计,"101,022,704.27","78,263,727.42","83,638,698.10","72,952,677.11","74,508,512.20","71,985,529.43","85,928,193.92","76,095,850.64","89,365,391.88","91,693,372.82","140,275,490.46","177,708,303.76","239,465,934.57","355,217,909.21"
可供出售金融资产,,,"2,452,189.25","92,462,189.25","2,462,189.25","2,462,189.25","50,462,189.25","233,462,189.25","192,462,189.25","166,462,189.25","2,462,189.25","131,726,189.25","121,532,607.10","124,616,122.65"
长期借款,,,,,,,,,,,,"120,764,000.00","118,070,417.85","120,653,933.40"
持有至到期投资,,,,,,"60,000,000.00",,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,"3,428,571.00","3,426,168.81","3,426,168.81","3,425,772.07","3,438,429.88","3,436,096.17","3,734,822.66","3,869,622.98","3,778,803.16","52,909,695.07","3,822,350.66","3,866,912.26"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"127,522,923.61","133,298,967.13","145,773,566.69","146,071,760.75","145,676,739.06","147,887,914.38","150,687,576.35","153,438,172.93","156,814,732.34","160,061,775.67","220,059,572.88","238,578,384.80","257,498,916.08","274,425,072.09"
递延所得税负债,"544,728.90","456,853.82","374,942.58","374,942.58","374,942.58","374,942.58","299,967.03","299,967.03","299,967.03","283,179.08","225,097.73","225,097.73","225,097.73","10,849,494.21"
在建工程,,"3,146,378.00","717,422.37","749,881.20","776,031.20","733,171.20","490,356.83","1,368,306.83","2,710,962.84","3,355,699.08","3,707,664.54","2,797,238.46","1,293,942.79","1,871,003.21"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"19,100,024.44","16,615,484.85","12,806,286.71","12,806,286.71","10,071,601.21","11,970,771.37","11,998,662.44","11,126,632.25","10,324,601.79","9,435,783.65","10,720,469.50","134,383,352.88","125,451,957.30","137,302,959.60"
固定资产清理,,,,,,,,,,,,,,
负债合计,"120,122,728.71","94,879,212.27","96,444,984.81","85,758,963.82","84,580,113.41","83,956,300.80","97,926,856.36","87,222,482.89","99,689,993.67","101,129,156.47","150,995,959.96","312,091,656.64","364,917,891.87","492,520,868.81"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"66,000,000.00","66,000,000.00","66,000,000.00","66,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","88,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00","176,000,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"85,510,716.40","85,510,716.40","85,510,716.40","85,510,716.40","378,525,817.90","378,525,817.90","378,525,817.90","378,525,817.90","290,525,817.90","290,525,817.90","290,525,817.90","290,525,817.90","290,525,817.90","290,525,817.90"
无形资产,"10,235,247.92","12,190,407.99","13,576,776.97","12,971,512.25","12,666,807.99","12,061,843.27","13,889,590.23","13,587,911.62","13,329,350.00","13,966,102.08","14,573,953.98","15,000,327.12","48,449,585.03","108,565,224.50"
盈余公积,"3,972,995.47","10,203,009.04","20,551,325.26","20,551,325.26","20,551,325.26","20,551,325.26","33,064,563.70","36,015,966.01","42,069,870.32","46,060,604.08","50,555,220.25","54,028,071.32","50,555,220.25","50,555,220.25"
开发支出,"2,065,121.78","1,600,769.74","1,188,894.91","1,415,472.39","1,454,570.41","2,229,598.61","2,538,541.16","2,977,144.90","4,215,536.96","4,703,760.65","6,683,002.71","6,647,356.72","8,212,793.87","8,312,469.01"
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"6,544,663.45","6,544,663.45","49,060,212.66","157,427,852.55"
未分配利润,"26,863,690.17","79,637,224.66","141,252,957.33","161,426,637.68","173,355,591.38","200,111,170.77","201,291,262.37","224,173,218.28","272,635,836.85","305,728,022.36","328,787,336.23","359,127,230.15","411,635,365.77","455,474,390.13"
长期待摊费用,,,,,,,"60,831.80","63,677.07","119,329.16","123,697.48","69,377.83","72,073.64","550,735.88","2,419,772.14"
少数股东权益,,,,,,,,,,"5,505,064.11","12,102,413.95","28,970,648.87","66,731,677.85","127,215,913.55"
递延所得税资产,"7,100,114.97","7,601,309.41","9,244,119.30","5,627,108.04","6,720,053.82","6,307,303.51","6,731,111.59","7,719,266.09","10,060,694.71","10,873,651.16","6,892,409.24","5,745,546.70","7,445,592.63","6,502,838.85"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"1,213,766.46",,"385,740.00","367,060.00","14,774,400.36","8,515,728.60","100,422,281.16","10,485,460.71"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"146,923,408.28","157,837,832.27","176,381,540.49","262,724,092.69","173,182,560.54","235,107,792.29","229,512,393.55","416,052,764.86","383,833,357.92","363,783,558.35","279,546,037.40","468,537,203.81","598,289,017.86","698,492,727.97"
所有者权益(或股东权益)合计,"182,484,755.63","241,472,290.91","313,431,803.95","333,603,594.41","660,555,237.36","687,178,820.94","700,641,921.94","726,744,903.02","781,242,961.35","823,963,121.19","854,751,285.18","906,040,435.26","991,860,999.30","1,095,360,429.77"
资产总计,"302,607,484.34","336,351,503.18","409,876,788.76","419,362,558.23","745,135,350.77","771,135,121.74","798,568,778.30","813,967,385.91","880,932,955.02","925,092,277.66","1,005,747,245.14","1,218,132,091.90","1,356,778,891.17","1,587,881,298.58"
负债和所有者(或股东权益)合计,"302,607,484.34","336,351,503.18","409,876,788.76","419,362,558.23","745,135,350.77","771,135,121.74","798,568,778.30","813,967,385.91","880,932,955.02","925,092,277.66","1,005,747,245.14","1,218,132,091.90","1,356,778,891.17","1,587,881,298.58"
