科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"332,536,264.03","833,756,644.66","1,758,192,199.88","373,210,429.72","784,160,207.48","1,121,304,716.60","1,417,887,001.45","228,867,815.14","513,703,962.79","802,607,693.77","1,133,022,301.98","342,535,572.69","705,865,161.96","1,094,317,557.34","1,490,532,695.63","413,895,324.61","790,833,300.30","1,202,832,392.04","1,540,288,154.96","356,689,561.06","753,129,985.80","1,141,812,581.80","1,530,793,935.40","372,323,004.58","858,341,069.27","1,323,644,721.95","1,770,052,460.49","403,413,108.00","841,726,910.10","1,307,047,002.36","1,776,045,032.00","348,726,177.10","777,246,547.26","1,173,682,591.00","1,598,481,260.79","327,266,536.17","739,490,973.84","1,114,105,293.95","1,580,806,475.04","421,494,740.82","839,211,547.01","1,257,691,787.26","1,554,900,973.06","437,554,402.35","996,723,879.38","1,570,225,815.59","2,172,478,781.37","655,729,235.15"
二、营业利润,"74,627,162.01","257,340,004.53","498,001,868.99","101,122,793.88","192,554,844.64","237,027,053.30","213,738,738.30","5,185,264.28","31,082,676.27","71,437,923.62","138,545,779.50","81,308,406.24","182,527,801.21","246,010,615.95","323,742,650.25","86,687,910.66","150,133,848.58","160,628,491.67","164,189,063.98","4,727,854.55","29,149,179.40","38,493,097.37","32,527,869.70","14,161,201.29","46,899,812.78","75,956,548.28","97,806,089.80","64,717,174.14","116,796,568.57","164,592,171.69","195,155,029.27","32,846,369.79","78,430,619.09","113,332,143.07","120,916,733.36","23,388,610.78","39,144,499.39","56,914,558.56","69,416,937.04","35,867,761.42","76,168,602.24","89,031,348.87","123,330,322.78","42,130,816.08","111,712,577.29","156,960,782.50","158,200,901.01","43,969,860.18"
减:营业成本,"219,035,458.40","508,201,841.17","1,074,427,306.57","244,347,929.98","520,740,304.27","785,437,653.62","1,019,432,562.87","203,704,142.92","444,412,158.79","659,026,265.89","877,007,792.15","238,518,091.45","468,223,362.13","750,667,756.50","1,017,518,345.12","286,736,499.62","570,664,606.77","930,720,151.58","1,234,539,674.76","321,168,209.80","658,904,575.35","1,000,550,253.39","1,342,298,831.63","319,214,274.20","736,738,614.86","1,124,236,689.52","1,476,339,906.47","307,806,803.15","649,040,617.20","1,022,307,379.88","1,398,035,613.53","280,766,203.36","621,610,080.91","942,869,407.11","1,292,683,881.69","267,644,546.49","622,724,119.85","944,862,771.55","1,341,088,313.32","345,274,266.14","684,703,765.37","1,053,490,506.58","1,301,169,486.94","353,758,728.61","796,388,352.12","1,275,622,132.76","1,796,128,227.56","561,199,732.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,683,872.23","3,890,820.72","8,361,020.36","1,869,901.22","4,008,675.55","5,113,226.78","6,110,219.94","792,211.12","2,064,962.80","3,199,850.93","5,367,072.77","1,225,448.43","2,159,376.96","4,546,094.20","5,639,179.05","567,539.29","604,866.19","972,161.90","1,537,430.97","124,412.46","564,693.87","1,063,471.51","2,050,923.24","841,345.07","2,975,209.04","7,253,756.75","9,937,351.76","2,320,505.96","3,825,299.62","6,859,310.26","8,818,076.73","1,513,596.43","3,492,721.58","4,876,515.67","8,008,100.01","1,733,679.75","5,327,184.49","6,946,999.80","17,033,662.95","4,464,123.71","8,536,503.29","14,325,731.70","17,889,161.29","3,371,393.47","8,362,823.93","14,019,220.55","18,985,148.61","5,422,039.67"
营业外收入,"280,446.00","1,014,982.34","1,616,042.82","10,228.10","1,719,011.98","2,280,321.15","3,406,245.73","7,592,025.14","8,608,668.65","14,232,586.13","9,748,491.40","26,760.27","191,528.62","929,772.62","1,590,177.72","240,054.96","395,173.15","771,931.67","4,538,321.33","667,504.83","8,155,253.30","10,406,402.09","19,050,708.95","2,846,803.96","3,600,680.16","4,540,353.38","11,834,210.56","719,307.42","2,239,100.10","4,457,082.78","5,787,635.68","718,018.41","2,792,017.42","5,449,911.85","12,599,770.52","1,513,529.50","2,928,304.76","3,918,457.19","6,214,607.64","1,050,075.75","4,050,360.10","5,171,783.42","1,192,536.71","1,861,986.97","141,850.00","292,882.08","222,897.50","486,052.88"
销售费用,"13,179,456.58","19,640,952.39","55,324,510.08","4,934,414.08","13,841,770.30","20,402,160.19","35,519,436.68","2,987,791.92","9,827,326.85","19,413,957.00","37,184,876.96","4,269,366.47","13,587,568.85","26,908,358.81","42,717,180.08","6,279,410.60","14,249,473.62","23,957,089.48","42,468,499.82","5,413,217.02","11,980,628.87","22,063,302.35","43,035,713.73","8,747,889.43","20,367,107.78","33,209,932.38","47,218,276.07","6,835,024.59","17,997,606.99","29,741,009.30","49,492,930.39","6,920,858.97","18,257,547.44","30,232,626.38","42,487,450.77","10,558,166.37","24,041,394.76","36,900,158.95","58,951,359.81","9,661,862.00","23,750,298.56","38,130,793.50","54,571,417.33","7,158,578.24","23,016,777.02","42,267,839.60","75,888,205.12","12,171,829.94"
减:营业外支出,"356,700.00","492,381.12","4,482,973.85",,,,,"104,663.74","54,886.82","349,045.74","6,070,583.08",,,"2,002.45","728,600.24","481,797.73","276,408.09","484,413.15","702,403.92",,"2,847.31","7,847.31","9,847.31","19,753.80","19,753.80","19,753.80","813,241.49",,1.29,"11,165.70","159,967.58","31,966.72","31,966.72","80,207.48","83,207.48",,"93,967.32","97,407.32","1,028,923.83",162.82,"80,260.18","1,456,370.86","1,398,302.70","11,594.01","111,998.61","111,998.61","661,239.35","386,385.76"
管理费用,"18,083,937.88","30,609,806.30","97,308,905.32","17,775,336.77","42,594,424.57","68,137,718.31","111,395,942.54","16,787,185.32","33,989,908.67","57,330,303.75","85,550,247.45","17,464,271.29","39,207,065.82","66,602,786.68","104,111,321.90","32,259,995.25","54,605,968.19","84,153,366.11","95,640,186.91","24,655,020.25","48,801,210.99","75,611,362.01","103,287,606.36","26,505,504.63","51,500,881.92","85,707,297.50","137,908,669.98","20,642,520.44","53,589,587.55","82,501,963.03","114,414,735.69","24,422,973.84","55,073,121.70","81,530,884.31","118,336,419.72","26,276,331.34","50,718,117.79","74,242,047.22","101,136,110.61","25,081,574.33","49,633,157.72","70,344,730.88","98,892,835.86","32,331,483.32","66,572,541.74","47,552,223.21","71,706,692.90","16,183,275.50"
其中:非流动资产处置净损失,"336,700.00","472,381.12","4,462,973.85",,,,,"104,663.74",,"117,786.82","5,822,075.15",,,,"79,192.29","481,797.73","269,414.18","477,419.24","696,856.55",,,,,,,,"54,658.15",,,,"139,285.34",,"31,966.72","31,966.72","31,966.72",,"93,967.32","93,967.32","870,988.45",,"60,617.27","60,617.27",,,,,,
