科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"28,201,277.21","42,797,236.20","100,761,471.60","60,757,262.09","49,556,231.36","524,233,700.42","451,041,809.72","442,945,236.15","432,199,018.66","412,902,174.32","372,940,042.57","362,355,100.28","327,769,917.69","299,203,920.48","266,691,555.56","288,096,532.25","105,090,578.39","138,219,230.89","148,858,223.59","123,826,714.33","177,767,593.33","167,761,789.90","162,775,015.44","172,936,035.60","199,701,206.01","196,174,683.56","231,840,754.27","222,574,887.15","305,367,706.27","243,498,109.84"
短期借款,,"10,000,000.00","40,800,000.00","19,800,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,"10,224,117.09","32,696,442.16","32,696,442.16","39,239,122.31","19,701,700.12",,"4,000,000.00","26,667,888.15","42,564,648.61","68,039,412.12","61,335,950.24","75,433,890.67","102,208,130.21","84,967,500.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"2,850,000.00","3,399,663.00","2,780,000.00","600,000.00","5,199,205.31","1,387,175.00","3,042,000.00","3,670,871.67","12,882,562.99","9,995,924.88","9,904,361.04","10,695,313.04","12,981,365.72","25,220,247.18","114,348,704.63","56,878,419.79","85,938,419.79","45,390,000.00","112,096,375.32","66,948,942.33","60,292,026.56","54,746,849.80","50,985,746.56","96,869,429.78","146,893,150.83","139,633,851.72","144,141,258.82","173,887,800.32"
应付票据,,,,,,,,"2,047,000.00","5,471,000.00","4,586,000.00",,,,,,,,,,,,,,"4,000,000.00","14,473,483.76","17,473,483.76","23,095,479.09","19,095,479.09","11,087,642.66","2,646,100.00"
应收账款,"22,144,432.98","30,395,616.60","38,079,216.42","61,839,243.88","74,399,204.10","84,672,802.06","90,022,346.44","104,775,623.08","119,839,239.27","121,726,642.83","140,055,486.82","146,011,688.25","133,464,357.23","161,438,691.55","216,631,229.73","240,919,404.31","334,096,707.69","318,854,967.49","318,968,517.05","324,441,149.15","340,238,913.49","325,209,380.35","353,935,237.59","342,229,781.19","392,452,577.49","355,713,955.85","296,898,295.02","307,607,793.29","283,590,062.45","277,506,511.57"
应付账款,"9,845,570.98","15,563,583.07","12,114,018.95","37,673,561.75","8,093,883.00","9,727,687.22","5,699,850.59","15,325,435.10","83,695,292.39","77,153,015.22","104,384,011.81","100,503,862.64","123,763,716.84","123,903,985.04","122,785,157.94","114,188,964.99","161,133,671.39","93,180,648.84","99,859,752.23","91,604,749.14","77,638,504.31","75,650,719.40","66,735,296.85","58,476,968.18","66,867,712.50","54,421,612.16","47,169,256.19","60,057,494.43","61,198,463.43","48,369,632.57"
预付款项,"548,198.81","4,873,512.44","1,042,971.28","1,965,741.62","4,526,390.24","1,937,471.11","4,638,555.43","11,340,788.80","11,989,121.66","21,333,782.81","15,245,649.51","17,041,194.88","14,812,288.05","16,005,580.05","25,563,418.93","7,492,947.56","4,317,342.81","4,749,573.66","1,003,777.06","20,694,957.32","8,631,722.51","9,390,710.45","3,301,871.05","2,870,719.68","11,654,513.01","26,318,855.64","21,475,612.71","29,217,556.63","28,509,364.95","33,065,542.85"
预收款项,"1,286,430.35","1,651,911.90","2,995,847.67","2,253,156.05","3,583,994.87","2,801,486.15","3,396,199.93","2,343,974.11","2,457,348.42","2,274,448.13","1,894,669.01","2,734,313.08","4,603,658.37","4,199,971.14","3,823,868.35","4,247,761.69","16,954,639.15","4,588,103.24","12,547,070.65","14,244,444.45","12,687,432.22","7,261,879.80","7,824,949.17","8,601,425.58","8,960,394.51","7,333,597.03","6,962,748.04","7,278,926.12","6,043,646.42","9,736,521.27"
