科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"42,024,716.79","53,991,428.75","50,256,798.46","48,848,906.21","524,869,269.60","521,683,119.44","518,746,133.85","424,461,973.90","307,149,338.13","322,508,579.30","363,706,319.68","98,883,819.05","84,996,749.15","105,674,035.68","131,165,844.18","95,674,127.97","90,448,465.45","119,349,809.95","133,114,776.18","57,492,705.11","60,459,022.80","51,872,591.22","47,365,397.14","14,711,067.79","80,456,893.31","77,675,717.80"
短期借款,"35,110,000.00","19,280,000.00","29,900,000.00",,"10,000,000.00","10,000,000.00",,"9,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"870,000.00","300,000.00",,"500,000.00","500,000.00","400,000.00",,"600,000.00","100,000.00","600,000.00",,"400,000.00",,,,,,"300,000.00",,,
应付票据,"20,235,450.00","16,667,200.00","17,533,640.00","12,905,200.00","13,849,955.00","29,591,800.00","21,046,000.00","22,642,000.00","11,679,850.00","39,049,533.00","25,687,850.00","34,067,428.00","43,542,900.00","50,456,080.00","51,819,706.00","15,540,000.00","38,935,666.00","50,854,259.60","37,886,557.00","33,505,081.30","43,204,805.00","50,248,907.00","55,203,200.00","34,262,684.00","31,969,011.48","59,637,164.00"
应收账款,"29,859,930.47","36,603,891.18","56,389,113.81","56,244,926.46","72,912,264.76","110,490,207.73","110,652,833.74","100,993,502.14","96,137,472.20","110,210,273.81","95,104,631.56","89,957,649.11","109,973,687.50","162,872,683.57","98,483,825.88","131,283,347.20","131,535,383.99","140,750,895.35","101,428,531.47","79,653,544.47","90,576,681.24","150,960,858.05","76,041,526.81","90,855,079.44","102,060,911.57","151,718,359.85"
应付账款,"35,790,741.46","49,703,643.81","65,623,275.28","30,672,211.58","39,134,751.42","77,732,269.88","58,706,573.15","64,919,143.31","71,674,185.37","91,440,956.84","79,937,607.92","72,456,924.32","94,733,479.33","133,202,592.94","80,638,080.20","74,462,227.24","101,127,602.86","100,511,173.96","85,037,503.93","88,951,045.43","117,393,637.62","157,289,495.65","78,677,184.69","73,407,761.62","102,985,361.69","143,835,006.58"
预付款项,"24,719,080.77","16,706,676.68","15,374,879.95","15,060,161.33","13,097,719.60","14,446,740.38","15,032,228.83","32,636,607.45","38,922,761.44","46,444,020.68","37,692,319.41","33,246,623.23","33,513,044.90","12,257,993.69","8,707,837.33","11,261,530.64","7,001,595.50","6,267,273.31","3,618,491.69","5,333,781.62","11,765,073.52","12,233,958.45","10,016,950.03","4,895,083.21","7,956,544.90","5,469,606.56"
预收款项,"23,129,676.13","35,405,930.23","24,282,940.94","11,097,640.06","16,944,646.80","16,245,126.65","11,784,280.98","6,145,108.12","5,294,536.28","14,989,055.20","17,349,360.03","8,770,277.28","11,088,726.50","8,674,783.16","17,954,277.20","9,899,227.43","8,805,927.41","10,813,943.04","23,719,271.99","12,172,835.82","16,746,288.41","18,400,228.32","27,444,156.59","9,911,715.03","15,515,937.40","13,614,535.97"
其他应收款,"4,358,959.79","4,973,156.82","6,718,363.10","6,844,618.58","8,583,312.00","4,689,712.15","7,405,513.29","9,626,032.82","10,774,610.06","11,262,962.32","12,145,150.96","9,437,072.10","10,291,371.15","10,313,098.77","13,163,369.96","16,347,265.25","10,508,678.95","6,120,472.58","11,358,252.59","6,026,835.02","7,820,410.10","6,328,320.95","9,813,581.06","8,202,172.90","7,819,667.02","3,822,747.64"
应付职工薪酬,"2,130,749.91","2,427,737.48","2,822,707.20","2,933,562.60","3,686,339.75","6,988,371.81","6,116,228.88","3,475,536.14","4,373,099.53","15,425,034.87","13,430,723.37","8,390,203.43","9,574,436.88","18,980,441.00","14,913,136.01","9,134,365.13","11,829,704.87","19,484,421.66","16,062,070.77","8,907,419.02","12,435,763.46","27,454,480.32","16,260,858.09","11,120,787.72","14,619,479.06","35,258,338.38"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,909,628.68","5,968,722.33","5,994,324.81","7,393,868.14","7,647,030.66","15,170,807.12","11,889,642.43","3,536,236.15","7,408,800.84","11,195,290.10","2,685,428.00","-1,342,716.82","-582,015.38","16,220,754.13","7,920,416.29","11,567,453.41","3,416,371.36","7,413,707.11","9,626,721.23","4,033,303.40","7,147,951.47","12,576,204.53","6,082,763.92","4,117,886.47","10,684,695.78","11,808,475.81"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"80,717,011.85","117,060,329.78","147,597,351.97","83,723,739.95","91,925,724.56","137,467,141.90","105,360,070.77","142,063,353.07","128,349,091.05","135,824,336.38","112,189,325.39","111,302,658.74","144,259,839.32","182,937,944.86","157,593,467.64","108,425,746.36","146,271,613.30","153,711,317.74","115,407,653.56","126,290,379.33","156,818,100.12","185,409,245.54","169,349,200.45","163,763,068.90","182,649,206.11","205,551,397.79"
其他应付款,"7,636,157.23","8,123,210.94","7,552,182.60","4,947,894.93","10,937,942.28","7,901,884.11","6,304,538.46","6,017,175.57","7,342,282.48","4,192,018.76","3,837,025.04","9,643,287.50","11,195,718.51","12,276,169.35","10,299,461.92","3,063,010.56","4,284,781.81","2,917,932.76","3,206,585.84","2,720,654.38","156,893,294.89","157,248,761.23","156,456,374.88","155,979,129.40","52,363,313.05","2,573,561.90"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,"70,069.48","21,048.73","2,664.00",666.00,"76,035.68","13,990.60","18,481.62",,,,"68,799.12","12,098.24",
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"2,382,047.12","3,463,643.31","5,616,354.47","5,383,365.70","4,841,495.04","3,284,961.57","2,084,580.81","3,202,795.10","112,176,832.62","127,475,958.52","88,797,305.29","234,962,791.61","211,170,949.78","175,080,369.12","129,098,563.52","103,898,661.35","102,711,148.04","80,178,501.42","141,950,075.90","205,645,346.13","356,812,025.65","365,147,315.70","376,481,988.93","351,873,515.04","208,293,125.66","203,520,072.14"
其他流动负债,"1,672,086.04","4,903,736.23","8,393,598.71","3,144,729.07","5,025,283.16","12,514,557.17","6,343,200.71","3,638,220.14","6,083,169.56","11,045,101.20","7,952,064.23","9,751,736.47","11,637,382.23","15,852,782.31","9,679,991.70","9,956,981.01","12,342,322.94","21,487,490.79","19,450,639.88","16,777,867.92","20,235,011.47","30,593,467.18","21,620,011.50","21,732,794.63","26,916,235.53","33,013,828.63"
流动资产合计,"184,061,746.79","232,799,126.52","281,952,861.76","216,105,718.23","716,229,785.56","792,931,883.17","759,581,361.29","712,984,264.48","694,010,105.50","754,226,131.01","710,035,052.29","577,790,613.84","594,805,641.80","649,306,195.17","538,833,957.24","466,893,342.77","488,877,551.23","506,454,306.03","506,891,771.99","480,461,073.30","684,251,313.43","771,952,289.91","689,368,644.42","634,368,786.40","589,248,446.81","647,757,901.78"
流动负债合计,"128,614,489.45","142,480,181.02","162,102,669.54","73,095,106.38","107,225,949.07","176,144,816.74","122,190,464.61","119,373,419.43","113,855,924.06","187,336,989.97","150,880,058.59","141,737,140.18","181,190,628.07","255,663,602.89","193,225,069.32","133,623,264.78","180,742,377.25","213,482,928.92","194,989,350.64","167,068,207.27","374,056,752.32","453,811,544.23","361,744,549.67","310,532,758.87","255,054,033.99","299,740,911.27"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,"44,000,000.00","43,316,657.70","42,726,251.85","42,696,352.32","42,406,975.52","42,290,072.26","46,592,093.49","48,453,506.59","48,690,325.43","49,100,676.51","49,366,884.97","38,080,047.86"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"85,487,894.34","90,695,203.75","113,732,420.45","113,868,020.82","120,912,226.90","123,500,202.43","122,055,735.40","122,503,814.39","123,232,927.79","125,810,132.60","123,749,003.54","277,063,198.39","303,511,747.67","320,046,138.42","318,665,008.64","327,234,403.07","335,862,593.77","343,461,275.17","336,526,084.38","331,992,048.60","325,757,952.84","324,470,788.28","327,063,919.95","319,541,880.34","312,365,858.40","308,143,292.11"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,"306,797.93"
在建工程,"183,308.00","6,259,845.12","2,400,716.18","2,815,878.47","11,335,439.13","26,472,947.09","28,627,660.76","48,924,111.10","62,209,771.94","88,172,371.31","109,424,147.44","5,851,807.73","4,369,282.65","9,050,209.37","14,039,824.24",,"109,000.00","109,000.00","109,000.00","109,000.00","9,468,335.08","9,825,130.27","109,000.00","109,000.00","109,000.00",
其他非流动负债,,,"1,100,000.00","1,266,923.08","1,194,615.40","1,122,307.72","1,050,000.04","977,692.36","905,384.68","1,106,291.30","1,025,947.91","945,604.52","865,261.13",,"704,574.35",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"1,100,000.00","1,266,923.08","1,194,615.40","1,122,307.72","1,050,000.04","977,692.36","905,384.68","1,106,291.30","1,025,947.91","945,604.52","865,261.13","784,917.74","704,574.35","624,230.96","543,887.57","1,963,544.18","1,883,200.79","1,802,857.40","1,722,514.01","1,676,785.78","1,668,750.07","1,660,714.36","1,652,678.65","4,119,115.17"
固定资产清理,,,,,,,,,"53,861.19",,,,,,,,,,,,,,,,,
负债合计,"128,614,489.45","142,480,181.02","163,202,669.54","74,362,029.46","108,420,564.47","177,267,124.46","123,240,464.65","120,351,111.79","114,761,308.74","188,443,281.27","151,906,006.50","142,682,744.70","182,055,889.20","256,448,520.63","193,929,643.67","134,247,495.74","181,286,264.82","215,446,473.10","196,872,551.43","168,871,064.67","375,779,266.33","455,488,330.01","363,413,299.74","312,193,473.23","256,706,712.64","303,860,026.44"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"53,000,000.00","53,000,000.00","53,000,000.00","53,000,000.00","70,700,000.00","70,700,000.00","70,700,000.00","141,400,000.00","141,400,000.00","141,400,000.00","141,400,000.00","141,400,000.00","141,400,000.00","141,400,000.00","141,400,000.00","282,800,000.00","282,800,000.00","282,800,000.00","282,800,000.00","282,800,000.00","298,080,000.00","298,080,000.00","298,080,000.00","506,702,000.00","506,702,000.00","506,702,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"23,793,295.89","23,793,295.89","23,793,295.89","23,793,295.89","477,893,295.89","477,893,295.89","477,893,295.89","407,193,295.89","407,193,295.89","407,193,295.89","407,193,295.89","407,193,295.89","407,193,295.89","407,193,295.89","407,193,295.89","265,793,295.89","265,793,295.89","265,793,295.89","265,793,295.89","265,793,295.89","413,440,434.43","426,620,869.21","434,107,295.23","227,013,211.87","231,627,756.33","231,627,756.33"
无形资产,"14,027,820.07","13,694,210.35","13,488,349.92","13,355,647.61","13,377,188.18","13,286,691.71","13,279,257.93","13,186,667.43","13,094,076.93","13,001,486.43","12,908,895.93","16,441,632.72","16,436,890.25","16,328,349.27","16,275,750.23","16,192,775.42","16,066,394.69","16,010,362.96","18,005,067.09","17,887,890.28","17,709,212.08","18,108,319.01","17,916,115.24","17,723,910.45","17,546,288.47","17,493,203.42"
盈余公积,"9,585,124.19","13,374,219.43","17,794,197.05","17,794,197.05","17,794,197.05","23,917,226.71","23,917,226.71","23,917,226.71","23,917,226.71","27,677,702.18","27,677,702.18","27,677,702.18","27,677,702.18","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10","30,148,143.10"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,"154,328,000.00","154,328,000.00","154,328,000.00","154,126,000.00","154,126,000.00","154,126,000.00"
商誉,,,,,,,,,,,,"44,619,539.91","44,619,539.91","44,619,539.91","44,619,539.91","44,619,539.91","44,619,539.91","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24","44,337,535.24"
未分配利润,"71,725,848.32","112,941,797.68","156,402,661.97","179,183,613.04","189,269,470.14","210,805,822.38","231,368,176.60","207,509,747.03","208,194,962.55","221,003,249.68","231,709,412.17","206,195,995.53","213,196,634.74","222,786,094.62","219,057,047.31","201,800,626.65","185,746,625.26","169,131,983.62","181,882,697.70","178,672,504.14","177,276,504.15","182,203,582.86","178,216,985.42","164,942,269.72","157,027,249.21","154,921,641.62"
