科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30
货币资金,"27,840,523.26","96,790,063.73","167,975,614.07","123,184,359.16"
短期借款,"169,750,000.00","398,376,249.91","704,399,999.99","857,299,999.99"
交易性金融资产,,,,
交易性金融负债,,,,
应收票据,"9,351,343.40","4,250,000.00","4,346,759.76","6,050,150.00"
应付票据,,"60,000,000.00","89,000,000.00","117,000,000.00"
应收账款,"167,385,264.53","191,267,673.88","264,936,203.16","339,437,481.40"
应付账款,"169,952,820.69","88,739,773.16","129,733,561.46","177,082,372.72"
预付款项,"28,194,437.18","39,617,068.26","55,826,024.22","12,552,267.72"
预收款项,"10,249,748.55","18,892,468.80","6,879,759.43","16,328,937.35"
其他应收款,"1,757,949.15","4,602,145.22","4,118,679.93","796,508.77"
应付职工薪酬,"1,772,296.44","2,266,248.23","3,148,207.22","3,601,388.45"
应收关联公司款,,,,
应交税费,"5,609,192.06","22,679,778.33","32,564,553.35","20,376,040.62"
应收利息,,,,
应付利息,"1,217,169.51","2,266,140.33","1,553,768.68","1,695,780.69"
应收股利,,,,
应付股利,"26,486,427.77",,,
存货,"344,007,455.95","492,178,927.56","797,348,024.13","1,087,126,599.31"
其他应付款,"2,994,858.46","1,905,521.59","3,436,744.43","3,070,770.74"
其中:消耗性生物资产,,,,
应付关联公司款,,,,
一年内到期的非流动资产,,,,
一年内到期的非流动负债,"10,000,000.00",,"15,000,000.00","15,000,000.00"
其他流动资产,"3,337,608.25","3,412,246.34","10,864,926.18","12,279,732.92"
其他流动负债,"150,000.00",,,
流动资产合计,"581,874,581.72","832,118,124.99","1,305,416,231.45","1,581,427,099.28"
流动负债合计,"398,182,513.48","595,126,180.35","985,716,594.56","1,211,455,290.56"
可供出售金融资产,,,,
长期借款,"15,000,000.00","15,000,000.00",,
持有至到期投资,,,,
应付债券,,,,
长期应收款,,,,
长期应付款,,,,
长期股权投资,,,,
专项应付款,,,,
投资性房地产,,,,
预计负债,,,,
固定资产,"91,514,270.07","100,499,149.79","112,533,395.21","114,319,492.27"
递延所得税负债,,,,
在建工程,"1,235,990.73",,"3,544,056.33","10,538,686.03"
其他非流动负债,"3,740,000.00","4,440,000.00","13,440,000.00","13,440,000.00"
工程物资,,,"315,654.84","100,451.85"
非流动负债合计,"18,740,000.00","19,440,000.00","13,440,000.00","13,440,000.00"
固定资产清理,,,,
负债合计,"416,922,513.48","614,566,180.35","999,156,594.56","1,224,895,290.56"
生产性生物资产,,,,
实收资本(或股本),"130,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00"
油气资产,,,,
资本公积,"64,321,046.38","64,321,046.38","64,321,046.38","64,321,046.38"
无形资产,"7,062,357.13","6,264,565.00","6,198,463.38","21,743,838.50"
盈余公积,"10,482,954.81","17,688,720.83","29,566,578.77","29,566,578.77"
开发支出,,,,
减:库存股,,,,
商誉,,,,
未分配利润,"63,265,637.06","115,371,060.47","209,589,104.97","284,474,089.35"
长期待摊费用,"981,965.90","622,264.16","240,000.00","180,000.00"
少数股东权益,,,,
递延所得税资产,"2,322,986.18","2,442,904.09","4,385,523.47","4,947,437.13"
外币报表折算价差,,,,
其他非流动资产,,,,
非正常经营项目收益调整,,,,
非流动资产合计,"103,117,570.01","109,828,883.04","127,217,093.23","151,829,905.78"
所有者权益(或股东权益)合计,"268,069,638.25","327,380,827.68","433,476,730.12","508,361,714.50"
资产总计,"684,992,151.73","941,947,008.03","1,432,633,324.68","1,733,257,005.06"
负债和所有者(或股东权益)合计,"684,992,151.73","941,947,008.03","1,432,633,324.68","1,733,257,005.06"
