科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"860,025,882.10","1,006,960,464.67","1,086,763,811.01",,"604,604,799.76","930,246,225.68","1,396,294,034.84","264,162,943.26","615,321,921.66","893,689,463.73","1,468,985,303.37","421,995,688.96","880,580,869.70","1,332,772,772.23","1,846,243,243.18","395,551,104.21","838,516,296.20","1,242,466,514.16","2,373,200,316.41","574,791,182.94","1,283,516,089.65"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"11,045,909.39","14,812,419.95","21,362,661.39",,"2,110,603.10","6,800,048.50","15,197,757.99","2,003,698.39","6,180,642.54","21,818,460.32","27,530,184.68","18,172,104.13","26,170,254.32","31,232,879.32","41,190,382.69","4,515,820.61","14,046,163.00","28,996,006.35","37,253,217.03","8,485,521.06","19,810,896.10"
支付其他与投资活动有关的现金,,,,,,,,,,,"86,543,640.85",,,,,,,,"2,225,000.00",,
收到其他与经营活动有关的现金,"6,645,503.28","6,627,175.42","8,144,167.55",,"3,496,977.92","4,726,123.70","9,077,715.21","3,039,605.35","5,602,942.50","10,308,496.05","17,028,274.47","10,727,908.30","12,882,554.99","18,725,939.25","52,558,167.10","3,799,961.25","7,113,492.36","16,784,397.84","18,504,228.76","3,728,100.04","10,883,182.29"
投资活动现金流出小计,"79,775,411.98","33,784,044.82","25,349,280.48",,"29,044,248.75","34,297,707.89","56,835,254.61","393,662,714.91","542,546,269.53","797,115,729.67","1,030,803,351.33","150,314,264.46","204,020,341.34","348,780,337.52","438,575,615.10","69,716,813.55","218,371,434.61","287,296,013.63","547,629,233.09","928,231,160.81","1,177,770,781.49"
经营活动现金流入小计,"877,717,294.77","1,028,400,060.04","1,116,270,639.95",,"610,212,380.78","941,772,397.88","1,420,569,508.04","269,206,247.00","627,105,506.70","925,816,420.10","1,513,543,762.52","450,895,701.39","919,633,679.01","1,382,731,590.80","1,939,991,792.97","403,866,886.07","859,675,951.56","1,288,246,918.35","2,428,957,762.20","587,004,804.04","1,314,210,168.04"
投资活动产生的现金流量净额,"-78,559,838.27","-33,685,582.99","-25,177,144.71",,"-12,699,617.87","-17,816,434.78","-56,067,034.99","-373,540,158.75","-360,510,932.01","-380,421,351.77","-461,249,984.08","-8,893,467.59","94,941,124.40","78,736,273.87","3,980,091.09","31,914,158.22","-10,468,600.98","47,094,957.19","401,807,407.28","-846,551,315.61","-943,961,107.80"
购买商品、接受劳务支付的现金,"555,156,987.97","573,956,366.16","650,578,167.83",,"344,846,644.63","562,342,571.22","751,403,088.49","217,884,655.90","412,840,400.64","677,187,156.83","872,256,885.93","374,791,207.39","664,041,742.39","944,372,615.50","1,203,953,127.67","330,361,085.35","640,522,068.65","993,798,088.84","1,336,975,456.35","398,837,918.04","874,510,565.52"
吸收投资收到的现金,"110,368,718.00",,,,,"449,541,572.40","461,322,818.70","98,394,800.00","98,394,800.00","101,194,800.00","103,644,800.00","4,480,000.00","4,480,000.00","5,500,000.00","5,500,000.00","4,480,000.00","4,480,000.00","5,160,000.00","8,535,000.00","1,084,040,000.00","1,084,040,000.00"
支付给职工以及为职工支付的现金,"178,636,493.01","183,835,319.16","221,344,424.46",,"146,348,647.66","191,275,111.06","262,927,383.48","100,671,704.44","169,152,463.26","247,832,196.87","337,261,344.08","126,034,365.76","213,797,665.95","305,505,178.50","399,450,690.15","147,108,306.22","245,133,286.17","356,967,217.50","491,162,704.38","201,118,240.39","351,974,659.77"
取得借款收到的现金,"332,228,697.00","365,000,000.00","462,000,000.00",,"71,000,000.00","131,100,000.00","151,000,000.00","95,953,000.00","100,953,000.00","305,953,000.00","360,953,000.00","19,000,000.00","44,000,000.00","184,000,000.00","214,000,000.00","143,227,223.38","309,227,223.38","424,227,223.38","442,227,223.38","65,200,000.00","280,200,000.00"
支付的各项税费,"87,190,841.26","102,159,697.91","98,979,768.79",,"59,479,209.30","104,195,240.85","140,146,941.56","20,318,722.01","71,608,081.52","102,691,604.07","142,623,326.34","41,696,691.34","79,074,326.13","133,201,820.54","173,535,531.73","41,134,380.21","89,537,243.31","146,368,140.02","201,167,258.13","118,780,694.52","238,035,644.47"
收到其他与筹资活动有关的现金,,,,,,"11,781,246.30","734,405.63","295,145.09","402,903.71","583,396.74","752,058.95","69,469.79","170,279.89","321,587.66","413,939.70","28,619.44","99,271.26","127,476.75","127,476.75",,"260,076.73"
支付其他与经营活动有关的现金,"36,235,608.05","33,549,252.63","49,015,732.21",,"28,033,527.52","50,799,164.66","48,929,415.55","16,023,831.65","37,224,454.21","58,912,366.13","72,000,304.31","21,071,142.13","36,405,955.18","58,615,429.15","101,528,827.02","19,082,593.63","43,548,755.14","71,026,985.87","217,223,550.23","50,394,988.84","434,760,785.02"
筹资活动现金流入小计,"442,597,415.00","365,000,000.00","462,000,000.00",,"71,000,000.00","592,422,818.70","613,057,224.33","194,642,945.09","199,750,703.71","407,731,196.74","465,349,858.95","23,549,469.79","48,650,279.89","189,821,587.66","219,913,939.70","147,735,842.82","313,806,494.64","429,514,700.13","450,889,700.13","1,149,240,000.00","1,364,500,076.73"
经营活动现金流出小计,"857,219,930.29","893,500,635.86","1,019,918,093.29",,"578,708,029.11","908,612,087.79","1,203,406,829.08","354,898,914.00","690,825,399.63","1,086,623,323.90","1,424,141,860.66","563,593,406.62","993,319,689.65","1,441,695,043.69","1,878,468,176.57","537,686,365.41","1,018,741,353.27","1,568,160,432.23","2,246,528,969.09","769,131,841.79","1,899,281,654.78"
偿还债务支付的现金,"310,650,424.00","310,350,000.00","436,000,000.00",,"73,000,000.00","140,000,000.00","258,000,000.00","119,000,000.00","135,953,000.00","200,953,000.00","261,953,000.00","55,000,000.00","130,000,000.00","264,014,500.00","334,000,000.00","38,000,000.00","76,227,223.38","236,227,223.38","340,227,223.38","51,000,000.00","211,000,000.00"
经营活动产生的现金流量净额,"20,497,364.48","134,899,424.18","96,352,546.66","-55,503,269.07","31,504,351.67","33,160,310.09","217,162,678.96","-85,692,667.00","-63,719,892.93","-160,806,903.80","89,401,901.86","-112,697,705.23","-73,686,010.64","-58,963,452.89","61,523,616.40","-133,819,479.34","-159,065,401.71","-279,913,513.88","182,428,793.11","-182,127,037.75","-585,071,486.74"
分配股利、利润或偿还利息支付的现金,"106,359,746.58","156,454,708.05","18,272,273.56",,"102,346,571.07","106,658,050.37","106,763,052.19","2,691,613.50","47,841,539.00","51,151,069.93","56,227,170.48","4,991,913.26","58,445,683.94","63,368,465.43","66,440,222.29","2,219,631.17","68,970,701.95","72,992,593.69","77,060,681.70","3,788,532.92","113,525,435.41"
收回投资收到的现金,"1,199,638.71",,,,"16,000,000.00","16,000,000.00",,"20,000,000.00","180,000,000.00","410,000,000.00","560,000,000.00","120,000,000.00","275,000,000.00","400,000,000.00","400,000,000.00","100,000,000.00","200,000,000.00","325,000,000.00","545,322,010.00","80,000,000.00","220,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"4,742,246.30","7,952,246.30",,,"1,604,513.89","1,700,000.00",,,,"443,029.95",,,,,,
取得投资收益收到的现金,"8,250.00",,,,"11,441.10","114,583.33",,"94,356.16","2,003,657.52","6,642,727.90","8,984,736.57","1,409,966.87","3,948,975.74","7,411,021.39","7,411,021.39","1,620,191.77","2,839,303.63","4,302,240.82","5,470,412.64","1,567,035.20","3,696,463.69"
筹资活动现金流出小计,"417,010,170.58","466,804,708.05","454,272,273.56",,"175,346,571.07","251,400,296.67","372,715,298.49","121,691,613.50","183,794,539.00","253,708,583.82","319,880,170.48","59,991,913.26","188,445,683.94","327,382,965.43","400,883,252.24","40,219,631.17","145,197,925.33","309,219,817.07","417,287,905.08","54,788,532.92","324,525,435.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,685.00","98,461.83","172,135.77",,"333,189.78","366,689.78","768,219.62","28,200.00","31,680.00","51,650.00","568,630.68","10,830.00","12,490.00","105,590.00","144,684.80","10,780.00","63,530.00","88,730.00","118,038.64","112,810.00","113,210.00"
筹资活动产生的现金流量净额,"25,587,244.42","-101,804,708.05","7,727,726.44",,"-104,346,571.07","341,022,522.03","240,341,925.84","72,951,331.59","15,956,164.71","154,022,612.92","145,469,688.47","-36,442,443.47","-139,795,404.05","-137,561,377.77","-180,969,312.54","107,516,211.65","168,608,569.31","120,294,883.06","33,601,795.05","1,094,451,467.08","1,039,974,641.32"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-44,697.33","-185,181.63","-159,238.80",,"-1,016,642.96","-1,353,746.30","-540,755.63","118,195.59","117,054.50","614,350.88","478,208.43","219,744.88","504,137.98","644,802.00","1,206,934.15","-136,248.03","-127,317.84","-516,489.69","-904,020.64","-917,618.21","85,232.76"
收到其他与投资活动有关的现金,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","35,000,000.00",,"5,000,000.00","5,000,000.00","398,526,179.09",,"10,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,215,573.71","98,461.83","172,135.77",,"16,344,630.88","16,481,273.11","768,219.62","20,122,556.16","182,035,337.52","416,694,377.90","569,553,367.25","141,420,796.87","298,961,465.74","427,516,611.39","442,555,706.19","101,630,971.77","207,902,833.63","334,390,970.82","949,436,640.37","81,679,845.20","233,809,673.69"
五、现金及现金等价物净增加额,"-32,519,926.70","-776,048.49","78,743,889.59",,"-86,558,480.23","355,012,651.04","400,896,814.18","-386,163,298.57","-408,157,605.73","-386,591,291.77","-225,900,185.32","-157,813,871.41","-118,036,152.31","-117,143,754.79","-114,258,670.90","5,474,642.50","-1,052,751.22","-113,040,163.32","616,933,974.80","64,855,495.51","-488,972,720.46"
购建固定资产、无形资产和其他长期资产支付的现金,"70,646,903.98","33,784,044.82","25,349,280.48",,"13,044,248.75","18,297,707.89","56,835,254.61","13,662,714.91","42,546,269.53","77,115,729.67","124,259,710.48","45,314,264.46","64,020,341.34","96,600,337.52","123,959,615.10","29,716,813.55","53,371,434.61","82,296,013.63","120,145,160.62","64,443,287.81","90,036,436.49"
期初现金及现金等价物余额,"186,103,152.26","153,583,225.56","152,807,177.07",,"231,551,066.66","231,551,066.66","231,551,066.66","632,447,880.84","632,447,880.84","632,447,880.84","632,447,880.84","406,547,695.52","406,547,695.52","406,547,695.52","406,547,695.52","292,289,024.62","292,289,024.62","292,289,024.62","292,289,024.62","936,981,742.58","909,222,999.42"
投资支付的现金,"9,128,508.00",,,,"16,000,000.00","16,000,000.00",,"380,000,000.00","500,000,000.00","720,000,000.00","820,000,000.00","105,000,000.00","140,000,000.00","252,180,000.00","314,616,000.00","40,000,000.00","165,000,000.00","205,000,000.00","425,259,072.47","863,787,873.00","1,087,734,345.00"
期末现金及现金等价物余额,"153,583,225.56","152,807,177.07","231,551,066.66",,"144,992,586.43","586,563,717.70","632,447,880.84","246,284,582.27","224,290,275.11","245,856,589.07","406,547,695.52","248,733,824.11","288,511,543.21","289,403,940.73","292,289,024.62","297,763,667.12","291,236,273.40","179,248,861.30","909,222,999.42","1,001,837,238.09","420,250,278.96"
