科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"708,417,441.48","717,678,733.47","716,288,231.13","426,858,964.69","641,485,683.95","1,029,173,199.38","477,246,373.65","916,699,487.09","1,490,255,783.94"
二、营业利润,"32,680,928.41","39,975,894.38","58,591,287.16","41,911,712.62","53,493,884.99","77,006,961.51","95,766,508.71","201,561,907.54","310,575,828.45"
减:营业成本,"601,062,521.43","595,418,770.03","574,016,547.15","339,993,493.32",,"836,690,475.10","340,702,985.52","671,569,364.23","1,129,598,262.22"
加:补贴收入,,,,,,,,,
营业税金及附加,"2,545,759.34","2,655,590.24","4,032,946.70","2,466,973.12",,"8,627,466.89","4,879,402.10","9,488,519.37","16,936,532.85"
营业外收入,"18,009,249.12","19,857,043.02","29,901,156.73","17,840,692.09",,"57,669,653.25","14,412,868.19","5,362,866.64","6,836,692.67"
销售费用,"17,687,578.01","18,841,830.72","20,647,060.57","12,592,744.09",,"28,974,274.92","12,394,835.08","25,549,891.17","37,810,180.12"
减:营业外支出,"1,770,032.58","1,764,564.20","5,626,505.88","80,034.18",,"1,154,862.83",,650.00,"1,315,399.58"
管理费用,"42,755,036.70","51,086,781.19","46,978,811.25","24,982,880.75",,"65,496,381.20","21,218,946.02","47,344,665.11","76,072,136.27"
其中:非流动资产处置净损失,"931,818.46","1,165,443.70","5,115,498.86",,,"4,500.00",,,"1,212,605.88"
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"11,612,605.98","9,511,234.25","6,996,037.26","3,602,959.31",,"9,978,513.60","1,798,880.03","2,769,979.94","2,871,168.96"
三、利润总额,"48,920,144.95","58,068,373.20","82,865,938.01","59,672,370.53","81,454,417.41","133,521,751.93","110,179,376.90","206,924,124.18","316,097,121.54"
资产减值损失,"102,603.53","188,632.66","5,025,541.04","1,308,201.48",,"2,399,126.16","484,816.19","1,963,647.62","3,155,968.30"
减:所得税,"2,596,557.71","2,900,785.20","5,671,491.15","7,768,017.15",,"10,775,202.83","14,886,329.82","26,194,743.07","39,841,565.70"
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,"29,591.92",,,,,,,,"990,205.48"
四、净利润,"46,323,587.24","55,167,588.00","77,194,446.86","51,904,353.38","71,918,448.56","122,746,549.10","95,293,047.08","180,729,381.11","276,255,555.84"
其中:对联营企业和合营企业的投资权益,,,,,,,,,
归属于母公司所有者的净利润,"45,307,916.47","54,332,574.20","77,194,446.86","51,904,353.38","71,918,448.56","122,746,549.10","95,293,047.08","180,729,381.11","276,255,555.84"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,"1,015,670.77","835,013.80",,,,,,,
