科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"89,444,440.45","156,697,184.49","218,251,596.52","247,981,884.33","28,427,357.06","229,560,472.51","331,871,289.43","97,935,875.59","105,539,684.49","165,593,200.17"
短期借款,,,,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,"302,600.00","641,585.00","626,747.00",,"843,285.00","156,489.00","535,585.00",,"582,249.00"
应付票据,,,,,,,,,,
应收账款,"12,638,072.13","12,012,893.94","17,644,186.87","23,727,050.41","27,584,646.89","23,303,479.32","27,221,894.73","27,853,553.80","23,731,676.13","36,995,078.07"
应付账款,"1,622,478.76","1,906,366.97","1,440,749.22","10,984,769.40","9,236,037.43","12,761,771.60","18,008,025.64","16,610,949.64","18,549,896.20","13,527,565.40"
预付款项,"209,478.49","1,659,672.89","1,841,479.13","2,602,356.31","1,876,248.36","2,916,278.89","3,089,022.08","3,628,899.96","10,176,158.31","3,675,978.37"
预收款项,"5,720,183.41","5,627,024.24","9,227,645.38","9,012,419.89","14,207,239.26","8,191,329.54","16,778,609.14","14,981,595.88","18,231,532.27","24,875,210.40"
其他应收款,"1,266,065.99","674,432.75","1,976,819.76","2,496,822.43","1,108,261.54","1,083,906.38","3,585,052.18","2,190,094.71","3,354,680.49","9,779,031.80"
应付职工薪酬,"1,677,740.31","2,176,717.87","3,866,202.02","2,725,377.46","3,098,564.79","3,901,553.62","4,860,049.87","3,302,348.13","5,884,121.62","7,628,850.38"
应收关联公司款,,,,,,,,,,
应交税费,"5,968,975.36","6,722,908.00","7,188,810.75","14,106,996.12","14,825,396.53","10,512,964.93","8,494,230.27","12,049,061.50","18,153,601.34","12,592,455.74"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,"18,787,000.00","18,787,000.00","73,765,000.00",,,"1,274,328.65","1,274,328.65",
存货,"4,197,467.46","4,835,207.13","11,089,557.17","14,284,406.73","16,402,262.42","13,017,079.19","19,849,272.61","22,485,451.95","24,767,210.14","19,126,918.21"
其他应付款,"1,175,221.33","1,405,993.09","2,674,155.26","3,162,666.90","3,790,712.98","2,428,513.07","2,604,883.40","3,785,066.43","6,358,568.96","46,493,142.57"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,"163,174.93","63,670.81",,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"20,710,000.00","221,088.28","48,683.00","133,645.17","249,928,438.25","383,255.53","273,875,726.70","502,072,592.81","551,000,270.78","547,415,199.41"
其他流动负债,,,,,,,,,,
流动资产合计,"128,465,524.52","176,403,079.48","251,493,907.45","292,016,087.31","325,390,885.33","271,107,756.82","659,648,746.73","656,702,053.82","718,569,680.34","783,167,655.03"
流动负债合计,"16,164,599.17","17,839,010.17","43,184,562.63","58,779,229.77","118,922,950.99","37,796,132.76","50,745,798.32","52,003,350.23","68,452,049.04","105,117,224.49"
可供出售金融资产,,,,,"6,340,000.00","6,340,000.00","6,340,000.00","6,340,000.00","6,340,000.00","6,340,000.00"
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,"2,382,955.94",,,"4,245,846.43"
专项应付款,,,,,,,,,,
投资性房地产,"2,250,613.26","2,127,655.38","2,004,697.50","1,943,218.56","1,912,479.09","1,881,740.02","1,851,000.55","1,820,261.08","1,789,521.61","1,758,782.14"
预计负债,,,,,,,,,,
固定资产,"29,181,716.71","29,406,370.45","31,726,806.69","32,388,929.91","31,998,956.76","31,858,603.13","32,016,394.90","37,029,832.23","39,700,335.36","32,799,518.78"
递延所得税负债,,,,,,,,,,
在建工程,"1,619,809.09","806,251.68","2,422,571.89","19,444,730.98","28,915,714.05","36,359,886.44","45,479,942.49","52,112,488.30","61,559,568.20","75,400,425.07"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"892,047.84","269,641.89","85,185.20","74,715.14","69,480.11","3,764,245.08","3,759,010.05","3,753,775.02","3,748,539.99","5,113,304.96"
固定资产清理,,,,,,,,,,
负债合计,"17,056,647.01","18,108,652.06","43,269,747.83","58,853,944.91","118,992,431.10","41,560,377.84","54,504,808.37","55,757,125.25","72,200,589.03","110,230,529.45"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"51,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00","68,000,000.00","122,400,000.00","122,400,000.00","124,313,920.00"
油气资产,,,,,,,,,,
资本公积,"63,557,516.14","63,557,516.14","63,524,381.03","63,524,381.03","63,524,381.03","63,524,381.03","408,582,233.12","408,550,614.05","409,374,145.08","453,626,553.61"
无形资产,"25,121.02","17,943.58","7,791,742.43","7,709,292.47","7,668,067.49","7,626,842.51","7,585,617.53","7,544,392.55","7,514,961.93","7,465,531.31"
盈余公积,"2,461,015.81","8,158,977.91","16,131,596.82","16,131,596.82","16,131,596.82","25,500,000.00","25,500,000.00","25,500,000.00","25,500,000.00","41,113,507.97"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,"42,584,720.00"
商誉,,,,,,,,,"4,170,293.29","4,795,793.04"
未分配利润,"28,839,908.51","67,940,858.73","121,773,087.64","164,704,195.20","153,842,564.85","171,464,650.43","198,432,945.73","151,702,809.41","206,044,916.67","228,509,845.98"
长期待摊费用,"1,015,740.22","864,050.50","333,522.12",,,"757,187.54","980,834.20","4,459,295.70","5,194,571.47","1,505,345.01"
少数股东权益,,"1,425,043.36","1,105,212.81","533,295.05","540,970.73","4,452,085.45","2,608,889.43","7,780,057.22","12,174,976.69","7,359,062.13"
递延所得税资产,"356,562.65","565,697.13","1,030,778.05","1,245,153.78","1,805,841.81","1,569,478.29","1,343,384.31","1,592,212.75","2,855,695.27","2,596,137.92"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,,,,,,,"4,090,069.50",,"2,493,664.41"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"34,449,562.95","33,787,968.72","45,310,118.68","62,731,325.70","78,641,059.20","86,393,737.93","97,980,129.92","114,988,552.11","129,124,947.13","139,401,044.11"
所有者权益(或股东权益)合计,"145,858,440.46","192,082,396.14","253,534,278.30","295,893,468.10","285,039,513.43","315,941,116.91","703,124,068.28","715,933,480.68","775,494,038.44","812,338,169.69"
资产总计,"162,915,087.47","210,191,048.20","296,804,026.13","354,747,413.01","404,031,944.53","357,501,494.75","757,628,876.65","771,690,605.93","847,694,627.47","922,568,699.14"
负债和所有者(或股东权益)合计,"162,915,087.47","210,191,048.20","296,804,026.13","354,747,413.01","404,031,944.53","357,501,494.75","757,628,876.65","771,690,605.93","847,694,627.47","922,568,699.14"
