科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"10,690,684.05","21,236,031.76","45,878,863.59","76,901,265.96",,"95,564,820.92","265,667,459.34","77,585,112.88","66,677,609.46","71,419,155.29"
短期借款,"30,799,907.00","38,880,000.00","46,000,000.00","59,000,000.00",,"68,242,480.00","37,168,410.84","15,361,930.84","25,503,300.92","78,802,962.12"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"6,392,891.50","10,304,776.74","15,699,326.85","12,299,555.42",,"13,345,413.18","15,660,804.39","12,469,064.92","15,394,564.53","20,998,051.54"
应付票据,,,,,,,,,,
应收账款,"75,360,026.69","96,653,862.39","103,537,732.65","109,413,944.63",,"127,197,852.43","128,795,500.68","132,433,349.11","144,307,095.42","155,570,795.23"
应付账款,"25,248,732.45","14,229,431.39","10,968,421.90","14,808,578.18",,"17,858,311.06","24,808,763.73","14,539,026.66","45,896,818.79","18,770,430.22"
预付款项,"9,270,512.82","4,930,615.96","11,384,004.95","10,704,478.27",,"14,434,209.66","13,298,839.87","3,999,224.40","15,053,249.43","13,666,022.19"
预收款项,"1,333,142.37","1,492,661.84","1,347,406.55","1,867,416.85",,"2,237,242.75","2,971,610.26","3,208,168.64","3,359,133.86","4,350,799.71"
其他应收款,"87,716.52","253,103.63","1,150,713.91","1,430,686.86",,"1,626,666.84","2,744,033.51","3,411,868.48","5,933,962.09","1,012,146.98"
应付职工薪酬,"4,324,227.38","4,673,592.33","6,412,513.25","4,331,899.29",,"8,143,505.17","3,743,776.16","4,321,189.56","5,244,487.92","6,090,771.41"
应收关联公司款,,,,,,,,,,
应交税费,"1,430,247.34","2,215,567.07","4,511,111.67","4,475,313.08",,"8,532,625.39","2,525,056.77","1,925,489.12","2,549,429.60","10,385,756.56"
应收利息,,,,,,,,,,
应付利息,"50,005.50","78,532.67","105,292.50","148,625.00",,"109,246.51","212,381.30","108,894.78","125,250.75","207,195.97"
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"60,641,546.14","55,915,482.08","53,537,529.98","60,227,000.96",,"59,225,618.78","74,416,098.92","79,579,185.83","78,567,500.33","83,972,010.10"
其他应付款,"5,681,075.79","4,765,197.07","4,768,813.03","4,825,686.80",,"5,967,817.62","5,198,278.98","5,915,138.63","7,309,149.68","36,239,906.06"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"4,001,810.71","2,367,330.96","10,115,036.42","338,062.77",,"1,687,969.97","3,795,833.41","72,586,258.20","61,537,537.60","71,570,785.39"
其他流动负债,,,,,,,,,"50,000.00",
流动资产合计,"166,445,188.43","191,661,203.52","241,303,208.35","271,314,994.87",,"313,082,551.78","504,378,570.12","382,064,063.82","387,471,518.86","418,208,966.72"
