科目,2007年度,2008年1-3月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"34,695,895,000.00","4,926,530,000.00","23,705,782,456.30","42,120,174,579.00","7,542,820,538.35","18,738,652,000.00","32,599,791,000.00","53,397,729,203.00","8,752,181,000.00","28,924,150,989.00","45,247,567,000.00","73,832,126,361.00","11,984,030,000.00","29,129,712,051.00","41,849,735,000.00","88,402,548,099.00","13,654,315,000.00","27,471,938,288.00","51,202,419,000.00","93,438,330,460.00","21,885,145,000.00","43,398,125,032.00","60,684,444,000.00","103,921,022,446.00","28,482,239,000.00","59,371,803,357.00","95,640,220,443.00","154,922,470,708.00","27,055,268,037.00","94,792,421,000.00","147,333,255,000.00","258,387,878,000.00","45,241,859,000.00","102,602,449,000.00","151,846,695,000.00","257,731,365,000.00","33,740,219,000.00","81,482,907,000.00","135,770,555,000.00","227,361,569,000.00","44,948,329,000.00","97,929,412,000.00","159,105,052,000.00","257,818,110,000.00","42,881,762,000.00"
取得子公司及其他营业单位支付的现金净额,"10,551,000.00","10,298,000.00",,"-111,767,636.00",,,,,,,,,,"17,779,979.00",,"17,779,979.00",,,,"147,708,562.00",,,,,,,"1,847,327,364.00",,,"487,477,000.00",,,,,,"96,603,000.00",,"13,210,000.00",,,,"50,031,000.00","171,941,000.00","222,045,000.00",
收到的税费返还,"216,570,000.00","18,901,000.00","152,784,656.33","290,324,787.00","8,255,353.00","178,440,000.00","208,169,000.00","280,420,061.00","33,194,000.00","63,151,346.00","81,634,000.00","150,296,987.00","22,530,000.00","105,812,246.00","150,463,000.00","73,138,343.00","133,455,000.00","181,758,060.00","312,623,000.00","423,380,777.00","158,704,000.00","224,558,352.00","297,049,000.00","413,720,848.00","53,201,000.00","310,809,348.00","496,452,833.00","664,347,472.00","133,496,679.00","671,324,000.00","914,337,000.00","1,314,673,000.00","561,300,000.00","566,586,000.00","746,439,000.00","1,116,184,000.00","333,296,000.00","488,728,000.00","697,553,000.00","817,087,000.00","340,273,000.00","539,169,000.00","1,026,513,000.00","1,294,261,000.00","356,977,000.00"
支付其他与投资活动有关的现金,,,"1,900,902.56",,"502,080.00",,,"22,498,007.00","441,000.00",,,,,,,"1,028.00",,,,,,,,,,"1,239,248,219.00","1,239,248,219.00","1,596,982,234.00",,"923,394,000.00","1,417,405,000.00","1,074,807,000.00","664,000.00",,,,,,"13,210,000.00","41,003,000.00",,,"50,031,000.00","66,678,000.00",
收到其他与经营活动有关的现金,"504,756,000.00","84,514,000.00","1,438,324,566.93","248,269,235.00","28,813,317.71","366,843,000.00","561,257,000.00","560,893,521.00","105,377,000.00","310,564,248.00","490,736,000.00","818,046,592.00","378,546,000.00","341,216,365.00","460,710,000.00","940,379,936.00","442,668,000.00","411,308,673.00","568,595,000.00","1,115,701,848.00","256,952,000.00","1,115,081,224.00","1,606,302,000.00","2,303,344,752.00","250,748,000.00","291,437,431.00","606,508,441.00","950,128,755.00","364,487,507.00","2,211,788,000.00","3,499,162,000.00","4,445,614,000.00","1,667,475,000.00","2,553,271,000.00","2,881,102,000.00","4,377,159,000.00","662,660,000.00","1,416,436,000.00","1,782,991,000.00","3,606,317,000.00","792,651,000.00","1,349,855,000.00","1,754,731,000.00","3,461,593,000.00","789,285,000.00"
投资活动现金流出小计,"2,752,513,000.00","1,038,624,000.00","4,259,512,021.64","4,165,839,467.00","703,828,965.69","1,927,872,000.00","3,161,298,000.00","5,116,035,068.00","1,973,274,000.00","2,265,660,215.00","3,327,885,000.00","6,275,762,150.00","1,385,852,000.00","3,891,475,247.00","4,344,443,000.00","24,240,939,215.00","2,097,788,000.00","3,269,290,240.00","5,407,722,000.00","5,799,435,035.00","1,344,248,000.00","2,744,800,481.00","4,946,630,000.00","8,496,942,191.00","1,890,589,000.00","5,771,765,040.00","9,976,094,244.00","14,225,962,562.00","499,128,023.00","9,753,026,000.00","14,471,577,000.00","33,180,490,000.00","15,198,952,000.00","22,148,382,000.00","31,194,350,000.00","47,812,738,000.00","10,794,709,000.00","17,491,652,000.00","27,164,450,000.00","43,657,630,000.00","10,979,017,000.00","24,507,735,000.00","48,822,950,000.00","63,651,329,000.00","11,672,235,000.00"
经营活动现金流入小计,"35,417,221,000.00","5,029,944,000.00","25,296,891,679.56","42,658,768,601.00","7,579,889,209.06","19,283,935,000.00","33,369,217,000.00","54,239,042,785.00","8,890,752,000.00","29,297,866,583.00","45,819,937,000.00","74,800,469,940.00","12,385,106,000.00","29,576,740,662.00","42,460,908,000.00","89,416,066,378.00","14,230,438,000.00","28,065,005,021.00","52,083,637,000.00","94,977,413,085.00","22,300,801,000.00","44,737,764,608.00","62,587,795,000.00","106,638,088,046.00","28,786,188,000.00","59,974,050,136.00","96,743,181,717.00","156,536,946,935.00","27,553,252,223.00","97,675,533,000.00","151,746,754,000.00","264,148,165,000.00","47,470,634,000.00","105,722,306,000.00","157,535,930,000.00","263,224,708,000.00","34,736,175,000.00","84,588,071,000.00","138,251,099,000.00","232,561,429,000.00","46,081,253,000.00","99,818,436,000.00","161,886,296,000.00","262,573,964,000.00","45,028,024,000.00"
投资活动产生的现金流量净额,"-2,349,293,000.00","-220,358,000.00","-2,313,797,317.32","-3,049,428,156.00","-280,030,507.89","-1,428,909,000.00","-2,588,341,000.00","-4,541,317,189.00","-1,916,583,000.00","-1,833,718,752.00","-2,804,433,000.00","-5,628,349,158.00","-1,380,991,000.00","-3,537,246,545.00","-3,955,905,000.00","-7,543,122,812.00","-1,782,450,000.00","-1,788,281,929.00","-3,634,056,000.00","-4,245,622,534.00","-1,342,563,000.00","-1,939,247,256.00","-3,988,727,000.00","-7,245,303,964.00","-1,857,384,000.00","-4,966,952,477.00","-7,343,057,662.00","-9,683,013,796.00","4,738,610,946.00","2,274,373,000.00","639,478,000.00","-5,391,870,000.00","-10,768,547,000.00","-9,855,186,000.00","-12,288,927,000.00","-24,708,539,000.00","4,933,848,000.00","4,169,351,000.00","1,185,286,000.00","-2,974,729,000.00","-4,320,143,000.00","-1,802,801,000.00","-12,343,103,000.00","-4,333,324,000.00","-2,370,307,000.00"
购买商品、接受劳务支付的现金,"27,282,603,000.00","6,274,111,000.00","20,021,556,231.82","33,033,881,464.00","7,300,809,699.20","17,199,980,000.00","29,133,154,000.00","40,074,913,434.00","10,165,745,000.00","24,294,804,207.00","36,063,804,000.00","56,715,241,786.00","14,936,629,000.00","29,686,820,841.00","44,734,310,000.00","66,446,386,286.00","15,167,260,000.00","30,106,590,484.00","45,847,777,000.00","73,678,093,910.00","19,423,740,000.00","38,799,244,536.00","55,002,592,000.00","79,694,624,376.00","21,379,540,000.00","53,294,388,241.00","79,429,478,672.00","111,465,049,673.00","25,442,750,478.00","83,089,068,000.00","125,183,822,000.00","192,881,919,000.00","38,497,093,000.00","87,774,437,000.00","117,356,785,000.00","185,796,974,000.00","37,011,413,000.00","76,628,793,000.00","110,029,869,000.00","157,533,078,000.00","39,764,157,000.00","83,408,901,000.00","120,551,984,000.00","182,025,019,000.00","34,737,699,000.00"
吸收投资收到的现金,"168,469,000.00","43,153,000.00","10,487,411,760.50","10,812,009,408.00","138,585,269.39","8,000,000.00","8,000,000.00","43,695,319.00","57,383,000.00","811,290,315.00","821,290,000.00","1,046,839,311.00","431,980,000.00","118,860,161.00","118,860,000.00","289,150,253.00","8,720,831,000.00","9,129,067,382.00","9,144,880,000.00","9,319,530,011.00",,"847,850,144.00","946,482,000.00","2,697,146,684.00","19,600,000.00","80,200,000.00","203,436,997.00","379,200,000.00","15,000,000.00","128,779,000.00","275,779,000.00","501,370,000.00","14,800,000.00","90,434,000.00","133,686,000.00","178,694,000.00","12,058,122,000.00","11,997,905,000.00","12,062,226,000.00","12,164,135,000.00","33,589,000.00","34,209,000.00","47,189,000.00","145,719,000.00","766,000,000.00"
支付给职工以及为职工支付的现金,"3,870,242,000.00","836,066,000.00","2,447,233,008.31","4,263,382,280.00","880,226,362.51","2,030,809,000.00","2,844,158,000.00","4,844,983,749.00","1,221,658,000.00","2,579,523,253.00","3,612,770,000.00","6,480,889,608.00","1,784,309,000.00","3,535,168,726.00","4,830,543,000.00","8,180,115,104.00","1,821,805,000.00","3,884,432,852.00","5,419,130,000.00","9,062,310,122.00","1,985,091,000.00","4,197,962,717.00","5,931,932,000.00","9,769,329,891.00","2,209,475,000.00","4,860,830,461.00","7,260,416,593.00","12,956,742,276.00","2,627,393,746.00","11,925,657,000.00","16,058,440,000.00","25,713,796,000.00","5,642,931,000.00","11,652,746,000.00","17,204,052,000.00","25,980,731,000.00","6,238,575,000.00","12,652,508,000.00","19,112,214,000.00","28,373,951,000.00","6,585,887,000.00","13,182,168,000.00","19,575,551,000.00","29,628,066,000.00","6,379,887,000.00"
取得借款收到的现金,"10,921,604,000.00","2,598,350,000.00","6,393,968,228.50","10,404,579,750.00","310,888,059.62","4,549,730,000.00","9,957,454,000.00","15,576,534,557.00","3,476,237,000.00","3,183,639,528.00","4,562,812,000.00","9,545,771,556.00","4,953,983,000.00","15,133,580,598.00","16,596,686,000.00","33,200,692,160.00","1,851,640,000.00","4,243,886,779.00","7,115,886,000.00","14,439,462,696.00","5,239,218,000.00","6,044,675,639.00","25,885,740,000.00","23,677,329,747.00","7,585,709,000.00","15,770,075,557.00","25,475,925,549.00","33,837,270,218.00","4,905,905,047.00","43,964,873,000.00","50,825,152,000.00","75,555,241,000.00","14,705,884,000.00","43,847,098,000.00","58,273,897,000.00","100,089,589,000.00","13,015,421,000.00","43,795,491,000.00","64,639,780,000.00","89,926,295,000.00","2,570,459,000.00","8,483,367,000.00","19,806,891,000.00","13,868,678,000.00","14,415,113,000.00"
支付的各项税费,"1,017,752,000.00","371,414,000.00","1,297,632,383.74","1,645,628,766.00","429,489,333.66","711,863,000.00","1,469,250,000.00","2,038,245,638.00","710,608,000.00","1,532,353,164.00","1,975,348,000.00","2,998,546,621.00","1,045,666,000.00","2,050,664,354.00","3,290,651,000.00","3,511,734,121.00","1,450,757,000.00","2,802,186,248.00","3,634,017,000.00","4,198,759,683.00","1,393,158,000.00","2,431,725,968.00","3,121,076,000.00","5,652,579,995.00","1,462,682,000.00","3,787,302,845.00","5,687,855,242.00","8,109,445,632.00","1,641,916,267.00","7,018,606,000.00","10,615,435,000.00","15,087,875,000.00","4,825,360,000.00","7,764,029,000.00","10,686,689,000.00","15,902,495,000.00","3,878,364,000.00","6,480,019,000.00","10,455,637,000.00","15,576,537,000.00","3,858,480,000.00","8,004,070,000.00","10,904,587,000.00","13,957,337,000.00","4,395,634,000.00"
收到其他与筹资活动有关的现金,,,"277,201,949.74",,,,,,,,,,,,,,"2,575,000.00",,,,,,,,,"200,000,000.00","228,200,000.00",,,"5,000,000.00","5,000,000.00","110,658,000.00",,"60,000,000.00","60,000,000.00","217,547,000.00","6,895,000.00",,,"8,000,000.00",,,,"19,188,000.00",
支付其他与经营活动有关的现金,"1,803,451,000.00","467,725,000.00","2,134,751,957.15","2,377,174,478.00","241,484,006.99","1,058,048,000.00","1,409,233,000.00","2,875,608,923.00","920,943,000.00","1,403,447,495.00","3,435,860,000.00","4,889,617,740.00","1,682,717,000.00","2,001,651,564.00","2,592,590,000.00","4,336,497,052.00","1,556,726,000.00","2,399,149,506.00","3,318,235,000.00","5,643,557,536.00","1,523,041,000.00","2,559,295,132.00","3,939,815,000.00","6,109,703,148.00","1,462,661,000.00","2,781,565,998.00","3,483,653,519.00","10,278,757,297.00","1,267,198,428.00","6,422,416,000.00","10,066,170,000.00","15,483,065,000.00","3,135,535,000.00","6,649,467,000.00","8,934,188,000.00","14,558,129,000.00","3,136,380,000.00","4,808,788,000.00","8,143,325,000.00","14,868,807,000.00","3,671,089,000.00","5,404,303,000.00","11,585,262,000.00","17,419,493,000.00","3,083,878,000.00"
筹资活动现金流入小计,"11,090,073,000.00","2,641,503,000.00","17,158,581,938.74","21,216,589,158.00","449,473,329.01","4,557,730,000.00","9,965,454,000.00","17,620,229,876.00","3,533,620,000.00","5,994,929,843.00","7,384,102,000.00","13,092,610,867.00","5,385,963,000.00","16,252,440,759.00","16,715,546,000.00","39,489,842,413.00","10,575,046,000.00","13,372,954,161.00","16,260,766,000.00","25,758,992,707.00","5,239,218,000.00","12,892,525,783.00","26,832,222,000.00","37,874,476,431.00","7,605,309,000.00","20,750,275,557.00","33,607,562,546.00","41,916,470,218.00","4,920,905,047.00","51,098,652,000.00","64,105,931,000.00","94,167,269,000.00","18,639,524,000.00","53,888,940,000.00","76,358,991,000.00","121,377,238,000.00","25,080,438,000.00","57,793,396,000.00","78,702,006,000.00","104,098,430,000.00","2,604,048,000.00","8,517,576,000.00","31,854,080,000.00","26,033,585,000.00","15,181,113,000.00"
经营活动现金流出小计,"33,974,048,000.00","7,949,317,000.00","25,901,173,581.02","41,320,066,988.00","8,852,009,402.36","21,000,700,000.00","34,855,795,000.00","49,833,751,744.00","13,018,954,000.00","29,810,128,119.00","45,087,782,000.00","71,084,295,755.00","19,449,321,000.00","37,274,305,485.00","55,448,094,000.00","82,474,732,563.00","19,996,548,000.00","39,192,359,090.00","58,219,159,000.00","92,582,721,251.00","24,325,030,000.00","47,988,228,353.00","67,995,415,000.00","101,226,237,410.00","26,514,358,000.00","64,724,087,545.00","95,861,404,026.00","142,809,994,878.00","30,979,258,919.00","108,455,747,000.00","161,923,867,000.00","249,166,655,000.00","52,100,919,000.00","113,840,679,000.00","154,181,714,000.00","242,238,329,000.00","50,264,732,000.00","102,097,706,000.00","147,741,045,000.00","216,352,373,000.00","55,470,253,000.00","110,360,282,000.00","162,617,384,000.00","243,704,620,000.00","49,483,512,000.00"
偿还债务支付的现金,"7,087,191,000.00","2,992,087,000.00","9,391,524,280.97","14,426,791,326.00","1,093,656,364.25","4,941,470,000.00","8,623,744,000.00","16,642,601,072.00","2,262,269,000.00","4,188,129,182.00","5,768,032,000.00","7,425,950,908.00","1,674,507,000.00","5,688,518,911.00","5,033,729,000.00","28,895,865,166.00","3,090,662,000.00","9,732,219,789.00","15,413,060,000.00","27,604,864,769.00","3,751,302,000.00","9,522,753,721.00","18,577,157,000.00","33,329,882,660.00","4,796,479,000.00","9,981,219,277.00","25,579,969,203.00","42,087,158,450.00","2,138,749,786.00","50,450,512,000.00","59,953,996,000.00","104,838,735,000.00","11,724,106,000.00","38,903,348,000.00","60,736,094,000.00","113,536,944,000.00","19,055,669,000.00","47,298,483,000.00","63,078,115,000.00","88,862,820,000.00","7,283,118,000.00","17,839,404,000.00","28,391,550,000.00","51,031,342,000.00","11,135,963,000.00"
经营活动产生的现金流量净额,"1,443,173,000.00","-2,919,372,000.00","-604,281,901.46","1,338,701,613.00","-1,272,120,193.30","-1,716,765,000.00","-1,486,578,000.00","4,405,291,041.00","-4,128,202,000.00","-512,261,536.00","732,155,000.00","3,716,174,185.00","-7,064,215,000.00","-7,697,564,823.00","-12,987,186,000.00","6,941,333,815.00","-5,766,110,000.00","-11,127,354,069.00","-6,135,522,000.00","2,394,691,834.00","-2,024,229,000.00","-3,250,463,745.00","-5,407,620,000.00","5,411,850,636.00","2,271,830,000.00","-4,750,037,409.00","881,777,691.00","13,726,952,057.00","-3,426,006,696.00","-10,780,214,000.00","-10,177,113,000.00","14,981,510,000.00","-4,630,285,000.00","-8,118,373,000.00","3,354,216,000.00","20,986,379,000.00","-15,528,557,000.00","-17,509,635,000.00","-9,489,946,000.00","16,209,056,000.00","-9,389,000,000.00","-10,541,846,000.00","-731,088,000.00","18,869,344,000.00","-4,455,488,000.00"
分配股利、利润或偿还利息支付的现金,"319,066,000.00","131,678,000.00","567,291,445.38","572,679,149.00","48,812,187.44","181,897,000.00","665,483,000.00","791,095,518.00","376,553,000.00","144,297,834.00","745,195,000.00","940,009,590.00","96,007,000.00","902,270,894.00","892,521,000.00","1,649,373,223.00","248,320,000.00","497,609,249.00","2,979,118,000.00","3,751,421,100.00","231,846,000.00","323,619,849.00","1,910,505,000.00","2,051,764,877.00","169,640,000.00","430,861,189.00","1,925,182,816.00","2,404,308,892.00","221,443,156.00","1,441,150,000.00","1,661,552,000.00","5,821,602,000.00","309,738,000.00","1,268,245,000.00","5,528,399,000.00","6,336,032,000.00","381,810,000.00","1,050,976,000.00","7,687,826,000.00","8,185,708,000.00","395,373,000.00","1,019,907,000.00","6,204,274,000.00","6,758,429,000.00","312,233,000.00"
收回投资收到的现金,"70,970,000.00","773,562,000.00","1,808,465,897.68","909,062,487.00","400,000,000.00","400,413,000.00","461,321,000.00","407,702,259.00","47,148,000.00","144,686,194.00","175,234,000.00","253,057,830.00",,"1,355,268.00","5,484,000.00","16,200,080,000.00","300,000,000.00","1,399,823,706.00","1,664,232,000.00","1,191,123,128.00",,"253,556,561.00","359,377,000.00","489,945,973.00",,"724,790,000.00","2,279,585,987.00","3,138,151,203.00","3,117,000,000.00","11,208,942,000.00","14,240,915,000.00","25,077,574,000.00","4,364,696,000.00","11,815,889,000.00","18,176,150,000.00","20,551,955,000.00","15,602,255,000.00","21,035,378,000.00","27,454,409,000.00","37,364,706,000.00","6,512,338,000.00","22,172,078,000.00","35,296,369,000.00","56,520,852,000.00","9,131,480,000.00"
支付其他与筹资活动有关的现金,"1,181,182,000.00","12,997,000.00","152,882,135.30","399,561,231.00","17,413,297.42","6,044,000.00","7,269,000.00","82,843,411.00",,"44,707,442.00","6,378,000.00","65,627,420.00",,"21,443,600.00","20,250,000.00","46,943,600.00","753,000.00","55,574,720.00","55,575,000.00","75,180,720.00","2,000,000.00","16,000,000.00","20,796,000.00","1,019,750,000.00","2,000,000.00","49,213,018.00","74,427,602.00","232,345,264.00",,"648,319,000.00","729,287,000.00","194,353,000.00","32,622,000.00","112,822,000.00","113,070,000.00","197,884,000.00","87,104,000.00","156,106,000.00","179,557,000.00","300,511,000.00","15,584,000.00","197,735,000.00","208,771,000.00","207,879,000.00","1,160,000.00"
取得投资收益收到的现金,"29,996,000.00","34,363,000.00","84,178,298.21","85,085,929.00","8,119,542.30","83,093,000.00","83,636,000.00","83,909,562.00","6,891,000.00","225,606,481.00","268,522,000.00","232,168,236.00","923,000.00","274,432,525.00","285,911,000.00","311,572,989.00","12,018,000.00","29,356,378.00","29,356,000.00","118,049,635.00",,"506,330,536.00","539,857,000.00","629,896,333.00","28,056,000.00","14,065,571.00","283,143,674.00","492,608,076.00","127,675,099.00","386,999,000.00","427,829,000.00","554,845,000.00","18,008,000.00","267,059,000.00","456,029,000.00","645,261,000.00","117,766,000.00","269,295,000.00","511,901,000.00","430,437,000.00","121,697,000.00","207,631,000.00","369,285,000.00","531,474,000.00","68,751,000.00"
