科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"30,165,398.84","44,696,180.67","84,411,808.61","507,426,465.93","465,793,019.05","446,562,150.08","457,366,855.01","440,083,175.27","373,841,306.72","273,247,231.82","290,703,302.54","215,598,679.00","258,861,914.28","306,391,517.59","273,392,198.38","197,853,387.23","172,954,961.10","136,457,865.68","256,733,781.44","183,223,268.98","153,481,277.93","115,346,622.05","167,063,398.84","118,713,865.69","119,882,247.36","94,014,960.49","449,327,106.93","358,530,169.92","160,202,972.69","274,369,492.51","293,315,225.29","366,348,597.54","558,925,356.47","477,970,585.25","823,184,071.06","835,170,040.92","816,233,517.42"
短期借款,"7,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,"3,000,000.00",,,,,"5,000,000.00","10,000,000.00","14,757,599.00","17,580,484.00","27,517,477.70","28,737,639.30","11,152,800.00","21,152,500.00","41,119,000.00","31,140,200.00","26,113,600.00","36,361,300.00","46,493,600.00","26,461,200.00","26,631,200.00","63,687,837.05","56,534,057.35","56,860,545.15","38,747,874.40","183,565,561.22","181,114,460.97","147,462,000.00","153,327,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"364,300.00",,,,"200,000.00","204,250.00","249,500.00","280,000.00","569,800.00","54,399,860.00","48,667,757.70","30,283,300.00","165,775.00","5,157,525.00","27,574,525.00","7,636,794.00","16,659,650.00","10,476,250.00","11,508,100.00","5,902,100.00","9,166,581.00","10,270,700.00","22,338,694.00","24,609,300.00","18,812,296.20","27,302,904.95","26,854,006.00","14,381,080.93","19,054,253.83","27,838,569.56","49,008,824.20","49,251,831.20","12,066,333.00","13,903,355.00","42,186,750.00","26,986,306.00","49,625,376.94"
应付票据,,,,,,,,,,,,"3,681,302.30","13,373,400.00","3,819,400.00","650,000.00","650,000.00",,,"1,652,490.00","2,507,490.00",,,,,,,,,,,,,,,,"78,000,000.00","68,000,000.00"
应收账款,"23,002,593.44","22,584,277.52","33,873,790.45","40,555,201.33","47,343,057.96","48,133,560.57","63,897,287.32","86,972,929.15","87,026,375.70","115,633,509.43","133,400,097.68","149,300,856.55","158,162,146.76","134,048,354.59","145,176,556.04","167,041,116.11","187,573,384.55","259,441,848.88","215,067,581.29","218,410,083.59","240,961,277.45","279,051,621.06","255,273,949.17","227,383,893.53","254,766,621.72","276,530,622.55","360,047,208.06","336,667,498.76","350,695,826.20","355,502,906.00","317,934,260.18","308,400,266.60","388,366,870.74","382,964,996.24","363,554,187.49","413,148,397.14","374,874,857.63"
应付账款,"24,487,099.08","31,647,303.25","25,746,384.36","27,099,817.83","20,600,037.40","29,410,339.01","37,546,895.18","29,127,453.58","39,581,681.45","45,093,396.97","47,734,092.87","62,950,919.92","42,073,572.23","41,210,204.36","58,271,428.38","53,660,895.68","66,330,054.60","65,548,766.21","79,443,359.12","57,960,633.02","48,767,374.85","51,307,708.22","52,188,583.34","47,946,566.99","34,589,964.81","58,991,442.21","93,889,130.52","62,145,126.32","67,267,307.09","85,861,782.91","98,241,690.19","100,934,228.04","67,210,875.08","72,228,103.92","106,619,789.99","127,067,030.23","149,551,785.21"
预付款项,"5,098,457.41","2,144,167.76","21,767,091.87","20,422,375.49","7,683,318.53","35,523,837.21","26,976,791.04","39,841,580.15","74,725,419.62","75,612,722.73","52,998,000.63","124,506,140.46","107,058,200.98","60,168,555.06","55,447,735.64","128,579,386.85","117,497,079.21","111,168,422.78","88,859,742.30","129,525,064.12","96,254,517.52","97,301,240.61","78,310,438.26","100,166,959.07","50,964,694.90","56,878,577.77","55,841,895.79","113,789,713.66","117,399,697.87","115,440,302.29","44,524,164.93","52,759,803.28","58,308,182.49","48,663,266.53","25,098,633.12","41,832,597.00","44,204,890.00"
预收款项,"5,922,248.85","3,841,170.68","1,645,379.47","724,787.68","482,556.07","10,334,765.38","4,206,844.74","3,252,918.03","10,640,132.24","23,564,600.72","8,330,366.50","4,032,491.20","7,069,033.10","9,304,196.62","5,585,711.24","11,041,943.56","30,175,244.88","28,652,040.26","4,458,479.65","7,359,591.20","3,535,817.24","4,992,547.77","2,339,942.32","2,547,240.45","6,350,652.26","5,160,768.58","28,552,072.27","48,360,396.93","19,581,525.98","15,545,576.85","73,588,078.67","79,373,076.00","82,696,129.81","67,975,290.67","61,186,528.51","53,700,063.66","57,046,204.40"
