科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,424,402,105.22","1,510,219,629.02","1,464,815,675.22","769,567,501.91","1,635,378,079.65","540,740,200.61","974,936,611.90","1,497,733,162.95","2,117,313,099.94","446,430,679.02","953,478,533.30","1,325,382,773.30","1,926,815,866.98","416,506,928.59","878,139,932.54","1,693,179,482.50","2,300,124,423.50","452,662,181.68","1,016,177,951.33","1,650,799,686.91","2,294,731,215.88","447,222,199.13","1,003,417,335.73","1,672,233,320.59","2,475,098,669.69","875,399,680.69","1,686,165,775.48","2,549,979,147.88","3,511,455,403.63","574,781,718.65","1,424,838,523.52"
取得子公司及其他营业单位支付的现金净额,,,"63,080,000.00",,,,,"1,092,511.98","1,088,838.87",,,,,,"122,652,812.66","338,047,445.92","338,047,445.92",,,,,,,"420,387,788.57","521,414,214.45",,,,"30,223,574.12",,
收到的税费返还,"770,666.67","275,423.85","672,074.98","404,217.65","404,159.96",,,,"497,000.00",,,,,,,,,,"27,133.76","430,487.05","876,816.92","16,912.64","2,569,303.44","4,295,954.95","5,862,464.31","2,624,597.39","2,317,058.16","4,414,026.30","7,674,931.10","1,723,414.48","4,046,073.45"
支付其他与投资活动有关的现金,"31,000,000.00",,"234,100,000.00",,,,,,"300,000,000.00",,,,,"50,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00",,,,,,"50,000,000.00","30,000,000.00","30,000,000.00",,,,,,
收到其他与经营活动有关的现金,"10,809,977.58","4,235,874.70","3,433,109.14","1,204,481.16","2,856,351.54","1,734,516.62","8,962,650.39","12,166,759.03","9,527,293.84","3,528,789.13","7,051,783.57","17,944,556.48","24,135,202.86","2,211,019.77","3,933,971.08","7,434,942.32","11,365,757.96","5,881,768.21","5,864,445.82","13,736,244.26","17,226,508.19","7,090,979.79","9,938,344.60","16,848,368.29","22,718,743.27","5,479,750.14","34,731,366.75","37,867,828.34","41,612,304.46","11,274,642.58","22,493,400.78"
投资活动现金流出小计,"184,803,983.55","318,467,466.70","408,160,112.30","36,457,993.51","64,833,499.00","19,005,171.58","118,232,259.72","192,473,826.08","535,196,300.26","75,359,900.42","195,994,226.56","305,571,189.79","404,865,963.63","77,812,172.31","227,024,945.45","569,570,674.00","607,719,561.06","17,602,836.79","111,532,650.47","140,270,392.06","165,638,143.55","34,236,393.70","145,136,541.44","597,014,784.13","806,999,975.27","99,860,323.29","175,138,571.21","328,330,566.85","363,540,452.88","137,844,915.97","168,932,676.97"
经营活动现金流入小计,"1,435,982,749.47","1,514,730,927.57","1,468,920,859.34","771,176,200.72","1,638,638,591.15","542,474,717.23","983,899,262.29","1,509,899,921.98","2,127,337,393.78","449,959,468.15","960,530,316.87","1,343,327,329.78","1,950,951,069.84","418,717,948.36","882,073,903.62","1,700,614,424.82","2,311,490,181.46","458,543,949.89","1,022,069,530.91","1,664,966,418.22","2,312,834,540.99","454,330,091.56","1,015,924,983.77","1,693,377,643.83","2,503,679,877.27","883,504,028.22","1,723,214,200.39","2,592,261,002.52","3,560,742,639.19","587,779,775.71","1,451,377,997.75"
投资活动产生的现金流量净额,"52,161,643.65","-215,670,729.13","138,950,589.03","-36,047,055.24","-59,207,248.81","-15,699,437.28","-102,323,222.83","-176,260,750.73","-518,331,694.33","-4,734,818.60","-56,348,818.04","-155,081,281.27","-188,329,749.40","-67,182,569.84","-205,305,967.17","-536,914,554.17","-545,757,747.72","13,351,282.80","12,347,066.67","46,043,088.86","407,863,273.96","-28,965,833.60","-31,328,150.80","-449,316,047.10","-658,802,134.22","-66,904,210.14","-88,164,716.78","-238,660,211.70","-273,613,657.22","-135,821,029.13","-154,855,414.24"
购买商品、接受劳务支付的现金,"719,537,224.29","664,920,060.48","598,957,560.70","411,974,356.12","833,564,265.26","209,189,334.39","439,055,758.49","698,555,036.98","930,980,755.98","241,636,614.99","429,961,418.25","681,323,101.50","953,535,410.68","222,822,321.49","509,442,221.21","807,276,390.34","1,118,205,270.55","308,338,282.63","519,793,587.90","841,534,291.94","1,102,624,426.67","291,975,375.65","554,815,386.80","868,140,712.73","1,139,229,678.72","332,576,902.46","656,992,033.21","1,109,539,945.13","1,510,648,462.19","435,943,738.68","871,295,655.38"
吸收投资收到的现金,"11,120,000.00",,"215,000,000.00",,,"692,843,842.88","692,843,842.88","692,843,842.88","692,843,842.88",,,,,,,"88,000,000.00","88,000,000.00",,,"3,750,046.03","7,477,873.17",,,,"6,358,200.00",,"20,944,890.00","20,944,890.00","20,944,890.00",,"12,107,700.00"
支付给职工以及为职工支付的现金,"58,232,907.57","68,165,285.15","76,041,392.67","54,548,943.72","99,200,381.85","52,974,112.92","65,633,080.75","91,827,111.99","117,932,167.69","49,017,526.62","76,107,439.17","105,362,057.41","140,166,176.40","61,447,185.21","95,020,024.08","132,523,408.19","169,404,320.69","72,289,456.94","110,341,871.07","154,724,058.84","199,123,173.11","77,074,069.79","116,663,521.33","165,935,000.48","239,450,136.33","109,331,190.35","176,384,934.40","245,880,232.66","322,837,793.27","123,184,224.00","196,474,627.49"
