科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,250,588,473.90","1,646,614,357.12","912,839,048.28","1,593,756,036.16","2,321,046,827.70","409,139,568.49","1,112,330,676.31","1,780,652,329.66","2,409,015,052.82","234,980,249.50","1,134,947,158.21","2,018,409,184.82","2,898,647,572.89","340,021,040.00","1,254,995,950.00","2,267,328,155.45","3,492,317,397.21","354,558,002.52","1,461,603,592.67","3,083,675,598.13","4,884,062,864.43","468,525,592.16","1,718,674,069.35","3,563,780,721.97","5,807,795,612.49","466,230,167.44","1,525,370,099.52","3,020,316,232.47","5,114,710,933.14","543,644,446.80","1,633,999,462.10","3,426,485,186.46","6,526,420,579.87","845,453,785.02","2,562,086,431.14","5,406,466,535.49","9,806,439,908.80","1,133,351,189.99","2,733,955,957.83"
二、营业利润,"45,176,983.00","47,032,678.70","29,519,964.73","46,381,616.64","64,088,747.12","9,422,582.65","30,107,073.11","49,100,864.09","69,859,890.74","-712,761.31","33,177,188.30","57,968,762.25","51,499,266.78","-102,431.78","23,329,448.81","43,273,308.81","38,163,450.36","5,582,985.91","27,653,223.84","43,681,260.07","27,800,303.79","-8,096,558.82","841,266.44","10,839,786.81","-8,951,262.33","-21,885.09","-2,193,326.33","-1,345,937.77","-901,038.92","12,701.48","1,381,825.86","1,697,994.84","44,534,115.49","3,452,422.18","24,525,462.22","79,773,226.45","126,385,921.18","6,312,991.89","10,179,742.25"
减:营业成本,"1,080,608,463.10","1,448,042,510.88","798,351,636.39","1,421,016,504.53","2,086,553,071.44","364,091,714.29","994,846,319.18","1,584,379,894.85","2,123,649,112.10","200,088,385.28","998,341,630.14","1,776,433,708.30","2,543,042,983.64","281,537,950.74","1,087,797,037.07","1,964,515,455.64","3,046,658,089.55","269,602,302.17","1,220,674,949.76","2,675,857,592.62","4,258,419,193.14","399,694,322.88","1,484,121,037.13","3,132,024,003.97","5,164,380,601.33","372,442,042.37","1,239,158,738.51","2,578,764,273.38","4,550,418,349.13","457,600,899.35","1,432,738,282.17","3,087,536,714.03","5,907,009,624.08","739,833,719.45","2,278,599,912.57","4,905,537,852.13","8,914,629,242.10","998,811,093.45","2,405,144,597.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"25,537,115.90","25,666,340.62","15,627,023.81","24,931,283.92","36,622,976.98","2,083,781.05","15,362,863.23","28,610,099.62","52,797,533.70","5,802,810.32","31,936,074.82","57,974,487.92","92,176,232.25","11,174,627.69","37,149,871.64","67,926,657.22","105,359,114.15","12,864,301.70","42,432,217.12","84,538,180.61","144,367,142.49","11,771,741.20","51,782,142.30","104,796,595.02","153,307,870.40","13,774,982.82","56,432,104.10","97,919,809.47","151,079,008.82","14,838,713.74","13,391,926.41","26,268,577.67","58,674,571.00","13,529,568.92","26,836,203.38","33,950,099.62","62,878,777.34","8,222,632.27","19,955,818.44"
营业外收入,"3,254,615.77","1,208,532.14","144,292.68","1,780,359.53","5,214,956.46","2,184,856.52","3,104,348.44","5,043,048.76","12,774,396.24","2,756,962.85","4,138,165.77","5,209,075.57","21,640,982.14","3,074,329.84","6,903,300.55","10,036,569.65","22,307,910.33","2,129,649.67","6,127,844.57","16,542,088.71","22,084,974.36","16,598,448.80","33,782,531.46","42,650,983.74","44,958,273.26","5,590,128.30","11,867,123.09","25,711,873.54","31,150,276.44","4,368,595.77","6,929,900.02","14,664,640.39","23,318,552.90","6,526,281.18","8,363,247.37","10,343,924.78","21,769,866.41","1,348,250.82","9,541,865.84"
销售费用,,,,,,,,,,"116,307.32","605,972.78","1,446,303.09","1,870,264.89","201,889.62","587,949.90","2,094,554.60","4,270,819.36","1,895,422.96","3,506,462.09","7,611,788.81","9,697,654.01","2,070,045.89","6,515,767.92","11,183,642.53","20,111,799.68","3,968,050.71","9,578,716.13","19,739,288.44","25,599,332.43","3,898,791.09","11,562,743.29","18,685,792.67","28,936,155.90","4,965,919.84","16,047,680.63","28,577,766.81","50,112,977.05","5,967,924.43","27,264,841.52"
减:营业外支出,"1,128,648.42","1,043,553.91","321,360.43","397,654.97","947,555.72","585,277.91","945,125.79","1,117,188.89","4,349,497.50","16,352.11","1,870,173.27","2,888,732.44","4,049,682.27","221,448.77","1,007,925.42","2,349,579.25","5,968,094.34","434,867.23","1,329,104.02","4,565,812.09","6,312,525.59","386,467.03","4,137,903.43","8,011,496.73","8,449,948.86","1,665,699.53","4,061,868.58","6,391,264.24","9,335,918.74","887,383.51","2,323,540.63","5,524,607.25","11,239,126.84","1,202,979.71","8,567,745.07","16,127,495.20","26,222,692.01","562,229.02","8,976,659.62"
管理费用,"69,196,432.60","87,652,418.30","46,029,517.06","75,277,059.41","112,155,640.13","27,918,294.91","54,965,734.39","93,442,678.33","132,515,047.76","22,390,127.74","46,965,360.11","82,489,378.77","115,275,502.59","26,350,872.22","65,251,286.05","111,177,774.95","162,673,142.09","36,531,676.49","89,390,385.32","155,827,829.27","223,952,181.60","45,752,805.24","105,201,332.84","178,721,103.88","262,166,375.63","47,200,034.26","123,832,995.13","181,654,054.62","268,581,778.40","51,216,696.66","117,965,261.81","193,014,256.03","294,273,619.57","65,012,718.53","144,674,140.49","232,600,201.14","347,194,418.92","76,041,216.07","169,636,617.61"
其中:非流动资产处置净损失,"405,915.64","245,680.10","204,733.51","204,733.51","469,077.93","280,112.11","383,198.10","383,198.10","3,300,693.55",,"1,640,267.16","2,282,515.33","2,609,671.16",,"11,278.46","115,825.56","1,077,385.68",,"171,245.85",,"1,558,029.40",,"794,261.63","1,093,681.82","1,276,988.80","1,122,675.44","1,157,806.99","1,147,483.35","4,571,874.58",,"128,051.98",,"586,320.03",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
