科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"2,208,694,842.46","3,031,112,655.62","4,022,557,517.27","2,475,763,600.60","5,338,992,065.33","1,666,877,880.83","3,486,456,675.28","5,460,314,805.60","8,000,733,794.57","3,028,331,253.71","5,721,995,250.04","8,437,411,735.27","11,209,323,679.43","3,331,385,155.06","6,614,692,118.62","10,185,222,148.33","13,229,380,320.49","4,249,740,641.34","7,367,173,215.44","10,904,517,221.83","14,088,133,742.05","3,913,021,423.39"
二、营业利润,"387,127,888.06","463,940,966.56","682,974,399.80","511,113,588.05","936,998,345.77","395,174,678.46","782,285,431.30","1,186,515,280.52","1,447,320,659.83","596,280,618.72","1,025,112,582.82","1,374,040,894.79","1,553,627,045.98","556,990,384.19","1,018,399,718.29","1,409,818,282.05","1,871,824,637.16","648,666,367.98","1,068,071,274.25","1,473,293,931.05","1,589,673,225.14","477,883,398.01"
减:营业成本,"1,402,318,111.29","1,999,892,257.11","2,623,270,478.98","1,636,897,711.21","3,509,178,155.20","1,089,349,316.54","2,288,172,204.94","3,570,152,559.02","5,236,079,818.26","1,984,298,479.96","3,809,873,390.42","5,694,305,031.11","7,537,885,654.10","2,224,881,267.86","4,435,247,211.41","6,988,826,566.52","8,983,398,232.15","2,871,932,244.94","4,953,741,903.99","7,486,385,577.42","9,816,152,693.51","2,760,355,568.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"165,218,589.15","225,065,044.65","257,262,250.29","122,629,895.80","256,949,174.29","79,053,663.75","161,143,937.29","256,410,914.46","348,480,145.45","108,833,372.20","201,295,770.57","287,957,784.79","389,259,090.15","113,368,224.34","218,900,534.17","334,305,610.93","443,303,249.98","150,299,338.68","255,787,935.59","375,641,812.99","481,122,869.56","143,550,657.22"
营业外收入,"30,629,657.47","78,735,303.59","122,404,561.23","37,549,598.09","140,716,408.79","43,065,161.98","49,672,931.78","54,714,872.14","129,699,116.21","11,837,905.14","30,890,075.34","132,755,894.80","260,952,281.27","29,726,778.46","60,409,902.73","117,894,803.20","26,063,720.01","7,915,648.40","11,201,699.30","30,879,993.68","23,244,028.98","6,147,282.22"
销售费用,"110,820,616.77","146,309,885.46","201,506,538.38","95,182,944.34","285,745,497.62","59,198,991.12","132,966,437.55","213,695,220.01","376,553,305.17","99,466,766.14","260,814,282.63","361,579,368.60","692,702,806.86","168,370,109.42","416,383,857.47","598,420,909.65","957,050,717.12","272,895,095.75","507,680,079.67","663,289,053.96","1,015,974,947.65","185,817,043.11"
减:营业外支出,"1,552,955.13","17,146,695.78","16,229,793.09","2,535,844.15","20,315,222.76","711,313.74","4,707,644.49","7,629,886.99","15,601,899.27","686,917.38","2,783,328.01","4,554,619.66","9,600,403.81","1,116,530.94","3,154,965.08","5,370,908.57","21,219,589.66","1,135,819.84","2,771,420.62","13,123,753.59","8,785,461.62","2,346,705.46"
管理费用,"140,840,383.35","190,826,741.22","256,998,681.36","110,718,279.22","338,043,960.83","50,256,719.10","144,830,085.92","258,445,710.81","525,325,665.85","210,776,213.29","344,040,200.18","609,863,058.83","889,159,939.92","249,295,711.67","447,473,142.72","813,473,873.86","1,060,159,727.01","248,887,139.49","492,728,920.04","785,514,653.37","1,078,410,011.93","274,559,933.16"
其中:非流动资产处置净损失,"1,181,755.47","15,831,213.47","15,688,188.40","2,403,813.08","19,818,193.93","284,234.76","3,818,534.74","4,239,805.23","14,746,611.97","86,703.66","1,405,804.20","1,405,804.20","7,673,290.88","481,361.42","2,651,011.36","3,956,662.16",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
