科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,674,027,823.00","2,066,770,229.00","2,086,957,774.00",,"4,182,950,273.42","2,028,305,980.41","2,290,257,345.59","2,601,736,188.06","1,905,300,769.48","1,703,664,546.26"
短期借款,"5,039,762,876.00","6,289,008,109.00","6,500,737,127.00",,"5,645,500,450.25","3,043,771,919.00","3,109,003,534.02","4,238,177,822.95","4,165,832,721.97","3,974,329,043.94"
交易性金融资产,,,"806,925.00",,,,,,,
交易性金融负债,"45,254,400.00","302,839,955.00","59,073,800.00",,,,,,,
应收票据,"589,791,012.00","446,781,118.00","416,877,276.00",,"568,338,265.42","379,472,139.75","422,520,974.78","843,423,961.96","1,185,536,495.61","1,008,557,295.13"
应付票据,"616,937,600.00","913,060,000.00","649,149,977.00",,"846,616,409.99","1,278,977,304.70","1,482,338,475.65","1,375,499,944.92","1,516,221,736.90","1,118,431,834.46"
应收账款,"1,786,133,051.00","1,470,995,417.00","1,346,895,221.00",,"1,581,506,904.59","1,661,854,540.71","1,819,988,342.18","1,882,866,324.13","2,004,172,448.20","2,203,541,499.42"
应付账款,"1,506,583,257.00","1,251,654,151.00","1,199,544,031.00",,"1,225,900,971.24","1,432,011,420.56","1,584,687,315.58","1,757,500,069.34","1,543,082,344.35","1,604,496,622.06"
预付款项,"99,842,540.00","86,029,653.00","67,703,489.00",,"73,585,374.37","195,802,086.27","106,022,156.07","143,564,660.37","127,372,694.11","145,710,047.23"
预收款项,"213,717,539.00","173,437,424.00","133,633,292.00",,"171,914,386.41","166,891,906.59","256,969,715.98","229,638,425.63","180,033,296.40","215,558,831.98"
其他应收款,"400,550,803.00","740,308,088.00","193,994,786.00",,"72,040,524.97","66,679,935.06","60,294,706.94","54,555,278.80","58,871,716.11","61,174,449.25"
应付职工薪酬,"44,724,632.00","53,921,604.00","45,666,766.00",,"61,729,900.13","67,043,068.63","79,006,978.30","71,792,838.00","78,893,251.21","70,017,019.05"
应收关联公司款,,,,,,,,,,
应交税费,"94,503,141.00","121,183,938.00","140,623,295.00",,"57,590,385.08","69,521,052.14","117,745,193.80","94,363,551.12","46,102,944.14","82,081,904.46"
应收利息,,"14,147,699.00","4,541,736.00",,"3,393,171.10","1,452,844.56","1,908,888.95","3,729,976.93","4,280,905.11","2,495,185.35"
应付利息,"26,874,383.00","41,484,143.00","16,476,798.00",,"14,168,828.40","11,837,579.51","13,358,430.74","9,321,890.48","6,817,989.25","7,769,970.12"
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"1,572,048,402.00","1,745,132,017.00","1,516,731,056.00",,"1,519,379,437.38","1,677,538,512.19","1,877,155,921.41","2,201,221,434.54","2,083,470,286.63","1,976,011,488.96"
其他应付款,"706,210,688.00","899,559,765.00","735,663,998.00",,"633,385,564.06","579,535,302.61","833,236,537.40","708,161,396.02","718,481,399.81","679,400,872.90"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"300,000,000.00","902,340,150.00","1,762,453,096.00",,"731,004,632.00","586,862,997.50","269,051,570.00","268,463,073.00","406,088,184.00","425,664,065.25"
其他流动资产,"204,275,830.00","380,733,439.00","356,132,800.00",,"281,743,812.31","276,823,936.37","213,650,860.17","242,486,817.14","226,430,148.06","220,017,994.34"
其他流动负债,"32,019,619.00","18,017,733.00","17,477,399.00",,"23,818,573.31","21,568,756.39","27,244,529.12","31,140,546.54","25,924,969.59","29,832,987.95"
流动资产合计,"6,326,669,461.00","6,950,897,660.00","5,990,641,063.00",,"8,282,937,763.56","6,287,929,975.32","6,791,799,196.09","7,973,584,641.93","7,595,435,463.31","7,321,172,505.94"
流动负债合计,"8,626,588,135.00","10,966,506,972.00","11,260,499,579.00",,"9,411,630,100.87","7,258,021,307.63","7,772,642,280.59","8,784,059,558.00","8,687,478,837.62","8,207,583,152.17"
可供出售金融资产,,,,,,,,,,
长期借款,"1,273,749,833.00","1,002,056,432.00","692,561,314.00",,"1,493,446,832.09","1,448,310,151.66","1,924,366,299.39","1,858,406,169.98","1,689,020,192.85","1,704,326,934.45"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,"30,147,732.00",,"231,342,485.39","228,826,992.03",,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"5,563,037,028.00","7,599,531,251.00","8,738,486,944.00",,"9,035,811,966.28","9,097,128,232.42","9,581,947,339.72","9,483,571,090.00","9,424,065,726.30","9,475,611,082.10"
递延所得税负债,,,,,,,,,,
在建工程,"1,206,131,809.00","1,141,353,620.00","843,119,588.00",,"540,550,029.31","507,121,424.57","347,847,196.27","398,329,133.53","378,338,327.16","353,298,781.72"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"1,429,900,529.00","1,219,351,220.00","953,221,478.00",,"1,963,608,589.47","1,913,585,738.21","2,175,218,396.83","2,107,333,797.19","1,941,735,726.39","1,956,001,248.33"
固定资产清理,,,,,,,,,,
负债合计,"10,056,488,664.00","12,185,858,192.00","12,213,721,057.00","11,760,861,600.00","11,375,238,690.34","9,171,607,045.84","9,947,860,677.42","10,891,393,355.19","10,629,214,564.01","10,163,584,400.50"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,200,000,000.00","1,200,000,000.00","1,200,000,000.00","1,200,000,000.00","1,200,000,000.00","1,200,000,000.00"
油气资产,,,,,,,,,,
资本公积,"1,042,421,994.00","1,042,421,994.00","371,351,094.00",,"2,662,151,192.50","2,665,484,642.50","2,665,484,642.50","2,665,484,642.50","2,665,484,642.50","2,665,484,642.50"
无形资产,"392,254,355.00","494,266,285.00","527,423,523.00",,"515,955,474.33","514,220,089.50","514,951,526.12","508,497,248.46","502,620,778.05","497,023,321.42"
盈余公积,"215,630,501.00","286,911,948.00","338,130,556.00",,"338,130,557.35","338,130,557.35","368,379,158.25","368,379,158.25","368,379,158.25","368,379,158.25"
开发支出,"7,528,302.00",,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,,,
未分配利润,"1,606,879,238.00","2,246,799,263.00","2,638,032,587.00",,"3,194,769,561.76","3,414,486,445.52","3,618,003,429.80","3,873,309,273.19","3,852,424,768.09","4,138,673,867.28"
长期待摊费用,,,,,,,,,,
少数股东权益,,"3,343,999.00","6,642,433.00",,"6,549,503.80","6,512,475.38","6,483,869.43","6,448,859.32","6,416,152.08","6,376,836.48"
递延所得税资产,"132,512,784.00","138,452,037.00","177,753,118.00",,"187,318,796.60","190,329,580.84","187,942,264.11","180,774,211.19","179,679,427.68","184,567,012.37"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"274,280,332.00","405,331,797.00","304,415,018.00",,"268,287,466.26","268,052,340.32","537,493,209.30","604,533,426.06","739,257,922.16","755,010,574.07"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"7,575,744,610.00","9,778,934,990.00","10,591,198,191.00",,"10,547,923,732.78","10,576,851,667.65","11,170,181,535.52","11,175,705,109.24","11,223,962,181.35","11,265,510,771.68"
所有者权益(或股东权益)合计,"3,845,925,407.00","4,543,974,458.00","4,368,118,197.00","4,633,408,400.00","7,455,622,806.00","7,693,174,597.13","8,014,120,054.19","8,257,896,395.98","8,190,183,080.65","8,423,098,877.12"
资产总计,"13,902,414,071.00","16,729,832,650.00","16,581,839,254.00","16,394,270,100.00","18,830,861,496.34","16,864,781,642.97","17,961,980,731.61","19,149,289,751.17","18,819,397,644.66","18,586,683,277.62"
负债和所有者(或股东权益)合计,"13,902,414,071.00","16,729,832,650.00","16,581,839,254.00",,"18,830,861,496.34","16,864,781,642.97","17,961,980,731.61","19,149,289,751.17","18,819,397,644.66","18,586,683,277.62"
