科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"174,419,029.84","335,293,292.86","342,855,780.49","206,642,008.31","296,083,192.28","433,169,123.02","83,314,988.55","186,026,276.92","324,831,631.45","493,500,217.64","148,228,014.76","328,724,934.04","548,997,081.46","824,808,628.69","184,856,373.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"64,008,014.94","64,008,014.94","18,016,830.41",
收到的税费返还,,,,,,,,,,,,,,"10,626,772.55",
支付其他与投资活动有关的现金,,,"2,900,000.00","2,760,000.00","2,750,000.00","3,200,000.00","50,000.00","650,000.00","5,250,000.00","350,000.00","2,140,000.00","2,240,000.00","2,640,000.00","300,000.00","1,214,840.00"
收到其他与经营活动有关的现金,"1,633,776.99","6,312,309.76","1,921,645.15","700,952.82","1,277,476.03","2,748,367.25","378,939.97","13,181,605.96","15,678,318.44","6,064,054.10","2,583,736.13","9,266,201.41","105,770,673.07","30,816,249.23","10,384,546.57"
投资活动现金流出小计,"122,675,973.45","109,246,226.19","273,518,104.09","106,188,117.80","131,466,330.14","185,859,848.70","31,220,362.68","101,444,793.13","161,027,323.98","223,773,098.08","78,509,443.54","311,426,253.04","423,139,268.22","722,445,623.48","197,866,768.00"
经营活动现金流入小计,"176,052,806.83","341,605,602.62","344,777,425.64","207,342,961.13","297,360,668.31","435,917,490.27","83,693,928.52","199,207,882.88","340,509,949.89","499,564,271.74","150,811,750.89","337,991,135.45","654,767,754.53","866,251,650.47","195,240,920.37"
投资活动产生的现金流量净额,"-100,572,973.45","-103,426,226.19","-262,765,776.63","-106,188,117.80","-131,296,368.97","-185,756,956.12","-31,220,362.68","-96,044,793.13","-152,127,323.98","-213,740,824.58","-78,159,443.54","-296,378,253.04","-415,874,604.22","-718,643,832.47","-197,246,768.00"
购买商品、接受劳务支付的现金,"137,046,169.15","173,701,996.79","169,671,614.32","100,040,005.28","164,220,307.12","225,618,115.63","47,803,213.36","109,350,889.74","177,947,705.25","269,968,499.59","73,054,321.71","152,599,937.04","311,175,729.21","414,381,326.78","106,935,174.70"
吸收投资收到的现金,"3,500,000.00","125,000,000.00",,,,,"380,970,000.00","380,970,000.00","380,970,000.00","380,970,000.00",,,,"4,000,000.00",
