科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"200,921,070.51","229,383,289.90","250,488,195.13","40,265,038.48","84,896,304.19","139,135,296.26","236,995,158.68","55,779,876.49","90,828,795.76","149,686,564.56","259,071,462.93","44,912,914.01","92,213,696.21","128,856,519.05","204,314,568.45","41,451,524.61","80,446,521.36","139,107,639.71","226,028,523.63","54,912,931.48","108,348,496.81","155,170,609.98","206,466,087.03","33,850,805.23","64,968,979.73","104,733,838.78","155,221,361.29","34,715,936.32","96,936,248.89","169,106,917.68","248,921,333.67","74,479,174.42","134,282,843.86","182,430,999.45","295,956,464.64","145,520,099.14"
取得子公司及其他营业单位支付的现金净额,"4,195,838.14",,,,,,,,,,,,,,,,,,,,"185,470.39","185,470.39","2,967,166.15",,,,,,"1,558,749.03","117,885,786.68","126,327,037.65",,,,,
收到的税费返还,"295,154.79",,,,,,,,,,,,,,,,,"315,800.00",409.84,,,,,,,,,,"4,509,739.78","872,406.27",,331.16,557.30,"1,484.18","1,642,483.78",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"220,368.73",,,,,,,,,,"6,000.00",,,,,,
收到其他与经营活动有关的现金,"9,801,297.29","9,398,608.50","15,123,788.89","2,438,749.44","8,266,926.75","3,894,257.21","9,731,111.09","8,031,347.20","12,510,813.37","17,281,812.08","19,585,428.41","2,562,476.47","23,920,771.95","24,412,075.75","82,612,128.91","15,753,676.65","44,606,341.10","96,878,005.19","63,078,023.95","7,112,470.34","21,028,414.44","28,832,582.26","41,544,107.73","7,895,292.67","19,705,770.98","26,358,260.83","44,265,955.49","13,996,300.11","13,696,006.21","30,419,152.48","43,758,630.80","5,917,709.37","21,197,829.97","48,615,316.14","30,097,185.07","28,026,362.58"
投资活动现金流出小计,"26,011,432.82","13,209,818.74","23,609,735.60","3,816,258.21","4,757,344.76","7,298,443.09","25,254,356.18","3,343,240.75","19,058,183.16","47,059,641.41","270,232,697.61","140,813,936.55","275,680,343.63","368,087,353.95","570,133,198.54","141,672,541.43","260,850,333.55","446,136,583.73","552,450,006.74","104,266,414.50","131,232,613.96","164,984,693.81","257,000,308.41","341,041,154.49","159,729,617.11","197,709,542.78","508,040,646.32","48,143,378.09","143,608,384.10","526,005,844.99","811,282,053.86","152,319,100.32","314,235,423.25","597,751,585.44","649,643,163.73","20,620,159.59"
经营活动现金流入小计,"211,017,522.59","238,781,898.40","265,611,984.02","42,703,787.92","93,163,230.94","143,029,553.47","246,726,269.77","63,811,223.69","103,339,609.13","166,968,376.64","278,656,891.34","47,475,390.48","116,134,468.16","153,268,594.80","286,926,697.36","57,205,201.26","125,052,862.46","236,301,444.90","289,106,957.42","62,025,401.82","129,376,911.25","184,003,192.24","248,010,194.76","41,746,097.90","84,674,750.71","131,092,099.61","199,487,316.78","48,712,236.43","115,141,994.88","200,398,476.43","292,679,964.47","80,397,214.95","155,481,231.13","231,047,799.77","327,696,133.49","173,546,461.72"
投资活动产生的现金流量净额,"-14,215,361.92","-12,998,468.74","-23,563,946.40","-3,816,258.21","-4,757,344.76","-7,251,443.09","-25,077,363.72","-3,262,983.62","-10,645,024.55","-27,465,668.46","-94,218,889.05","-122,228,292.31","-139,992,209.72","-113,531,364.06","-117,456,732.63","18,480,332.31","-25,473,265.98","-25,223,891.70","-7,795,538.73","-37,508,805.24","1,429,345.13","-17,821,966.59","-47,707,225.58","-47,941,209.34","-37,945,109.17","-70,443,718.44","9,049,648.85","-4,135,342.87","63,656,822.74","-126,529,941.63","-192,289,269.64","9,948,797.83","129,308,532.43","42,493,338.56","64,042,814.99","-12,928,998.87"
购买商品、接受劳务支付的现金,"140,974,701.12","156,278,339.20","162,970,374.62","48,060,718.27","79,597,587.55","124,217,780.52","224,103,388.41","39,865,385.65","60,055,616.97","97,810,831.64","190,220,137.52","45,508,281.45","85,918,151.50","116,915,060.76","162,416,747.48","29,516,006.99","58,238,434.94","94,410,548.55","167,238,710.49","27,523,122.65","56,108,050.52","74,943,916.45","124,105,660.01","22,678,732.02","30,199,135.37","43,790,257.37","56,385,125.79","18,882,744.00","38,398,561.61","65,297,804.32","102,300,699.74","26,928,564.52","50,080,276.94","82,497,193.93","190,921,605.67","90,182,584.11"
吸收投资收到的现金,,,"42,000,000.00",,"386,000,000.00","386,000,000.00","386,000,000.00",,,,,,,"6,739,350.00","6,846,750.00",,,"700,000.00","700,000.00",,"700,000.00",,"30,700,000.00",,,,"12,600,000.00",,"115,119,798.52","145,119,798.52","190,754,858.52","10,000.00","10,000.00","5,229,200.00","5,072,200.00",
支付给职工以及为职工支付的现金,"8,616,534.48","9,719,970.41","12,760,930.47","4,132,929.08","6,962,937.91","10,474,161.10","16,175,994.02","5,141,953.09","9,534,817.45","13,511,662.28","20,221,410.04","6,747,514.45","11,347,102.54","15,607,497.05","19,569,132.59","6,648,843.42","11,358,665.81","16,341,045.67","20,728,850.73","6,961,314.98","12,945,504.75","18,403,213.62","23,451,303.59","6,600,411.47","13,093,873.21","18,978,734.50","26,246,836.43","9,427,242.79","20,819,676.64","32,207,654.38","39,697,636.02","14,263,167.79","22,559,932.06","31,733,895.83","43,208,773.17","15,300,584.11"
取得借款收到的现金,"33,900,000.00","24,500,000.00","43,500,000.00","15,000,000.00","15,000,000.00",,"15,000,000.00",,"1,000,000.00","1,000,000.00","45,000,000.00","18,800,000.00","23,080,000.00","31,380,000.00","94,640,000.00","720,000.00","50,720,000.00","70,720,000.00","106,470,000.00","10,000,000.00","45,000,000.00","75,700,000.00","116,000,000.00","25,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00",,"14,000,000.00","71,800,000.00","61,000,000.00",,"20,000,000.00","96,000,000.00","123,000,000.00",
