科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"189,500,813.48","246,585,070.99","334,829,731.28","89,794,386.69","185,021,973.92","275,056,360.21","389,424,197.36","105,955,775.18","205,194,060.18","301,866,724.86","417,289,702.34","104,890,026.06","223,132,468.75","336,947,809.15","474,083,328.05","127,856,950.59","259,129,948.81","387,995,941.97","530,588,376.95","130,459,827.30","273,848,005.76","410,480,783.86","589,623,147.17","165,911,090.29","335,015,838.85","506,126,508.88","707,770,701.10","244,458,177.79","464,867,224.90","670,232,278.93","918,121,255.92","256,054,081.63","506,348,157.96"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"13,371,216.35","13,371,216.35","13,371,216.35",,,,,,,,,,,,"23,466,974.22",,,,,,,,"4,100.71",,
收到的税费返还,"6,750,998.75","6,674,176.43","12,243,831.12","1,133,721.18","5,108,429.76","5,932,060.97","9,940,616.62","4,726,408.96","7,189,975.16","10,847,365.97","18,120,837.41","1,654,201.07","10,315,983.33","14,058,431.44","23,339,763.70","3,895,539.16","16,426,930.98","21,940,969.60","26,928,559.53","7,790,694.44","16,942,201.98","27,729,187.82","34,236,548.11","10,276,768.34","15,016,407.68","26,429,456.93","41,110,201.10","7,730,561.95","21,571,963.75","27,195,658.33","40,673,346.67","6,359,414.53","14,360,629.64"
支付其他与投资活动有关的现金,,,,,,,,,,,,"15,941,192.00","15,941,192.00","15,941,192.00","15,941,192.00",,,"71,000,210.05","71,000,000.00","423,000,000.00","731,540,000.00","1,075,210,000.00","1,172,986,358.51","42,100,000.00","112,100,000.00","201,570,000.00","201,570,000.00",,"1,500,000.00","177,500,000.00","209,500,000.00","60,000,000.00","120,000,000.00"
收到其他与经营活动有关的现金,"3,840,882.62","6,622,747.74","12,982,096.84","1,757,488.64","3,797,209.61","6,240,168.09","9,920,673.69","20,476,400.52","31,615,308.16","36,643,051.22","70,301,931.15","30,208,132.43","32,533,856.89","45,843,773.41","49,811,861.26","21,738,068.21","43,996,327.87","54,613,367.86","59,099,913.58","15,059,820.83","34,362,269.02","37,224,643.29","66,240,477.60","4,943,178.94","20,281,241.53","28,081,865.17","36,965,429.61","14,960,917.72","22,595,518.25","37,988,289.39","42,610,805.61","19,189,978.45","28,331,137.94"
投资活动现金流出小计,"5,139,037.87","4,610,301.56","7,237,109.06","1,032,293.52","33,602,314.17","36,327,431.63","40,751,526.15","4,428,404.28","27,194,281.87","32,694,623.50","45,690,205.49","43,873,143.96","58,569,939.59","91,988,089.06","139,033,438.01","27,065,577.41","65,264,413.73","158,421,102.40","184,136,634.66","452,629,416.22","783,143,168.68","1,151,726,368.37","1,366,026,815.10","73,432,607.36","167,679,043.09","291,272,145.11","317,560,758.69","12,979,531.01","29,021,488.12","216,539,369.50","254,820,163.85","96,604,803.92","164,549,654.35"
经营活动现金流入小计,"200,092,694.85","259,881,995.16","360,055,659.24","92,685,596.51","193,927,613.29","287,228,589.27","409,285,487.67","131,158,584.66","243,999,343.50","349,357,142.05","505,712,470.90","136,752,359.56","265,982,308.97","396,850,014.00","547,234,953.01","153,490,557.96","319,553,207.66","464,550,279.43","616,616,850.06","153,310,342.57","325,152,476.76","475,434,614.97","690,100,172.88","181,131,037.57","370,313,488.06","560,637,830.98","785,846,331.81","267,149,657.46","509,034,706.90","735,416,226.65","1,001,405,408.20","281,603,474.61","549,039,925.54"
投资活动产生的现金流量净额,"-5,139,037.87","-4,610,301.56","-7,232,529.15","-1,032,293.52","-33,590,481.84","-36,315,599.30","-40,732,193.82","-4,428,404.28","-27,194,281.87","-32,685,261.74","-45,680,843.73","-43,870,743.96","-58,567,539.59","-91,983,689.06","-139,029,038.01","-27,065,577.41","-65,264,413.73","-158,421,102.40","-184,132,805.77","-380,117,457.32","-394,090,703.21","-355,043,317.28","-380,485,406.01","77,540,422.25","94,759,656.63","113,295,596.91","87,017,875.56","18,797,939.74","2,755,982.63","-121,438,021.75","-71,275,994.18","-35,395,303.92","-83,257,376.57"
购买商品、接受劳务支付的现金,"81,665,326.10","112,446,810.40","157,054,748.83","50,964,825.27","88,599,907.26","133,588,855.99","178,933,792.08","43,795,483.99","95,551,507.18","141,525,595.43","186,203,303.73","50,459,662.70","106,121,008.45","168,775,470.67","229,122,778.19","60,739,817.03","130,619,479.93","185,694,821.49","279,837,232.42","80,589,223.24","146,796,740.82","234,658,746.77","304,101,994.78","76,181,135.16","174,159,531.90","272,057,365.61","369,283,302.80","89,878,590.26","190,662,058.35","292,509,121.01","395,482,005.92","90,766,629.64","226,900,059.79"
吸收投资收到的现金,"40,665,417.29","7,013,469.00",,,"889,140,000.00","889,140,000.00","889,140,000.00",,,,,,,,"17,604.62",,,,,,,"1,255.55","6,371,268.79","2,000.00","2,000.00","2,000.00","2,000.00","18,000.00","18,000.00","38,000.00","38,000.00",,
