科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"85,991,915.57","179,088,327.52","108,635,539.61","37,722,666.77","540,404,988.29","557,748,653.97","368,219,787.98","397,810,689.35","326,881,488.84","280,524,480.54","213,791,984.19","266,002,354.68","331,590,837.17","300,209,536.04","280,197,862.67","235,070,271.62","175,602,985.64","236,710,288.97","476,347,352.90","222,525,076.95","1,322,597,591.97","840,599,874.05","873,809,873.89","750,061,362.82","753,763,891.43"
短期借款,"146,000,000.00","200,000,000.00","130,000,000.00","140,000,000.00","40,000,000.00","20,000,000.00",,"72,500,000.00","75,000,000.00","123,481,692.77","179,383,546.13","322,678,556.64","450,075,803.21","257,299,759.50","266,053,473.13","611,988,351.58","597,575,502.20","652,814,620.78","690,487,865.99","689,942,233.79","882,010,994.40","744,583,363.61","846,186,919.16","833,419,624.42","938,653,875.29"
交易性金融资产,,"677,000.00","1,493,120.00",,"81,500.00",,,"3,391,600.00","1,668,400.00","2,053,400.00",,,,,"1,247,700.00","2,184,700.00",,,,,,"15,661,900.00","15,661,900.00",,"336,400.00"
交易性金融负债,,,,"513,600.00",,"506,100.00","506,100.00",,,,,,,"495,600.00",,,"220,400.00","977,200.00","730,800.00","1,284,000.00",,,,,
应收票据,"1,100,000.00","600,000.00","1,985,333.80","2,398,408.35","100,000.00","7,580,000.00","2,212,744.00","7,220,000.00","7,200,000.00","29,671,026.05","5,386,308.00","9,070,000.00","7,100,000.00","9,513,386.00","2,250,000.00","14,632,617.56","21,666,625.82","11,409,844.18","13,572,828.67","11,893,054.28","12,655,827.88","31,301,198.75","22,581,746.95","20,664,176.89","22,894,681.23"
应付票据,,,,,"2,000,000.00","4,000,000.00",,"24,150,000.00","42,250,000.00","5,000,000.00","16,250,000.00","40,500,000.00","47,500,000.00","32,130,000.00","33,000,000.00","29,423,829.88","44,224,681.88","59,056,620.68","108,737,653.00","168,760,000.00","206,010,000.00","257,040,000.00","267,550,000.00","251,590,000.00","301,110,000.00"
应收账款,"135,001,865.12","137,523,903.19","165,411,926.77","194,276,963.58","206,726,957.71","206,057,999.99","229,347,564.11","235,611,168.48","246,570,622.16","242,965,108.42","267,416,285.96","289,106,676.23","325,607,267.31","312,278,867.37","305,010,384.19","404,686,616.44","472,088,266.82","528,854,973.08","479,166,090.79","520,996,817.91","647,523,452.82","682,775,539.09","720,054,669.42","830,704,224.39","995,909,488.73"
应付账款,"83,373,854.61","117,002,138.93","159,860,804.20","111,185,851.64","133,861,858.13","157,650,552.20","127,505,119.64","138,217,898.02","169,809,453.17","207,420,139.37","203,054,763.91","214,237,989.07","249,654,519.80","268,101,727.86","290,159,353.42","264,042,376.08","269,745,543.55","401,651,703.34","305,782,473.79","316,463,829.08","398,486,954.94","523,361,179.08","439,492,252.46","468,967,864.23","631,319,486.06"
预付款项,"13,009,666.64","17,409,167.20","23,369,585.29","21,178,354.76","35,390,842.51","9,103,254.04","25,582,949.43","13,780,224.29","37,114,140.67","29,038,071.06","65,240,573.45","76,056,368.92","89,403,046.13","23,700,450.56","36,594,144.87","88,690,043.54","108,442,293.94","107,338,181.04","167,467,086.86","174,745,048.33","178,958,990.88","131,796,569.15","186,754,605.80","229,002,870.04","256,730,620.41"
预收款项,"11,270,359.34","11,670,408.09","21,574,636.89","9,339,278.94","20,751,253.73","10,557,829.56","15,713,388.87","10,829,687.76","7,615,713.49","27,498,551.16","21,499,066.00","13,335,889.64","18,459,369.22","23,334,026.07","16,545,022.39","15,048,798.59","14,454,225.82","34,298,881.51","41,504,413.05","49,846,444.57","44,677,505.32","51,638,566.92","71,149,000.01","75,556,043.40","81,158,145.61"
其他应收款,"3,730,377.81","4,513,637.57","8,797,925.71","12,080,871.34","12,171,593.56","8,968,965.48","18,200,127.77","13,998,650.32","20,101,901.56","37,008,679.24","45,303,890.57","44,428,662.28","59,247,026.05","29,845,738.83","29,549,701.56","38,133,819.46","33,073,039.34","56,951,765.89","62,520,000.06","65,445,794.59","54,530,983.11","46,359,972.53","59,834,427.65","60,384,002.89","79,528,873.27"
应付职工薪酬,"12,742,665.42","13,056,001.37","7,463,540.87","5,312,704.05","5,699,087.95","9,876,693.95","2,787,645.34","5,589,635.23","7,310,865.81","15,105,457.97","5,013,970.17","4,123,585.37","5,164,667.55","15,197,808.72","4,785,702.75","5,976,480.99","8,829,539.11","19,421,610.29","16,678,847.84","8,235,323.63","10,334,461.92","31,559,465.59","22,028,425.31","11,618,863.32","13,439,686.47"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"23,482,063.60","3,915,497.09","2,504,236.78","3,446,705.70","7,590,758.17","16,016,037.21","11,075,145.29","13,691,038.74","12,209,595.30","18,506,225.06","16,562,584.39","9,165,706.92","19,357,397.22","12,397,775.54","4,692,995.24","15,734,331.47","21,756,446.73","51,469,409.75","28,479,508.92","38,734,306.62","38,597,861.44","75,915,605.49","66,405,518.21","68,120,122.64","48,129,843.69"
应收利息,,,,,,"5,122,777.78","5,152,569.45","9,598,527.78","3,407,286.11","5,175,413.23","4,654,672.23","5,526,111.46","922,962.93","1,781,617.88","1,786,561.00","1,832,981.56","63,937.50","160,965.00","252,405.00","771,825.94","358,112.24","1,431,967.56","6,696,270.23","4,704,657.90","5,785,304.18"
应付利息,"1,108,626.50","280,250.00","218,666.67","218,666.67","72,888.89","36,444.45",,"112,916.67","146,750.00","355,994.26","1,299,319.70","478,577.90","1,523,640.79","5,575,611.35","9,890,283.47","13,185,709.63","1,254,642.08","2,166,699.26","6,753,903.61","15,024,551.73","19,471,801.10","1,822,477.03","2,021,918.24","1,373,173.80","2,751,997.08"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,"5,774,889.35",
存货,"59,433,034.53","96,047,368.74","136,559,570.31","123,699,615.83","120,549,914.11","114,820,274.00","118,950,549.19","115,493,965.76","124,237,423.21","138,973,083.06","151,169,095.08","173,916,976.48","191,196,538.89","207,024,138.64","217,372,155.06","357,417,068.34","357,858,967.64","323,603,159.77","337,463,565.47","335,571,077.07","422,516,272.11","519,142,963.17","552,856,508.56","550,970,302.45","605,441,129.75"
