科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"77,438,978.21","61,353,768.76","87,844,358.21","69,943,942.94","421,508,087.18","373,457,581.64","391,830,795.84","321,201,167.99","275,120,408.05","275,219,837.36","191,190,451.23","137,658,757.00","143,387,271.31","228,778,136.56","364,377,322.91","284,922,049.14","291,154,660.39","225,419,074.73","397,183,088.80","279,482,878.43","380,559,566.83","239,378,787.51","291,286,479.26","244,125,630.35","286,273,220.34"
短期借款,"283,900,000.00","230,000,000.00","205,500,000.00","196,000,000.00","111,000,000.00","60,000,000.00","60,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00",,,,"50,000,000.00","230,000,000.00","230,000,000.00","358,686,400.00","488,686,400.00","403,686,400.00","318,092,400.00","324,575,500.00","296,325,500.00","308,325,500.00","446,325,500.00","528,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"150,000.00",,,,"2,885,440.00","443,520.00","235,360.00","4,556,212.80","8,750,000.00","11,227,052.28","4,975,000.00","18,525,515.00","14,420,903.98","10,981,410.00","36,899,773.25","24,627,757.25","19,801,481.00","23,450,777.12","21,169,800.00","34,212,043.76"
应付票据,,,,,,,,,,,,,,,,,,"45,000,000.00","45,000,000.00",,,,"30,000,000.00","30,000,000.00","30,000,000.00"
应收账款,"83,316,808.65","82,470,539.57","108,367,438.72","105,556,488.67","116,473,497.52","153,812,644.87","98,687,980.41","136,716,247.90","99,935,426.60","111,987,880.30","124,745,093.24","147,092,056.20","126,378,549.38","149,132,900.75","129,454,984.69","150,595,471.65","157,461,478.83","168,090,916.30","234,279,155.78","250,177,243.12","185,972,835.36","192,851,596.91","217,775,306.21","172,760,145.38","221,722,898.01"
应付账款,"40,535,421.98","58,952,486.30","33,842,779.00","41,049,844.31","48,805,953.16","51,272,779.23","46,836,945.14","63,014,143.61","46,820,066.79","52,665,856.35","63,424,560.98","71,391,783.95","70,241,765.30","108,480,901.41","73,081,289.50","96,796,703.49","96,940,277.16","112,720,987.72","95,665,921.31","104,578,401.18","147,167,579.90","141,626,536.93","136,572,834.65","138,391,955.68","155,007,289.10"
预付款项,"27,688,909.88","7,896,536.84","12,190,392.04","24,177,480.82","27,513,247.12","18,222,537.62","42,568,691.98","45,870,971.59","78,976,355.15","51,875,802.21","51,964,346.22","68,211,683.67","107,476,845.61","54,161,521.49","89,048,318.77","107,372,562.29","123,556,712.22","63,172,042.02","72,323,734.35","96,619,249.39","137,766,364.94","63,671,413.92","62,516,721.04","135,286,170.87","169,963,018.15"
预收款项,"2,838,069.49","1,226,981.28","10,274,864.63","3,541,579.09","2,083,073.50","394,757.39","434,570.07","256,097.65","7,435,343.03","588,410.30","1,907,843.77","1,158,181.35","2,328,900.70","673,133.43","1,596,768.04","696,404.11","1,453,555.52","5,014,228.67","10,038,314.28","6,935,721.23","21,158,558.93","10,851,598.96","3,817,689.02","2,265,519.25","6,979,740.06"
其他应收款,"7,819,305.85","7,452,517.88","9,534,183.75","22,799,215.50","15,504,698.13","5,942,426.87","22,450,519.41","7,019,060.46","14,973,504.29","7,796,883.19","14,777,440.88","10,534,416.98","6,904,512.42","23,361,605.85","28,168,900.53","34,282,542.05","22,544,682.98","17,071,403.43","90,884,619.28","114,304,994.11","197,855,801.84","11,024,416.88","19,913,541.03","56,005,359.50","57,122,972.62"
应付职工薪酬,"9,362,120.98","7,624,370.07","9,338,361.02","8,429,505.16","5,496,894.73","6,350,583.41","7,474,240.40","7,415,319.67","7,415,460.37","8,544,571.09","8,472,925.52","8,372,854.84","6,754,893.10","8,456,197.44","8,977,295.12","8,828,600.36","7,505,141.69","10,509,933.68","11,641,265.72","12,357,314.80","12,042,448.95","14,385,842.10","11,646,529.15","12,766,801.88","13,343,760.62"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"252,288.16","2,014,263.98","2,131,088.47","-2,753,521.46","985,250.46","43,732.19","3,214,970.79","2,203,978.70","1,580,528.21","1,505,111.56","294,050.04","1,415,003.01","1,770,827.69","2,649,507.90","-1,450,800.41","3,478,268.34","2,156,828.96","4,841,113.32","9,424,103.03","13,341,115.70","10,677,048.94","15,578,668.22","11,271,437.16","7,437,644.59","10,748,222.74"
应收利息,,,,,"1,206,525.39","2,629,594.83","1,910,696.72","1,952,566.16","747,960.61","217,711.05",,"335,847.23",,,,,,,,,,,,,
