科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应交税费,"3,888,812.74","7,907,308.57","9,385,984.12","793,627.01","3,913,630.68","-193,677.98","7,673,055.26","-3,171,531.77","2,220,759.56","-800,910.74","9,431,169.78","-1,619,829.50","-71,425.47","4,444,623.83","16,433,814.44","-135,718.59","2,453,969.84","7,783,720.08","12,526,136.55","10,402,780.00","18,831,457.69","14,795,834.51","30,275,871.45","24,645,855.28","21,886,544.58","20,364,187.06","46,573,639.90","29,841,120.31","33,187,252.32","29,337,341.71","62,605,456.59","31,123,089.55","25,945,964.10"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"10,474.34","3,287.67","3,287.67","3,287.67",,,,,,,"693,688.88",,"247,673.61","697,547.24","296,136.00","6,930.52","511,083.33","511,083.33","324,566.99","324,566.99","522,991.20","272,504.85","1,227,489.90"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"1,910,000.00",,,,"1,080,600.00",,,,,,,,"662,326.82",,,,"790,965.00","790,965.00",,,"1,883,982.52","1,883,982.52",,,"2,791,085.22"
存货,"43,268,650.41","41,088,253.01","60,011,020.41","68,784,881.52","68,953,548.29","81,607,468.11","73,035,480.20","109,603,223.61","111,311,249.17","137,950,428.01","180,225,232.45","195,415,901.60","205,970,561.24","208,678,142.80","205,114,051.65","232,684,850.45","227,882,323.50","234,973,772.71","204,154,008.04","277,680,972.39","287,927,019.93","271,586,113.48","202,692,660.21","260,695,056.30","346,929,081.30","357,458,002.32","306,645,758.99","292,941,782.89","391,637,688.95","432,058,738.42","320,820,480.71","391,445,344.30","370,696,473.30"
其他应付款,"30,900.00","59,670.00","177,500.26","195,057.24","265,568.49","292,056.76","301,731.57","714,795.39","1,608,787.89","21,628,380.32","6,465,009.42","6,886,392.30","4,474,156.38","4,896,580.96","1,698,894.44","2,767,364.08","2,818,899.85","943,015.11","3,084,700.52","24,247,740.84","3,881,560.46","7,990,364.96","8,406,508.39","56,716,543.18","43,215,126.55","92,889,151.55","46,847,274.18","46,232,652.73","35,607,427.46","71,246,850.59","11,648,840.48","40,838,006.92","23,058,897.46"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,"15,000,000.00","15,000,000.00",,,,,,,,,,,"9,600,000.00","13,600,000.00","13,600,000.00","13,600,000.00","17,700,000.00","21,700,000.00","21,800,000.00","21,800,000.00","19,000,000.00","8,000,000.00","61,000,000.00"
其他流动资产,,,,,,,,,"20,233.94","15,641.18",,,,,"2,790,969.11","517,662.50","6,000,000.00","6,000,000.00","7,614,552.25","7,396,666.60","9,389,269.19","7,373,999.80",,"147,093.25","87,378.64",,"298,151.48","175,151.48","23,153,563.74","109,151.48","9,312,384.27","29,198,469.59","9,021,820.60"
其他流动负债,,"1,607,940.18","5,076,818.76","5,038,855.34","3,208,500.65","3,163,107.74","2,548,931.53","2,111,522.19","2,019,508.04","1,928,756.88","2,529,262.92","2,438,511.76","2,347,760.60","2,257,673.04","1,500,252.00","1,415,872.77","1,333,462.31","1,256,207.54","21,600.00","21,600.00","21,600.00","21,600.00","600,000.00",,,,"3,234,721.72","2,146,792.19","1,751,943.44","3,965,921.30","4,965,342.78","4,014,888.87","2,825,841.73"
