科目,2007年1-6月,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"80,520,501.92","218,556,102.96","131,158,197.58","291,608,511.97","161,666,546.34","334,353,896.49","209,488,736.66","399,209,085.07","220,191,339.92","344,536,322.67","464,894,261.73","79,358,039.40","233,703,957.42","361,567,943.94","545,762,136.89","87,305,665.32","272,953,993.70","413,794,049.84","669,847,315.79","103,944,321.93","348,171,854.28","536,930,475.31","902,602,843.61","154,767,301.81","470,105,736.77","761,952,404.96","1,351,669,927.31","203,135,364.42","665,598,374.33","1,021,364,459.41","1,820,108,218.46","277,615,083.65","847,800,168.18","1,339,736,917.84","2,338,145,133.75","351,988,113.60","996,348,679.58"
二、营业利润,"12,301,027.29","32,806,980.78","20,706,474.17","41,602,554.08","25,806,644.13","49,727,574.39","35,711,548.07","63,725,386.05","39,692,816.11","63,100,706.83","78,005,002.22","5,458,478.53","39,526,240.31","63,189,118.98","104,802,435.35","7,580,343.27","43,717,450.19","55,628,758.45","83,488,799.90","8,190,373.92","58,927,983.11","84,092,063.46","126,974,427.37","9,958,636.75","74,020,312.96","119,497,393.99","185,049,286.21","9,089,579.74","109,089,667.60","154,248,124.26","230,498,601.45","22,325,001.37","164,947,886.13","230,954,179.40","422,252,347.60","48,473,018.12","226,626,803.51"
减:营业成本,"52,969,818.49","147,430,524.02","85,950,663.47","185,475,061.37","96,498,552.69","203,739,253.89","128,862,459.82","233,562,159.92","113,423,194.87","170,687,158.97","222,535,281.92","47,020,425.87","126,711,277.40","190,911,646.27","285,727,573.30","42,326,713.27","137,893,930.43","210,954,158.39","364,360,058.06","48,909,792.60","172,682,393.15","263,937,127.88","493,984,245.17","77,133,935.24","247,646,146.38","387,652,276.81","763,905,420.24","106,541,969.37","367,310,463.98","554,332,935.19","1,102,662,715.91","142,852,800.72","463,409,728.02","748,276,027.30","1,389,187,715.80","204,483,753.34","558,755,866.55"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"720,001.78","2,318,310.01","2,067,729.09","5,212,085.31","2,139,206.70","4,364,246.40","3,151,792.37","7,077,385.65","3,122,805.38","4,837,553.66","8,271,267.20","1,243,545.98","4,109,515.25","6,291,804.71","8,908,440.41","484,801.37","2,057,171.36","3,221,658.32","5,808,498.55","465,741.31","2,664,529.27","5,529,854.25","11,326,552.25","1,171,809.69","2,733,527.09","5,613,779.00","13,634,561.32","1,476,446.21","3,271,574.01","5,692,369.71","15,868,871.33","2,277,584.92","7,384,120.63","11,196,489.58","25,008,544.27","2,432,702.20","6,969,459.05"
营业外收入,"714,180.65","1,471,947.29","902,080.45","2,477,148.86","3,351,449.08","7,443,227.65","5,305,080.24","15,415,865.89","1,615,719.19","1,663,929.48","15,812,973.34","2,096,182.51","5,362,554.08","10,153,735.30","11,923,164.33","5,702,151.83","7,329,697.92","16,270,119.66","32,297,068.79","5,749,775.98","11,998,834.84","25,694,488.61","43,079,716.73","11,200,835.20","19,867,493.63","32,400,157.76","62,579,437.08","23,233,915.32","30,377,880.58","43,143,180.79","82,908,092.05","18,948,009.54","2,256,921.49","9,116,423.40","196,906.40","9,158.06","40,103.95"
销售费用,"4,328,981.62","9,995,101.19","5,131,849.49","12,616,905.37","8,255,772.88","18,901,036.43","11,313,041.78","25,754,638.21","13,905,709.36","26,915,630.65","41,712,780.14","8,723,214.66","18,488,282.49","31,486,762.11","48,297,666.47","10,009,166.76","22,520,124.61","36,684,648.26","54,723,791.57","11,187,834.82","27,101,681.21","43,357,575.00","69,961,760.42","17,222,600.23","35,882,691.54","63,247,260.73","92,997,168.34","19,830,909.34","46,669,001.50","74,759,777.15","111,848,399.16","25,141,076.34","49,072,325.68","81,097,713.51","130,520,356.57","30,770,469.78","74,958,442.51"
减:营业外支出,"55,000.00","55,000.00","5,000.00","34,886.16",,"91,136.33","22,533.61","31,240.55","64,452.84","105,033.44","159,636.49",,"3,234.97","3,234.97","143,523.75","6,616.43","6,827.13","7,596.13","341,178.97",,"51,242.26","620,920.23","741,465.59","23,506.81","407,901.04","634,240.16","6,550,732.41","1,921.79","526,837.07","577,368.85","10,759,184.07","984,242.82","1,252,031.24","1,549,551.11","8,103,933.36","153,630.14","7,859,352.77"
管理费用,"9,940,606.11","25,516,906.36","17,015,113.83","44,900,903.00","27,434,939.33","54,292,469.64","30,328,060.00","67,746,454.58","48,357,677.57","76,344,940.39","110,915,974.86","20,147,355.44","48,721,857.54","72,905,458.93","105,544,572.66","27,840,394.97","66,882,644.92","105,831,708.08","157,594,945.32","34,563,554.85","81,142,599.36","134,965,963.58","197,128,283.45","51,051,086.25","107,307,675.08","183,114,586.10","295,386,757.21","67,373,594.10","137,729,082.71","229,787,375.24","359,495,982.19","84,833,406.15","191,940,926.25","312,488,088.79","456,642,635.32","92,206,690.71","203,094,071.94"
其中:非流动资产处置净损失,,,,,,,,,,,,,"3,234.97",,"51,776.55",,"6,616.43","6,885.43","56,223.20",,,"378,843.64","481,713.98","22,433.31","38,984.66","230,324.46","311,365.94",,"98,775.76","105,551.64","155,653.48",,"55,672.44","55,672.44",,,
