科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"508,231,389.18","558,321,835.69","555,569,002.04","325,744,918.96","433,577,656.49","565,599,312.53","170,077,658.39","388,377,548.18","608,167,173.14","812,906,712.67","233,194,257.38"
二、营业利润,"50,832,317.10","59,146,024.71","60,073,811.48","47,331,414.34","58,295,133.95","59,585,951.46","20,358,335.94","52,483,953.75","70,137,212.88","79,948,692.51","19,379,452.35"
减:营业成本,"397,787,843.19","439,675,751.50","432,263,616.15","255,539,415.81","343,949,038.21","455,017,297.39","148,298,862.32","314,208,123.48","490,352,037.29","660,274,533.45","196,708,740.61"
加:补贴收入,,,,,,,,,,,
营业税金及附加,"16,496,524.01","17,572,308.08","18,172,344.63","-5,687,925.48","-4,995,492.95","-4,619,439.74","436,350.06","1,135,868.86","1,839,795.57","1,914,511.20","599,426.29"
营业外收入,"45,013.46","96,791.20","4,889,828.11","34,930.11","42,930.11","49,495.11","303,974.91","626,506.56","916,261.72","5,617,247.75","156,996.25"
销售费用,"1,883,689.22","1,195,265.79","1,838,717.85","905,726.60","1,409,139.95","2,414,237.45","597,615.37","1,380,265.73","2,559,004.69","3,018,993.34","1,032,526.38"
减:营业外支出,,"200,000.00",,"152,081.33","142,832.76","172,832.76",,,"1,964.08","1,964.08",
管理费用,"33,733,143.88","32,276,706.80","34,643,906.61","24,286,259.07","30,272,048.90","41,631,892.99","10,823,031.51","25,497,815.61","44,320,153.44","71,777,426.02","21,508,829.96"
其中:非流动资产处置净损失,,,,"152,081.33","142,832.76","142,832.76",,,,,
堪探费用,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,
财务费用,"1,844,682.86","3,309,509.70","1,636,630.35","1,098,530.69","1,640,986.69","1,940,718.04","166,483.19","460,223.08","1,225,326.44","990,210.91","911,772.80"
三、利润总额,"50,877,330.56","59,042,815.91","64,963,639.59","47,214,263.12","58,195,231.30","59,462,613.81","20,662,310.85","53,110,460.31","71,051,510.52","85,563,976.18","19,536,448.60"
资产减值损失,"5,653,188.92","5,146,269.11","6,939,974.97","2,271,497.93","3,006,801.74","9,628,654.94","-10,603,020.00","-6,788,702.33","-2,266,357.17","403,020.59","-6,961,606.75"
减:所得税,"5,668,121.92","9,510,539.32","9,002,739.29","7,309,885.38","9,013,966.26","4,116,390.50","5,361,175.64","12,487,970.08","17,359,407.57","19,172,638.67","3,173,161.26"
加:公允价值变动净收益,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,
投资收益,,,,,,,,,,,
四、净利润,"45,209,208.64","49,532,276.59","55,960,900.30","39,904,377.74","49,181,265.04","55,346,223.31","15,301,135.21","40,622,490.23","53,692,102.95","66,391,337.51","16,363,287.34"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,
归属于母公司所有者的净利润,"45,209,208.64","49,532,276.59","55,960,900.30","39,904,377.74","49,181,265.04","55,346,223.31","15,301,135.21","40,622,490.23","53,692,102.95","66,391,337.51","16,363,287.34"
影响营业利润的其他科目,,,,,,,,,,,
少数股东损益,,,,,,,,,,,
