科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"751,892,003.79","1,175,062,776.98","1,905,030,825.13","939,885,014.82","1,425,889,320.87","2,035,818,327.97","534,776,708.62","1,048,691,695.91","1,768,851,049.31","2,684,535,646.40","723,503,004.44","1,637,719,442.48","2,517,502,186.77","3,525,953,681.64","829,724,747.22","1,920,194,997.29","2,762,683,289.76","3,716,619,606.58","740,679,819.02","2,322,582,715.59","3,622,988,262.62","5,169,461,537.12","1,227,885,207.66","3,013,399,678.42","4,739,863,547.56","6,960,960,745.15","1,634,968,257.38","3,498,295,697.32","5,492,700,420.14","7,585,004,069.43"
二、营业利润,"9,194,468.11","217,498,767.92","397,782,298.33","94,373,763.52","134,395,069.12","204,029,385.84","3,287,759.41","4,245,872.95","-26,899,128.85","51,428,303.59","72,036,628.98","191,248,034.36","291,226,101.93","375,170,498.67","55,414,811.49","131,363,408.09","80,143,267.02","145,341,722.66","32,721,357.11","66,304,060.63","82,639,977.90","135,621,677.56","29,279,340.18","155,702,179.83","471,569,759.70","940,968,412.53","278,699,872.37","609,798,447.32","946,356,426.53","1,349,262,121.86"
减:营业成本,"665,321,896.74","813,499,547.07","1,265,856,921.50","737,549,890.03","1,129,097,137.55","1,593,916,898.70","458,032,952.42","896,697,678.73","1,531,286,321.37","2,261,321,403.98","535,438,387.82","1,207,553,314.73","1,801,434,735.56","2,504,258,649.95","652,658,503.88","1,522,266,681.89","2,193,901,962.08","2,964,495,765.85","580,445,059.99","1,887,404,256.64","2,968,032,063.14","4,239,040,803.03","966,669,797.11","2,391,852,090.95","3,490,507,721.70","4,918,687,573.15","1,082,396,100.16","2,338,739,389.23","3,678,936,923.78","5,153,430,277.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,438,077.13","6,306,437.80","10,750,840.69","4,037,757.03","5,010,671.57","6,868,963.83","1,741,158.29","2,850,052.17","4,713,602.43","7,313,954.40","984,930.41","3,080,450.51","6,792,195.38","15,357,213.02","3,487,027.90","7,988,314.26","11,264,575.67","17,618,269.84","2,773,854.57","10,846,398.80","15,907,689.77","24,482,695.15","2,733,880.36","9,800,541.67","19,888,312.98","95,325,279.28","46,397,942.42","81,371,145.99","116,976,680.81","143,882,316.52"
营业外收入,"1,200,230.33","3,588,860.38","13,190,609.01","442,291.23","6,543,401.64","34,511,340.27","139,877,832.14","140,091,815.66","171,251,914.15","178,837,122.86","494,335.84","5,835,520.29","75,748,655.26","72,857,194.37","6,513,728.33","12,176,877.97","118,434,608.53","480,186,999.90","11,196,703.84","86,850,771.51","113,064,663.48","147,343,497.32","16,738,574.10","43,280,765.08","81,212,182.21","116,742,554.22","22,216,635.34","48,189,834.44","68,785,233.30","18,815,221.60"
销售费用,"8,721,817.17","12,939,108.17","18,591,496.41","9,466,108.74","14,554,621.09","21,456,603.49","6,553,437.54","13,901,174.93","21,885,129.28","29,977,929.31","7,653,684.27","15,545,354.24","22,585,672.38","29,074,015.66","5,239,753.77","10,837,139.86","15,668,236.54","20,886,711.61","4,723,543.35","12,890,429.13","19,450,900.07","27,947,240.00","7,298,816.58","15,296,023.32","47,217,324.22","47,337,509.86","7,331,696.34","14,587,451.11","21,329,005.48","46,027,353.80"
减:营业外支出,"584,443.13","450,830.97","6,175,696.01","31,298.76","40,286.43","100,915.91","235,888.68","235,888.68","311,103.80","272,641.07","94,778.49","117,366.01","250,643.72","511,872.30","139,191.68","1,840,882.42","2,748,759.98","379,943,467.25","1,062,195.44","35,757,309.37","40,017,118.31","41,891,951.46","953,745.54","5,588,548.97","6,272,774.26","38,328,936.88","725,947.14","2,114,230.10","4,397,292.87","16,182,645.11"
管理费用,"21,744,286.94","55,772,797.49","125,619,357.30","46,457,311.29","70,664,759.75","106,654,477.43","29,042,855.27","57,577,906.44","106,584,462.25","160,526,545.91","45,141,151.64","99,064,871.41","215,919,230.23","365,145,081.86","63,723,019.36","147,043,968.83","315,063,982.89","348,934,840.83","74,498,970.08","197,851,165.02","331,874,122.37","453,623,998.71","143,396,670.18","296,236,910.08","500,071,208.77","683,261,150.20","174,664,209.98","376,576,513.17","579,913,697.90","790,406,540.14"
其中:非流动资产处置净损失,,"384,442.13","3,061,909.61",,,"75,612.02","11,199.71","228,346.85","267,107.75","92,135.94",,"44,003.30","64,237.01","96,821.50","111,263.69","1,735,846.63","2,341,629.37","379,527,706.64","90,631.53","34,801,634.37","37,252,090.54","39,975,352.65","553,072.97","4,870,224.78","5,397,714.11","32,757,865.10","723,863.49","2,029,958.82","3,915,278.40",
