科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"112,478,050.69","150,506,264.32","187,284,132.23","90,452,351.76","520,984,879.60","491,798,643.46","570,421,736.36","488,803,470.39","441,840,371.30","395,713,793.35","474,302,311.77","366,825,494.81","324,378,716.53","291,752,357.30","389,115,161.04","315,441,885.54","288,360,282.52","241,520,191.07","373,966,413.30","301,114,321.22","265,655,965.01","232,772,571.85","274,761,585.52","226,569,837.00","278,120,704.46","269,496,109.08","313,640,046.18","305,283,675.09","369,633,193.70","315,876,224.35","310,345,939.65"
短期借款,"91,900,000.00","102,228,200.00","155,622,700.00","160,556,400.00","177,971,600.00","187,754,900.00","227,400,000.00","249,900,000.00","207,900,000.00","152,500,000.00","168,500,000.00","172,000,000.00","170,000,000.00","166,000,000.00","225,000,000.00","305,000,000.00","355,000,000.00","375,000,000.00","369,000,000.00","399,000,000.00","398,000,000.00","384,000,000.00","305,000,000.00","350,000,000.00","390,000,000.00","360,000,000.00","285,000,000.00","345,000,000.00","420,000,000.00","485,000,000.00","306,883,476.40"
交易性金融资产,"300,000.00",,,,,,,,,,,,,,,,,,"387,030.00","387,030.00","387,030.00","387,030.00",,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,"1,473,580.00","1,473,580.00",,,,,,,"1,536,000.00"
应收票据,"22,358,247.25","21,152,880.26","29,871,242.65","15,677,595.75","9,939,629.00","25,100,417.26","25,631,875.00","18,276,042.15","27,672,496.60","16,504,896.10","42,408,746.58","12,557,330.45","17,903,414.15","28,330,242.28","38,867,155.51","18,497,615.55","26,129,643.20","15,201,736.28","36,174,080.16","14,976,146.20","38,881,471.13","28,072,841.88","45,516,775.58","55,205,436.50","22,868,432.87","13,832,715.85","34,318,508.48","18,305,985.35","12,960,054.66","27,856,106.73","51,700,992.98"
应付票据,"7,300,000.00","18,412,000.00",,"16,240,000.00","17,240,000.00","14,650,000.00","20,350,000.00","24,506,440.00","22,130,440.00","3,900,000.00","13,271,544.00","38,674,647.50","44,253,103.50","42,480,000.00","33,630,000.00","62,270,000.00","62,870,000.00","20,030,000.00","19,730,000.00","79,548,954.80","79,198,954.80","20,172,378.60","3,050,000.00","3,050,000.00","8,400,000.00","22,700,000.00","41,750,000.00","93,721,150.00","100,421,150.00","53,550,000.00","57,218,000.00"
应收账款,"9,178,881.61","8,096,950.21","8,920,437.85","26,309,189.06","31,459,392.04","41,041,174.48","23,280,861.86","50,436,168.89","48,208,489.78","54,931,841.53","43,354,879.32","63,717,828.81","90,980,088.78","96,928,023.14","77,967,090.11","105,885,828.92","106,819,492.50","119,516,892.75","76,353,828.47","106,974,917.03","113,991,262.06","141,764,984.76","107,086,380.27","125,534,391.16","148,995,671.64","149,967,001.50","116,464,127.22","142,899,126.81","149,957,090.31","158,829,115.91","121,078,486.62"
应付账款,"77,544,797.24","111,102,317.16","159,125,409.89","136,150,709.21","119,419,707.75","141,851,924.29","154,490,792.61","168,100,479.44","120,729,740.18","131,472,996.04","183,563,172.45","142,751,590.35","142,248,682.02","162,474,741.04","192,538,280.65","177,502,707.16","165,374,868.16","171,206,405.05","198,827,098.15","167,776,603.45","164,291,562.75","188,725,604.95","216,684,998.36","189,206,974.40","178,900,777.52","148,671,418.12","234,863,816.34","187,386,695.54","163,524,787.65","209,602,356.41","249,106,799.68"
预付款项,"34,319,171.07","24,468,518.74","24,163,800.07","41,185,835.96","36,159,876.75","23,682,472.38","3,879,624.93","3,148,385.35","2,683,934.87","1,674,087.72","2,615,440.10","2,018,054.75","1,465,649.96","1,855,434.26","4,013,971.00","3,997,913.66","8,842,003.01","1,077,917.96","562,912.65","10,216,046.26","1,847,019.73","4,552,903.57","321,377.94","6,053,691.72","2,355,201.70","4,777,030.99","3,060,007.24","4,953,483.87","3,445,550.87","4,171,868.69","6,012,833.97"
预收款项,"7,527,596.68","14,178,286.22","28,294,714.23","6,851,934.67","9,319,049.64","5,187,926.38","22,152,453.22","7,350,985.49","14,168,525.92","11,156,368.72","28,285,649.29","16,608,154.87","9,274,130.40","9,623,143.11","13,880,898.89","10,089,569.86","8,672,637.60","8,232,436.84","24,319,544.30","15,844,297.63","8,442,516.28","8,774,309.15","21,702,477.15","13,710,475.92","13,707,428.67","11,609,020.51","20,587,417.15","12,803,504.42","9,218,540.57","6,945,136.34","25,501,701.83"
