科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"11,879,000,000.00","19,299,000,000.00","27,838,000,000.00","9,507,000,000.00","20,250,000,000.00","30,978,000,000.00","40,155,000,000.00","8,298,000,000.00","17,104,000,000.00","27,212,000,000.00","40,801,000,000.00","12,182,000,000.00","25,505,000,000.00","40,156,000,000.00","55,765,000,000.00","16,830,000,000.00","35,300,000,000.00","55,456,000,000.00","76,948,000,000.00","21,679,000,000.00","44,171,000,000.00","66,282,000,000.00","89,435,000,000.00","24,046,000,000.00","49,878,000,000.00","76,572,000,000.00","104,558,000,000.00","29,800,000,000.00","62,106,000,000.00","92,568,000,000.00","124,716,000,000.00","32,992,000,000.00","70,038,000,000.00","107,453,000,000.00","145,134,000,000.00","40,479,000,000.00","78,205,000,000.00","115,336,000,000.00","153,781,000,000.00","37,778,000,000.00","76,580,000,000.00","115,307,000,000.00","156,708,000,000.00","39,638,000,000.00","81,052,000,000.00","121,384,000,000.00","164,854,000,000.00","47,410,000,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"11,256,000,000.00","18,172,000,000.00","26,170,000,000.00","8,825,000,000.00","18,228,000,000.00","27,633,000,000.00","36,091,000,000.00","7,232,000,000.00","15,014,000,000.00","24,202,000,000.00","35,984,000,000.00","10,674,000,000.00","22,363,000,000.00","34,800,000,000.00","48,135,000,000.00","14,344,000,000.00","29,806,000,000.00","46,966,000,000.00","65,106,000,000.00","18,310,000,000.00","36,929,000,000.00","55,718,000,000.00","75,486,000,000.00","19,912,000,000.00","40,675,000,000.00","62,804,000,000.00","85,688,000,000.00","22,136,000,000.00","45,614,000,000.00","70,048,000,000.00","94,741,000,000.00","24,053,000,000.00","49,744,000,000.00","76,746,000,000.00","104,433,000,000.00","27,562,000,000.00","53,436,000,000.00","79,524,000,000.00","106,138,000,000.00","25,108,000,000.00","49,494,000,000.00","74,273,000,000.00","99,645,000,000.00","24,211,000,000.00","49,808,000,000.00","76,860,000,000.00","104,772,000,000.00","28,070,000,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"18,123,000,000.00","29,025,000,000.00","41,494,000,000.00","13,953,000,000.00","29,099,000,000.00","44,576,000,000.00","58,867,000,000.00","12,322,000,000.00","24,894,000,000.00","38,799,000,000.00","56,131,000,000.00","16,023,000,000.00","33,488,000,000.00","52,279,000,000.00","72,460,000,000.00","22,213,000,000.00","47,616,000,000.00","75,861,000,000.00","106,623,000,000.00","33,118,000,000.00","68,337,000,000.00","103,448,000,000.00","138,810,000,000.00","36,678,000,000.00","75,399,000,000.00","117,832,000,000.00","163,335,000,000.00","49,954,000,000.00","102,280,000,000.00","154,677,000,000.00","205,639,000,000.00","53,193,000,000.00","107,685,000,000.00","161,620,000,000.00","215,661,000,000.00","55,084,000,000.00","107,685,000,000.00","160,093,000,000.00","213,474,000,000.00","54,894,000,000.00","110,285,000,000.00","165,256,000,000.00","220,762,000,000.00","54,982,000,000.00","112,379,000,000.00","172,721,000,000.00","233,793,000,000.00","62,289,000,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"6,867,000,000.00","10,853,000,000.00","15,324,000,000.00","5,128,000,000.00","10,871,000,000.00","16,943,000,000.00","22,776,000,000.00","5,090,000,000.00","9,880,000,000.00","14,597,000,000.00","20,147,000,000.00","5,349,000,000.00","11,125,000,000.00","17,479,000,000.00","24,325,000,000.00","7,869,000,000.00","17,810,000,000.00","28,895,000,000.00","41,517,000,000.00","14,808,000,000.00","31,408,000,000.00","47,730,000,000.00","63,324,000,000.00","16,766,000,000.00","34,724,000,000.00","55,028,000,000.00","77,647,000,000.00","27,818,000,000.00","56,666,000,000.00","84,629,000,000.00","110,898,000,000.00","29,140,000,000.00","57,941,000,000.00","84,874,000,000.00","111,228,000,000.00","27,522,000,000.00","54,249,000,000.00","80,569,000,000.00","107,336,000,000.00","29,786,000,000.00","60,791,000,000.00","90,983,000,000.00","121,117,000,000.00","30,771,000,000.00","62,571,000,000.00","95,861,000,000.00","129,021,000,000.00","34,219,000,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"605,000,000.00","1,054,000,000.00","2,080,000,000.00","595,000,000.00","1,381,000,000.00","2,175,000,000.00","3,045,000,000.00","738,000,000.00","1,658,000,000.00","2,596,000,000.00","4,220,000,000.00","1,177,000,000.00","2,529,000,000.00","4,133,000,000.00","5,696,000,000.00","1,850,000,000.00","3,898,000,000.00","6,204,000,000.00","8,837,000,000.00","2,627,000,000.00","5,405,000,000.00","8,158,000,000.00","11,210,000,000.00","3,599,000,000.00","7,977,000,000.00","12,390,000,000.00","16,811,000,000.00","6,168,000,000.00","12,807,000,000.00","18,835,000,000.00","25,313,000,000.00","8,184,000,000.00","17,480,000,000.00","26,068,000,000.00","35,674,000,000.00","11,037,000,000.00","21,296,000,000.00","30,973,000,000.00","42,280,000,000.00","10,805,000,000.00","22,761,000,000.00","34,216,000,000.00","46,858,000,000.00","10,473,000,000.00","21,862,000,000.00","32,604,000,000.00","45,148,000,000.00","15,448,000,000.00"
营业税金及附加,"900,000,000.00","1,398,000,000.00","2,034,000,000.00","660,000,000.00","1,330,000,000.00","2,164,000,000.00","2,854,000,000.00","616,000,000.00","1,250,000,000.00","1,978,000,000.00","2,761,000,000.00","818,000,000.00","1,696,000,000.00","2,665,000,000.00","3,685,000,000.00","1,159,000,000.00","2,432,000,000.00","3,809,000,000.00","5,343,000,000.00","1,584,000,000.00","3,257,000,000.00","4,909,000,000.00","6,648,000,000.00","1,781,000,000.00","3,588,000,000.00","5,503,000,000.00","7,488,000,000.00","2,135,000,000.00","4,350,000,000.00","6,496,000,000.00","8,827,000,000.00","2,478,000,000.00","5,065,000,000.00","7,470,000,000.00","10,033,000,000.00","2,627,000,000.00","3,688,000,000.00","4,026,000,000.00","4,487,000,000.00","408,000,000.00","828,000,000.00","1,202,000,000.00","1,660,000,000.00","398,000,000.00","872,000,000.00","1,285,000,000.00","1,699,000,000.00","425,000,000.00"
手续费及佣金收入,"715,000,000.00","1,233,000,000.00","2,365,000,000.00","669,000,000.00","1,551,000,000.00","2,444,000,000.00","3,453,000,000.00","839,000,000.00","1,868,000,000.00","2,921,000,000.00","4,718,000,000.00","1,302,000,000.00","2,801,000,000.00","4,559,000,000.00","6,308,000,000.00","1,990,000,000.00","4,212,000,000.00","6,715,000,000.00","9,481,000,000.00","2,825,000,000.00","5,817,000,000.00","8,796,000,000.00","12,194,000,000.00","3,880,000,000.00","8,581,000,000.00","13,320,000,000.00","18,318,000,000.00","6,501,000,000.00","13,497,000,000.00","19,941,000,000.00","26,972,000,000.00","8,597,000,000.00","18,367,000,000.00","27,432,000,000.00","37,639,000,000.00","11,484,000,000.00","22,353,000,000.00","32,792,000,000.00","45,360,000,000.00","11,732,000,000.00","24,749,000,000.00","37,452,000,000.00","51,687,000,000.00","11,614,000,000.00","24,279,000,000.00","36,450,000,000.00","50,739,000,000.00","16,811,000,000.00"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,"110,000,000.00","179,000,000.00","285,000,000.00","74,000,000.00","170,000,000.00","269,000,000.00","408,000,000.00","101,000,000.00","210,000,000.00","325,000,000.00","498,000,000.00","125,000,000.00","272,000,000.00","426,000,000.00","612,000,000.00","140,000,000.00","314,000,000.00","511,000,000.00","644,000,000.00","198,000,000.00","412,000,000.00","638,000,000.00","984,000,000.00","281,000,000.00","604,000,000.00","930,000,000.00","1,507,000,000.00","333,000,000.00","690,000,000.00","1,106,000,000.00","1,659,000,000.00","413,000,000.00","887,000,000.00","1,364,000,000.00","1,965,000,000.00","447,000,000.00","1,057,000,000.00","1,819,000,000.00","3,080,000,000.00","927,000,000.00","1,988,000,000.00","3,236,000,000.00","4,829,000,000.00","1,141,000,000.00","2,417,000,000.00","3,846,000,000.00","5,591,000,000.00","1,363,000,000.00"
业务及管理费,"4,251,000,000.00","6,675,000,000.00","9,713,000,000.00","3,019,000,000.00","6,378,000,000.00","9,912,000,000.00","13,242,000,000.00","2,866,000,000.00","5,260,000,000.00","8,468,000,000.00","16,299,000,000.00","4,408,000,000.00","7,774,000,000.00","11,992,000,000.00","18,862,000,000.00","5,268,000,000.00","10,704,000,000.00","15,428,000,000.00","22,973,000,000.00","6,278,000,000.00","12,559,000,000.00","18,391,000,000.00","28,179,000,000.00","7,463,000,000.00","14,306,000,000.00","22,162,000,000.00","32,845,000,000.00","8,365,000,000.00","16,660,000,000.00","25,282,000,000.00","37,812,000,000.00","9,350,000,000.00","18,172,000,000.00","27,787,000,000.00","40,427,000,000.00","10,088,000,000.00","19,460,000,000.00","30,450,000,000.00","42,377,000,000.00","9,769,000,000.00","20,294,000,000.00","30,288,000,000.00","46,892,000,000.00","11,039,000,000.00","21,612,000,000.00","32,783,000,000.00","50,395,000,000.00","11,966,000,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
