科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"84,343,732.34","108,293,651.22","104,481,471.93","72,771,811.07","91,600,319.72","118,916,285.30","24,954,252.82","73,733,892.29","117,710,922.21","198,740,794.15","54,610,354.92","130,117,954.30","205,405,497.56","276,210,436.02","49,424,119.72","128,843,373.34","213,932,124.61","283,655,095.48","53,308,094.17","139,155,601.26","215,583,307.50","294,098,596.93","86,034,658.71","190,606,295.06","294,831,701.70","357,595,487.76","65,837,087.71","134,629,021.32","212,702,442.27","293,358,905.86","63,373,853.15","141,461,156.62","213,060,758.63"
取得子公司及其他营业单位支付的现金净额,"378,910.98",,,,,,,,,"1,567,933.39",,,"878,523.91","1,378,523.91",,,,,,,,,,,,,,,"2,500,000.00",,,,
收到的税费返还,,,,,,,,"6,500.38","6,500.38","40,332.13","1,768.69","1,768.69","1,768.69",,"15,595.23","35,552.80","35,552.80","35,552.80",,,,,,,"79,341.59","79,341.59",,,,"1,009,195.95","112,990.10","112,990.10","112,990.10"
支付其他与投资活动有关的现金,,,,,"269,384.16",,"19,329.00","523,664.00","558,564.00",,"199,878.72","304,078.72",,,"85,550.60","387,163.42","10,414,523.59","45,671,024.68","35,716.15","265,475.34","358,992.22","3,000,000.00","50,876,683.68","87,968,626.06","182,900,609.65","296,000,000.00","372,000,000.00",,,,"170,000,000.00","60,000.00","61,045,080.74"
收到其他与经营活动有关的现金,"2,814,536.84","910,299.24","4,796,070.94","751,278.98","1,326,371.72","4,925,050.25","859,511.27","1,086,504.67","2,322,881.56","5,487,316.60","8,784,674.47","10,830,185.46","14,526,971.29","11,867,396.95","521,800.40","1,638,733.96","10,578,016.07","11,876,112.88","2,668,181.83","6,583,810.59","8,376,208.62","14,552,506.17","5,400,068.91","10,208,837.76","12,238,433.72","8,097,242.80","2,650,948.18","4,061,618.05","6,049,428.06","2,588,936.43","1,775,709.52","5,995,025.03","9,142,467.35"
投资活动现金流出小计,"6,828,374.83","24,914,867.60","18,828,865.02","6,325,690.30","13,665,414.34","16,885,665.28","5,575,952.20","11,763,253.20","14,274,983.45","22,631,213.44","34,071,403.80","75,163,029.49","108,775,744.77","126,289,026.09","15,106,944.41","26,868,153.19","52,897,686.94","109,244,805.31","20,249,138.15","48,672,748.94","94,586,615.98","79,928,803.49","56,541,076.67","99,648,715.25","242,676,193.19","321,332,589.45","375,408,110.00","4,936,808.13","9,834,317.99","11,952,655.89","170,365,552.44","1,052,011.44","63,175,476.78"
经营活动现金流入小计,"87,158,269.18","109,203,950.46","109,277,542.87","73,523,090.05","92,926,691.44","123,841,335.55","25,813,764.09","74,826,897.34","120,040,304.15","204,268,442.88","63,396,798.08","140,949,908.45","219,934,237.54","288,077,832.97","49,961,515.35","130,517,660.10","224,545,693.48","295,566,761.16","55,976,276.00","145,739,411.85","223,959,516.12","308,651,103.10","91,434,727.62","200,815,132.82","307,149,477.01","365,772,072.15","68,488,035.89","138,690,639.37","218,751,870.33","296,957,038.24","65,262,552.77","147,569,171.75","222,316,216.08"
投资活动产生的现金流量净额,"-6,728,374.83","-24,825,787.60","-17,453,170.29","-6,243,305.68","-13,580,727.34","-16,801,665.28","-5,575,952.20","-11,686,098.20","-14,134,814.75","-22,631,213.44","-34,071,403.80","-75,146,029.49","-108,711,944.77","-126,279,026.09","-12,830,884.83","-24,592,093.61","-50,281,790.37","-108,536,883.39","471,067.33","-30,579,905.05","-26,192,408.59","-68,345,393.77","-36,209,274.52","-99,428,966.86","-106,233,338.48","-307,295,415.26","43,672,277.96","33,683,538.73","80,242,259.01","10,799,525.84","305,167,261.89","316,289,890.91","257,124,124.20"
购买商品、接受劳务支付的现金,"40,390,253.39","59,346,486.43","66,126,852.73","17,122,140.47","40,118,219.08","59,681,419.54","22,474,415.54","52,578,953.36","76,976,520.47","141,390,938.15","31,338,923.12","68,838,167.20","115,669,962.72","146,562,377.19","31,065,308.78","68,874,255.00","110,971,118.19","155,465,220.99","27,786,368.43","58,551,125.74","89,724,273.75","138,225,246.24","26,379,669.82","63,710,464.87","114,646,666.35","139,188,591.26","18,946,053.24","53,737,166.94","86,000,435.34","125,817,843.25","32,408,505.48","60,531,966.79","101,348,707.70"
吸收投资收到的现金,,"10,818,860.00","18,244,660.07",,,"448,580,000.00",,,,,,,,,,"1,200,000.00",,"6,200,000.00",,,,,"1,000,000.00","100,000.00","100,000.00","100,000.00",,,,,"52,631.00","22,500,000.00","25,500,000.00"
