科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"44,211,971.87","46,169,902.26","63,235,323.01","121,708,275.23","84,662,906.97","931,634,954.17","855,992,384.00","860,477,246.48","879,795,910.23","857,311,942.28","856,139,385.57","858,882,123.12","890,617,528.54","865,309,748.01","844,550,175.13","698,121,718.84","650,311,073.97","678,161,697.37","644,706,390.24","566,404,905.91","558,082,944.60","428,631,643.71","491,270,800.73","484,596,038.94","385,923,211.77","296,675,023.00","511,853,777.16","495,272,679.07","523,925,091.88","487,914,055.53","550,997,080.40","442,294,408.95","763,852,552.51","482,544,929.13","490,432,011.95","534,392,046.92","460,301,946.70","968,649,764.28"
短期借款,"5,000,000.00",,,"16,000,000.00","15,000,000.00","5,000,000.00","5,000,000.00",,,,"19,100,000.00",,,,,,"71,188,471.62","104,951,301.51","85,080,950.18","82,000,000.00","82,000,000.00","80,375,966.05","211,950,324.47","186,860,703.83","242,824,513.50","204,142,093.64","228,412,906.06","286,867,920.19","205,754,646.82","184,263,813.27","218,726,176.37","150,324,967.90","122,441,077.44","112,531,853.80","149,336,356.16","164,110,312.65","134,820,174.56","98,400,309.85"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"4,000,000.00",,,,"200,000.00","1,500,000.00",,,,,,,,,,"470,000.00","1,780,000.00","2,462,407.00","2,542,407.00","3,100,000.00","1,877,705.10","3,328,332.92","1,704,000.00","10,000.00","2,838,073.30",,"143,499.90","1,593,111.60","1,758,355.85",,"2,373,372.00",
应付票据,,,,,,,,,,,,,,,,,,,"11,027,146.80","35,329,348.51","22,909,068.11","5,050,440.00","17,745,747.28","36,664,676.05","17,863,324.71","30,582,634.82","39,953,074.85","29,516,999.40","103,904,164.40","48,134,927.99","58,985,681.58","19,936,283.75","27,679,624.70","25,423,153.15","26,739,673.09",,"23,829,863.45",
应收账款,"36,967,381.31","63,914,853.31","59,063,285.61","45,150,923.21","85,404,394.69","108,675,861.36","136,885,143.05","152,799,776.45","137,398,393.35","191,672,679.87","231,947,330.16","196,509,648.04","276,990,490.99","328,510,222.84","396,200,424.99","404,890,005.69","456,907,953.64","523,405,589.33","610,561,927.35","587,343,474.37","615,459,145.64","690,292,216.16","828,954,540.26","748,814,507.08","932,847,494.96","1,092,412,459.56","1,019,879,619.97","1,116,695,544.15","1,234,237,201.62","1,387,538,016.02","1,383,431,498.80","1,154,642,630.94","1,050,592,504.39","1,174,003,049.18","1,082,554,093.30",,"1,077,515,313.80",
应付账款,"12,390,517.65","23,412,362.71","32,431,560.39","33,444,483.34","41,680,822.07","59,002,237.54","49,552,636.82","42,124,722.98","42,195,826.77","62,513,544.29","83,559,304.64","93,320,839.87","125,976,281.75","131,724,706.74","173,438,880.16","224,800,839.06","339,504,217.86","360,706,010.35","417,717,895.85","368,619,697.72","436,614,750.60","550,147,212.01","553,480,812.23","490,779,821.24","560,755,879.58","737,046,549.88","593,873,559.94","685,826,612.17","788,827,135.14","884,756,748.74","867,392,550.05","869,439,294.89","862,349,169.74","791,908,886.03","610,568,432.07",,"674,103,025.74",
预付款项,"3,357,398.61","5,221,694.70","22,413,650.07","34,343,981.49","33,052,934.30","52,940,338.85","57,712,190.66","55,891,498.23","38,862,749.26","47,861,439.15","71,804,906.67","112,603,229.63","35,609,940.53","47,911,360.85","36,663,331.55","98,656,958.81","26,675,977.79","43,028,347.82","43,260,917.65","71,753,279.56","53,569,598.33","191,230,536.24","205,187,762.94","195,732,196.21","84,194,629.43","107,879,471.07","56,155,312.83","144,844,850.34","28,554,880.12","54,570,775.27","37,860,117.44","131,475,510.16","21,401,059.20","103,048,478.42","111,770,166.66","79,416,742.34","18,524,760.48","77,593,778.78"
预收款项,"31,794,604.07","52,007,278.00","77,794,517.65","87,396,896.66","93,467,945.47","85,142,303.60","31,484,292.64","51,833,087.86","44,590,250.56","27,458,516.32","39,505,622.18","85,433,865.69","87,527,251.30","72,390,250.24","97,495,528.11","107,449,432.30","87,880,008.66","90,852,009.02","93,691,469.45","94,055,963.32","129,951,693.44","241,216,015.95","204,373,296.78","212,402,756.51","105,434,064.20","101,667,236.02","66,092,476.55","73,179,810.48","178,305,496.74","258,658,413.40","200,488,448.56","209,187,780.69","71,732,207.35","66,873,466.29","70,587,699.16","72,233,825.70","76,780,592.65","59,232,500.23"
其他应收款,"27,475,999.13","29,186,857.66","21,413,721.86","8,233,932.79","10,114,571.99","24,068,917.55","14,446,985.78","12,378,214.47","12,976,019.39","15,819,744.31","17,925,467.22","24,927,662.93","36,895,845.73","60,797,573.60","37,438,711.38","19,440,061.31","20,658,298.02","45,610,474.08","32,272,595.91","36,278,424.37","28,919,455.48","52,169,256.53","47,400,050.75","48,677,831.37","38,829,406.17","67,204,242.86","40,402,861.13","52,930,381.99","44,319,418.14","32,896,463.07","59,290,677.47","70,662,476.47","63,235,841.83","45,636,343.25","67,484,135.46","76,264,057.77","74,604,100.25","91,042,322.72"
应付职工薪酬,"1,644,375.56","2,454,760.68","3,831,306.27","4,022,365.09","4,828,548.95","3,410,747.48","3,798,954.16","3,236,362.39","5,434,778.72","3,501,914.62","4,345,856.97","4,486,133.73","8,983,041.27","7,225,490.23","5,611,031.21","5,711,819.72","11,403,018.55","7,386,068.57","10,651,539.09","12,440,224.74","15,686,255.66","16,284,144.79","18,151,773.24","13,743,834.96","17,819,765.52","17,463,580.80","18,561,478.82","14,853,148.20","21,840,824.36","19,726,737.41","19,235,228.54","15,613,130.44","22,319,118.46","20,807,522.24","21,917,549.89","17,887,478.19","22,346,744.56","23,813,158.53"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
