科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"4,393,183.36","9,509,009.22","9,508,527.70","6,375,805.04","5,396,482.85","16,072,993.43","23,397,133.60","10,387,868.81","14,009,111.91","14,192,389.58","10,410,003.60","21,844,234.10","24,697,653.03","21,833,683.88","18,994,647.23","16,231,191.08","14,575,906.47","42,340,896.19","21,980,649.74","25,641,668.58","30,331,476.08","17,663,123.55","31,638,119.99","16,564,081.28","21,153,883.41","22,932,127.61","13,598,971.99","36,999,112.84","34,133,610.55","19,591,803.85","44,701,688.17","31,522,782.43","40,439,800.09","50,575,467.52","56,894,328.62","45,312,988.18","52,400,115.33","43,677,322.33","49,789,254.73","45,915,921.53","46,198,668.11","38,675,979.16"
应付职工薪酬,"3,164,331.27","3,512,832.39","3,895,017.82","4,442,855.22","4,741,825.01","4,117,529.25","5,598,860.63","6,033,745.11","6,233,466.99","6,306,185.26","18,031,076.94","12,754,203.98","18,896,491.64","19,712,934.14","24,917,231.65","17,716,413.92","22,116,510.51","22,237,043.22","28,788,398.66","19,582,801.90","25,677,087.86","25,353,069.13","41,219,749.77","25,119,194.40","32,541,527.95","31,372,245.78","49,127,769.38","29,711,088.84","49,265,027.85","50,398,878.61","64,410,406.50","39,395,285.71","51,342,015.04","49,502,804.31","60,232,172.65","41,781,793.27","54,845,860.63","53,732,299.78","70,425,458.80","51,712,825.65","59,364,463.20","65,433,445.52"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"16,720,573.21","12,570,185.08","16,260,428.01","9,256,468.21","17,596,441.85","2,691,054.40","3,215,729.09","12,346,330.86","8,805,086.70","18,606,914.19","26,336,367.43","6,575,447.67","19,809,836.86","12,359,353.01","33,416,239.35","26,775,526.99","17,405,228.82","511,530.23","10,045,363.70","3,105,822.18","4,465,693.17","4,394,468.11","7,072,969.18","3,080,064.21","9,654,812.57","5,088,649.69","4,127,749.88","9,815,672.67","16,273,204.63","9,972,421.09","10,352,065.81","19,546,321.81","17,129,725.57","15,602,172.21","21,962,375.43","20,853,057.90","30,854,172.28","36,063,514.96","49,725,244.96","66,344,199.77","75,968,748.21","67,082,363.65"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,110,066.71","8,942,896.24"
应付利息,,,,"750,198.57","482,845.00","475,285.00","202,235.00","124,484.00","45,430.00","136,650.37","155,196.39","332,318.15","226,821.25","272,785.00","334,639.78","483,177.95","464,442.50","702,372.11","941,407.60","830,086.74","743,138.05","2,181,462.47","4,443,298.51","6,657,135.96","8,518,728.92","2,241,645.43","4,295,536.70","6,542,625.86","8,724,367.58","2,584,379.35","4,315,875.13","6,692,252.37","8,406,997.34","796,428.28","1,232,991.77","1,395,010.97","1,711,910.55","2,099,842.81","751,378.69","497,772.70","543,073.59","897,985.28"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,792,000.00","1,792,000.00","1,792,000.00","1,792,000.00",,,,,,,,,,
存货,"216,279,739.74","241,848,547.35","239,400,012.87","297,836,940.24","196,758,979.38","233,286,981.04","79,951,386.35","76,713,821.16","93,565,614.74","168,350,365.80","207,914,864.25","259,311,496.82","168,262,239.12","236,136,084.07","313,557,490.07","294,399,311.73","324,237,783.39","288,912,981.58","247,766,239.22","313,614,570.00","319,043,868.99","292,997,906.20","364,497,468.42","345,540,557.42","351,593,829.09","360,547,221.13","287,547,034.22","289,569,381.49","429,590,772.70","555,587,319.46","555,872,662.95","538,352,400.21","545,687,268.52","483,270,336.84","435,389,440.66","412,455,656.16","377,481,346.73","461,757,752.12","711,635,784.20","783,780,282.09","629,490,700.39","838,608,779.69"
其他应付款,"7,218,764.01","16,904,359.36","13,225,863.12","7,759,246.69","7,572,044.52","7,471,259.84","4,159,264.92","4,162,503.66","3,269,241.63","3,333,753.34","3,440,085.12","5,384,799.80","5,596,890.67","5,409,534.11","4,633,776.85","5,270,851.09","22,436,133.17","24,071,625.50","23,418,320.06","12,127,296.09","11,298,038.98","12,430,256.39","10,181,975.97","8,122,898.08","6,069,250.41","11,005,156.88","4,731,440.45","26,622,221.34","119,261,639.62","33,617,884.16","14,264,725.23","14,059,983.35","14,230,875.74","43,436,388.46","134,061,016.69","26,877,849.36","16,171,178.16","16,233,982.18","16,338,423.02","16,260,001.67","74,213,849.44","16,324,950.77"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148,557,893.75","149,223,481.25","149,889,068.75",,"33,000,000.00","25,000,000.00","10,000,000.00",,,,,
其他流动资产,,,,,,,"8,286,618.20","9,760,065.28","8,286,618.20","13,256,986.35",,,"1,734,000.00",,"10,169,650.00",,,,"14,982,211.43","16,808,525.24","30,076,807.24","25,634,070.97","48,040,697.59","34,620,812.89","32,307,239.37","18,391,213.21","58,489,090.84","8,512,185.62","89,463,980.98","20,108,313.34","10,915,147.57","4,299,889.93","28,569,905.84","22,310,712.91","175,220,973.27","102,817,971.47","110,321,485.73","104,781,780.76","190,962,334.96","990,667,296.59","872,637,102.37","833,855,278.99"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"509,633,473.78","900,448,947.79","810,244,749.37","888,778,307.43","832,203,786.56","830,435,612.19","587,080,437.68","613,522,208.19","718,452,146.82","752,690,111.42","697,697,929.16","837,826,352.80","732,656,763.57","723,022,648.08","830,889,094.03","756,832,368.72","779,474,528.10","809,553,218.44","603,073,649.95","606,896,411.28","598,202,500.44","654,847,484.07","763,926,807.64","735,009,765.14","732,890,600.04","768,149,634.97","770,992,486.06","760,110,648.71","1,507,820,583.35","1,459,301,871.83","1,355,367,384.48","1,446,705,289.79","1,679,605,606.45","1,527,268,975.49","1,618,357,987.00","1,436,482,022.64","1,463,343,854.31","1,568,044,896.14","3,100,383,449.08","2,962,755,630.54","3,109,573,939.03","3,283,109,664.73"
流动负债合计,"506,941,291.97","493,366,387.44","394,097,685.52","462,071,055.01","386,207,913.70","380,664,120.78","231,623,819.61","265,474,141.02","343,517,831.20","369,767,908.51","301,434,309.56","424,572,847.98","310,073,786.43","277,429,469.06","389,427,064.82","375,476,665.65","406,115,023.23","472,884,745.98","502,532,855.72","508,024,955.83","545,460,339.45","452,578,976.90","593,011,101.15","550,835,520.18","540,475,030.68","555,190,471.46","544,188,186.30","518,173,868.62","1,016,207,282.55","924,763,932.87","941,986,057.62","1,026,670,365.06","1,230,567,019.67","1,067,245,177.27","1,056,964,963.64","856,267,748.54","858,827,122.67","909,991,232.00","1,093,685,473.09","881,723,258.91","950,180,582.73","1,152,041,876.74"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,090,230.00","10,090,230.00","10,090,230.00","10,090,230.00","10,090,230.00"
长期借款,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","15,000,000.00","14,800,000.00","14,800,000.00",,,,,,,,,,,,,,,"30,000,000.00","15,650,000.00","30,000,000.00","30,000,000.00","14,350,000.00",,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,"148,743,750.00","143,233,193.75","143,898,781.25","144,564,368.75","145,229,956.25","145,895,543.75","146,561,131.25","147,226,718.75","147,892,306.25",,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,012,513.11","13,263,554.61","12,895,947.23","12,510,445.56","12,882,954.98","12,415,041.81","11,968,881.69","11,342,779.76"
专项应付款,,,,,,,,,,,,,,"4,700,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,912,706.27","2,493,184.30","2,562,626.40","2,637,227.25"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,092,814.09","4,284,074.10","4,256,576.37","4,394,339.52","4,361,190.26","4,534,391.82","4,959,507.12","5,022,455.24"
固定资产,"151,500,237.84","147,151,850.36","152,434,865.16","151,766,027.44","151,148,115.55","149,253,064.75","161,946,215.63","162,007,169.73","158,350,113.39","154,302,140.66","150,043,787.15","146,643,947.10","145,789,768.23","141,565,705.28","138,664,472.45","135,306,917.85","132,376,878.67","129,495,528.70","545,964,366.51","534,208,299.87","560,070,155.89","551,259,596.97","560,472,624.16","549,538,793.85","535,116,296.61","523,073,706.12","510,501,516.19","498,786,019.82","598,690,046.15","585,954,778.94","576,632,116.18","565,334,630.89","557,183,259.77","549,767,878.40","628,182,616.96","615,483,744.55","613,356,032.01","614,745,666.79","606,103,947.59","598,852,513.59","596,580,869.15","601,855,166.09"
