科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"242,625,687.94","281,725,391.26","276,179,676.69","319,384,356.97","387,996,077.62","503,344,357.82","665,226,258.74","768,002,733.62","863,372,433.68","1,274,576,790.22","1,343,034,122.14","1,764,028,594.50","1,435,635,645.68","1,317,504,922.59","1,111,560,032.33","1,056,904,812.90","1,135,620,638.98","1,070,444,484.08","839,892,388.23","798,047,430.75","815,294,483.46","875,181,105.07","960,408,297.32","852,319,575.93","973,424,494.85","847,720,636.85","1,896,924,201.51","1,539,036,321.70","1,367,076,646.80","1,306,595,445.16","2,434,143,508.49","1,766,011,385.59","1,723,053,485.09","1,578,875,148.07","1,342,519,921.64","1,706,526,324.00","1,846,895,342.45","2,007,685,792.16","1,965,910,155.36","1,773,448,064.16","1,902,779,205.72","1,889,940,517.61","2,048,976,589.30","1,709,839,249.84","1,693,566,210.46","1,826,603,859.20","1,750,411,860.02","1,283,581,266.03","1,382,177,924.87"
短期借款,"532,895,000.00","559,150,000.00","1,336,445,000.00","1,327,735,000.00","1,394,235,000.00","1,367,734,720.39","1,527,815,000.00","1,507,793,096.03","1,501,780,542.10","1,631,170,000.00","1,634,270,000.00","1,609,270,000.00","1,433,270,000.00","1,395,770,000.00","1,210,600,000.00","960,600,000.00","1,210,600,000.00","1,240,600,000.00","1,346,700,000.00","1,458,676,853.38","1,789,192,343.66","1,970,531,347.49","2,045,400,000.00","2,281,509,287.34","2,366,993,838.58","2,379,302,852.32","2,565,222,659.49","2,494,383,090.46","2,475,598,831.13","2,725,598,831.13","3,038,100,000.00","2,985,409,512.64","3,100,076,138.24","3,223,100,413.24","3,123,107,170.50","3,233,100,000.00","3,313,100,000.00","3,152,600,000.00","3,146,047,200.00","2,806,047,200.00","2,881,047,200.00","3,050,047,200.00","3,326,405,940.00","3,103,165,298.16","3,588,422,270.70","3,380,568,829.50","3,139,964,800.96","3,003,798,785.35","2,858,210,972.14"
交易性金融资产,"56,578,963.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"94,183,378.39","72,003,077.75","92,244,783.43","82,458,785.61","110,234,348.68","73,142,998.67","141,206,317.84","199,024,739.35","160,009,207.93","153,579,805.59","130,862,036.80","110,372,993.95","111,056,591.12","140,201,853.25","102,045,917.80","161,736,426.50","119,055,444.17","131,165,424.86","231,244,081.98","251,002,653.02","236,721,828.45","229,359,263.77","294,462,591.66","233,545,717.00","179,038,216.94","121,925,075.35","195,593,808.98","206,718,015.91","239,011,048.52","237,765,902.14","248,802,860.05","258,828,511.64","207,997,173.44","181,203,048.15","239,300,793.72","228,845,816.85","290,377,196.46","331,879,646.27","325,365,656.35","356,910,503.10","238,268,277.98","321,838,160.70","285,513,552.85","432,794,107.07","470,825,445.62","474,795,427.34","452,912,429.23","514,344,744.35","443,881,298.47"
应付票据,"30,000,000.00","70,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00","154,990,000.00","176,010,000.00","210,000,000.00","202,000,000.00","56,000,000.00","70,022,243.64","86,769,000.00","90,120,700.00","81,000,000.00","15,975,224.75","146,088,361.13","217,200,124.75","226,348,352.81","145,192,638.39","104,569,462.83","119,041,715.92","134,956,255.99","165,893,137.03","154,514,339.54","162,859,448.83","118,586,965.67","66,189,270.87","85,516,907.06","111,709,842.44","141,618,364.22","92,809,866.42","128,676,709.19","175,958,792.43","125,263,505.58","99,462,819.10","142,796,090.75","206,792,526.42","492,205,246.53","453,698,619.79","696,959,278.56","707,439,973.81","514,365,070.52","530,451,430.09","642,242,283.13","814,981,537.31","805,604,621.57",,"1,057,090,597.66",
应收账款,"741,717,450.64","723,009,013.16","709,958,723.97","646,175,676.25","745,077,503.76","723,451,943.59","693,257,287.31","508,678,025.58","697,696,801.70","611,276,238.12","673,793,800.74","700,428,891.05","906,226,169.05","975,809,613.28","802,921,799.10","546,620,947.02","995,863,706.07","1,035,130,463.86","851,202,777.07","515,414,327.93","654,275,269.53","647,747,589.52","631,385,673.03","515,376,461.67","617,552,498.89","791,271,171.74","811,789,323.74","572,568,983.52","750,625,091.38","888,922,710.89","878,328,615.50","711,426,782.55","947,518,736.45","985,989,314.46","856,841,066.37","733,722,858.40","1,010,276,124.05","1,042,554,965.09","1,227,602,276.02","1,078,465,898.69","1,247,252,408.07","1,261,190,820.78","1,451,012,544.23","1,417,645,246.74","2,002,621,360.43","1,745,759,399.03","1,977,157,864.90","1,848,038,270.16","2,186,818,057.02"
应付账款,"410,458,114.52","494,508,827.73","398,195,228.58","410,409,312.67","422,303,549.47","403,940,263.52","391,649,128.00","382,517,567.68","440,565,681.02","359,042,855.74","335,488,357.96","593,358,341.54","609,951,987.57","599,753,345.47","590,455,947.34","526,136,154.31","535,363,429.11","646,594,775.03","600,610,270.86","589,000,781.32","615,769,314.27","607,009,045.78","687,590,471.98","613,513,122.83","649,016,218.04","761,642,884.46","713,464,291.58","697,671,478.57","749,170,786.79","850,975,727.57","971,220,234.12","727,408,571.64","800,590,339.88","845,512,288.05","901,851,175.37","842,029,087.79","904,809,287.80","924,806,489.20","978,139,216.01","912,974,424.82","971,220,982.99","992,513,185.58","958,900,750.12","992,092,396.86","1,184,033,383.54","1,054,437,164.63",,"1,465,459,500.38",
预付款项,"95,625,102.53","21,115,362.58","138,960,345.65","135,658,232.55","187,468,788.72","279,258,456.31","348,604,059.85","314,187,418.29","340,010,725.33","324,047,080.03","363,885,572.44","260,965,895.56","262,364,079.42","236,294,044.12","274,544,494.92","348,184,734.01","339,903,374.71","308,204,998.66","336,404,178.43","161,890,878.44","156,686,530.98","139,031,084.50","174,697,572.78","160,158,619.97","154,166,934.31","195,218,277.14","239,261,367.12","143,522,889.48","135,346,642.07","118,007,593.97","156,880,172.73","116,478,266.81","114,103,022.12","113,128,088.88","144,576,392.29","130,779,280.68","126,712,354.93","155,483,203.88","135,541,699.59","124,940,924.60","122,484,788.42","145,221,792.14","162,856,727.73","392,213,915.68","447,461,826.57","404,310,825.35","444,510,852.49","158,014,064.99","151,697,386.76"
预收款项,"90,337,216.55","67,530,459.81","56,056,243.61","54,330,125.71","102,770,732.50","83,256,914.59","137,004,417.97","70,257,190.04","86,112,685.97","67,739,743.72","114,596,084.04","69,966,660.50","81,883,197.71","70,577,817.16","76,517,812.15","76,516,015.09","82,521,472.26","77,976,456.10","92,197,342.74","85,341,016.21","77,858,847.58","92,162,947.93","86,651,082.07","71,311,433.41","77,127,590.09","84,902,447.64","77,968,886.43","81,785,175.14","71,861,672.74","70,171,254.60","82,546,978.13","69,814,349.07","71,864,113.07","75,611,276.84","89,234,161.46","74,359,771.28","57,005,616.44","78,646,398.80","74,808,542.27","91,161,242.67","101,344,393.53","81,370,557.39","92,210,444.61","105,684,309.81","138,832,866.25","79,550,529.03","86,599,571.43","107,891,492.30","85,143,055.89"
