科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"748,067,001.98","935,846,119.07","772,526,563.24","173,219,591.98","354,496,112.75","548,081,469.91","818,562,219.30","284,158,771.47","642,328,123.24","984,924,904.27","1,372,832,640.85","318,782,889.69","595,301,958.33","1,019,047,055.60","1,444,482,445.36","360,323,437.96","708,570,926.20","1,044,189,557.75","1,559,551,260.05","448,068,908.51","883,916,626.38","1,487,645,675.80","2,131,897,177.18","458,589,195.61","985,352,630.85","1,464,628,397.25","2,182,106,509.44","538,066,568.34","1,273,199,570.82","2,112,686,647.23","2,857,032,331.91","673,410,595.54","1,530,635,616.73","2,480,286,463.43","3,735,845,526.36","852,861,547.80"
二、营业利润,"87,178,931.31","87,218,304.60","83,117,680.82","19,667,539.95","31,968,466.62","39,347,503.28","49,411,931.03","37,248,225.17","75,042,344.74","85,889,791.78","104,451,759.11","19,994,493.68","47,273,795.92","58,663,281.54","35,908,466.51","8,916,064.96","14,457,835.63","16,661,362.29","22,640,953.43","6,214,301.17","-1,045,662.88","1,727,862.62","1,679,888.64","3,489,336.46","644,184.89","25,192,659.67","34,267,343.56","136,503,182.78","313,438,609.17","482,928,573.35","625,720,987.24","78,903,886.92","184,108,648.07","267,830,925.32","334,324,833.64","117,627,074.26"
减:营业成本,"552,100,664.93","690,387,470.98","555,624,501.06","127,963,776.27","271,922,148.59","434,092,419.60","643,228,992.00","204,747,397.97","472,021,028.10","748,185,614.41","1,053,886,521.58","249,987,534.29","466,205,126.44","828,080,822.91","1,182,376,425.97","297,778,683.58","586,211,941.85","867,392,420.31","1,300,506,269.05","385,173,796.68","768,558,622.22","1,302,416,696.09","1,861,787,115.64","384,987,596.91","825,176,193.94","1,197,581,022.71","1,802,981,717.67","301,156,583.89","725,470,104.75","1,257,266,443.00","1,680,729,214.56","493,060,021.07","1,147,522,711.27","1,901,440,223.93","2,860,826,155.83","568,099,405.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,528,454.69","6,952,036.73","25,257,785.72","1,014,883.91","1,162,428.86","2,545,094.87","3,858,457.69","1,499,881.45","3,514,978.88","4,492,003.70","6,103,723.97","430,910.53","704,636.25","2,175,096.27","2,987,469.60","263,371.97","1,308,324.33","2,352,153.73","3,145,267.87","1,061,633.78","2,372,300.70","3,925,322.32","5,307,948.98","1,693,296.12","3,849,336.55","5,511,871.73","7,436,262.49","2,314,792.87","4,576,023.44","10,033,579.32","30,991,509.33","6,469,317.86","13,231,493.26","18,291,379.36","24,803,016.48","10,687,390.21"
营业外收入,"2,211,509.19","3,312,477.51","8,121,249.04","263,657.02","376,647.76","3,564,272.98","5,705,475.38","991,591.34","1,400,666.42","5,744,559.10","6,875,468.53","1,489,294.56","4,453,240.68","7,229,443.37","17,521,554.68","2,368,238.89","4,965,007.69","9,104,195.33","12,061,492.75","2,040,477.81","5,704,928.70","10,897,153.04","21,822,574.20","2,552,112.48","5,892,640.47","7,938,053.40","12,259,904.99","3,083,219.15","6,249,657.93","12,380,457.76","17,506,518.18","7,898,730.81","3,462,340.70","20,655,387.05","23,994,473.51","819,475.85"
销售费用,"39,676,777.24","45,168,984.00","43,711,140.04","8,166,722.38","15,224,598.67","23,858,556.67","38,612,214.71","14,935,364.78","32,344,814.08","49,821,025.96","70,230,527.85","14,217,717.94","28,603,279.38","43,724,793.21","61,905,827.22","17,539,524.15","38,930,881.57","60,310,396.03","85,619,571.21","19,464,939.12","40,804,807.18","65,182,455.06","91,770,202.96","22,603,780.86","48,230,309.32","75,475,277.73","101,249,707.84","18,802,990.31","43,141,280.66","70,472,116.33","100,622,047.24","26,053,005.68","58,768,388.12","90,652,681.14","128,913,747.27","33,122,597.40"
减:营业外支出,"797,817.65","4,371,471.62","232,080.93","320,000.00","484,449.46","774,500.63","948,559.94","3,213,636.94","5,350,962.56","5,448,981.38","14,833,271.64","6,906.51","7,146.51","53,165.25","3,431,123.35",373.00,"15,000,373.37","15,145,403.50","17,149,428.20",101.75,"16,642,274.16","16,674,795.70","19,877,584.51","23,397.82","153,111.76","792,858.44","679,769.53","9,872,337.56","31,509,266.22","54,686,251.58","78,265,386.65","616,790.90","-7,142,568.03","9,708,945.95","6,289,501.03","1,060,000.00"
管理费用,"53,668,569.53","72,634,936.35","44,570,362.87","11,413,806.82","23,593,349.38","37,949,299.30","63,943,968.22","23,691,783.65","52,550,387.70","78,302,696.59","105,238,444.56","21,719,983.30","46,525,668.40","75,221,123.99","115,514,192.52","29,046,652.89","58,169,136.71","85,327,222.48","118,503,672.96","27,887,673.00","57,088,614.17","89,420,906.56","121,208,739.69","32,129,775.35","71,385,725.46","117,319,485.81","180,485,362.77","69,300,690.59","151,633,038.83","241,967,471.08","336,730,231.05","66,005,562.41","140,762,591.95","219,298,961.63","328,862,057.00","102,306,422.80"
其中:非流动资产处置净损失,"675,373.25","2,220,146.46","169,490.93",,"125,449.46","138,047.03","152,260.65","2,619,032.05","3,473,622.52","3,386,140.29","3,476,112.25","1,876.51","2,116.51","7,083.17","9,461.09",373.00,373.00,"2,028.25","1,213,269.53",,"3,535.10","35,347.17","69,390.47","10,072.82","77,414.32","77,416.91","110,888.47","9,584,384.38","30,292,931.38","53,145,561.59","76,670,729.82","518,196.87","2,141,935.75","3,798,991.77",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"12,260,094.96","21,984,628.85","17,151,887.90","4,992,862.65","9,280,643.84","11,240,960.85","12,569,106.46","2,429,128.67","7,101,313.44","14,376,192.07","21,601,885.42","8,029,497.25","15,611,405.97","21,177,307.53","35,776,514.21","6,632,237.02","16,335,969.50","25,730,098.98","36,574,812.21","10,798,262.25","20,578,231.85","31,266,844.56","44,498,753.43","11,537,929.55","23,523,593.41","32,780,402.35","44,133,968.14","8,394,206.55","17,271,982.58","26,965,836.40","31,483,925.40","12,054,644.73","28,525,853.95","48,971,312.09","72,129,655.82","30,524,345.98"
