科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"148,530,009.39","240,661,228.09","353,875,339.07","187,489,580.91",,"505,447,595.51","66,048,169.48","182,643,794.99","314,660,787.76","558,309,579.35","181,125,748.48","377,071,048.80","640,559,632.79","906,888,597.44","261,706,595.23"
取得子公司及其他营业单位支付的现金净额,"1,450,000.00",,,,,,,,,,,,,"23,705,641.35",
收到的税费返还,"5,503,121.64","4,532,217.55","10,517,809.09","2,069,695.03",,"10,803,027.46",,"6,885,871.13","9,689,087.64","15,173,278.93","548,055.85","551,506.49","1,043,240.13","5,158,105.28",
支付其他与投资活动有关的现金,,,,,,,,,,"506,200,000.00","192,600,000.00",,"4,400,000.00","398,600,000.00","13,000,000.00"
收到其他与经营活动有关的现金,"3,238,663.68","7,408,854.70","15,255,980.80","7,637,413.07",,"14,861,856.91","9,669,419.53","12,389,860.08","12,554,956.08","24,406,715.17","8,273,863.21","15,264,541.30","28,788,123.05","38,569,086.69","19,215,140.66"
投资活动现金流出小计,"6,394,472.87","14,764,173.27","5,303,631.02","3,873,600.62",,"15,343,107.94","11,696,889.00","147,524,191.89","216,288,947.26","543,328,956.75","204,537,175.95","280,729,210.73","445,238,301.57","564,470,133.99","17,335,753.65"
经营活动现金流入小计,"157,271,794.71","252,602,300.34","379,649,128.96","197,196,689.01",,"531,112,479.88","75,717,589.01","201,919,526.20","336,904,831.48","597,889,573.45","189,947,667.54","392,887,096.59","670,390,995.97","950,615,789.41","280,921,735.89"
投资活动产生的现金流量净额,"-6,393,972.87","-14,696,173.27","-5,303,631.02","-3,873,600.62","-5,338,000.00","-15,343,107.94","-11,696,889.00","-147,524,191.89","-93,916,174.66","-34,034,177.81","-76,758,133.76","-86,315,314.34","-184,421,990.93","-168,656,651.47","-9,302,908.44"
购买商品、接受劳务支付的现金,"93,438,902.86","132,934,604.36","203,912,515.90","143,283,745.18",,"309,758,985.74","122,431,542.64","215,380,723.80","314,112,854.95","446,443,212.47","171,109,392.39","408,031,765.93","662,486,860.35","758,575,634.81","227,331,323.22"
吸收投资收到的现金,"29,000,000.00",,"1,760,000.00",,,"325,239,490.00",,"63,303,920.00","63,303,920.00","69,571,586.42","500,000.00","500,000.00","500,000.00","500,000.00","900,000.00"
支付给职工以及为职工支付的现金,"26,644,855.70","36,307,298.76","51,168,188.79","36,023,904.36",,"69,855,678.44","24,794,153.49","43,793,129.06","64,487,791.01","92,706,361.24","36,818,467.99","66,261,865.96","101,340,104.18","139,246,410.34","63,378,420.41"
取得借款收到的现金,"45,920,000.00","50,000,000.00","20,000,000.00","15,000,000.00",,"34,900,000.00",,,,"105,000,000.00","30,000,000.00","142,265,567.90","224,565,567.90","405,365,567.90","60,000,000.00"
支付的各项税费,"13,396,032.07","19,695,995.53","37,215,392.49","14,977,562.02",,"41,331,127.90","12,780,077.93","21,689,214.60","32,665,476.91","39,256,746.08","11,072,739.81","33,710,841.89","51,906,435.88","68,710,819.26","25,792,902.67"
收到其他与筹资活动有关的现金,"4,636,560.61","14,542,058.45","8,070,228.15","13,140,287.53",,"13,140,287.53","23,911,373.99","27,853,957.57","27,853,957.57","24,911,567.74","35,848,485.85","35,848,485.85","55,848,485.85","72,907,104.76","54,665,548.58"
支付其他与经营活动有关的现金,"26,214,938.89","28,024,666.96","42,863,158.82","26,321,812.09",,"55,352,475.87","20,549,915.27","38,904,530.78","60,827,376.96","80,068,984.84","29,155,567.97","58,207,305.96","147,547,419.05","202,840,003.09","41,658,501.12"
筹资活动现金流入小计,"79,556,560.61","64,542,058.45","29,830,228.15","28,140,287.53",,"373,279,777.53","23,911,373.99","91,157,877.57","91,157,877.57","199,483,154.16","66,348,485.85","178,614,053.75","280,914,053.75","478,772,672.66","115,565,548.58"
经营活动现金流出小计,"159,694,729.52","216,962,565.61","335,159,256.00","220,607,023.65",,"476,298,267.95","180,555,689.33","319,767,598.24","472,093,499.83","658,475,304.63","248,156,168.16","566,211,779.74","963,280,819.46","1,169,372,867.50","358,161,147.42"
偿还债务支付的现金,"39,224,300.00","61,005,700.00","28,200,000.00","10,000,000.00",,"20,000,000.00","15,000,000.00","15,000,000.00","25,000,000.00","34,900,000.00",,"25,000,000.00","28,075,703.61","127,000,000.00","73,000,000.00"
经营活动产生的现金流量净额,"-2,422,934.81","35,639,734.73","44,489,872.96","-23,410,334.64","-1,296,900.00","54,814,211.93","-104,838,100.32","-117,848,072.04","-135,188,668.35","-60,585,731.18","-58,208,500.62","-173,324,683.15","-292,889,823.49","-218,757,078.09","-77,239,411.53"
分配股利、利润或偿还利息支付的现金,"1,829,165.50","2,806,413.50","2,096,928.19","590,524.96",,"1,503,963.07","428,552.50","24,832,138.16","24,990,661.83","27,296,652.87","14,294,740.94","16,742,960.16","20,120,804.89","23,555,720.64","4,737,656.88"
收回投资收到的现金,,,,,,,,,"121,100,000.00",,,"192,600,000.00","258,400,000.00",,
支付其他与筹资活动有关的现金,"14,542,058.45","8,070,228.15","13,140,287.53","14,456,326.50",,"24,141,373.99","28,751,480.29","35,550,335.82","36,260,381.49","38,103,856.55","33,179,971.38","47,589,306.76","48,104,638.51","93,308,270.12","45,300,374.91"
取得投资收益收到的现金,,,,,,,,,"1,262,772.60","3,084,778.94","979,042.19","1,666,761.74","2,269,175.99","3,531,782.52","7,845.21"
筹资活动现金流出小计,"55,595,523.95","71,882,341.65","43,437,215.72","25,046,851.46",,"45,645,337.06","44,180,032.79","75,382,473.98","86,251,043.32","100,300,509.42","47,474,712.32","89,332,266.92","96,301,147.01","243,863,990.76","123,038,031.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,500.00,"68,000.00",,,,,,,"10,000.00","10,000.00",,"45,700.00","45,700.00","81,700.00","25,000.00"
筹资活动产生的现金流量净额,"23,961,036.66","-7,340,283.20","-13,606,987.57","3,093,436.07","13,770,400.00","327,634,440.47","-20,268,658.80","15,775,403.59","4,906,834.25","99,182,644.74","18,873,773.53","89,281,786.83","184,612,906.74","234,908,681.90","-7,472,483.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-5,039.15","-93,232.71","458,044.40","304,083.78","194,500.00","1,428,443.34","-153,777.98","-913,608.67","-1,735,019.25","-3,201,120.15","-2,777,660.29","994,396.67","2,351,529.55","2,411,646.26","-91,177.46"
收到其他与投资活动有关的现金,,,,,,,,,,"506,200,000.00","126,800,000.00","101,434.65","101,434.65","392,200,000.00","8,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,500.00,"68,000.00",,,,,,,"122,372,772.60","509,294,778.94","127,779,042.19","194,413,896.39","260,816,310.64","395,813,482.52","8,032,845.21"
