科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,432,493,030.28","6,831,763,239.41","10,142,774,319.40","6,678,703,574.72","14,292,368,993.30","4,723,390,917.05","9,206,390,284.00","14,462,317,943.53","20,508,301,101.04","7,210,979,453.71","13,461,967,201.01","20,698,675,288.21","28,261,918,288.93","8,961,626,631.92","15,620,139,967.58","23,301,773,686.00","33,852,012,914.94","10,497,753,412.59","19,785,939,778.87","30,283,348,960.54","41,100,197,595.01","12,754,652,178.27","23,499,974,320.79","35,293,554,815.39","50,170,847,337.31","15,019,440,735.94","27,421,108,852.43","41,562,773,881.89","58,441,594,319.32","17,046,371,851.53","32,253,497,679.81","48,984,827,375.24","69,374,874,728.87","21,510,138,972.98","38,735,935,466.49","58,901,865,697.70","84,248,019,388.22","24,808,738,227.49"
取得子公司及其他营业单位支付的现金净额,"5,000,000.00",,"8,000,000.00","14,000,000.00","14,000,000.00",,,,"157,411,596.60","30,554,403.40","30,554,403.40","30,554,403.40","31,603,542.31",,,,,,,,"-19,598,935.32",,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,496,629.44",,,,"29,459,853.16",
支付其他与投资活动有关的现金,,,,,,,"180,000,000.00","280,000,000.00","485,000,000.00",,,,,,,,,,,,"24,400,000.00",,,,"1,024,000,000.00",,,,"1,921,000,000.00","2,485,000,000.00","5,021,644,000.00","5,375,714,000.00","3,884,948,911.12",,,"17,822,981.29","4,476,676,192.15","47,567,948.46"
收到其他与经营活动有关的现金,"9,156,359.09","7,800,147.93","17,628,159.11","10,890,861.63","24,173,695.90","21,294,417.52","36,246,626.12","51,397,746.16","76,404,693.62","22,341,441.85","51,580,099.74","59,069,145.75","168,552,634.36","97,527,191.85","107,516,955.96","143,503,313.94","225,267,845.52","126,547,865.71","53,467,541.51","276,260,345.49","213,573,922.11","110,033,778.83","114,173,588.05","183,324,152.47","353,890,853.12","252,047,688.30","132,523,108.21","216,585,305.29","404,455,872.65","105,731,524.54","198,810,804.00","271,388,785.05","472,387,267.21","148,737,612.49","189,037,218.13","328,169,799.01","466,240,597.09","594,110,777.00"
投资活动现金流出小计,"185,450,842.46","379,160,365.33","767,006,103.98","467,507,483.07","944,266,166.42","215,512,174.50","652,498,453.28","1,087,724,905.80","2,589,772,871.83","413,014,100.63","561,094,672.50","1,210,289,166.56","1,843,361,833.50","216,202,765.65","686,077,943.69","818,568,696.08","1,566,267,562.32","683,417,859.36","1,032,983,711.44","1,357,322,957.60","2,031,350,162.31","512,233,950.91","845,577,228.20","1,505,960,963.12","3,155,162,278.84","327,687,122.87","822,196,713.98","2,066,533,570.65","5,450,861,787.21","3,309,708,676.17","7,329,689,004.08","8,272,554,240.83","8,430,434,001.70","1,622,944,738.82","2,638,998,000.76","3,862,261,806.77","9,126,345,038.53","4,506,690,531.57"
经营活动现金流入小计,"4,441,649,389.37","6,839,563,387.34","10,160,402,478.51","6,689,594,436.35","14,316,542,689.20","4,744,685,334.57","9,242,636,910.12","14,513,715,689.69","20,584,705,794.66","7,233,320,895.56","13,513,547,300.75","20,757,744,433.96","28,430,470,923.29","9,059,153,823.77","15,727,656,923.54","23,445,276,999.94","34,077,280,760.46","10,624,301,278.30","19,839,407,320.38","30,559,609,306.03","41,313,771,517.12","12,864,685,957.10","23,614,147,908.84","35,476,878,967.86","50,524,738,190.43","15,271,488,424.24","27,553,631,960.64","41,779,359,187.18","58,846,050,191.97","17,152,103,376.07","32,452,308,483.81","49,256,216,160.29","69,881,758,625.52","21,658,876,585.47","39,009,672,224.59","59,230,035,496.71","84,743,719,838.47","25,402,849,004.49"
投资活动产生的现金流量净额,"-182,301,558.85","-377,884,028.93","-692,000,890.53","-467,314,387.69","-941,802,867.34","-215,505,230.87","-652,492,921.51","-1,087,717,962.17","-2,554,161,762.66","-104,278,763.37","-160,486,340.45","-501,949,346.21","-1,144,179,579.06","-39,202,765.65","-578,286,490.22","-680,431,547.94","-1,332,901,830.91","-663,062,472.64","-968,370,290.31","-1,281,640,046.98","-1,953,817,597.05","-510,418,922.65","-762,250,465.27","-1,422,634,200.19","-3,067,345,066.37","-326,570,945.03","169,917,470.34","-1,050,933,345.75","-3,882,856,751.17","-2,325,503,579.30","-5,467,390,242.48","-4,768,109,538.82","-5,782,072,381.67","1,022,125,093.73","207,895,101.17","-3,189,499,767.05","-3,668,779,940.88","-2,203,920,306.91"
购买商品、接受劳务支付的现金,"3,861,494,425.34","5,835,752,083.23","8,740,350,828.99","5,525,724,433.41","11,710,976,394.67","3,608,078,328.13","7,407,586,805.61","11,643,873,948.09","16,909,015,937.55","5,815,356,801.09","10,719,171,924.36","16,230,833,168.66","22,352,630,534.86","7,205,017,246.42","11,889,880,484.50","18,278,636,485.82","27,238,814,907.27","7,778,078,838.41","15,966,648,148.88","24,482,752,498.07","32,897,387,026.05","9,430,397,756.89","18,603,373,645.22","27,729,714,890.75","41,691,593,954.65","11,727,077,400.45","21,891,227,470.88","32,608,962,810.44","48,193,547,059.05","13,366,095,602.54","24,401,490,717.06","37,618,482,637.67","56,278,529,100.37","16,198,857,917.91","30,708,155,760.34","46,783,420,700.94","68,089,202,346.86","20,257,371,472.17"
吸收投资收到的现金,"289,709,997.64","248,200,316.32",,,"2,522,010,686.64","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,"1,005,652,000.00","1,002,680,242.00",,,,"2,046,187.67","5,670,694,298.75","5,670,694,298.75","5,670,694,298.75","5,704,094,298.75",,,"6,356,939,733.11","6,356,939,733.11","150,000,000.00","300,000,000.00","465,000,000.00","561,000,000.00",,"956,250,000.00","969,150,000.00","976,150,000.00",
