科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"82,060,951.02","210,777,457.97","145,226,507.21","131,776,620.55","85,699,043.78","100,465,032.01","87,820,217.59","100,324,500.55","92,678,753.77","113,361,748.26","92,247,515.34","103,309,514.09","57,050,807.84","79,911,613.13","87,006,402.29","61,685,426.23","90,280,780.89","79,664,631.29","109,002,546.05","222,700,900.90","112,940,064.62","149,871,383.81","142,907,564.53","130,337,346.66","304,349,399.29","318,612,686.40","135,318,037.15","104,529,766.14","130,213,605.44","83,208,881.22","372,076,932.91","290,090,338.03","285,589,757.49","146,326,449.60","177,414,323.62","114,453,129.19","152,908,485.61","184,612,572.39","104,012,504.75","85,797,561.52","69,920,555.59","197,343,531.52","86,802,739.07","74,980,359.14","294,714,321.88","452,123,082.86","646,521,105.39","545,352,138.15"
短期借款,"252,500,000.00","191,500,000.00","156,500,000.00","134,500,000.00","113,500,000.00","136,500,000.00","136,500,000.00","141,500,000.00","150,000,000.00","147,000,000.00","147,000,000.00","147,000,000.00","160,000,000.00","185,000,000.00","181,000,000.00","186,000,000.00","151,000,000.00","137,000,000.00","160,000,000.00","321,000,000.00","327,000,000.00","305,000,000.00","306,000,000.00","290,000,000.00","290,000,000.00","288,000,000.00","288,000,000.00","374,410,000.00","305,500,000.00","344,000,000.00","323,500,000.00","293,500,000.00","280,500,000.00","266,500,000.00","315,000,000.00","318,000,000.00","298,000,000.00","298,000,000.00","140,000,000.00","292,000,000.00","285,000,000.00","405,000,000.00","410,000,000.00","410,000,000.00","440,000,000.00","580,000,000.00","400,000,000.00","410,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,"1,090,000.00",,,,,,,,,,"50,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"768,259.86","918,877.37","1,571,663.03","1,868,883.97","2,417,073.43","2,394,899.08","1,290,758.25","1,984,344.05","1,603,129.94","1,802,740.29","2,356,030.96","2,127,898.85","1,771,622.04","3,498,410.04","2,131,246.74","2,520,045.93","2,024,385.08","5,318,445.58","6,313,422.38","4,333,455.86","3,677,017.51","5,648,885.40","3,868,540.25","3,756,933.23","3,800,731.87","5,770,600.57","6,685,736.96","6,221,532.97","7,190,958.65","8,477,574.85","9,640,321.67","7,478,269.43","7,523,955.61","8,240,769.08","10,056,998.18","8,989,041.72","7,425,643.07","11,116,262.66","11,068,412.36","11,641,787.43","9,609,596.59","8,511,175.47","10,520,203.32","9,520,154.55","8,762,203.92",,"10,024,778.39",
应付账款,"4,484,478.78","3,988,169.74","2,547,345.47","2,227,888.86","2,647,510.96","3,475,948.44","2,000,356.48","1,366,227.04","1,586,648.08","1,177,210.73","669,439.35","482,438.65","539,557.04","4,511,933.92","667,573.46","689,733.28","1,066,372.44","1,454,241.44","1,241,123.58","923,372.33","842,123.74","1,816,501.81","1,277,906.80","1,816,692.23","1,313,954.63","1,718,206.13","1,586,385.59","3,523,559.39","2,131,477.75","1,421,357.55","2,583,577.52","1,882,058.05","1,835,806.58","2,586,765.89","2,770,266.78","3,168,829.29","3,414,321.82","5,209,731.61","3,782,158.42","3,684,263.19","5,074,316.35","5,164,611.87","6,038,238.77","5,593,453.06","6,393,722.85",,"4,631,950.72",
预付款项,"19,126,581.58","19,174,926.83","9,376,647.65","10,038,706.85","10,273,768.26","4,956,095.72","10,457,401.24","11,001,467.41","8,425,939.52","7,627,412.94","6,646,691.96","14,927,929.98","75,710,215.39","67,176,472.71","5,239,407.49","4,590,882.72","4,265,934.12","5,793,345.92","6,168,305.12","5,263,896.02","9,611,112.97","8,059,672.98","7,812,899.26","5,888,471.95","7,635,221.87","8,072,191.66","10,313,017.34","27,695,535.48","11,190,317.95","10,066,078.08","8,171,513.52","14,743,580.52","12,501,493.63","9,755,716.18","3,598,791.52","6,887,363.99","12,456,524.05","16,677,999.81","6,470,781.40","9,112,721.33","6,290,019.52","19,698,575.54","9,596,521.27","10,560,123.36","16,406,607.73","16,730,177.54","7,540,670.86","6,965,039.67"
预收款项,"1,839,992.40","2,365,171.40","2,806,153.40","3,517,566.40","3,288,946.50","3,442,946.50","1,523,772.16","1,680,041.15","1,732,922.14","4,473,769.13","10,070,557.09","29,178,526.86","7,497,089.67","14,319,563.73","2,453,142.34","5,489,988.53","5,755,327.89","7,457,028.86","3,672,157.19","8,208,463.98","8,354,562.01","2,004,725.47","1,872,128.74","2,616,276.88","1,323,065.33","21,352,170.97","6,822,221.30","19,266,324.92","2,416,486.59","3,579,287.98","2,750,623.13","2,794,958.54","4,655,327.73","6,820,988.22","2,686,337.39","3,287,723.31","3,879,761.47","4,383,760.01","5,948,401.76","5,704,647.66","17,154,176.75","19,592,078.10","17,946,972.65","19,678,195.97","21,269,931.20","48,474,844.60","20,247,151.63","23,614,583.60"
其他应收款,"16,110,231.39","19,407,563.34","17,082,461.98","14,837,203.06","18,334,104.68","18,009,306.11","10,732,468.99","10,455,534.47","11,753,112.29","12,870,243.80","10,383,719.49","11,207,790.76","10,893,157.99","10,539,060.04","13,104,763.70","16,407,671.11","16,890,893.66","17,529,975.12","18,323,155.33","15,614,619.98","17,190,513.16","52,770,390.78","51,493,107.81","49,664,948.67","26,068,492.85","28,274,634.27","102,400,197.89","93,378,409.71","76,303,366.19","121,635,135.37","115,919,776.37","126,326,192.33","116,423,662.87","44,993,990.17","95,125,043.39","43,542,001.88","31,873,363.98","60,588,847.02","39,682,621.75","56,636,743.88","41,028,585.78","38,855,122.83","49,834,816.76","48,966,029.13","63,426,530.58","64,148,877.13","133,110,132.60","163,645,484.87"
应付职工薪酬,"2,720,024.75","2,232,586.54","2,267,358.04","2,657,945.32","3,146,994.72","2,337,741.09","2,524,765.50","3,666,996.44","3,299,611.09","7,975,647.92","8,686,819.21","4,895,068.45","5,541,498.68","4,904,624.29","8,007,907.20","10,431,153.49","9,361,449.36","5,757,957.64","6,078,379.59","7,807,174.10","8,780,154.49","7,264,900.54","7,436,707.90","8,877,672.58","9,095,960.97","10,128,265.27","8,992,059.85","10,595,643.76","10,371,487.11","9,866,403.22","9,314,104.95","10,618,453.33","12,409,500.44","11,925,348.50","9,701,329.29","13,408,227.60","12,985,256.69","12,069,798.09","12,380,845.08","14,113,152.55","14,450,657.95","13,542,972.45","11,901,626.19","14,232,407.89","14,416,341.43","15,842,202.71","14,055,852.81","15,951,250.13"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,895,915.43","8,820,092.81","5,176,087.66","5,798,694.08","1,608,053.57","7,276,450.16","4,204,710.49","2,747,938.78","690,722.62","11,068,267.80","7,090,608.22","4,275,072.36","7,516,283.54","9,357,526.58","7,948,099.63","10,180,756.11","7,922,032.86","16,244,421.07","10,939,960.88","7,477,685.13","-4,171,988.06","11,222,112.97","7,034,988.63","9,030,406.61","-310,719.12","10,012,934.13","7,903,346.31","5,267,836.16","4,009,147.83","9,812,984.06","7,893,638.02","9,778,338.82","8,287,972.56","14,596,520.15","9,077,990.14","14,309,488.61","9,698,772.78","15,207,308.68","5,375,184.26","8,366,265.55","9,988,729.08","14,777,325.10","10,453,768.83","14,247,631.88","15,544,079.40","15,564,322.81","22,881,655.20","15,781,889.32"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
