科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"97,677,204.04","73,923,594.00","88,550,015.34","157,201,356.58","36,075,465.53","80,245,086.77","132,014,744.12","154,056,889.85","35,645,863.19","114,111,784.26","187,894,272.61","216,270,985.84","55,119,694.33","121,554,586.23","214,308,755.02","328,992,309.95","64,752,024.98","125,184,997.89","212,459,063.81","327,769,255.61","82,659,740.99","181,212,808.08","304,919,338.06","431,098,814.33","100,626,633.58","211,736,380.58","324,682,445.68","608,877,372.53","112,241,968.08","217,107,277.23","346,862,640.71","741,613,645.17","243,306,274.71","356,449,868.99","641,978,947.79","904,948,747.30","174,694,148.68","377,472,790.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"8,160,000.00","8,160,000.00","7,749,300.05",,,,,,"1,368,000.00","1,710,000.00","6,391,481.26",,,,,,"2,900,000.00","5,300,000.00",,"8,713,980.31",,"13,322,975.70","25,322,975.70",,,,"270,830,522.93","24,914,953.20",
收到的税费返还,,"12,262.56",,,,,,,,,,,,,,,,,"119,658.16","119,658.16","15,800.80","15,800.80","169,561.52","611,775.40","634,272.43","704,272.43","711,783.73","714,089.65","1,622,364.60","1,622,364.60","1,681,317.33","1,681,317.33","80,000.00","43,673.58","43,673.58","40,890.36","2,200,977.55","3,904,836.24"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"2,168,000.00",,,,,,,,,"87,135,000.00","97,256,000.00","82,956,000.00",,"329,143.70",,,"134,743,657.84","1,850,888.10","5,680,154.90","6,621,745.30","8,639,656.30",,"790,000.00"
收到其他与经营活动有关的现金,"18,832,235.84","51,834,219.70","12,378,445.28","18,759,941.79","1,448,238.60","6,707,523.13","12,764,428.06","16,144,238.24","8,969,442.78","14,116,558.00","16,832,017.94","29,509,320.77","4,439,382.83","11,065,740.92","19,396,700.75","32,349,727.85","5,909,823.51","13,889,844.15","29,579,405.79","19,776,246.33","10,477,165.57","28,532,388.33","38,403,540.18","36,203,799.19","16,099,883.37","30,039,146.33","66,066,247.88","68,344,400.74","18,955,850.77","45,327,828.49","107,045,525.79","92,140,025.42","53,004,528.72","35,821,450.79","48,296,660.12","91,600,264.71","25,814,803.56","72,996,368.48"
投资活动现金流出小计,"222,690.00","1,134,920.00","7,399,679.65","7,404,364.39","840,839.20","1,236,585.97","3,513,763.60","3,987,324.76","9,530,945.36","10,898,774.00","11,536,275.34","13,549,547.54","1,652,748.56","1,927,537.76","2,171,081.76","18,284,173.83","18,094,017.96","30,964,227.91","46,297,898.67","64,678,497.00","23,076,257.78","44,176,556.48","63,893,576.36","81,969,526.69","97,800,272.96","117,203,965.26","114,352,420.36","691,261,946.88","144,048,007.93","194,887,921.86","284,685,400.70","555,277,923.54","63,991,822.13","60,931,525.96","139,744,337.68","412,376,386.15","73,132,151.74","215,668,642.93"
经营活动现金流入小计,"116,509,439.88","125,770,076.26","100,928,460.62","175,961,298.37","37,523,704.13","86,952,609.90","144,779,172.18","170,201,128.09","44,615,305.97","128,228,342.26","204,726,290.55","245,780,306.61","59,559,077.16","132,620,327.15","233,705,455.77","361,342,037.80","70,661,848.49","139,074,842.04","242,158,127.76","347,665,160.10","93,152,707.36","209,760,997.21","343,492,439.76","467,914,388.92","117,360,789.38","242,479,799.34","393,477,420.98","677,935,862.92","134,748,907.32","268,365,505.31","462,108,952.53","835,434,987.92","296,390,803.43","392,314,993.36","690,319,281.49","996,589,902.37","202,709,929.79","454,373,995.49"
投资活动产生的现金流量净额,"-222,690.00","-1,134,920.00","-360,679.65","-365,364.39","-839,839.20","-1,205,815.97","-3,473,843.60","-3,946,024.76","-9,530,945.36","-10,898,774.00","-11,536,275.34","-13,549,547.54","-1,456,779.56","-1,731,568.76","-1,924,845.76","-16,137,937.83","-18,094,017.96","-30,963,017.91","-46,296,688.67","-62,501,047.00","-20,969,707.78","-42,069,342.31","-61,785,062.19","-61,032,562.52","-97,699,555.84","-109,286,065.13","-104,997,696.20","-175,231,389.15","-112,705,466.92","-163,544,960.85","-248,697,193.45","-314,024,172.43","-62,518,409.91","-7,504,016.77","-71,609,118.24","-344,427,654.90","-72,891,651.74","-214,637,279.65"
购买商品、接受劳务支付的现金,"72,585,521.72","55,219,469.98","69,391,202.46","141,318,607.66","37,233,792.88","75,621,660.64","143,133,924.10","164,008,979.86","82,116,200.35","131,081,807.45","193,896,553.60","236,745,571.36","39,645,140.35","98,032,540.60","172,763,682.62","235,875,337.14","66,618,160.33","128,463,735.24","196,237,619.42","276,135,013.90","67,082,914.60","132,042,695.75","210,048,605.94","356,537,090.52","135,240,693.62","206,036,551.41","296,055,310.97","417,661,465.18","129,056,153.45","226,478,290.41","343,084,377.91","784,649,947.60","488,399,993.02","685,534,892.84","821,841,464.41","1,102,635,773.42","252,502,542.94","462,474,102.37"
吸收投资收到的现金,,,,,"397,008,000.00","397,008,000.00","397,008,000.00","397,008,000.00",,,,,,,,,,"6,510,000.00","6,510,000.00","33,140,400.00",,,"3,333,200.00","3,333,200.00",,"480,000.00","2,260,000.00","4,220,000.00","5,800,000.00","2,355,000.00","4,785,000.00","56,406,473.50",,"11,200,000.00","16,363,200.00","490,626,150.67",,
