科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
取得借款收到的现金,,"1,220,000.00",,,,,,"294,072,034.00","60,000,000.00","122,795,713.75","212,795,713.75","276,529,916.80","102,830,422.48","197,207,812.08","318,535,847.07","417,641,130.32","85,906,392.25","239,543,961.60","344,510,738.99","573,113,210.86","196,598,894.90","376,495,979.76","641,468,164.17","920,240,354.39","204,497,558.29","248,047,868.59","297,937,868.59","383,874,256.59","51,130,000.00","139,130,000.00","228,823,892.33","269,130,000.00","30,000,000.00","48,000,000.00","68,000,000.00","108,200,000.00","70,000,000.00","90,000,000.00","108,000,000.00","108,000,000.00",,,,,
支付的各项税费,"1,174,513.45","2,113,787.95","3,509,375.08","4,871,776.58","1,168,133.10","13,337,089.52","14,798,359.85","17,326,848.85","6,398,297.21","7,607,938.41","11,293,011.31","12,911,200.61","2,948,646.80","6,703,163.11","12,485,259.45","16,838,945.89","7,541,449.52","16,503,569.34","20,421,971.23","24,774,588.62","7,665,330.71","16,320,478.04","18,540,381.34","19,399,278.45","7,186,702.39","10,762,375.47","14,023,095.87","15,407,545.12","4,549,674.22","9,955,748.83","13,717,959.24","15,045,116.11","6,602,793.23","13,364,798.13","14,911,022.06","17,160,062.79","3,906,787.67","8,305,291.17","9,667,624.82","13,218,134.95","4,321,111.49","14,888,452.69","18,423,706.40","18,577,657.06","3,781,168.41"
收到其他与筹资活动有关的现金,"131,996.04","7,026,641.77","7,026,641.77",,,,,"1,000,000.00",,,,,,"5,485,475.59","5,888,670.35","5,810,881.00",,"7,709,000.00","17,499,950.38","16,943,099.70","6,450,304.00","6,450,304.00","6,244,500.00","6,244,500.00",,,,,,,,,"60,924,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"76,881,406.91","106,664,932.04","155,266,786.67","199,642,733.93","17,905,445.61","47,475,880.91","81,994,879.57","218,114,227.02","44,407,597.43","77,920,520.39","101,566,192.18","160,713,094.50","38,521,937.13","67,649,350.01","132,866,415.58","132,111,459.40","21,833,463.02","90,509,386.35","114,080,762.86","146,181,735.09","34,104,934.61","75,194,582.29","161,594,873.84","168,384,581.13","63,040,103.20","110,985,981.95","196,745,372.62","107,016,021.87","52,093,368.08","165,111,190.17","241,433,835.93","79,284,662.65","16,246,178.29","45,432,224.40","29,029,558.14","78,146,594.70","69,955,164.05","50,403,817.86","56,507,267.50","75,797,662.97","31,484,402.86","52,873,884.29","69,488,888.37","62,768,823.39","21,691,210.78"
筹资活动现金流入小计,"131,996.04","8,246,641.77","7,026,641.77",,,,,"295,072,034.00","60,000,000.00","122,795,713.75","212,795,713.75","276,529,916.80","102,830,422.48","202,693,287.67","324,424,517.42","423,452,011.32","85,906,392.25","247,252,961.60","362,010,689.37","590,056,310.56","203,049,198.90","382,946,283.76","647,712,664.17","926,484,854.39","204,497,558.29","248,047,868.59","297,937,868.59","383,874,256.59","51,130,000.00","139,130,000.00","228,823,892.33","269,130,000.00","90,924,000.00","108,000,000.00","128,000,000.00","168,690,000.00","70,000,000.00","90,000,000.00","108,000,000.00","108,000,000.00",,,,,
经营活动现金流出小计,"443,071,850.26","771,671,043.32","1,281,223,716.79","1,942,410,623.98","481,067,508.51","925,722,870.88","1,156,037,301.68","1,844,535,600.71","358,926,303.11","713,594,499.05","1,076,338,520.53","1,551,530,634.36","394,533,455.17","871,801,092.23","1,404,033,038.53","2,040,447,106.81","699,380,302.80","1,497,271,409.82","2,385,949,677.83","3,093,667,869.42","657,756,115.41","1,412,044,619.74","2,261,201,408.15","3,121,569,245.80","682,376,433.88","1,106,920,075.22","1,574,914,039.98","1,793,697,460.48","401,349,293.97","872,877,060.82","1,327,538,118.48","1,525,468,139.20","355,284,171.69","674,838,568.98","956,318,434.88","1,322,204,262.47","364,910,869.41","612,543,243.60","930,930,005.89","1,273,207,463.75","384,149,398.62","713,618,963.84","1,101,848,180.81","1,497,618,401.10","399,323,703.04"
偿还债务支付的现金,"12,676,034.85","127,183,688.14","99,913,688.14","92,024,720.14","26,000,000.00","6,000,000.00","36,000,000.00","328,991,120.00","27,000,000.00","112,000,000.00","195,000,000.00","252,072,034.00","43,695,832.15","146,116,203.50","292,859,960.09","370,753,280.51","96,620,490.30","223,079,809.15","350,607,878.82","570,352,320.08","103,255,827.92","284,646,849.80","489,483,956.88","755,643,252.33","77,591,201.32","150,043,633.99","197,879,351.63","286,609,532.61","36,684,579.98","128,573,989.01","256,269,237.09","332,226,894.17","2,512,627.53","27,066,941.85","69,663,634.59","102,303,408.84","32,715,003.20","73,465,625.77","116,252,335.02","224,948,203.70","3,000,000.00","13,000,000.00","13,000,000.00","13,000,000.00",
经营活动产生的现金流量净额,"-69,553,837.31","-54,748,255.04","-73,798,391.30","-37,718,282.42","-6,272,863.34","-38,545,722.68","-35,401,517.87","1,774,608.87","-19,900,690.03","-75,840,595.17","-48,054,108.18","-88,199,629.07","-976,594.96","-30,826,884.63","-44,610,825.46","-8,836,225.49","11,450,318.41","-31,181,033.49","-25,500,405.32","52,693,713.70","-108,639,120.00","-125,735,278.65","-159,030,280.19","-56,201,357.30","-93,942,459.54","-144,186,579.97","-155,183,413.92","-136,968,174.16","1,931,300.47","1,660,353.40","-43,445,634.71","-5,960,237.53","5,135,011.90","9,144,637.28","-5,014,057.44","40,813.10","46,880,272.50","17,599,129.70","67,136,091.47","19,538,843.61","-24,872,800.17","-26,327,506.60","-36,449,050.50","4,298,040.64","-49,799,895.23"
分配股利、利润或偿还利息支付的现金,"3,167,686.14","5,530,258.93","8,827,837.49","11,654,287.56","2,720,514.13","5,168,564.66","6,970,278.42","8,981,630.71","1,758,489.66","3,567,666.88","5,926,271.60","6,835,585.62","1,752,923.99","5,234,746.69","7,751,601.77","8,525,349.55","2,167,992.89","6,473,752.82","9,923,849.71","14,260,790.34","2,865,271.50","5,533,241.08","11,694,205.39","18,407,417.84","2,428,748.46","4,836,439.30","7,331,945.53","18,426,757.00","4,697,438.20","9,158,150.59","11,865,629.48","16,364,311.58","2,312,933.52","5,511,987.75","7,810,438.56","8,769,647.47","1,760,703.29","4,146,768.48","5,128,346.04","6,936,189.87","133,550.65","173,425.65","173,425.65","204,087.50",
收回投资收到的现金,,,,,"7,158,430.54","9,364,402.28","9,801,164.62","19,033,563.53","15,283,212.69","78,212,405.12","80,977,079.69","37,538,174.75","4,044,075.00","7,424,235.00","10,120,915.41","11,759,147.00","19,351,352.85","30,992,952.85","44,176,012.19","31,912,651.29","8,985,873.80","10,653,213.80","20,802,228.47","21,051,133.47","267,706.09","500,075.05","636,024.19","2,608,652.15","54,511,507.96","95,571,507.96","142,719,257.96","259,114,829.44","28,938,508.01","171,096,487.66","266,213,468.01","276,257,468.01","10,013,340.00","20,118,340.00","85,136,405.00","191,165,320.00","120,300,000.00","354,430,350.07","618,709,496.07","755,730,418.57","20,006,990.00"
