科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"257,362,481.05","296,822,506.26","329,809,712.35","139,626,344.65",,"316,260,595.17","94,209,980.07","165,361,179.02","255,916,884.46","409,974,863.19","80,386,131.00","178,304,216.15","295,022,050.99","501,281,533.02","141,872,682.39"
取得子公司及其他营业单位支付的现金净额,,,"9,244,905.78",,,,,,,"81,811,277.76",,,,,"185,608,515.17"
收到的税费返还,"5,540,697.10",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"6,525.79",,,,,,,,"39,575,000.00",,,"341,175,000.00","4,910,368.01"
收到其他与经营活动有关的现金,"8,507,292.28","15,142,865.85","13,038,708.11","8,432,770.31",,"4,042,246.20","1,187,918.59","1,947,879.82","5,256,368.41","5,768,035.97","5,178,528.92","5,405,691.00","8,239,047.36","9,444,653.83","4,144,660.33"
投资活动现金流出小计,"7,266,257.23","24,343,327.24","19,039,915.46","3,624,974.82",,"10,136,533.57","2,807,480.00","13,383,926.35","20,190,872.51","103,376,967.37","39,918,798.00","425,995,072.21","481,508,450.21","427,292,142.31","197,361,358.43"
经营活动现金流入小计,"271,410,470.43","311,965,372.11","342,848,420.46","148,059,114.96",,"320,302,841.37","95,397,898.66","167,309,058.84","261,173,252.87","415,742,899.16","85,564,659.92","183,709,907.15","303,261,098.35","510,726,186.85","146,017,342.72"
投资活动产生的现金流量净额,"-3,782,687.82","-11,817,055.67","-15,258,690.46","-1,622,974.82","-4,848,800.00","-8,124,293.61","-2,805,480.00","-12,367,321.49","-19,156,607.65","-102,294,464.65","-35,244,040.71","-204,968,363.64","-99,928,714.82","-106,199,429.95","-170,038,858.43"
购买商品、接受劳务支付的现金,"31,343,872.14","42,281,845.34","54,594,345.03","39,008,321.49",,"63,225,083.12","15,444,660.71","37,678,938.24","62,391,772.39","70,831,394.75","25,271,266.93","48,097,497.35","61,698,143.02","87,998,239.32","51,621,413.55"
吸收投资收到的现金,"29,800,000.00",,,,,,"284,558,000.00","313,650,000.00","315,020,000.00","335,108,000.00",,,"980,000.00","3,180,000.00",
支付给职工以及为职工支付的现金,"112,157,910.05","142,474,015.63","177,383,606.93","93,040,041.70",,"174,001,627.24","58,742,145.84","94,850,224.90","138,048,728.49","184,718,832.47","79,508,233.03","129,473,399.96","184,429,491.63","246,134,680.15","95,776,758.02"
取得借款收到的现金,,,,,,,,,,,,,,,"123,000,000.00"
支付的各项税费,"24,770,379.11","30,275,280.72","29,196,182.96","13,861,649.98",,"27,511,294.36","10,495,947.62","14,682,454.75","22,572,010.75","29,963,756.46","12,715,512.28","27,026,274.18","40,746,828.93","52,292,722.47","15,055,782.56"
收到其他与筹资活动有关的现金,,,,,,,,"49,180,000.00","49,180,000.00",,,,,,
支付其他与经营活动有关的现金,"36,969,507.35","28,266,177.74","34,379,571.70","20,033,502.87",,"26,134,069.47","16,954,514.76","14,144,883.49","22,570,412.84","28,669,274.38","20,254,256.74","20,626,343.71","31,416,250.14","39,167,721.41","21,263,032.66"
筹资活动现金流入小计,"29,800,000.00",,,,,,"284,558,000.00","362,830,000.00","364,200,000.00","335,108,000.00",,,"980,000.00","3,180,000.00","123,000,000.00"
