科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"327,870,995.81","917,752,310.38","1,938,669,170.27","717,342,915.23","1,636,788,669.97","3,081,389,305.82","5,384,110,967.48","1,455,975,280.79","2,861,790,301.21","3,958,587,969.57","5,598,571,524.79","1,110,378,481.29","2,435,196,819.20","4,169,073,947.00","6,070,531,713.51","1,480,931,881.98","3,046,478,376.18","4,569,448,323.63","6,061,540,066.66","1,393,965,666.95","2,730,843,307.04","3,991,375,107.24","5,490,340,680.82","1,520,179,487.78","2,962,077,122.01","4,314,433,028.74","5,785,249,174.84","1,576,301,146.30","3,509,997,722.85","4,972,881,913.81","6,792,522,650.31","1,921,069,874.35","4,166,324,890.63","6,055,835,193.73","8,120,285,427.55","2,004,402,983.93","3,817,087,283.15","5,771,513,281.60","8,467,791,735.77","1,925,184,985.09","3,847,459,832.83","5,835,875,940.42","7,988,666,228.10"
取得子公司及其他营业单位支付的现金净额,,,"70,577,512.05",,,,,,,,,,,,,,,"30,105,116.78",,,,,,,,,,,,"180,000.00",,,,,,,,,,,,,
收到的税费返还,,"1,273,194.97",,,,,,,,,"4,594,485.88","181,584.72",,,"4,035,354.42","350,000.00",,,"2,809,997.06",,,,"2,658,335.15",,,,"1,973,874.91",,,,"5,765,306.62","1,737,126.61",,,"33,788,810.36",,,,"9,683,442.93",,,,"9,797,127.75"
支付其他与投资活动有关的现金,"14,968,187.31",,,,,,,,,,,,,,,,,,,,,,,,,,"250,000,000.00",,,,"150,000,000.00","580,000,000.00","546,994,576.56","748,494,576.56","842,306,576.56","80,000,000.00",,,"2,245,200,000.00",,"1,310,000,000.00","2,325,000,000.00","2,695,000,000.00"
收到其他与经营活动有关的现金,"58,329,327.87","17,326,869.51","76,635,155.04","109,543,616.22","16,107,030.98","9,832,822.60","32,131,645.45","21,970,218.40","102,305,893.27","120,140,125.62","85,924,764.11","15,650,501.69","57,387,190.27","106,108,776.67","57,993,358.29","35,345,453.35","34,435,165.49","52,394,676.32","63,679,019.11","65,717,336.28","25,672,647.77","38,335,387.68","55,518,965.00","25,784,869.49","30,359,036.44","45,553,698.92","45,883,028.27","30,185,577.27","52,015,919.32","58,696,262.89","93,117,953.80","19,543,023.61","35,405,219.59","82,281,279.62","88,020,225.72","31,655,910.59","37,684,875.72","76,520,455.74","75,322,268.61","5,478,499.60","58,249,881.49","88,392,420.13","76,259,794.63"
投资活动现金流出小计,"11,229,929.45","75,747,842.49","161,767,918.68","5,271,003.14","92,386,128.91","148,411,489.82","275,118,776.00","100,814,320.05","154,212,093.50","193,696,493.14","296,624,921.77","133,701,790.59","149,284,318.75","266,729,032.84","662,155,759.19","131,130,339.62","310,019,481.60","472,119,453.89","530,422,901.59","61,401,790.86","197,453,868.37","261,874,158.01","200,025,952.14","143,319,773.28","470,737,708.38","641,514,403.76","483,855,841.68","162,386,759.19","813,145,445.04","640,421,959.46","302,767,538.84","613,910,797.40","594,637,046.16","890,289,038.43","1,129,967,718.54","367,886,230.52","353,451,111.67","367,278,558.67","2,644,196,303.75","16,367,330.75","1,348,320,733.93","2,396,339,419.10","2,861,702,073.13"
经营活动现金流入小计,"435,535,818.57","936,352,374.86","2,015,304,325.31","826,886,531.45","1,652,895,700.95","3,091,222,128.42","5,416,242,612.93","1,477,945,499.19","2,964,096,194.48","4,078,728,095.19","5,689,090,774.78","1,126,210,567.70","2,492,584,009.47","4,275,182,723.67","6,132,560,426.22","1,516,627,335.33","3,080,913,541.67","4,621,842,999.95","6,128,029,082.83","1,459,683,003.23","2,756,515,954.81","4,029,710,494.92","5,548,517,980.97","1,545,964,357.27","2,992,436,158.45","4,359,986,727.66","5,833,106,078.02","1,606,486,723.57","3,562,013,642.17","5,031,578,176.70","6,891,405,910.73","1,942,350,024.57","4,201,730,110.22","6,138,116,473.35","8,242,094,463.63","2,036,058,894.52","3,854,772,158.87","5,848,033,737.34","8,552,797,447.31","1,930,663,484.69","3,905,709,714.32","5,924,268,360.55","8,074,723,150.48"
投资活动产生的现金流量净额,"-11,229,929.45","-75,743,740.49","-160,835,316.68","-5,252,474.24","-91,984,979.68","-148,018,740.40","-274,406,089.00","-100,814,320.05","-140,602,684.30","-179,821,008.30","-285,284,680.67","-133,581,340.59","-148,102,591.75","-265,508,349.68","-360,083,741.82","-130,744,108.95","-58,716,444.61","-117,899,781.37","-177,200,511.00","-61,401,790.86","-174,054,085.06","-207,734,174.18","-197,640,714.37","-143,194,773.28","-324,766,098.27","-440,178,776.01","-229,975,400.42","-107,963,565.34","-755,128,642.01","-573,662,185.39","33,225,096.76","-612,568,806.58","-585,172,404.15","-848,651,867.26","-855,024,417.56","-232,089,640.17","228,251,386.63","38,407,502.23","-490,896,345.29","224,039,332.25","469,958,714.35","125,190,655.34","693,940,460.78"
购买商品、接受劳务支付的现金,"311,585,925.17","630,936,438.50","1,101,988,794.61","741,801,961.52","1,086,736,816.37","1,801,779,195.25","3,203,784,057.05","1,154,674,862.90","1,864,328,513.23","2,461,716,905.53","3,404,126,408.94","876,562,804.39","1,465,755,354.58","2,683,623,356.39","3,755,575,182.32","1,097,492,806.52","2,037,412,986.39","2,954,003,232.08","3,887,179,905.14","1,041,650,717.88","1,983,318,944.61","2,830,778,303.76","3,669,598,645.40","1,036,307,180.34","2,019,057,148.35","2,966,422,651.03","4,021,078,094.56","1,150,796,553.15","2,252,694,937.10","3,289,377,126.13","4,570,903,575.19","1,409,020,125.71","2,665,418,143.94","3,963,848,349.03","5,459,608,559.04","1,492,369,754.27","2,918,579,423.09","4,237,687,921.38","5,488,576,327.24","1,534,642,298.69","2,948,082,591.93","4,393,791,541.41","5,964,853,147.02"
吸收投资收到的现金,,"94,405,583.71","120,728,853.18",,"1,458,738,333.53","1,453,738,333.53","1,458,738,333.53",,,,,,,,,,,,,,,,,,"6,095,000.00","7,095,000.00","7,095,000.00",,,"30,652,700.00","30,652,700.00",,,,"6,468,000.00",,"800,000.00","800,000.00","800,000.00",,"500,000.00","800,000.00","800,000.00"
