科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"73,347,428.04","151,136,074.54","121,119,571.05","170,691,128.10","200,442,999.45","1,090,817,442.56","227,105,414.36","357,850,080.62","513,970,166.92","804,858,302.74","264,368,000.85","391,542,017.78","563,910,353.13","659,795,812.56","171,800,462.46","374,710,568.62","436,359,918.87","1,394,114,773.95","398,407,060.72","634,358,652.14","1,046,668,874.97","1,375,926,068.38"
短期借款,"28,312,437.39",,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,"1,894,232.00",
应付票据,,,,,,,,,,,,,,,,,,,,,,
应收账款,"71,840,414.87","34,409,044.73","54,387,999.47","75,507,382.84","54,629,090.26","101,275,550.31","104,747,595.27","143,524,696.22","98,110,943.74","157,779,649.78","200,529,681.65","221,660,884.84","165,471,100.30","245,479,980.58","285,380,699.84","395,292,917.39","469,157,897.00","592,577,065.03","812,670,533.28","1,000,153,558.58","808,772,112.91","829,910,015.46"
应付账款,"140,486,730.43","142,154,773.74","183,296,994.51","239,963,559.87","273,767,404.92","256,288,997.08","361,989,049.67","243,997,824.91","386,648,753.52","373,498,425.54","447,885,301.14","417,511,910.63","525,825,258.95","494,175,208.13","531,217,777.42","600,985,489.03","841,350,922.50","705,476,513.45","1,041,009,776.90",,"1,319,407,048.21",
预付款项,"27,292,160.91","5,056,006.42","22,905,983.56","11,379,600.09","12,161,742.48","14,198,165.23","13,618,920.89","13,735,832.07","28,562,142.18","27,987,529.64","19,674,213.10","5,522,207.06","18,806,464.79","14,712,085.01","16,646,151.83","20,723,390.54","46,210,871.01","29,945,184.33","35,745,942.34","35,406,576.36","42,336,973.71","51,260,283.70"
预收款项,"19,689,775.97","35,960,162.69","28,012,470.09","11,396,868.21","29,936,838.07","28,003,617.44","28,482,945.84","31,830,519.38","76,902,312.74","32,142,161.31","45,396,520.47","34,528,825.31","121,491,256.35","63,009,753.93","58,174,630.38","67,605,268.70","119,391,368.48","36,562,325.82","43,115,064.58","109,314,187.25","147,647,053.87","46,027,751.59"
其他应收款,"14,722,301.50","11,949,654.26","29,440,281.74","30,400,031.04","33,658,283.73","32,440,923.25","41,247,575.36","37,381,482.71","44,109,873.89","55,353,293.99","65,735,431.63","59,933,644.71","113,034,476.64","112,846,608.03","149,188,708.55","118,520,930.77","134,245,888.81","113,660,552.46","94,461,308.54","88,785,286.95","110,280,059.38","91,053,470.27"
应付职工薪酬,"23,069,517.83","32,694,011.54","39,107,351.38","43,218,255.62","52,598,740.91","40,157,461.59","48,152,372.88","59,044,658.87","53,829,758.50","33,838,467.65","51,472,735.11","62,240,930.42","73,162,899.03","45,647,920.39","60,553,182.38","79,689,357.48","109,823,606.40","71,428,991.79","82,644,120.96","100,414,777.83","120,786,076.52","76,407,400.72"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"25,194,757.67","-955,891.18","13,342,647.22","30,600,859.16","28,234,946.94","44,686,518.91","32,825,481.39","34,957,271.30","47,624,327.36","59,662,840.77","45,678,842.51","56,257,178.62","46,084,996.91","78,006,705.78","48,592,700.80","82,886,037.43","147,600,791.86","149,035,166.43","117,099,914.27","154,777,949.72","279,377,546.18","168,987,115.09"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"24,750,000.00",,,,,,,,,,,,,,,,,,,
存货,"245,026,543.46","270,222,724.37","393,449,465.18","460,871,980.54","555,725,783.87","437,647,886.18","583,229,143.34","556,215,586.51","649,660,696.11","561,174,083.65","643,657,426.37","607,186,770.17","733,960,246.80","646,407,681.94","791,529,669.69","791,659,394.47","871,856,707.23","790,892,099.23","889,825,122.14","893,263,226.64","1,042,701,610.00","926,479,108.14"
其他应付款,"25,420,837.47","43,007,554.63","58,212,861.11","63,114,452.66","68,756,483.40","67,545,689.60","69,323,295.37","71,940,804.39","77,031,583.66","82,140,255.84","91,418,599.08","86,187,586.85","106,717,811.96","111,544,534.20","201,939,752.00","135,996,904.73","176,541,010.08","167,540,447.20","193,038,646.73","211,072,038.05","240,665,881.17","387,325,928.88"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"1,500,000.00","25,000,000.00",,"1,834,594.40","671,270,416.00","570,660,484.00","629,572,389.18","445,030,819.60","818,000,000.00","825,000,000.00","807,682,574.07","800,000,000.00","827,652,287.47","799,893,775.76","1,016,785,703.09","1,407,082.26","860,022,997.24","850,807,378.35","1,046,977,400.35","679,215,721.58"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"432,228,848.78","472,773,504.32","622,803,301.00","773,850,122.61","856,617,899.79","1,678,214,561.93","1,641,219,065.22","1,679,368,162.13","1,963,986,212.02","2,052,183,679.40","2,011,964,753.60","2,110,845,524.56","2,402,865,215.73","2,479,242,168.12","2,242,197,979.84","2,500,800,977.55","2,974,616,986.01","2,922,596,757.26","3,091,132,964.26","3,502,774,679.02","4,099,631,263.32","3,953,844,667.53"
流动负债合计,"262,174,056.76","252,860,611.42","346,722,324.31","388,293,995.52","453,294,414.24","436,682,284.62","540,773,145.15","441,771,078.85","642,036,735.78","581,282,151.11","681,851,998.31","656,726,431.83","873,282,223.20","792,384,122.43","900,478,042.98","967,163,057.37","1,394,707,699.32","1,130,043,444.69","1,476,907,523.44","1,675,400,532.98","2,107,883,605.95","1,758,011,723.02"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,"3,600,000.00","3,600,000.00"
长期借款,,,,"1,006,415.74","1,006,325.00",,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,"5,109,800.00","5,109,800.00","6,876,400.00"
长期股权投资,,,,,,,,,,,,,,,,,,,,"34,169,275.00","30,175,665.26","30,255,429.96"
专项应付款,"3,888,000.00","6,647,900.00","9,870,000.00","9,870,000.00","1,400,000.00","1,400,000.00","1,400,000.00","1,400,000.00",,,,"1,888,600.00","1,888,600.00","4,767,300.00","4,767,300.00","3,973,900.00","3,973,900.00","3,973,900.00","10,373,900.00",,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,"300,000.00","300,000.00","300,000.00",,,
固定资产,"266,442,191.75","267,995,532.99","405,698,815.43","463,163,796.35","629,721,076.08","618,908,163.45","626,934,389.50","621,676,525.52","720,616,365.09","710,180,645.48","717,306,709.67","739,121,428.65","731,026,972.17","719,239,092.45","708,501,462.50","827,255,534.70","870,932,090.80","857,459,428.31","848,250,302.82","853,903,176.44","876,617,888.99","854,390,720.04"
递延所得税负债,,,,,,,,,,,,,"796,401.90","796,401.90","738,528.80","709,592.25","680,655.70","680,655.70","622,782.60","622,782.60","564,909.50","564,909.50"
在建工程,"3,206,666.67","55,894,906.85","96,778,245.64","203,536,985.51","75,684,640.64","97,776,807.11","93,748,151.17","100,245,632.88","18,325,772.73","18,578,710.15","54,413,881.64","59,779,659.22","88,050,611.95","95,496,954.67","113,214,441.68","18,727,706.40","27,381,795.82","20,913,796.44","38,695,894.44","36,215,059.48","24,506,469.59","107,766,149.21"
其他非流动负债,,,"9,044,944.23","14,050,585.45",,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"3,888,000.00","6,647,900.00","18,914,944.23","24,927,001.19","21,820,768.62","24,684,182.29","22,546,213.52","26,784,353.60","27,664,604.73","28,064,887.09","29,141,071.70","36,163,522.22","36,844,843.19","40,373,219.69","39,505,922.21","105,858,941.22","79,643,005.57","83,283,429.33","76,032,997.02","69,780,732.80","72,951,819.01","73,980,624.87"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,
负债合计,"266,062,056.76","259,508,511.42","365,637,268.54","413,220,996.71","475,115,182.86","461,366,466.91","563,319,358.67","468,555,432.45","669,701,340.51","609,347,038.20","710,993,070.01","692,889,954.05","910,127,066.39","832,757,342.12","939,983,965.19","1,073,021,998.59","1,474,350,704.89","1,213,326,874.02","1,552,940,520.46","1,745,181,265.78","2,180,835,424.96","1,831,992,347.89"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"200,000,000.00","200,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","460,000,000.00","460,000,000.00","460,000,000.00","460,000,000.00","460,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00","920,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,
资本公积,"142,860,934.62","142,860,934.62","54,487,764.53","54,487,764.53","54,487,764.53","735,544,175.53","734,843,329.53","732,752,819.53","732,347,764.53","732,407,759.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53","272,347,764.53"
无形资产,"55,272,776.90","125,119,532.29","124,593,084.52","131,013,610.41","129,760,180.85","128,118,561.43","127,791,143.74","127,672,286.21","131,421,056.70","131,436,147.49","130,759,362.05","129,338,823.24","135,122,460.07","137,079,245.60","136,390,107.22","134,536,653.22","196,475,365.90","194,576,279.83","194,682,357.87","194,712,300.09","187,987,875.67","186,139,282.17"
盈余公积,"27,867,976.69","47,987,238.50","76,087,976.06","76,087,976.06","110,993,908.80","110,993,908.80","110,993,908.80","110,993,908.80","154,536,334.38","154,536,334.38","154,536,334.38","154,536,334.38","205,621,260.50","205,621,260.50","205,621,260.50","205,621,260.50","269,254,238.80","269,254,238.80","269,254,238.80","269,254,238.80","343,733,386.35","343,733,386.35"
开发支出,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,"131,001.23","131,001.23","131,001.23","131,001.23","131,001.23","131,001.23","131,001.23","131,001.23","131,001.23","131,001.23"
未分配利润,"133,249,920.81","296,605,752.41","366,347,726.32","639,544,926.79","671,011,800.67","780,425,623.84","648,442,189.25","766,361,294.08","820,116,101.94","966,009,239.76","840,710,361.84","985,397,229.53","1,031,951,120.51","1,198,035,068.02","1,091,025,549.52","1,292,652,163.30","1,372,359,133.67","1,577,003,013.43","1,517,021,218.38","1,767,076,628.76","1,874,727,294.53","2,133,442,425.81"
长期待摊费用,"11,951,160.27","24,543,347.60","42,884,030.76","47,433,186.13","52,441,132.05","54,623,581.43","52,377,737.97","51,486,737.54","55,650,710.59","59,255,569.45","58,517,028.01","63,021,123.77","53,769,973.26","64,825,784.04","69,313,695.16","73,694,476.21","88,682,636.83","102,308,714.68","107,065,287.65","105,880,617.87","118,024,364.67","115,299,626.74"
少数股东权益,,,"35,210,722.78","42,856,429.53","40,032,347.64","36,727,575.36","33,544,352.51","50,858,540.58","65,438,804.68","61,474,609.01","88,309,912.93","91,696,129.85","86,846,112.85","83,179,901.31","78,221,910.66","79,386,925.16","79,967,073.74","75,195,357.74","80,530,620.72","86,062,765.88","85,856,179.34","86,736,473.28"
递延所得税资产,"939,244.51","635,612.90","5,013,980.88","7,200,392.61","7,416,075.09","7,416,075.09","9,072,651.16","9,072,651.16","12,140,228.91","12,140,228.91","13,935,708.72","14,760,852.90","15,927,090.37","15,927,090.37","16,010,994.77","16,010,994.77","18,659,039.04","17,741,270.77","20,836,554.62","20,836,554.62","25,525,520.98","25,525,520.98"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,"221,440,768.00","271,872,768.00","211,400,000.00","211,400,000.00","311,300,000.00","311,300,000.00","311,300,000.00","311,300,000.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"337,812,040.10","474,188,932.63","674,968,157.23","852,347,971.01","895,023,104.71","906,843,188.51","909,924,073.54","910,153,833.31","938,154,134.02","931,591,301.48","974,932,690.09","1,006,021,887.78","1,024,028,109.05","1,032,699,168.36","1,265,002,470.56","1,342,229,134.53","1,413,661,929.62","1,404,530,491.26","1,520,961,398.63","1,557,147,984.73","1,577,868,786.39","1,634,407,730.33"
所有者权益(或股东权益)合计,"503,978,832.12","687,453,925.53","932,134,189.69","1,212,977,096.91","1,276,525,821.64","2,123,691,283.53","1,987,823,780.09","2,120,966,562.99","2,232,439,005.53","2,374,427,942.68","2,275,904,373.68","2,423,977,458.29","2,516,766,258.39","2,679,183,994.36","2,567,216,485.21","2,770,008,113.49","2,913,928,210.74","3,113,800,374.50","3,059,153,842.43","3,314,741,397.97","3,496,664,624.75","3,756,260,049.97"
