科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"259,598,774.76","301,106,247.00","440,909,698.85","239,840,034.34","376,250,963.60","515,739,000.69","90,341,793.97","204,542,573.80","314,994,107.40","466,481,365.05","90,061,248.07","198,508,309.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"404,369.57","31,242.58","22,526.02","38,389.32","39,152.68","38,389.32",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,672,427.40","14,163,270.65","19,068,091.76","6,959,098.23","10,380,548.81","24,607,660.53","10,007,394.32","18,218,771.03","24,284,701.48","24,715,223.63","1,383,982.35","10,738,603.53"
投资活动现金流出小计,"26,584,302.52","20,705,089.29","48,431,144.71","31,616,405.67","40,233,241.25","44,972,580.19","20,645,444.30","26,031,367.27","39,569,653.83","51,472,212.63","42,884,069.13","124,779,387.97"
经营活动现金流入小计,"279,675,571.73","315,300,760.23","460,000,316.63","246,837,521.89","386,670,665.09","540,385,050.54","100,349,188.29","222,761,344.83","339,278,808.88","491,196,588.68","91,445,230.42","209,246,913.16"
投资活动产生的现金流量净额,"-15,044,658.42","-20,676,714.38","-22,970,234.92","-10,183,720.05","-18,777,925.63","-23,520,181.59","-15,616,915.40","-15,968,557.84","-29,472,044.40","-31,273,554.93","-32,809,432.64","-89,544,658.69"
购买商品、接受劳务支付的现金,"15,172,667.61","32,855,046.31","62,795,301.72","46,299,857.88","72,678,535.50","95,371,512.23","24,310,042.42","47,347,318.90","67,142,900.65","86,644,566.00","17,137,104.01","41,858,347.55"
吸收投资收到的现金,,"490,000.00",,,,,"154,600,000.00","154,600,000.00","154,600,000.00","154,600,000.00",,"49,000.00"
支付给职工以及为职工支付的现金,"152,235,468.82","218,043,904.58","262,661,526.80","158,042,706.78","249,207,638.62","302,290,768.63","72,002,493.14","143,920,028.29","245,214,813.23","304,774,961.78","79,121,679.18","159,762,233.45"
取得借款收到的现金,"12,000,000.00","26,000,000.00","27,000,000.00","20,000,000.00","21,379,445.44","33,438,209.26","23,561,790.74","38,561,790.74","38,561,790.74","38,561,790.74",,"34,000,000.00"
支付的各项税费,"10,245,729.44","14,217,656.37","22,280,083.03","14,515,687.76","19,160,708.95","27,133,260.61","6,884,306.77","12,881,124.50","17,840,304.18","23,007,657.80","7,851,111.47","13,428,336.52"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"44,469,766.49","55,385,341.95","65,671,533.07","34,262,946.26","49,852,202.35","63,392,439.55","20,942,653.30","44,299,175.35","60,257,472.47","58,690,908.37","18,894,868.45","31,160,184.01"
筹资活动现金流入小计,"12,000,000.00","26,490,000.00","27,000,000.00","20,000,000.00","21,379,445.44","33,438,209.26","178,161,790.74","193,161,790.74","193,161,790.74","193,161,790.74",,"34,049,000.00"
经营活动现金流出小计,"222,123,632.36","320,501,949.21","413,408,444.62","253,121,198.68","390,899,085.42","488,187,981.02","124,139,495.63","248,447,647.04","390,455,490.53","473,118,093.95","123,004,763.11","246,209,101.53"
偿还债务支付的现金,"26,000,000.00","12,000,000.00","26,000,000.00","20,000,000.00","20,000,000.00","27,000,000.00","15,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","1,000,000.00","16,000,000.00"
经营活动产生的现金流量净额,"57,551,939.37","-5,201,188.98","46,591,872.01","-6,283,676.79","-4,228,420.33","52,197,069.52","-23,790,307.34","-25,686,302.21","-51,176,681.65","18,078,494.73","-31,559,532.69","-36,962,188.37"
分配股利、利润或偿还利息支付的现金,"898,246.71","12,791,001.15","1,665,291.38","7,092,768.47","7,389,293.51","7,728,200.63","385,999.22","8,627,617.26","9,198,239.52","9,425,921.87","484,934.83","4,931,780.24"
收回投资收到的现金,"11,469,909.44",,"25,384,066.29","21,359,457.13","21,359,457.13","21,359,457.13","5,000,000.00","10,000,000.00","10,000,000.00","20,109,960.24","10,036,396.49","35,187,469.28"
支付其他与筹资活动有关的现金,,"1,395,388.60","2,410,918.00",,,"952,861.28","8,590,000.00","9,390,000.00","9,390,000.00","9,408,165.21",,
取得投资收益收到的现金,,,,,,,"14,958.90","48,616.43","48,616.43",,,
筹资活动现金流出小计,"26,898,246.71","26,186,389.75","30,076,209.38","27,092,768.47","27,389,293.51","35,681,061.91","23,975,999.22","38,017,617.26","48,588,239.52","48,834,087.08","1,484,934.83","20,931,780.24"
处置固定资产、无形资产和其他长期资产收回的现金净额,"69,734.66","28,374.91","76,843.50","73,228.49","95,858.49","92,941.47","13,570.00","14,193.00","48,993.00","88,697.46","38,240.00","47,260.00"
筹资活动产生的现金流量净额,"-14,898,246.71","303,610.25","-3,076,209.38","-7,092,768.47","-6,009,848.07","-2,242,852.65","154,185,791.52","155,144,173.48","144,573,551.22","144,327,703.66","-1,484,934.83","13,117,219.76"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-403,911.47","11,019.73","510,015.13","99,619.02","229,927.16","392,265.09","421,544.30","-160,658.78","-160,658.78","-469,049.01","-445,787.73","-263,404.16"
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"11,539,644.10","28,374.91","25,460,909.79","21,432,685.62","21,455,315.62","21,452,398.60","5,028,528.90","10,062,809.43","10,097,609.43","20,198,657.70","10,074,636.49","35,234,729.28"
五、现金及现金等价物净增加额,"27,205,122.77","-25,563,273.38","21,055,442.84","-23,460,546.29","-28,786,266.87","26,826,300.37","115,200,113.08","113,328,654.65","63,764,166.39","130,663,594.45","-66,299,687.89","-113,653,031.46"
购建固定资产、无形资产和其他长期资产支付的现金,"15,184,302.52","20,705,089.29","17,981,144.71","15,616,405.67","24,233,241.25","28,972,580.19","10,645,444.30","16,031,367.27","24,569,653.83","26,472,212.63","12,884,069.13","19,779,387.97"
期初现金及现金等价物余额,"60,571,645.94","87,776,768.71","62,213,495.33","83,268,938.17","83,268,938.17","83,268,938.17","110,095,238.54","110,095,238.54","110,095,238.54","110,095,238.54","240,758,832.99","240,758,832.99"
投资支付的现金,"11,400,000.00",,"30,450,000.00","16,000,000.00","16,000,000.00","16,000,000.00","10,000,000.00","10,000,000.00","15,000,000.00","25,000,000.00","30,000,000.00","105,000,000.00"
期末现金及现金等价物余额,"87,776,768.71","62,213,495.33","83,268,938.17","59,808,391.88","54,482,671.30","110,095,238.54","225,295,351.62","223,423,893.19","173,859,404.93","240,758,832.99","174,459,145.10","127,105,801.53"
