科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"183,880,565.67","212,890,537.63","239,393,819.37","67,944,600.00","132,094,836.61","189,347,384.70","258,919,172.48","70,002,490.85","142,466,764.35","203,929,161.35","286,403,295.82","75,106,083.28","152,989,137.31","228,718,449.78","339,358,774.96","108,544,431.37","213,891,400.24","311,207,127.04","428,556,522.87","115,348,770.95"
二、营业利润,"33,425,576.72","38,884,663.34","35,314,170.81","11,666,300.00","23,485,946.67","32,715,095.59","47,706,523.80","14,367,259.33","30,191,069.03","39,894,242.87","53,831,041.88","12,993,822.17","26,587,565.53","36,629,807.19","60,767,753.43","18,854,803.92","42,674,748.47","64,410,558.16","88,365,656.81","23,683,616.53"
减:营业成本,"117,855,802.80","139,179,461.59","162,781,573.46",,"86,226,361.87","124,109,252.57","169,218,124.66","45,166,305.80","91,025,599.79","132,518,199.40","189,590,292.27","51,409,169.01","104,629,920.64","157,625,177.69","234,441,910.72","74,807,185.55","143,098,198.17","206,273,371.08","283,206,251.36","75,333,484.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,149,374.76","841,271.15","1,793,342.12",,"973,630.62","1,438,931.85","1,998,866.21","616,067.72","1,076,571.20","1,509,819.71","3,401,089.54","1,102,841.41","2,104,621.60","3,033,562.35","4,157,528.90","1,229,106.21","2,199,157.20","3,179,976.66","4,148,597.23","1,132,066.98"
营业外收入,"4,025,613.46","2,293,839.02","5,614,420.61",,"601,940.21","3,679,988.01","4,436,037.68","394,593.71","1,841,168.37","2,302,573.90","3,598,313.50","752,666.36","3,128,403.20","4,654,689.85","1,899,992.52","2,369,226.84","1,313,046.01","1,502,879.19","2,543,137.73","103,994.22"
销售费用,"16,252,151.35","18,214,998.39","19,812,251.26",,"11,052,836.34","16,373,618.79","21,592,105.88","5,197,133.55","11,410,135.80","16,693,554.25","23,036,282.92","5,503,320.06","12,118,074.83","18,530,934.42","27,478,195.86","7,521,618.05","16,456,159.12","24,515,953.41","34,223,018.06","8,664,582.23"
减:营业外支出,"126,603.55","391,461.84","155,705.92",,"265,081.02","292,929.94","335,316.69","44,295.48","114,519.89","175,364.85","387,688.60","113,954.61","311,865.75","473,073.98","105,538.76","28,476.77","38,313.60","441,741.84","518,117.35","82,133.96"
管理费用,"15,188,258.92","15,588,422.55","19,724,043.21",,"10,528,458.11","15,628,412.99","21,176,744.91","5,145,521.10","11,238,259.25","16,524,497.80","21,537,037.65","4,866,232.01","10,545,042.87","16,460,575.85","24,070,291.33","6,373,178.13","15,107,171.39","13,324,976.23","20,467,365.20","4,531,374.86"
其中:非流动资产处置净损失,"117,703.55","104,596.21","90,585.92",,"265,081.02","286,429.94","328,816.69","44,295.48","114,519.89","175,364.85","297,688.60","113,954.61","271,695.89","378,257.12",,,,,,
