科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"402,041,207.40","413,389,334.51","396,369,412.50","196,751,748.88","305,010,522.73","399,136,044.02","112,662,596.54","203,405,027.20","332,172,043.37","450,785,154.81","133,702,324.98","244,788,152.96","385,565,302.49","530,551,592.04","173,788,818.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"13,156,790.52","9,380,052.19","9,813,990.46","5,794,268.52","9,288,196.54","15,526,994.59","3,601,634.29","7,138,066.27","11,485,487.67","14,595,991.16","3,019,741.31","7,177,187.76","10,192,043.33","12,929,793.97","1,038,979.32"
支付其他与投资活动有关的现金,,,,,,,,"2,850,000.00","2,907,038.29","3,984,302.40","1,378,907.79","5,658,000.00","87,547,805.28","13,844,554.38",
收到其他与经营活动有关的现金,"16,656,507.88","5,946,307.16","3,393,245.30","3,511,231.78","9,451,680.69","14,239,827.49","9,829,595.05","2,631,297.11","8,941,567.48","4,905,916.28","4,400,872.46","6,340,401.17","15,456,127.09","18,034,044.85","10,839,644.75"
投资活动现金流出小计,"103,315,555.53","40,468,060.37","45,907,282.26","9,633,345.73","15,360,314.84","45,919,163.98","10,716,076.98","30,515,692.08","53,496,530.64","99,865,800.79","43,676,725.54","109,724,840.79","222,185,405.51","538,608,235.00","58,750,324.90"
经营活动现金流入小计,"431,854,505.80","428,715,693.86","409,576,648.26","206,057,249.17","323,750,399.96","428,902,866.10","126,093,825.88","213,174,390.58","352,599,098.52","470,287,062.25","141,122,938.75","258,305,741.89","411,213,472.91","561,515,430.86","185,667,442.45"
投资活动产生的现金流量净额,"-94,054,233.30","-39,677,830.60","-36,424,054.19","-9,498,409.52","-14,551,118.36","-45,130,178.91","-10,699,258.39","-22,840,126.26","-45,820,964.82","-82,655,981.11","-41,278,237.56","-102,536,782.83","-222,117,553.59","-214,798,257.79","-18,300,863.68"
购买商品、接受劳务支付的现金,"284,165,002.15","291,294,885.16","265,508,615.11","133,105,404.92","216,760,441.61","255,614,675.06","77,182,235.95","143,422,285.36","235,946,306.18","323,640,868.53","113,969,874.89","168,833,012.34","280,614,620.18","398,125,952.07","112,334,773.42"
吸收投资收到的现金,,"400,000.00",,,"108,818,100.00","120,350,000.00","890,000.00","1,090,000.00","1,390,000.00","1,390,000.00",,,,,
支付给职工以及为职工支付的现金,"63,368,817.03","68,874,249.79","62,605,081.12","31,863,022.34","50,047,701.32","71,251,552.26","21,405,418.80","45,741,469.88","69,095,085.09","97,034,866.46","26,695,699.94","56,100,014.40","80,974,056.02","118,402,623.72","29,357,900.80"
取得借款收到的现金,"236,310,000.00","196,326,716.94","223,604,500.12","129,921,952.55","202,537,962.60","259,699,090.55","20,009,529.60","239,700,000.00","444,700,000.00","589,712,998.10","50,000,000.00","190,330,265.84","228,092,224.68","396,315,432.84","15,000,000.00"
支付的各项税费,"10,650,563.44","12,333,465.66","14,405,533.73","7,387,635.07","11,435,144.26","15,675,134.38","3,575,509.78","6,903,362.06","10,855,330.14","11,359,510.80","2,882,618.96","9,007,245.04","11,315,039.47","16,357,393.95","6,105,444.00"
收到其他与筹资活动有关的现金,,"2,303,937.62","1,810,722.42","1,760,954.75","13,292,854.75","1,760,954.75","295,370.54","3,156,074.43","3,156,074.43","1,745,616.04","2,875,416.68","5,195,660.81","4,405,626.21","13,552,124.80","3,162,895.59"
支付其他与经营活动有关的现金,"30,827,583.44","24,974,004.91","17,430,718.62","11,151,708.58","24,273,833.96","43,149,132.33","8,422,721.01","10,996,778.20","23,986,875.53","25,983,152.44","5,086,159.23","13,249,336.39","30,495,519.74","21,897,042.30","22,371,455.93"
筹资活动现金流入小计,"236,310,000.00","199,030,654.56","225,415,222.54","131,682,907.30","324,648,917.35","381,810,045.30","21,194,900.14","243,946,074.43","449,246,074.43","592,848,614.14","52,875,416.68","195,525,926.65","366,349,850.89","543,719,557.64","18,162,895.59"
经营活动现金流出小计,"389,011,966.06","397,476,605.52","359,949,948.58","183,507,770.90","302,517,121.15","385,690,494.03","110,585,885.54","207,063,895.50","339,883,596.94","458,018,398.23","148,634,353.02","247,189,608.17","403,399,235.41","554,783,012.04","170,169,574.15"
偿还债务支付的现金,"166,900,000.00","183,500,000.00","225,760,703.86","137,736,368.55","312,765,333.35","350,518,475.75","29,174,126.10","46,161,128.00","252,161,128.00","422,192,187.59","60,000,000.00","166,107,800.00","225,387,138.43","390,820,824.68","11,319,370.88"
经营活动产生的现金流量净额,"42,842,539.74","31,239,088.34","49,626,699.68","22,549,478.27","21,233,278.81","43,212,372.07","15,507,940.34","6,110,495.08","12,715,501.58","12,268,664.02","-7,511,414.27","11,116,133.72","7,814,237.50","6,732,418.82","15,497,868.30"
分配股利、利润或偿还利息支付的现金,"8,141,544.34","10,757,849.29","12,862,828.26","5,795,398.00","6,352,652.38","7,002,438.12","1,794,300.13","11,321,284.44","12,619,102.12","13,845,819.38","2,347,229.71","11,551,431.03","27,797,701.87","16,828,351.55","3,104,777.20"
收回投资收到的现金,"5,000,000.00",,,,,,,,,,,,,"311,672,984.43","39,800,000.00"
支付其他与筹资活动有关的现金,"3,313,371.55","4,532,420.52","2,138,313.23","1,702,783.56","2,656,451.02","12,142,316.25","1,542,554.00","4,536,483.89","5,202,096.93","5,739,222.61","1,947,168.49","5,215,715.12","277,543.66","18,667,250.97","2,002,874.25"
取得投资收益收到的现金,"30,706.85",,,,,,,,,,,,,"570,530.98","545,059.78"
筹资活动现金流出小计,"178,354,915.89","198,790,269.81","240,761,845.35","145,234,550.11","321,774,436.75","369,663,230.12","32,510,980.23","62,018,896.33","269,982,327.05","441,777,229.58","64,294,398.20","182,874,946.15","253,462,383.96","426,316,427.20","16,427,022.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"9,615.38","20,229.77","581,228.07","134,936.21","688,888.98","250,385.07","16,818.59","67,565.82","67,565.82","337,068.34",,"634,660.02","38,248.62","1,110,388.06","102,986.78"
筹资活动产生的现金流量净额,"57,955,084.11","240,384.75","-15,346,622.81","-13,551,642.81","2,874,480.60","12,146,815.18","-11,316,080.09","181,927,178.10","179,263,747.38","151,071,384.56","-11,418,981.52","12,650,980.50","112,887,466.93","117,403,130.44","1,735,873.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,137,459.97","-298,706.87","663,535.26","652,502.53","303,418.20","697,809.09","49,741.70","-276,030.62","407,389.05","-614,765.25","-626,527.02","-258,389.51","-638,678.23","311,179.68","337,051.75"
收到其他与投资活动有关的现金,"4,221,000.00","770,000.00","8,902,000.00",,"120,307.50","538,600.00",,"7,608,000.00","7,608,000.00","16,872,751.34","2,398,487.98","6,553,397.94","29,603.30","10,456,073.74","1,414.66"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"9,261,322.23","790,229.77","9,483,228.07","134,936.21","809,196.48","788,985.07","16,818.59","7,675,565.82","7,675,565.82","17,209,819.68","2,398,487.98","7,188,057.96","67,851.92","323,809,977.21","40,449,461.22"
五、现金及现金等价物净增加额,"5,605,930.58","-8,497,064.38","-1,480,442.06","151,928.47","9,860,059.25","10,926,817.43","-6,457,656.44","164,921,516.30","146,565,673.19","80,069,302.22","-60,835,160.37","-79,028,058.12","-102,054,527.39","-90,351,528.85","-730,070.37"
购建固定资产、无形资产和其他长期资产支付的现金,"103,315,555.53","40,468,060.37","45,907,282.26","9,633,345.73","15,360,314.84","44,036,287.98","10,716,076.98","27,665,692.08","50,589,492.35","95,881,498.39","42,297,817.75","104,066,840.79","134,637,600.23","159,593,680.62","32,454,618.75"
期初现金及现金等价物余额,"26,391,383.20","31,997,313.78","23,500,249.40","22,019,807.34","22,019,807.34","22,019,807.34","32,946,624.77","32,946,624.77","32,946,624.77","32,946,624.77","113,015,926.99","113,015,926.99","113,015,926.99","113,015,926.99","23,022,786.52"
投资支付的现金,,,,,,"1,882,876.00",,,,,,,,"365,170,000.00","26,295,706.15"
期末现金及现金等价物余额,,,,,"31,879,866.59","32,946,624.77","26,488,968.33","197,868,141.07","179,512,297.96","113,015,926.99","52,180,766.62","33,987,868.87","10,961,399.60","22,664,398.14","22,292,716.15"
