科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"692,993,351.92","760,931,755.64","755,651,921.26",,"226,818,386.01","351,759,617.92","746,789,999.70","95,330,337.34","232,852,826.90","362,825,591.59","723,016,693.35","86,763,420.14","200,825,273.83","331,219,581.02","774,812,035.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"2,328,875.55","2,402,998.56","1,349,526.54",,"1,483,499.68","2,301,310.04","2,804,819.98","885,934.67","1,200,842.76","1,200,842.76","2,971,450.56","715,934.03","1,037,017.94","1,342,403.91","2,660,977.72"
支付其他与投资活动有关的现金,,,,,,,"208,000,000.00","100,000,000.00","100,000,000.00","190,000,000.00","256,000,000.00","40,000,000.00","195,000,000.00","305,000,000.00","385,000,000.00"
收到其他与经营活动有关的现金,"1,852,566.41","6,536,107.30","3,456,602.79",,"4,450,253.84","4,745,911.29","7,804,782.40","6,059,646.86","9,823,981.75","17,935,643.14","23,954,331.34","5,238,218.41","5,187,056.79","21,579,552.26","17,702,946.74"
投资活动现金流出小计,"3,186,031.62","1,955,680.32","2,449,064.50",,"981,580.01","164,341,934.88","318,941,251.49","101,473,483.69","112,700,287.69","209,472,827.05","279,251,978.44","44,156,691.14","202,806,369.79","313,474,632.09","419,001,632.42"
经营活动现金流入小计,"697,174,793.88","769,870,861.50","760,458,050.59",,"232,752,139.53","358,806,839.25","757,399,602.08","102,275,918.87","243,877,651.41","381,962,077.49","749,942,475.25","92,717,572.58","207,049,348.56","354,141,537.19","795,175,959.99"
投资活动产生的现金流量净额,"-3,186,031.62","-1,742,291.86","-2,449,064.50","-299,800.00","-981,580.01","-53,683,496.53","-190,198,952.87","-35,655,593.28","38,667,657.51","27,477,337.33","59,118,402.15","-44,012,222.70","-87,336,280.54","-67,238,266.94","-55,743,394.26"
购买商品、接受劳务支付的现金,"522,136,879.73","583,844,000.66","542,642,000.33",,"208,140,451.72","342,750,024.55","502,502,268.69","164,564,608.22","291,582,098.55","418,500,324.29","528,611,027.37","146,980,965.81","240,642,587.53","379,650,483.55","532,603,075.24"
吸收投资收到的现金,,,,,"226,900,000.00","226,900,000.00","247,833,670.00",,,,,"5,525,520.00","5,525,520.00","5,525,520.00","5,525,520.00"
支付给职工以及为职工支付的现金,"55,646,176.93","68,572,323.09","68,633,910.70",,"41,747,455.43","57,242,143.82","75,358,501.13","32,109,987.04","50,827,601.35","71,378,998.04","91,948,228.40","33,730,818.22","54,087,448.68","75,351,273.44","96,748,095.20"
取得借款收到的现金,"55,369,793.80","72,751,073.89","52,055,400.00",,,,"1,000,000.00",,,,"1,000,000.00",,,,"1,100,000.00"
支付的各项税费,"34,749,021.51","46,449,257.28","43,208,271.16",,"28,075,719.46","31,760,287.81","36,136,920.64","28,636,244.44","32,125,868.18","36,849,243.54","42,982,302.83","27,439,870.99","30,920,412.37","34,467,945.24","40,478,969.30"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"52,589,651.65","38,202,123.73","38,974,234.04",,"16,818,083.67","28,106,556.06","59,423,822.78","11,517,092.57","24,078,942.94","38,765,074.81","48,110,852.22","17,518,674.79","30,133,863.91","43,670,760.51","63,918,393.81"
