科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"393,280,653.08","543,589,837.95","651,835,545.71",,"600,453,015.36",,"1,268,979,942.96","1,244,720,072.63","903,898,888.90","793,458,016.25","875,480,152.92","898,621,422.14","605,154,133.17","483,373,780.77","632,705,766.87","484,258,539.50"
短期借款,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"6,519,272.15","13,850,000.00","120,000.00",,"5,521,515.00",,"16,855,719.14","5,850,000.00","2,000,000.00","62,180,379.08","29,590,882.42","4,600,000.00","5,200,000.00","89,495,352.43","23,790,403.19","35,330,162.20"
应付票据,,,,,,,,,,,,,,,,
应收账款,"106,991,223.68","135,447,601.75","136,168,480.31",,"186,525,143.59",,"109,013,309.76","169,294,959.02","138,408,805.36","194,057,132.39","101,353,892.79","129,120,039.64","100,254,637.50","179,126,965.21","74,132,733.10","168,251,415.01"
应付账款,"79,531,367.14","84,647,596.28","120,251,851.42",,"86,529,853.65",,"49,689,581.63","57,710,517.12","71,070,026.26","85,254,766.57","57,683,893.51","60,615,954.77","70,974,887.50","91,442,913.81","48,428,022.12","73,792,381.47"
预付款项,"7,319,055.91","5,058,614.87","16,903,654.11",,"33,667,916.00",,"16,543,379.88","18,393,320.72","24,413,539.58","21,858,740.06","6,210,389.85","40,144,735.07","65,761,433.29","61,784,823.37","26,736,695.41","50,339,843.60"
预收款项,"24,805,736.74","25,051,083.02","28,107,403.72",,"30,184,219.25",,"25,626,749.86","32,410,287.15","34,069,233.46","42,109,650.06","44,236,414.41","64,861,706.37","49,085,661.84","73,471,211.89","58,246,701.26","94,850,936.76"
其他应收款,"2,212,568.21","3,132,451.38","4,720,239.64",,"11,809,343.02",,"7,054,545.66","7,659,991.52","7,944,336.96","9,774,563.74","8,667,576.09","8,890,629.67","13,392,762.61","11,353,398.96","9,208,624.57","13,105,437.50"
应付职工薪酬,"28,361,934.46","32,456,479.17","28,567,254.61",,"7,482,681.23",,"21,394,524.45","5,050,137.56","4,520,899.51","3,222,900.31","23,657,599.10","3,945,356.60","4,086,450.86","3,739,310.68","27,000,541.56","5,649,815.91"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"16,507,655.25","9,632,438.42","5,667,285.56",,"7,271,505.49",,"11,170,590.71","7,887,019.27","8,525,252.08","8,221,594.67","10,454,770.21","5,802,786.44","4,856,236.19","621,634.47","1,187,203.01","3,433,074.50"
应收利息,,,,,,,,,,,,,,,,
应付利息,,"144,100.00","125,152.50",,"98,956.25",,"104,955.78","104,955.78","79,625.00",,"13,109.59",,,,"14,645.65","14,645.65"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"28,800,000.00",,,
存货,"82,208,540.82","76,354,590.38","83,800,119.61",,"89,700,649.41",,"80,507,851.60","69,445,897.77","88,081,403.02","74,687,299.88","74,702,558.14","63,567,060.92","87,062,387.54","78,586,862.92","109,795,799.55","80,740,621.39"
其他应付款,"11,501,381.51","13,516,149.57","10,644,454.37",,"10,812,159.47",,"15,024,691.78","12,350,000.19","13,548,183.68","14,318,603.00","15,574,660.01","14,889,917.02","17,964,299.74","18,252,861.85","17,590,968.70","19,845,578.14"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"10,000,000.00",,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,,,"22,715,884.16",,"14,173,718.76",,"3,362,686.18","3,478,656.26","354,373,678.83","357,612,192.79","252,648,964.91","223,748,994.57","304,001,523.07","306,841,296.50","307,773,834.07","404,837,262.43"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"598,531,313.85","777,433,096.33","916,263,923.54",,"941,851,301.14",,"1,512,317,435.18","1,518,842,897.92","1,519,120,652.65","1,513,628,324.19","1,348,654,417.12","1,368,692,882.01","1,180,826,877.18","1,210,562,480.16","1,187,304,025.99","1,236,863,281.63"
流动负债合计,"160,708,075.10","165,447,846.46","193,363,402.18",,"142,379,375.34",,"133,011,094.21","125,512,917.07","141,813,219.99","163,127,514.61","161,620,446.83","160,115,721.20","185,767,536.13","197,527,932.70","165,532,104.14","207,586,432.43"
可供出售金融资产,,"6,124,032.44","6,124,032.44",,"6,124,032.44",,"6,474,032.44","6,474,032.44","6,474,032.44","6,474,032.44","206,900,032.44","206,900,032.44","406,900,032.44","406,900,032.44","406,900,032.44","406,900,032.44"
长期借款,"10,000,000.00","77,000,000.00","74,000,000.00",,"71,000,000.00",,"68,000,000.00","68,000,000.00","65,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,"29,107,591.00","24,922,110.27","26,889,320.25",,"32,343,279.83",,"32,808,151.73","32,688,687.41","33,138,534.07","33,535,425.17","33,694,351.44","33,439,638.66","36,218,994.62","37,065,087.77","37,015,263.93","36,995,515.25"
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,"15,041,017.54","14,536,973.62","14,032,929.70",,"13,780,907.74",,"14,202,080.48","14,183,306.30","19,584,886.67","35,121,251.92","37,715,374.21","40,843,765.53","45,343,843.38","52,148,046.68","69,204,412.44","57,075,030.43"
预计负债,,,,,,,,,,,,,,,,
固定资产,"49,766,161.72","48,515,565.89","309,245,386.42",,"302,458,688.00",,"295,860,709.48","292,049,467.51","282,906,284.54","263,541,026.73","263,597,664.60","256,561,631.00","253,157,718.11","243,504,894.37","234,553,963.09","242,962,029.74"
递延所得税负债,"165,547.86","165,547.86","82,773.93",,"82,773.93",,"82,773.93","82,773.93","82,773.93","82,773.93","82,773.93","82,773.93","82,773.93","82,773.93","82,773.93","82,773.93"
