科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"222,123,479.77","485,602,562.61","768,583,654.18","1,057,734,085.03","250,282,551.29","547,677,019.57","846,526,826.62","973,828,025.07","159,292,821.20","425,044,700.93","699,007,378.15","1,059,379,639.04","309,951,784.00","749,604,359.43","1,183,050,754.31","1,605,862,287.78","459,907,736.59","998,385,158.50","1,512,616,320.08","2,002,582,959.26","379,561,733.31","1,015,976,677.00","1,607,058,056.60","2,249,797,988.23","749,098,902.49","1,686,361,799.39","2,667,287,031.58","3,721,659,589.18","917,635,049.84","2,146,067,257.03","3,433,216,422.36","5,328,750,291.11","1,511,622,976.51","3,909,049,391.22","5,583,763,694.30","7,627,439,141.04","1,447,616,201.59","3,469,949,407.02","4,664,871,497.04","5,546,881,061.27","956,397,914.23","2,332,315,026.14","3,771,840,073.05","6,006,120,283.08","1,763,761,329.19"
二、营业利润,"30,499,516.84","59,462,362.09","98,512,729.97","148,239,809.50","52,395,060.77","124,691,779.66","169,603,810.01","120,735,364.97","18,360,519.93","70,288,222.04","128,553,263.26","192,968,975.59","56,307,550.13","134,655,086.21","222,385,910.33","278,929,274.46","81,937,161.91","161,543,558.55","240,941,722.18","276,886,574.48","30,466,413.64","68,947,869.45","95,220,968.10","97,850,930.92","35,155,596.61","36,500,793.14","32,114,504.12","35,349,000.55","-37,030,408.91","-70,380,806.52","-72,940,393.99","-556,562,549.96","-23,369,748.26","-18,328,649.61","-26,313,536.05","-54,212,019.90","-14,449,216.68","-8,082,632.40","-4,447,299.15","-19,519,750.31","29,086,851.10","66,536,543.27","109,337,089.22","120,019,717.04","47,757,361.71"
减:营业成本,"145,808,554.06","321,871,545.22","518,852,758.68","715,324,946.67","164,884,227.06","359,773,868.63","572,810,537.56","675,116,347.26","121,290,126.81","304,727,045.75","500,787,409.92","773,928,810.80","219,262,356.90","546,880,347.26","852,143,995.00","1,148,472,109.46","338,176,321.79","743,529,236.41","1,123,287,484.99","1,518,559,418.46","295,737,496.89","810,590,444.81","1,300,543,243.64","1,842,619,783.38","618,834,746.17","1,418,376,739.12","2,289,988,311.96","3,213,850,170.36","848,121,670.76","1,997,174,915.32","3,163,308,333.21","4,992,417,793.22","1,424,802,929.00","3,676,279,615.99","5,236,452,805.01","7,177,818,429.25","1,369,699,620.06","3,267,344,689.67","4,332,561,463.69","5,066,859,668.49","812,949,036.07","2,023,541,698.90","3,255,872,292.46","5,280,593,424.15","1,595,255,307.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,981,977.41","3,230,398.45","5,121,567.09","7,309,182.52","1,184,162.14","3,295,244.23","5,054,475.46","5,796,829.54","1,825,322.14","4,394,072.50","5,591,427.99","6,088,557.65","93,950.44","1,022,601.53","3,278,255.38","11,355,444.54","22,078.49","4,085,445.86","4,517,322.98","5,019,136.06","497,185.88","1,002,164.76","1,443,656.72","1,953,814.02","542,933.39","1,132,366.19","1,653,816.20","2,277,545.32","694,501.40","1,779,547.52","5,437,384.03","8,163,042.90","2,350,658.50","9,553,116.31","16,726,227.15","21,213,331.09","4,762,894.24","10,370,898.37","15,852,280.44","33,241,631.12","11,184,479.00","22,530,358.97","36,539,491.97","51,745,179.44","9,297,882.55"
营业外收入,"151,779.68","316,873.15","4,685,197.09","3,506,203.92","1,373,528.22","2,233,520.83","2,690,887.46","6,717,793.55","18,375,539.68","18,629,552.61","19,149,736.07","20,391,679.52","1,060,527.18","8,574,860.06","10,828,060.60","52,377,633.97","1,659,650.50","11,240,377.24","14,604,823.61","24,066,036.67","17,248,204.34","24,411,224.48","38,330,880.82","69,923,404.91","17,979,182.11","30,160,210.59","39,975,264.97","55,834,661.82","6,750,000.52","16,998,906.10","29,125,345.91","39,016,060.83","43,348,313.62","56,433,920.37","72,894,901.98","98,009,495.43","26,727,152.80","35,648,981.27","47,574,464.21","66,785,125.51","6,052,146.15","12,564,665.35","4,607,800.55","5,087,507.52","461,487.59"
销售费用,"7,433,523.11","12,398,435.42","19,264,086.15","28,561,184.03","4,569,844.64","13,186,707.13","20,898,621.16","27,495,456.38","4,927,725.78","12,863,215.40","21,128,439.41","31,461,664.20","10,744,478.06","23,073,066.03","36,756,785.73","50,423,470.83","12,905,922.75","27,908,549.01","43,620,109.30","61,621,786.25","9,841,635.98","29,279,093.08","44,501,895.87","71,521,376.23","23,583,484.52","55,412,791.55","85,755,695.75","127,648,055.83","35,496,579.57","73,761,112.75","110,656,201.82","148,457,912.97","25,739,217.94","54,272,699.19","78,754,577.91","109,938,423.86","13,306,040.50","39,110,765.43","66,433,080.67","102,137,221.57","29,851,127.07","63,536,320.59","100,613,212.96","144,908,262.64","31,452,567.41"
减:营业外支出,"367,165.50","437,829.01","3,242,314.67","15,157,433.37","69,145.65","169,373.18","925,610.10","2,222,652.20","72,860.25","208,835.26","214,825.35","2,112,922.08","87,628.24","193,686.18","2,128,988.17","12,341,971.04","1,937.30","1,906,875.60","2,122,089.90","2,161,240.96","27,453.47","125,253.31","153,190.58","3,308,688.40","8,457.66","1,444,894.93","1,532,929.36","1,754,931.73",,"1,663,267.21","2,036,300.76","4,593,830.41",,"2,189.19","235,144.63","237,332.44","278,475.49","289,253.56","549,852.72","2,860,284.86","25,003.40","102,388.54","383,362.98","740,322.42","194,502.96"
管理费用,"18,685,909.61","33,617,628.05","49,279,100.13","50,124,220.83","13,525,967.24","27,461,447.94","48,901,916.23","69,752,622.65","11,483,018.05","31,516,750.90","47,953,144.98","65,472,366.88","19,882,926.11","37,674,165.22","59,679,703.71","85,825,842.20","20,239,906.34","41,455,384.26","69,270,573.49","97,070,316.09","20,832,304.78","42,781,803.85","68,086,964.65","100,321,621.45","31,903,927.05","59,230,027.22","96,387,646.75","128,655,204.34","28,800,192.27","60,857,724.21","95,820,775.17","143,944,253.49","39,918,398.11","84,525,941.09","122,396,657.29","162,647,134.70","32,638,595.89","66,646,722.82","101,576,933.82","129,360,140.56","26,927,820.96","65,896,684.51","125,860,191.78","197,616,560.18","31,901,423.99"
其中:非流动资产处置净损失,,,,,"50,534.65",,,,"72,860.25","197,494.76","203,484.85","2,087,817.73","87,628.24","142,498.30","2,077,778.61","12,290,761.48",,"1,904,938.30","2,091,714.29","2,159,103.66","27,453.47","125,253.31","153,190.58","3,308,688.40","8,457.66","1,444,894.93","1,459,318.25","1,585,598.02",,"1,560,197.26","1,854,214.42","4,377,474.01",,"2,189.19","231,026.23","232,785.24","278,471.45","285,383.20","290,405.12","2,568,748.80","16,517.69","17,217.36","25,481.52",,
