科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"220,193,306.36","257,606,988.51","406,870,093.89","68,919,129.10","172,665,767.43","275,264,623.46","393,282,548.28","88,974,826.49","195,422,326.45","316,628,884.62","436,868,739.22","120,113,926.93","233,346,426.46","378,191,171.13","516,623,026.59","129,861,205.86","311,209,656.98","466,752,690.69","623,070,257.97","127,623,370.71","266,365,796.15","412,526,026.28","552,865,147.98","149,267,044.93","306,015,022.20","469,387,285.51","628,307,698.19","57,276,056.47","222,210,137.35","409,113,090.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"455,000,000.00"
收到的税费返还,"46,088.06","500,000.00","7,961.28","301,561.80","301,561.80","301,561.80","335,648.45","240,061.18","240,061.18","240,061.18","240,061.18","179,503.90","179,503.90","179,503.90","436,450.88","19,189.60","39,287.52","39,287.52","39,287.52","141,670.68","141,670.68","158,526.01","158,526.01","541,815.51","675,268.58","675,268.58","916,399.90","1,426,907.64","1,775,852.45","2,194,310.53"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00",,"181,000,000.00","161,000,000.00",,,,
收到其他与经营活动有关的现金,"4,239,854.58","7,550,352.29","6,147,009.44","236,407.86","318,457.86","2,454,330.03","7,046,041.83","1,097,479.83","7,387,070.19","13,941,719.03","12,971,860.37","861,167.85","7,151,519.24","7,432,659.11","9,030,761.27","548,239.66","6,589,420.35","8,487,100.63","10,101,893.11","682,475.89","1,785,461.80","5,979,923.73","7,534,022.74","1,046,876.62","3,117,052.20","3,780,177.83","3,705,956.12","1,199,305.15","7,413,316.90","10,614,211.23"
投资活动现金流出小计,"5,640,763.61","3,133,093.69","32,077,723.60","5,524,670.80","22,872,445.80","40,671,001.72","45,478,075.97","6,276,400.88","14,283,784.73","33,528,726.58","50,260,671.44","20,867,588.02","36,582,846.18","48,907,862.34","50,318,617.42","8,835,078.69","26,675,359.90","42,106,604.99","62,224,326.83","17,143,404.83","20,448,020.70","25,424,375.84","58,813,735.94","3,003,488.83","187,903,848.67","168,567,516.43","892,071,728.31","146,757,050.75","241,249,318.32","736,420,369.76"
经营活动现金流入小计,"224,479,249.00","265,657,340.80","413,025,064.61","69,457,098.76","173,285,787.09","278,020,515.29","400,664,238.56","90,312,367.50","203,049,457.82","330,810,664.83","450,080,660.77","121,154,598.68","240,677,449.60","385,803,334.14","526,090,238.74","130,428,635.12","317,838,364.85","475,279,078.84","633,211,438.60","128,447,517.28","268,292,928.63","418,664,476.02","560,557,696.73","150,855,737.06","309,807,342.98","473,842,731.92","632,930,054.21","59,902,269.26","231,399,306.70","421,921,612.45"
投资活动产生的现金流量净额,"-5,640,763.61","-3,133,093.69","-21,526,570.88","-5,524,670.80","-22,872,445.80","-40,671,001.72","-45,478,075.97","-6,264,400.88","-14,231,784.73","-29,795,636.24","-42,334,648.36","-20,867,588.02","-36,582,846.18","-48,597,162.34","-50,311,625.11","-8,835,078.69","-26,675,359.90","-42,011,604.99","-62,129,326.83","-17,143,404.83","-20,438,020.70","-25,414,375.84","-58,612,952.38","12,073,086.47","-180,257,443.70","-141,441,862.16","-196,865,676.24","45,122,236.64","239,864,065.55","-268,197,363.51"
购买商品、接受劳务支付的现金,"167,904,354.86","196,310,722.30","309,692,834.58","74,975,496.36","177,391,180.34","263,677,992.10","346,771,199.13","88,904,503.66","171,020,208.39","268,482,122.35","362,155,032.15","104,926,076.90","198,673,915.47","305,548,599.94","426,771,558.74","98,435,362.49","226,501,745.96","314,581,315.94","437,680,531.64","90,228,797.35","181,130,263.11","267,761,783.81","341,650,811.48","104,558,917.08","182,533,310.20","288,811,525.06","377,194,249.52","43,415,165.11","164,436,547.25","257,302,740.14"
吸收投资收到的现金,,,,"534,065,094.66","539,487,120.00","539,487,120.00","534,065,094.66",,,,,,,,,,,,,,,,,,,,,,"309,006,094.28","309,006,094.28"
支付给职工以及为职工支付的现金,"9,087,218.04","13,643,512.56","14,833,618.87","5,087,493.43","10,994,289.00","14,015,868.23","23,295,181.67","7,986,583.64","15,847,998.91","24,558,135.36","33,977,659.27","10,345,761.93","19,764,189.98","30,404,225.44","41,295,313.83","11,959,830.58","23,162,230.48","35,070,889.40","46,930,378.58","14,507,294.83","27,241,366.02","41,072,475.10","55,932,651.07","17,221,341.24","31,520,743.82","45,972,280.46","61,516,086.26","19,330,049.19","35,918,775.33","56,055,161.60"
取得借款收到的现金,"65,000,000.00","51,000,000.00","110,000,000.00","57,000,000.00","57,000,000.00","57,000,000.00","57,000,000.00",,,"30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,"30,000,000.00"
支付的各项税费,"14,999,065.81","15,717,013.76","18,769,472.56","4,522,582.52","9,209,176.43","14,734,554.46","22,180,024.52","4,791,119.50","12,016,727.73","20,677,079.33","28,195,571.24","4,597,230.47","13,356,708.51","19,864,965.77","27,781,237.74","9,819,772.98","18,496,121.05","18,012,764.39","27,664,866.55","5,899,950.24","13,944,220.72","21,329,386.25","36,906,412.26","8,644,366.85","19,439,957.84","29,405,777.65","34,257,362.70","1,793,704.95","33,017,423.75","44,241,181.84"
收到其他与筹资活动有关的现金,,,"26,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"14,882,147.34","15,215,045.83","25,124,851.91","6,114,492.31","9,371,676.30","14,582,237.76","23,176,522.96","8,268,242.88","14,116,919.91","23,100,136.21","34,150,661.56","6,763,645.86","16,611,933.48","27,230,484.49","39,595,672.36","12,895,545.72","23,772,222.03","36,253,351.89","49,993,656.30","8,985,435.33","20,751,131.68","29,970,498.26","48,049,397.33","7,969,528.93","12,240,985.98","24,940,024.64","52,182,603.36","15,033,229.49","28,204,768.59","44,619,127.73"
筹资活动现金流入小计,"65,000,000.00","51,000,000.00","136,000,000.00","591,065,094.66","596,487,120.00","596,487,120.00","591,065,094.66",,,"30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,"309,006,094.28","339,006,094.28"
