科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"59,474,615.20","113,879,181.93","176,366,364.96","265,451,907.77","98,626,463.99","171,403,298.48","263,838,787.78","397,482,727.02","105,489,950.71","197,405,729.72","278,688,227.34","413,854,204.04","121,326,240.28","205,782,251.05","313,520,537.59","435,474,059.54","151,124,291.37","264,236,744.62","385,885,897.81","569,857,853.74","176,528,633.54","300,365,568.60","438,519,110.69","612,333,835.00","178,918,915.90","303,555,178.11","425,221,851.73","638,734,806.13","180,824,771.96","297,226,079.75","436,043,499.47","610,064,781.23","195,981,047.96","323,134,324.80","466,275,696.69","630,778,637.54","188,737,397.33","357,870,675.98","478,538,812.44","671,617,314.72","213,118,524.19","409,639,633.98","586,664,506.38","762,026,694.80"
取得借款收到的现金,"536,684,999.57","1,403,282,329.51","2,448,962,959.71","2,653,336,997.44","518,060,812.55","1,557,486,244.59","2,333,892,681.32","3,920,755,261.55","1,094,252,488.50","1,860,372,127.84","2,557,358,277.12","2,099,701,620.33","728,702,221.98","1,764,528,348.80","2,417,059,909.88","2,625,897,317.40","1,489,086,829.09","2,210,081,580.26","2,913,877,585.71","3,805,710,307.59","947,743,138.87","2,073,866,202.56","2,641,574,855.69","4,583,617,344.05","693,870,587.66","898,865,304.00","1,316,014,420.00","1,986,315,581.09","617,751,747.68","617,751,747.68","617,751,747.68","1,729,045,890.10",,"100,000,000.00","190,441,708.00","1,080,441,708.00","1,770,092,500.00","2,421,095,210.10","4,774,196,632.17","6,327,098,820.61","1,246,938,257.41","3,395,557,249.53","3,559,016,035.16","4,087,285,189.87"
支付的各项税费,"32,585,005.45","85,105,417.94","125,674,111.01","189,015,657.10","44,626,359.85","115,392,154.92","193,094,614.86","190,117,635.08","59,230,338.66","128,603,562.53","163,074,280.56","273,577,120.72","59,391,927.43","118,039,183.00","181,472,721.50","287,630,528.94","108,209,240.79","152,003,638.56","224,948,596.03","398,646,206.24","134,255,763.03","238,536,277.41","306,281,411.13","404,506,771.29","120,614,935.69","208,192,179.82","357,925,344.26","436,128,886.43","79,586,052.30","166,251,737.08","318,502,845.96","479,376,074.20","100,967,369.75","177,209,596.39","370,415,421.47","484,941,507.94","112,662,560.97","243,930,357.44","376,067,857.59","616,457,105.11","274,153,091.27","602,277,063.37","1,168,799,271.52","1,215,885,857.87"
收到其他与筹资活动有关的现金,,,"74,811,045.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,070,000.00",,,,,,,,,,,,"3,000,000.00"
支付其他与经营活动有关的现金,"56,658,629.36","74,641,801.62","244,361,935.49","536,825,472.34","142,907,452.39","219,090,346.54","266,457,068.77","500,900,688.99","173,875,512.31","204,939,059.60","337,448,383.96","525,280,577.45","90,899,527.07","232,969,968.19","346,956,832.62","545,782,610.03","128,358,642.84","309,562,605.54","370,174,865.51","604,546,114.98","153,323,345.13","412,455,307.16","498,064,088.70","680,345,051.14","193,218,991.47","306,820,859.34","383,581,604.92","692,951,360.26","187,515,005.27","341,558,131.94","407,704,842.84","579,742,286.09","157,231,613.30","389,760,205.24","400,055,456.93","631,219,009.45","1,568,710,830.94","1,249,625,899.13","1,436,783,358.65","1,831,636,784.04","489,526,825.32","1,089,615,227.04","1,256,300,150.97","1,615,937,386.71"
筹资活动现金流入小计,"536,684,999.57","1,403,282,329.51","2,533,954,904.87","3,054,697,897.44","518,060,812.55","1,557,486,244.59","2,333,892,681.32","3,921,833,261.55","1,094,252,488.50","1,860,372,127.84","2,557,358,277.12","2,912,251,420.43","728,702,221.98","2,062,018,348.80","2,714,549,909.88","2,926,387,317.40","1,489,086,829.09","2,210,081,580.26","2,913,877,585.71","3,806,404,807.59","947,743,138.87","2,073,866,202.56","4,228,574,855.69","4,583,617,344.05","693,870,587.66","898,865,304.00","1,316,014,420.00","1,986,315,581.09","617,751,747.68","617,751,747.68","617,751,747.68","1,733,115,890.10",,"100,000,000.00","190,441,708.00","3,052,759,033.91","3,270,092,500.00","3,921,095,210.10","6,774,196,632.17","8,327,098,820.61","1,246,938,257.41","3,395,557,249.53","3,559,016,035.16","4,090,285,189.87"
经营活动现金流出小计,"2,416,472,083.62","5,630,639,193.94","10,847,575,063.72","16,033,228,801.97","3,642,888,775.16","9,279,828,477.71","12,790,106,192.66","18,432,221,165.64","3,794,257,795.83","7,516,928,927.38","11,110,046,025.62","16,290,753,801.25","5,019,600,026.58","10,227,440,368.65","15,926,365,196.27","20,967,049,889.99","6,542,158,228.19","12,970,926,593.36","20,044,720,885.96","28,923,800,685.23","6,399,696,951.72","14,107,289,765.75","21,618,434,911.15","30,721,240,486.13","7,649,790,244.44","16,666,369,935.73","24,477,687,823.53","36,253,077,340.01","6,835,516,108.97","13,299,272,239.78","19,250,704,535.76","25,054,215,717.52","4,041,675,213.51","10,241,618,173.32","15,591,744,811.89","21,367,835,186.68","5,992,745,116.20","11,351,096,028.04","16,926,030,500.39","23,760,613,794.49","7,131,752,054.03","13,793,735,053.61","21,508,613,162.10","26,683,873,422.08"
偿还债务支付的现金,"482,857,722.82","1,170,454,654.18","2,307,635,292.88","2,720,883,505.93","510,607,963.09","973,455,917.82","1,817,143,267.02","4,077,108,054.74","460,885,846.35","1,414,886,735.34","2,460,060,984.87","2,473,102,152.89","380,980,283.98","1,211,815,104.13","1,960,717,744.35","2,451,872,628.71","344,003,873.77","1,551,126,769.15","2,035,784,614.89","2,319,118,896.45","732,343,659.23","2,297,378,515.94","4,244,798,574.07","4,399,628,555.55","241,479,000.00","904,628,795.78","1,329,245,665.72","986,200,133.31","698,873,460.00","1,559,373,460.00","1,876,761,019.68","2,055,184,844.76","271,250,000.00","331,250,000.00","547,054,705.40","613,691,708.00","1,695,700,000.00","2,479,380,000.00","3,414,907,700.09","5,568,287,836.78","870,380,491.67","2,388,411,638.24","3,874,179,138.89","6,517,846,609.21"
经营活动产生的现金流量净额,"160,017,649.10","5,736,999.63","354,774,187.57","260,451,121.38","264,148,184.89","-102,059,482.54","-34,674,572.84","610,449,650.93","-583,005,425.29","-272,561,483.64","184,925,816.55","216,250,280.74","126,689,988.45","-136,571,985.34","-239,203,376.99","158,085,687.68","-958,898,313.81","-219,057,117.37","-431,414,867.15","-1,016,934,126.88","128,039,742.09","554,432,565.34","710,668,741.73","733,818,950.02","-281,030,006.16","-41,786,918.08","185,985,410.04","-215,049,564.53","-120,898,757.10","464,980,009.69","900,275,534.24","1,359,740,176.41","147,401,666.93","771,299,748.51","425,128,107.39","-70,424,037.46","-2,116,829,945.59","-2,939,661,231.32","-4,442,882,157.51","-3,903,133,331.95","-237,001,339.17","82,719,440.49","2,427,004,936.41","5,045,559,410.04"
分配股利、利润或偿还利息支付的现金,"13,885,039.45","55,739,622.69","91,481,361.66","73,968,271.45","29,470,365.21","69,623,940.94","116,560,200.20","105,337,714.54","19,120,642.97","78,519,399.91","94,861,156.66","84,881,330.55","10,743,523.85","17,893,315.37","61,957,082.61","83,058,522.07","40,656,890.50","104,453,511.36","148,884,071.09","144,155,978.51","39,040,259.24","169,918,603.67","188,213,754.64","188,395,880.87","23,282,898.50","86,360,160.76","200,223,990.98","181,992,870.46","26,155,576.67","55,155,506.20","205,834,173.12","173,658,566.17","19,472,846.38","77,382,528.06","161,283,803.14","221,202,116.09","11,037,664.17","279,134,325.54","313,833,875.53","290,668,297.76","86,365,852.04","179,932,429.17","306,018,958.58","223,605,078.86"
