科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"10,003,434.79","27,541,216.45","14,122,367.95","10,873,111.30","278,716,627.32","265,392,024.81","258,053,836.59","262,410,141.68","264,449,989.82","229,911,508.99","214,422,469.51","187,535,317.10","200,444,174.18","181,104,592.07","172,083,345.76","158,323,125.09","183,049,508.19","141,788,476.41","150,983,475.63","158,884,033.73","169,530,990.43","137,431,310.43","95,268,129.98","135,917,445.93","148,262,741.86","121,235,378.21","89,014,408.36","91,759,519.79","126,725,736.90","99,929,647.71","61,307,588.33","107,547,289.46","129,121,166.38","111,907,706.65","86,666,551.08","111,677,166.71","156,628,625.47"
短期借款,"5,000,000.00","30,000,000.00","25,000,000.00","22,000,000.00",,,,,,"8,349,121.71","5,170,000.00","1,500,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00","10,000,000.00","5,100,000.00","10,000,000.00","10,000,000.00","9,700,000.00","9,700,000.00","4,800,000.00","4,800,000.00","14,000,000.00","14,000,000.00","14,000,000.00","15,700,000.00","15,700,000.00","15,700,000.00","15,700,000.00","15,700,000.00","15,950,000.00","15,950,000.00","9,950,000.00","9,950,000.00","7,950,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,639,278.00","5,701,763.02","5,317,451.10","2,562,324.10","7,116,504.01","5,181,831.24","3,380,000.00","6,718,067.75","18,035,750.71","6,719,640.12","15,534,943.51","11,117,574.60","44,345,373.00","30,390,950.40","34,326,580.58","33,704,475.30","61,504,351.30","54,877,884.32","35,840,993.07","26,153,206.70","64,473,771.19","45,596,695.78","37,921,391.30","22,236,136.28","44,154,343.51","27,884,778.79","34,798,424.99","36,123,363.85","93,226,785.00","80,504,121.10","73,241,040.60","57,577,118.39","83,164,348.27","47,917,535.97","45,807,322.82","23,552,525.94","66,132,621.41"
应付票据,,,,,,,,"13,674,390.07","13,674,390.07","6,674,390.07",,,,,,,,,,"9,900,000.00","2,709,000.00","8,709,000.00","8,300,000.00","5,430,000.00","4,230,000.00","2,600,000.00","9,582,000.00","10,740,153.32","17,969,308.60","12,136,604.60",,"783,000.00","783,000.00","774,800.00","2,049,200.00","2,262,900.00","20,280,954.42"
应收账款,"13,295,837.24","20,378,866.53","32,837,177.12","45,830,855.95","29,985,456.49","27,599,211.77","38,286,910.60","62,616,488.16","34,401,244.59","44,813,160.02","56,452,680.32","70,137,941.98","49,940,036.74","62,021,095.99","74,584,369.59","102,360,946.17","67,010,736.65","86,696,618.97","100,393,865.12","117,785,404.66","80,652,640.00","90,763,453.72","115,943,314.39","125,843,337.05","118,398,937.92","139,254,288.06","171,882,466.15","185,557,168.17","141,893,810.62","147,440,197.59","170,133,835.83","183,822,360.78","135,284,188.01","148,976,648.73","184,597,823.60","181,382,260.78","146,045,799.04"
应付账款,"6,538,494.17","7,857,583.17","12,865,511.54","15,033,378.10","11,150,853.94","14,830,795.87","16,983,103.65","20,601,296.12","15,227,389.18","11,973,587.35","26,507,252.60","26,958,297.44","21,690,668.00","18,166,604.42","31,286,551.65","38,233,568.21","34,156,911.09","29,981,714.23","53,930,866.35","52,520,985.03","47,488,627.67","49,643,072.00","75,706,992.26","70,718,221.36","57,776,708.90","58,897,815.08","68,721,994.02","77,823,752.51","70,813,939.48","53,073,799.75","80,818,209.70","85,206,145.55","55,120,224.79","78,696,034.23","107,000,443.75","84,546,024.16","80,403,955.48"
预付款项,"3,288,689.67","1,553,637.00","727,563.94","1,302,842.98","3,788,840.68","5,886,365.63","11,812,200.95","8,011,990.22","24,143,934.50","33,621,207.18","33,095,523.10","52,618,057.48","33,265,781.15","39,012,615.79","41,681,916.85","51,317,713.69","27,478,314.16","28,830,743.53","39,900,565.06","49,040,241.98","21,475,798.07","31,979,218.65","22,450,494.05","17,686,862.86","6,152,505.95","4,448,018.28","4,236,961.20","4,698,928.51","4,522,338.08","6,457,849.16","5,260,649.45","7,735,405.45","5,261,053.60","7,982,826.58","6,539,595.04","2,810,956.58","4,782,116.71"
预收款项,"2,040,026.15","2,646,901.48","1,234,201.15","2,665,786.63","1,440,893.20","2,325,961.80","3,186,376.96","826,655.39","670,405.80","5,304,576.75","6,743,534.02","9,794,646.11","7,173,536.18","10,828,112.00","9,184,748.29","9,954,100.02","6,406,987.67","6,223,951.26","9,524,012.29","12,947,513.79","13,769,178.63","13,490,731.56","15,008,235.47","25,125,012.67","20,058,119.72","17,712,118.17","20,117,315.12","21,492,668.62","16,767,367.65","13,974,474.81","14,734,783.89","25,765,418.07","11,056,026.66","18,990,489.57","17,265,282.71","27,000,945.64","10,550,682.23"
其他应收款,"336,300.00","804,970.00","769,290.85","1,142,449.90","66,500.00","116,850.00","201,890.00","475,677.91","423,452.91","1,961,844.85","1,123,771.17","749,788.28","2,539,450.45","2,157,957.23","2,013,977.59","2,009,788.57","564,583.78","779,822.57","746,687.71","743,473.91","611,108.54","841,595.62","1,042,725.68","1,139,826.62","546,008.40","1,385,549.97","1,725,790.36","2,184,329.34","929,365.90","1,106,976.75","2,145,003.26","1,325,231.34","928,937.42","1,631,196.35","1,489,047.06","2,162,665.91","1,489,753.77"
