科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"373,268,674.05","462,526,345.17","456,371,424.35","657,686,346.29","125,706,032.04","324,705,713.54","578,887,501.86","925,996,794.69","209,535,464.29","513,283,094.60","889,834,094.17","1,349,074,626.64","362,715,219.07","703,869,689.69","1,137,669,719.97","1,958,229,308.32","337,927,967.30","744,030,805.39","1,141,378,243.21","1,934,496,382.62","488,207,041.93","1,063,295,432.24","1,717,377,124.39","2,647,650,910.99","656,831,655.59","1,315,387,894.34","2,123,357,231.21","3,168,421,256.25","616,792,389.74","1,226,082,634.75","1,912,695,806.02","2,747,557,900.91","595,499,526.84","1,120,467,224.23","1,741,207,168.68","3,199,290,762.93","765,912,008.02","1,692,958,031.64"
取得子公司及其他营业单位支付的现金净额,,,"42,989,246.19","42,989,246.19",,,,,,"4,973,271.24","22,281,139.55","30,281,139.55","36,559,034.93","47,858,958.58","64,371,168.39","88,484,775.37","6,456,133.79","28,451,765.41","32,939,765.41","49,277,974.54",,,,,,,,,,,,,,,"66,840,575.94",,,"396,373,579.44"
收到的税费返还,,,,,,,,,,,,,,,"278,240.27","16,112.21",,"681,045.68","1,457,735.22","3,637,497.00","7,842,413.21","10,070,643.72","15,155,969.78","16,845,139.89","1,424,346.85","2,190,477.39","5,145,326.40","5,970,059.71","2,434,165.47","3,064,408.20","5,054,078.33","5,394,069.78","954,031.38","1,626,810.25","2,096,259.28","2,559,334.21","144,815.81","4,592,430.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"14,488,000.00","4,131,000.00",,,,,,,,,,,,,,,,,,"838,700.00",,"18,000,000.00",
收到其他与经营活动有关的现金,"4,290,952.73","9,378,340.35","6,360,886.01","9,361,352.33","1,734,984.36","2,793,460.46","8,511,379.46","12,118,021.26","6,523,956.31","6,381,996.34","23,441,623.10","36,155,509.37","37,541,391.92","53,445,162.97","78,267,259.06","57,551,148.12","24,864,176.82","54,923,488.38","94,359,536.60","48,002,536.93","73,385,184.85","100,714,533.96","141,747,053.95","177,752,552.54","87,065,927.37","193,303,866.30","200,768,906.01","242,273,459.30","54,091,522.24","104,317,537.04","242,447,469.28","288,506,689.95","50,415,772.62","119,397,688.29","178,147,996.20","185,935,447.53","90,549,236.91","95,640,201.61"
投资活动现金流出小计,"13,180,663.80","8,103,882.08","70,815,092.26","74,468,277.08","5,014,560.00","15,428,377.93","26,018,005.71","70,288,259.07","10,886,587.23","49,150,717.61","219,350,272.32","282,117,219.63","70,499,941.35","136,487,273.86","230,126,206.02","319,811,571.14","71,154,600.48","111,524,345.73","141,635,516.02","210,068,362.40","11,114,704.26","33,976,804.20","76,033,188.35","94,982,531.01","10,443,244.34","30,118,274.87","51,907,879.59","61,546,907.95","4,991,564.09","12,146,227.24","14,209,483.53","135,150,802.65","1,908,974.04","49,120,783.12","176,678,672.58","326,567,148.47","606,517,113.04","779,853,670.92"
经营活动现金流入小计,"377,559,626.78","471,904,685.52","462,732,310.36","667,047,698.62","127,441,016.40","327,499,174.00","587,398,881.32","938,114,815.95","216,059,420.60","519,665,090.94","913,275,717.27","1,385,230,136.01","400,256,610.99","757,314,852.66","1,216,215,219.30","2,015,796,568.65","362,792,144.12","799,635,339.45","1,237,195,515.03","1,986,136,416.55","569,434,639.99","1,174,080,609.92","1,874,280,148.12","2,842,248,603.42","745,321,929.81","1,510,882,238.03","2,329,271,463.62","3,416,664,775.26","673,318,077.45","1,333,464,579.99","2,160,197,353.63","3,041,458,660.64","646,869,330.84","1,241,491,722.77","1,921,451,424.16","3,387,785,544.67","856,606,060.74","1,793,190,664.08"
投资活动产生的现金流量净额,"-13,180,663.80","-8,103,882.08","-70,815,092.26","-74,433,137.08","-4,954,560.00","-15,368,377.93","-25,958,005.71","-70,178,259.07","-10,886,587.23","-49,149,517.61","-219,349,072.32","-282,116,019.63","-70,483,941.35","-136,417,273.86","-230,056,206.02","-310,768,676.49","-71,109,600.48","-111,460,545.73","-141,413,845.69","-209,857,992.07","-11,114,704.26","-26,750,869.07","-68,798,253.22","-84,419,295.88","-6,971,444.34","-26,616,474.87","-42,901,249.84","-51,975,278.20","-2,383,572.37","-9,538,235.52","85,026,484.09","-35,886,679.51","63,096,658.03","65,916,948.95","-52,806,995.70","-167,191,063.02","-408,642,214.42","-581,514,881.90"
购买商品、接受劳务支付的现金,"203,051,664.02","248,730,187.59","248,284,306.28","365,306,629.73","126,371,050.76","238,652,093.34","421,706,901.41","624,266,084.56","222,023,054.71","540,343,243.64","736,260,719.36","1,015,637,956.56","256,483,469.81","475,292,271.06","755,570,230.41","1,500,798,485.28","339,833,430.16","576,705,436.13","889,684,536.90","1,588,137,888.89","373,654,002.12","602,319,837.20","1,025,663,333.08","1,548,958,505.59","543,077,153.30","928,042,473.62","1,354,169,855.21","1,861,720,815.89","594,145,727.24","1,003,950,861.96","1,371,647,492.71","1,711,626,156.81","512,627,315.67","834,566,825.59","1,424,695,664.10","2,281,669,311.89","970,879,100.40","1,747,565,146.90"
吸收投资收到的现金,,,,"580,425,500.00",,,,"2,000,000.00",,"22,788,776.62","32,588,776.62","32,838,776.62",,"789,106,000.00","792,656,000.00","795,140,000.00","42,550,700.00","42,550,700.00","52,996,301.66","52,996,301.66",,"2,450,000.00","2,450,000.00","2,450,000.00",,,,,,,,,,,,,"15,000,000.00","15,000,000.00"
